follows, missy: 0.343572179469
chosen, nigh: -0.056492510034
arming, matched: 0.7179278855
equally, like: 0.959815982968
glorious, symbolic: 1.55621816005
liquid, stupide: 0.0
safe, unsustainable: 1.4685103718
circumspect, consulted: 2.76824103525
spicy, vain: 0.366766582292
end-to-end, for: 0.0
christian, horrifying: 0.703897765559
instrumental, spontaneous: 0.696228014949
obscure, touchy: 2.14731816791
formed, supra: 0.855012848975
daft, tiring: 1.95463055481
priceless, terse: 0.909955269362
coordinated, sizeable: 0.122880286049
competitive, worthy: 1.38879190465
affixed, th-that: 0.0
connected, restless: 0.773521717048
cheesy, merely: 1.33711579451
antsy, liked: 2.40252114948
fraudulent, futile: 1.92369308861
west, win: 0.254515583343
missingg, terrorized: 0.0
functional, pertinent: 1.36279562912
monstrous, repealed: 0.198524702382
hurt, intimidating: 1.3761658641
labour-intensive, scarce: 0.0
corny, moist: 2.57113868986
clarify, nutty: 0.537732723106
large, steady: 1.57931141665
formed, regrettable: -0.052268221571
certifiable, public: 0.38003867902
current, spooky: 0.275544554877
bizarre, incorrect: 2.01995792789
reaching, tolerated: 0.424283699645
cloudy, oversensitive: 1.83985702638
passionate, shitless: 0.148185403228
disputable, poorer: 0.970374487554
aroused, unwarranted: 2.36914230225
advantageous, induced: 0.995920264238
broader, marvelous: 0.298975064901
-me, specify: 0.0
history, pathway: 0.81348473478
disturbing, widest: -0.035359620967
all-encompassing, malignant: 0.0
determinable, french: -0.000790619804
easiest, wonderfui: 0.0
implausible, specifically: -0.174921319929
completed, ungrounded: -0.020418420551
garbled, state-owned: 0.0
elevated, smokin: 0.511075108097
exciting, infuriating: 1.33489241671
blank, lead: 0.800351015755
even-handed, prohibitive: 0.0
school, tough: 0.608036966364
busy, expressed: -0.260112201493
assured, potent: -0.095457803477
disturbed, fully: 0.442140041086
industrialised, weaker: 0.0
greedy, sombre: 0.195990020281
muchfor, nuts: 0.0
intolerable, reversed: 1.65773532011
built, informed: 0.142889163331
headstrong, snug: 1.41664507149
fascinating, shoot: 0.377197954986
changing, steady: 1.13534438787
collective, friends: 0.196903073299
pre-published, vice-chairperson: 0
below, poorer: 1.3562745963
huge, louder: 0.660742002201
economically, meaningless: 0.816714587212
honourable, wrongful: 0.0
colossal, shiny: 1.24332496087
top, unsavory: 0.40602463182
absent, successfully: -0.615022767063
arduous, meaningful: 1.49150795944
distasteful, freest: 1.42877645721
determining, hurry: 0.177817769316
concerted, de-insured: 0.0
all-important, distinct: 0.0
regular, self-explanatory: 0.0
clean, stoned: 0.641458212722
born, by: 0.08269377843
lead, unheard-of: 0.0
back, cleanest: 1.11145158823
considerable, prompt: 0.516435908745
sold, well-balanced: 0.0
forthwith, indecent: 1.31096883386
rigorous, vague: 1.20945177501
bravest, fussy: 0.801439587231
cost-effective, well-coordinated: 0
profitability, thick: -0.047322580882
loud, onerous: 0.728847432201
colder, northeastern: 1.99805703453
subsequent, well-written: 0.0
overheard, silly: 1.83797118174
launched, prouder: 0.096711887006
fully, informed: 1.16048864235
separate, undeniable: 0.100584432264
feisty, kidding: 1.71344017476
mature, tabling: 0.157923905595
ago, favorable: 0.758219892358
contradictory, sole: 0.454535374417
eerie, opening-up: 0.0
breadth, sizable: 1.34313031
non-existent, tedious: 0.0
factored, truly: -0.140091100928
defined, small-time: 0.0
hard, medium-sized: 0.0
provision, slick: -0.043298824949
amended, super: -0.463179951217
bullshit, intrusive: 1.81828098201
furious, non-discriminatory: 0.0
formally, level: 0.395930667912
low-skilled, unimportant: 0.0
physical, uptight: 0.912025050723
rather, senseless: 0.756432374857
bare, major: 0.346545073457
-lncredible, notified: 0.0
resilient, try: 0.462717388229
cooler, copacetic: 1.63562937388
inexcusable, saved: 1.37723695952
asinine, do: 1.58419709763
abhorrent, through: 0.032305991518
1st, truth: 0.297198982486
important, supplemental: 0.998966344135
definite, unbearable: 1.04832278331
final, linked: -0.202999521446
executable, frank: 0.714707140077
cancelled, north-west: 0
exponential, insufferable: 1.14232219853
fantastic, pending: -0.059207717377
busy, humble: 1.42823758271
dangerous, fun: 1.69445170873
asking, restless: 0.819125482761
unused, well-filled: 0.0
conspicuous, liberated: 1.23353520831
proficient, sadder: 0.568966128033
harsh, null: 0.414145095464
hither, nosey: 0.0
fruitless, simple: 1.30995150037
quieter, strict: 0.94119579844
represented, sustained: 0.961878471721
obnoxious, sedentary: 2.09896251948
eighth, medical: 0.406388737832
quicker, right: 1.21417911181
complacent, ravenous: 1.67519266286
key, neglected: 0.542886851818
regardless, standard: 1.07058845667
concentrated, crude: 0.603078568434
formal, lovable: -0.604530718307
forward-looking, lasting: 0.0
clarify, luck: 0.813037189003
deplorable, massive: 1.04204744749
comparable, miscellaneous: 1.67761079393
barmy, forlorn: 2.61610033109
illiterate, prohibitive: 1.79836740332
asleep, forward-looking: 0.0
actually, prohibitive: 0.794005244349
fried, stumpy: 2.12696551338
geographical, stimulating: -0.183641396877
grass-roots, newer: 0.0
elegant, far: 0.591558802532
complements, undemocratic: 0.519064790223
cumbersome, troubled: 0.969921197027
housebroken, peachy: 1.96344780473
first, plausible: 0.484767245486
awkward, responsibility: 1.05116580954
compliant, vague: 1.42088550219
fundamental, say: 0.659222912482
horrifying, prevalent: 1.86658346853
repeated, unknown: 0.06593203309
frustrated, rare: 0.667630339668
appropriate, schizo: 0.675484428946
partially, special: 0.300152992553
irresponsible, sacred: 1.49928743173
complementary, vain: -0.118294286558
distressing, uncomfortable: 3.17144686374
needy, self-sustained: 0.0
implemented, poppycock: 0.277028709718
anymore, flagrant: 0.70151803454
completely, pragmatic: 0.670603513
implausible, sedentary: 1.4977856726
classical, clever: 1.2573985415
non-existent, paradoxical: 0.0
diligent, pitch-dark: 0.0
great, worrying: 1.21138188746
moot, sensible: 1.71573639333
correctly, specialized: 0.24275729642
self-sufficient, treasured: 0.0
adaptable, met: 0.658268699108
embedded, irrational: 1.08717857329
ignorant, justified: 1.95704748059
geographically, snappy: 0.617304781833
longstanding, separate: 0.723494678753
magical, susceptible: 0.166384005034
educational, pleasurable: 1.16400833263
homesick, troubled: 2.06598400002
advertised, comforting: 0.190387169695
north-east, populous: 0.0
disappointing, useable: 0.631666103569
coast, persuasive: 0.317591764401
-mentioned, onboard: 0.0
substandard, sufficient: 1.42407755415
favorite, warmth: 1.31008218248
cardinal, repeated: 0.840740371233
distracting, tonight: 1.07426690358
adaptive, fabulous: 0.519596143142
multi-threaded, nutty: 0.0
arbitrary, puzzling: 1.93676304842
low-skilled, multi-ethnic: 0
between, cooperative: 0.985887530534
ever-increasing, starker: 0.0
discretionary, ethical: 1.39285622494
clearest, enormous: 1.47936970128
insecure, irreconcilable: 2.34998140043
applied, typical: 0.672108237602
concerted, executable: 1.755228978
near, often: 0.40018631024
bulletproof, next: 0.367405722104
cost-efficient, executed: 0.0
popular, retrievable: 0.583715888775
major, sluggish: 0.913565986345
indispensible, solemn: 0.593954246169
salute, unfilled: -0.103696129987
cold, doin: 0.838449407263
light, non-competitive: 0.0
heartfelt, written: 2.36707224772
few, softer: 0.682728785006
destitute, valuable: 0.726292309397
centralized, uneven: 0.948214612662
burdensome, deficient: 2.21839311207
encouraging, lasting: 0.954483438136
coordinated, realistic: 0.985656280295
handicapped, past: 0.201712904681
underfunded, well-written: 0.0
jack, superior: 0.263628934547
fools, honorable: 2.64431888173
blessed, constrained: 2.54903783676
immense, unpublished: 0.91596645417
fried, respectable: 0.452154380429
industrialised, non-transparent: 0
encouraged, troublesome: 0.647653793884
homosexual, nifty: -0.380990869654
relative, thorough: 0.136782351723
blessed, ignorant: 1.96391336723
gay, probable: 0.50330982617
ever, presently: 0.398390862555
long-lasting, two-pronged: 0
agreeable, leave: 0.740629054696
malicious, scientifically: 1.19376948801
patent, rad: 1.80062153701
experienced, questionable: -0.053315643434
skilful, term: 0.317668760743
crazy, twelve: 0.606351724527
case, efficacy: 1.21902965018
dishonest, mission-critical: 0.0
certainly, unbelievable: 2.54676322943
lye, tiny: 0.86181279213
adamant, updated: -0.068563273953
former, pivotal: 0.728415033392
strengthening, us: 0.561515018645
desolate, recognizes: 0.160206409482
co-operative, hence: 0.0
equal, handed: 0.103040608102
flattering, vegas: 0.380783165607
good-natured, perplexed: 0.0
concerted, serious: 1.68562891914
ironic, southeast: 0.160680965972
abreast, over-optimistic: 0.0
firmer, sturdy: 2.97976398527
omnibus, well-placed: 0.0
constantly, icy: 0.256344190166
decided, speedy: 0.185401890174
laborious, untrue: 0.837893180336
held, weird: 0.003379590628
discriminatory, psychological: 1.32058538947
inter-linked, watchful: 0.0
dangerous, knowing: 0.958740804848
inspirational, kiddo: 0.7926033661
overpriced, secured: 0.24172371658
delighted, phony: -1.08956148288
rude, unprecedented: 0.366592425438
focused, taken: 0.283963943743
eerie, remarkable: 2.31480620917
analogous, refrigerated: -0.592181549273
considered, sold: 0.705163775052
fledged, friendlier: 0.673405872952
forthcoming, spoilt: 0.0
delicate, state-run: 0.0
ago, nuts: 0.172264093286
especiaily, unfair: 0.0
inter-connected, specified: 0.0
complacent, functioning: 1.63277133544
awesome, unpublished: 0.544129023709
evil, suspected: 1.1795499464
intelligent, unexpected: 0.570495032953
celebrated, sobering: 1.11914937719
ill-defined, trite: 0.0
best-known, relaxing: 0.0
countless, focused: 0.508933649725
careful, intriguing: 0.910834654705
annoyed, indiscriminate: 1.13987584851
also, perfect: 0.232255977199
afraid, sooner: 1.66715079495
cowardly, unattainable: 0.42961994925
cautious, relentless: 1.41783946881
closest, familiar: 1.5817292252
deliberately, static: 0.938685298158
adaptive, indebted: -0.147717606367
about, determinant: 0.221601951001
temporarily, work: 0.699547088626
close, tepid: 0.847021073652
immense, telling: 0.50344517363
moreover, null: 1.46379302716
ecstatic, fake: 0.143906135309
incalculable, unprecedented: 3.44962739737
acquired, famous: 0.458658156612
alien, identified: 0.275082327191
accustomed, stark: 1.1208424827
gloomy, low: 1.37554872771
faulty, seasick: 0.986671235495
afraid, tabled: 0.376495678381
scant, timid: 1.41792221575
around, mistreated: 0.3956776708
economically, higher: 1.02913298508
again, effectively: 0.878804432498
agreement, realistic: 0.377178147619
limited, understandable: 1.31209302565
east, inferior: 0.15720916331
public, unresolved: 0.708001604269
cruellest, fullest: 1.73550943347
opened, pushy: -0.247573918748
fifteen, issue: -0.127789287714
countless, undemocratic: 0.195670410904
-good, rough: 0.0
satisfied, unanimously: 0.871460011532
monthly, south: 0.136327415678
abused, accused: 2.41252470537
crummy, feeble: 2.76259379484
assertive, heartening: 1.45580524167
earliest, presented: 0.843679826107
aforementioned, ineligible: 0.613744466679
busy, of: 0.0
faint, gratuitous: 1.35913659099
miserable, overwhelming: 1.33171322571
commensurate, crass: 1.15959126446
manifestly, smoother: -0.270190684633
cleaner, demonstrated: -0.317132862354
belated, screwed: 0.91422601744
unproblematic, unqualified: 1.83743262102
funded, purty: -0.279427975952
physical, uncompetitive: 0.134806633291
ghastly, unjustified: 1.53664484217
deader, overpriced: 2.16146169526
being, faint: 0.195261559738
different, obese: 0.582451491629
deep-rooted, wider: 0.0
cautious, quality: 0.263454910661
overweight, worrying: 1.15662432118
asleep, statutory: 1.05257827307
agreed, discernible: 0.137340125791
excellent, innocent: 0.461956529733
reyes-torrena, value: 0.0
dre, simplistic: 0.112808503986
analogous, awol: 0.023033832068
foreverything, mesmerizing: 0.0
meritorious, truth: 0.809295911373
buoyant, stuffed: 0.663973871343
doing, infamous: 0.032203186295
dynamic, rapidly: 1.73474571259
targeted, thorny: -0.151146179821
degrading, expressly: 0.55680088727
debate, memorable: 0.504581290973
costeffective, courrier: 0.523963205191
start, tied: 0.757386820119
moister, one-sided: 0.0
builshit, state-funded: 0
aroused, entitled: 0.634529054735
clear-cut, unhappy: 0.0
awkward, pray: 0.750353591778
briefly, shocking: 0.392765432885
sincere, spent: 0.032883766598
occurring, problematic: 1.38812388267
realizing, weil: 0.056737382709
rehearse, viewable: 1.32613984499
deceptive, equal: 0.64595346873
broader-based, well-designed: 0
over, rigid: 0.073281693598
extraneous, unmistakable: 1.30854767817
-ready, apart: 0.0
fat, pure: 1.47593649371
relative, yo: 0.368385153534
black-hearted, marty: 0.0
easiest, rewarding: 2.77125651197
problem, worst: 0.883970117835
horrible, patience: 0.784625921265
neutral, squeamish: 1.41597076139
actual, luminous: 0.581510785358
retard, shorty: 1.7468711686
spontaneous, well-respected: 0.0
gorgeous, inactive: -0.481852451644
gracious, typical: 0.990419837364
shitless, supplemental: -0.249075755388
frazzled, reciprocal: 0.015013724703
newest, refreshing: 1.69392399182
economic, slight: 0.562224622539
marty, modest: -0.166115692495
ju, occupied: -0.965419848558
induced, non-exclusive: 0.0
bolder, lucrative: 1.3597895546
rehearse, someday: 0.284689637757
acute, nigh: 0.28801744429
constructed, routine: -0.45658314128
defenceless, random: 0.0
callous, professionally: 0.526958079755
handy, troubling: 1.56905756319
acclaimed, naive: 0.064734826122
meaningful, misleading: 1.69457517202
represented, tighter: -0.776297371036
antiquated, audience: 0.348255294245
fresh, partial: 0.852999558198
added, herein: -0.25303188622
built, monumental: 0.817654241741
discrete, received: 0.198136715056
grand, underprivileged: 0.67593195931
griet, northern: 0.0
social, standardized: 0.426551783595
speaking, swifter: -0.080340964657
evident, reimbursable: 0.584940717746
personally, representativeness: 0.561603963454
double, ready: 0.525215422894
objectionable, topic: 2.5836861231
graver, handy: 0.143672986862
clean, school: 0.623576286274
disconcerting, vice-chair: 0.0
soaked, unaffordable: 0.88519590933
commenced, growing: 0.159704891402
cinematography, designated: -0.241819132162
cleverer, depraved: 1.62289127767
non-self-executing, straightaway: 0.0
double, scarlett: 0.171109920397
daily, unwarranted: 0.859500888839
easier, first-rate: 0.0
defenceless, published: 0.0
ridiculus, uneasy: 0.364508001022
extraordinary, understood: 1.0555691707
win, wonderful: 1.04530263006
emerging, vocational: 0.096108371988
-good, extensible: 0.0
staff, untapped: -0.172974041431
braver, princess: 0.993801320722
earliest, nothing: 0.402655931246
breathe, wacky: -0.112973212962
braver, unemployed: 0.670724707364
costlier, exaggerated: 1.1067427646
faint, medium: 0.634454797037
non-toxic, overloaded: 0.0
drenched, thereto: 0.148764785715
annoyed, huh: 1.49935918697
educational, excluded: 0.42730828063
self-serving, suited: 0.0
associated, interoperable: 0.247045981738
do-able, unanimously: 0.0
executed, genuine: 0.260107027533
destitute, impenetrable: 1.51080415474
attention, shortly: 0.504572371853
full, legendary: 0.635994742631
at, removed: 0.288784933517
fiine, intricate: 0.0
inadvisable, specify: 1.4294174324
prestigious, reachable: 0.50796433677
outermost, upfront: -0.471310132953
nasty, pending: 0.19969272921
indispensible, unclear: 1.22198356929
easiest, quiet: 0.652563295073
authentic, brittle: 0.635600604333
multidimensional, small-time: 0.0
fruitful, hasty: 1.74896050849
nonsensical, that: 0.693553911788
potent, unbalanced: 1.92146267525
linked, sultry: 0.14440664309
hiv-infected, other: 0.0
ensuring, multidimensional: 0.312136036912
hard-pressed, impartial: 0.0
her, used: 0.117097462301
education, proscribed: 0.491229271277
rock-hard, undignified: 0.0
omnibus, slightly: 0.43887423294
grieved, unspecified: 0.287336768923
highest, wretched: 0.768700655374
dependent, dissimilar: 1.86054391064
clara, often: 0.114035606333
filed, staff: 0.198232222009
bad, hooked: 0.955835488277
creditable, thrilled: 1.24615980525
thoughtful, tied: -0.410613274118
fools, snarky: 3.00842803883
garbled, unknown: 1.38590371466
homesick, ineffectual: 0.931804982138
rash, received: 0.705663268575
prior, tenuous: 0.327405853624
discernible, legal: 0.634622627476
disposal, thoroughly: 1.04311960649
best, vibrant: 1.21614644064
naturally, sure: 1.23467221062
asian, treacherous: 0.276432843432
cool, good-iooking: 0.0
righteous, withdrawn: -0.334321477576
interim, wierd: -0.569336149553
constituted, holistic: 1.09808261324
enough, unemployed: 0.6838647352
elevated, provision: 0.121643496288
careful, improving: 0.801215583262
nifty, northeastern: -0.411937445318
forthwith, scientifically: 0.716312150634
acceding, gay: 0.189002204666
enlarged, homesick: -0.040017266094
particular, preferred: 1.1531385222
adulthood, deadly: 0.728324870526
lonely, mad: 2.55010335218
cuter, stuffed: 2.49172282225
part, superior: -0.124942250183
multi-disciplinary, unethical: 0.0
america, first-rate: 0.0
mature, vulnerable: 2.23536410837
counter, off-the-record: 0.0
additionally, legendary: -0.320702297589
expensive, innocuous: 1.66658687965
precarious, worthwhile: 0.913563617572
bygones, psychotic: 0.556729049868
executory, removed: 1.47579668295
19, pissed: 0.0
princess, rock: 1.23733039988
application, desperate: -0.162774511349
manifold, pitch-black: 0.0
killed, likable: 0.823371011425
growin, upper: 0.116950948272
overall, relieved: 0.676265095027
insane, published: 0.07739261276
confident, single: 0.036173911393
extirpated, together: 0.187086075048
daunting, reciprocal: -0.132461151361
confrontational, self-employed: 0.0
broadest, dormant: -0.044774385864
confused, extraneous: 1.17189072307
legendary, understood: 0.374819789314
across-the-board, astute: 0.0
insignificant, mum: 0.604045266201
prevailing, tiresome: 0.481807068653
addictive, fine: 0.904975714439
filthy, finest: 1.67540714989
cute, heart-warming: 0.0
cuter, unnecessary: 0.236430292739
delicious, irritating: 1.71221353841
accepted, happening: 0.464035447782
delusional, expedited: 0.080758113127
distant, unquestionable: 0.580220910799
long-range, refreshing: 0.0
defenseless, progressive: 0.386850935633
adamant, comforting: 1.06617503895
fledged, user-friendly: 0.0
lazy, responsibility: 1.04911810573
consistent, start: 0.728474948892
leave, suicidal: 1.04600458393
dandy, exquisite: 2.08829686813
co-funded, omnibus: 0.0
good-natured, probable: 0.0
democratic, proscribed: 2.01669319473
improved, sporadic: 1.54496550947
full, rank: 0.409490250801
asian, mid-sized: 0.0
italian, specify: -0.326626415829
odious, southeast: 0.285021004715
multifocal, original: 0.313249280058
reality, wierd: 1.54316999126
previous, purer: 0.733347240971
routine, touching: 1.03281958352
memorable, welcome: 1.11417766889
non-binding, unconscionable: 0.0
grouchy, inconsiderable: 1.2681352478
curious, scant: 1.233699521
innovative, mechanical: 0.848919272224
me, older: 1.26993761873
ready, shorty: 1.00714264139
special, underdeveloped: 0.524540930973
multifocal, newest: 0.042812402587
advantaged, cabbage: 0.538295639045
abolished, empty: 1.61208788531
certifiable, loco: 1.643455482
adverse, expeditious: 1.9990458283
superfluous, unpredictable: 1.17028118736
juicy, quiet: 1.35924697374
hence, optional: 0.730656247771
afflicted, majeure: 0.055239619682
accomplished, prompt: 0.365281129093
impressed, useful: 1.49852058478
treasured, unlucky: 1.61942125399
delicate, systematic: 0.88935825584
homesick, unspeakable: 1.24465864957
unlimited, whilst: 0.291672608785
assured, self-sustaining: 0.0
formal, unaltered: 0.924374491689
faster, little: 1.73902772178
open-minded, subtle: 0.0
exhaustive, re-appointed: 0.0
turned, unquestionable: 0.516536514105
elementary, provisional: -0.067828170696
legendary, negligible: 0.233236182978
simillar, wasted: 0.07694285749
costeffective, well-formed: 0.0
cozy, uniformed: 0.221249678118
sloppy, tailor-made: 0.0
public, well-received: 0.0
awestruck, north-west: 0.0
bone-dry, toast: 0.0
co-operate, payable: 0.0
meticulous, nifty: 1.30767475217
comprehensively, constrained: 0.420203536136
crazed, various: 0.190827864049
free, somewhere: 0.508144080869
surprising, weaker: 1.31483679549
slick, spoilt: 0.0
reaching, tense: 0.532605576251
interoperable, user-friendly: 0.0
coarser, deliberately: 0.493492849306
first, hot: 0.55937976848
balanced, twice: 0.529842730816
state-owned, subsidized: 0.0
paramount, sincerely: 1.51041200343
stepped-up, underpaid: 0.0
conscientious, productive: 3.01496309366
matched, unreasonable: 0.920469247665
somewhere, unspoiled: 1.72699664501
by, korea: -0.117936961774
elle, responsibility: -0.909291080365
occurring, uninsured: 1.0625395919
monitored, strongly: 0.625677578455
first-hand, kind: 0.0
move, non: 0.073168907452
circumneutral, egotistical: 0.0
delineated, noted: 1.69335334283
better-quality, momentary: 0.0
!, non-compensatory: 0
loose, remediated: 0.190440279422
doing, state-owned: 0.0
government-owned, it: 0.0
acclaimed, linked: 0.868834565296
being, manifold: 0.462833564789
fabulous, hearty: 2.36475968828
overemotional, sober: 2.50557606521
broad-based, transparent: 0.0
hooked, reciprocal: -0.350788307458
short, short-lived: 0.0
infamous, optimum: 0.120770083423
annulled, roll: 0.643951504184
etc, phony: 0.906961505427
discernible, safer: 0.35238265567
someday, structured: 0.0696828231
all-encompassing, degraded: 0.0
imprecise, rooted: 1.73659598534
developed, ignored: 0.565042538339
disabled, shortest: -0.155601966525
majeure, soon: -0.00896281139
further, loving: -0.001471215388
filthy, jolly: 1.50511641468
ubiquitous, unemployed: 0.130543253065
agreeable, opposed: 1.66192794608
long-range, unofficial: 0.0
milder, severely: 1.31022200295
frequent, impoverished: 1.20010795829
a, revised: 0.0
intriguing, soft: 0.464930631055
steep, unpublished: 0.152652014883
weird, well-filled: 0.0
unequivocal, worrying: 1.0973437534
good-looking, resilient: 0.0
babe, informed: -0.10301394238
cozy, rarely: 0.92184234457
developed, embedded: 1.68658742116
question, terrifying: 0.773023750094
fast-growing, world-wide: 0
depressed, innumerable: 0.047899387236
enabled, fewer: 0.45839736163
overripe, usually: 1.23481412146
between, elite: 0.290898021551
astounded, simplest: 0.221105247324
processing, smarter: 0.387292757754
foremost, prominent: 2.48161241818
either, remote: 0.81017715757
cost-effective, east: 0.0
hostile, significant: 1.01043282645
long-term, unprecedented: 0.0
round, welcoming: 0.426575932064
soaring, warmest: 1.75013249308
eligible, oriental: -0.941084850872
agile, twisted: 1.52355917183
spoilt, stocky: 0.0
clinically, safer: 0.640267992297
uniform, worst: 0.853226934662
immature, reasonable: 1.39897666144
dead-on, issue: 0.0
comin, updated: 1.67138789795
aging, unpopular: 1.18295539107
completely, for: 0.290142965957
disclosed, severely: 0.825234442357
displaced, neurotic: 0.754890499564
onboard, wierd: 0.90266261978
needless, reachable: 0.012063390539
confusing, quoted: -0.309428735558
booked, fuckin: 1.31170451245
exceptional, vague: -0.115643533427
hasty, little: 1.3560987981
impeccable, vacant: -0.081616842413
gloomy, rife: 1.43084803071
deep-rooted, determinative: 0.0
informative, real: 0.66960231234
broad, inadequate: 1.04374933884
considerable, random: 0.262821712117
pluralistic, profitable: 1.0591765563
convenient, reimbursable: 1.84420274488
archaic, spicy: 0.563746200573
deliberately, enduring: -0.270166777766
pro-choice, restored: 0.0
inconceivable, stillborn: 2.31293664268
heavy-handed, ugly: 0.0
scattered, wider: 0.857851318387
feasible, treated: 0.514709073959
inconceivable, statewide: 0.27924346891
hurtin, induced: 0.931742694446
brilliant, idiot: 1.83632708925
naturalistic, southeastern: 0.360893400922
apposite, unambiguous: 3.56964905103
consultation, wrecked: -0.281833373508
one-sided, silent: 0.0
dre, earliest: -0.496478531201
adaptive, stronger: 1.38856849638
spaced, undecided: 0.664866106876
inaudible, statutory: 1.32340916691
axiomatic, dummy: 0.692739360647
feasible, stir-crazy: 0.0
ignorant, straightaway: 0.030051930548
concerted, overall: 0.385768787433
ju, surprised: -0.374732930896
fatter, medical: 0.593872543285
senseless, viable: 1.16063940379
rebatable, received: 0.0
presented, relentless: -0.295854895557
overambitious, stupider: 2.35200594538
degrading, free-standing: 0.0
north, spooky: 0.69799754382
further, prestigious: 0.109354113423
high-cost, preceding: 0.0
divided, prouder: 0.579052370273
redundant, shot: 0.125806721304
afflicted, complete: 0.608177669695
harsh, long-lasting: 0.0
priceless, that: 0.428411515084
polite, transitional: 0.205314808593
available, ecstatic: 0.293856143559
analogous, broader-based: 0.0
fiine, pointless: 0.0
done, unnatural: 0.719311446527
slight, stupide: 0.0
chloe, impulsive: 0.463413296201
cuter, latter: 0.399023729409
convincing, something: 0.686937754031
formidable, liberal: 0.899747203035
medium, satisfactory: 0.968244425243
fast-growing, unqualified: 0.0
go, lesser: 0.592960640163
out, unwell: 0.500243288197
nut, self-aware: 0.0
enormous, static: 0.642017030579
ignored, science-based: 0.0
cardinal, well-maintained: 0.0
astounded, inclusive: -0.158973885102
contaminated, ethical: 1.62716204371
cloudy, peripheral: 0.381641160003
instrumental, opportune: 1.73787034501
export-ready, traffic: 0.0
arguable, idiot: 1.22409727256
rusty, stopped: 1.23845579547
furious, professional: 0.187344509105
excluded, resolute: -0.303456685098
non-self-executing, prohibitive: 0.0
factored, killed: 0.394650030267
immature, incorrect: 2.27440597223
free-of-charge, goofy: 0.0
amusing, panicky: 1.72124949612
based, unanimously: 0.605909909295
fragmented, late: 0.246524594354
countless, prompt: 0.404867027934
insolent, unrestricted: 0.627189537099
current, straightaway: 0.369518747193
panicked, reciprocal: 0.514705441554
bored, mental: 1.44658587901
late, moody: 0.504528066138
brisk, sound: 0.594626944077
end-to-end, state-owned: 0
geographic, user-defined: 0.0
imrtant, staff: 0.0
burned, question: 0.729251355423
fast-growing, nouveau: 0.0
absolute, anymore: 1.48583926812
foremost, reinforcing: 1.20624237414
new, well-written: 0.0
fearless, informal: 0.299215124061
exciting, meager: -0.303801003604
multi-layered, watchful: 0.0
conscientious, first-rate: 0.0
fresh, untraceable: 0.654074160961
general, know: 0.507543909805
boring, eager: 0.908044127292
shit, trusted: 0.560021873982
diminished, wrecked: 2.10178318864
incredible, intense: 2.28223237052
helpless, underlying: 0.041610491146
cherry, equitable: 0.445296587767
gratuitous, open-minded: 0.0
arranged, rescinded: 1.23427059181
adversarial, proportionate: 1.74537060705
processing, safe: 0.090976432208
declared, unknown: 0.75740134506
luck, there: 1.08051725764
disturbed, striking: 1.12609678116
back, helpless: 0.811109821387
old-fashioned, open-ended: 0
bureaucratic, handy: 0.224026475035
non-exclusive, physical: 0.0
authoritative, bottled: 0.650123785992
below, six-year: 0.0
extinct, flagrant: 0.704610365907
max, picky: 1.91624337164
hearty, merely: 1.00388844307
accessible, initially: 0.173388362122
simplified, urgent: 0.609653927158
expressly, immature: 0.615588602513
female, go: 0.023677094806
amusing, priceless: 2.2572785004
gloomy, hideous: 2.24440794976
chloe, clearly: 0.17032419218
butthead, treacherous: 0.883894909211
encouraged, long-lived: 0.0
classified, friends: 0.188724143412
unconscionable, unlocked: 1.14849951234
defined, visual: 1.28046692331
drawn-out, just: 0.0
dynamite, pro-active: 0.0
safer, viewable: 1.44341546564
cultural, hope: 0.833398243681
catastrophic, onboard: 0.530495021116
characteristic, herein: 0.88215604217
ioaded, represented: 0.0
ecological, infuriating: 0.113565197432
beneficial, sublime: 0.060963797639
merry, probable: 0.417382432739
abysmal, conspicuous: 1.66406986717
irreconcilable, junior: 0.311355930903
multi-disciplinary, younger: 0.0
compliant, rarest: -0.171513301012
illicit, less-favoured: 0.0
astounding, somewhere: 0.645349608722
spontaneous, wide-ranging: 0.0
afresh, marvelous: 1.16932426914
absolute, feasible: 0.46933613722
explicit, managed: -0.032372696452
defensible, stark: 1.68436202749
constrained, undetectable: 0.960992196438
debatable, petrified: 0.632826694829
customary, unremarkable: 1.63531040356
aggravated, multicultural: 0.148677899462
similarly, tense: 0.344022973112
terrifying, uptown: 0.600758160495
certain, faulty: 0.926442818615
ended, registered: 1.07660133822
neurotic, real: 0.960289762883
re-established, secret: 0.0
dead-on, rich: 0.0
comercial, well-tolerated: 0.0
reaily, unpleasant: 0.0
funnier, impressive: 0.987207197656
complacent, minor: 0.702630898703
better-quality, school: 0.0
feasible, premature: 2.60920977509
rogue, simplified: 0.648457454435
profitable, routine: 0.344873176056
antiquated, ourselves: 0.763551403658
accessed, excessive: 0.061451267921
affordable, detrimental: 0.875652593074
competent, needed: 1.62005426138
clinically, coherent: 1.51875669979
asshole, intrusive: 1.80865318408
cheapest, pristine: 2.03891933346
inoffensive, lunatic: 2.22801524481
admiral, scant: 0.384844738254
america, doable: -0.873274660769
associated, sunnier: -0.210590618121
corrupt, know: 0.840642534768
fullest, unlimited: 2.00246211802
brittle, sacred: 1.11564434673
ioaded, primary: 0.0
gutsy, pragmatic: 2.50386671961
grouchy, impracticable: 1.26166240521
finite, kidding: 1.33618353796
