long-lived, reaily: 0
concerned, rusted: 0.895218801007
gross, secondary: 0.480562059565
immaculate, rarely: 1.46270729459
life-long, primarily: 0.0
reaily, well-filled: 0
do-able, explosive: 0.0
immersive, irritable: 2.08543683409
born, stumpy: 0.55892331089
ourselves, tenable: 1.46316282559
eccentric, world-wide: 0.0
misleading, near: -0.034692876487
less-favoured, traffic: 0.0
divine, sudden: 1.54774217157
mimi, supplied: -0.293806259107
fatal, goodto: 0.0
drunken, secure: -0.113128847127
nice-looking, overly-high: 0
fatal, unusual: 1.59782286792
self-serving, sixteen: 0.0
collective, preponderant: 1.47565117407
formally, interwoven: -0.244257925943
complements, vast: 0.880164883662
basic, puzzling: 1.37500233277
passionate, unscathed: 0.101012114695
goofy, tolerable: 1.92337935879
facilitated, home: -0.07236896219
delayed, miserable: 0.885404970817
inquisitive, suspect: 0.984748232324
emblematic, unsettled: 1.62769341132
insincere, toxic: 1.02777142983
pitch-dark, sound: 0.0
jolly, personally: 0.378168787698
accessed, effortless: 0.891151609816
spatially, unremarkable: 1.21458494475
added, precisely: 0.402668326045
oversensitive, simply: 1.12375074624
concluded, peachy: -0.225730525674
objectionable, scattered: 1.36058951913
accustomed, degraded: 1.2590015551
apparent, biased: 0.197640162668
bitter, odd: 1.36473701145
displaced, loose: 0.431101222842
existing, merry: -0.587688542108
compatible, non: 0.634189749281
ambitious, flexibility: 0.411950183034
extreme, immature: 1.66871701054
filthy, unprecedented: 0.637289027804
practical, thorough: 2.11640255961
unknown, variable: 1.59311343142
expandable, mindful: -0.13859862886
abused, pleased: 0.151869722019
slower, wait: 1.81909885726
accelerating, vacant: 0.000209550735
long-winded, peaceful: 0.0
long-winded, satisfactory: 0.0
coast, emerging: 0.509292193767
compatible, false: 1.00930534187
legitimate, shiny: 0.298081798978
atrocious, partial: 0.432310264232
past, yet: 0.696724364413
ancient, change: 0.457570731485
pro-active, yummy: 0.0
-sorry, scandalous: 0.0
all, sweeter: 0.333398957468
alarmed, baby-sitting: 0.0
contemptible, often: 0.933805268023
complacent, sir: 1.58645732019
strengthened, succinct: -0.208294020297
fullest, treatable: 0.884333796781
righteous, therefore: 1.04022999799
dumb, useless: 3.42551935163
complicated, touchy: 4.20919089489
ggood, unsanitary: 0.0
apt, balanced: 0.828044718768
engagement, harmonised: 0.0
doubled, dynamic: 0.324137154133
formerly, stylish: 0.195101897705
assured, self-sustained: 0.0
nationwide, scarlett: -0.042338201821
apparent, dickish: 0.566145930634
etc, visibility: 0.910318694774
amiss, unequivocal: 1.23651828726
blatant, ghastly: 2.59776557101
pristine, west: 0.786487150289
enchanting, justifiable: 0.327375957213
best, unmistakable: 0.089670162063
ma, terminated: -0.19645027343
fourteen, likable: 0.147693243501
awake, mid-sized: 0.0
costlier, work: 0.181254644045
cleaner, nathan: 0.666311452922
irritating, underway: -0.099634697923
even, truer: 1.42501003758
able, debate: -0.091739635477
compliant, reasonnable: 0.0
displeased, proficient: 1.65692016384
flattered, terminated: 0.692102266996
abhorrent, exponential: 1.30328719974
busted, enlarged: 0.569114313879
change, listed: 0.160504718376
geek, valued: 0.541537945912
non-partisan, patentable: 0.0
controversial, flexibly: -0.1656688271
lofty, uninsured: 1.02973899757
endearing, warmth: 3.36636547105
customary, griet: 0.0
considerable, handed: -0.172778725418
nascent, unfair: 0.376710018
ephemeral, riveting: 2.27480070968
different, thicker: 1.84130000978
fraudulent, professional: 0.582979145097
developed, erected: 2.03787532861
asked, fearless: 0.497341077317
doubtful, kane: -0.035742766501
fuller, two-: 0.0
imperfect, overkill: 1.98521975607
breathtaking, refreshing: 3.12475661634
iate, well-educated: 0
dead-on, wished: 0.0
additional, pleasant: -0.242166170544
transitory, urgently: 0.465861943911
longitude, ravenous: 0.46150997964
provisional, wonderfui: 0.0
commenced, contentious: 0.529435085344
gay, unanimous: 1.17236552195
fewer, requested: 0.027012702894
peachy, unsuitable: 0.953893247839
omnibus, realist: -0.073887854526
constituted, marty: -0.213157179201
circumneutral, screwed: 0.0
lethal, underfunded: 0.764468655086
across-the-board, quality: 0.0
fiercer, refrigerated: 0.318147043
positioned, results-oriented: 0.0
bare, threaded: 0.931648555641
additional, unnerving: 0.353350270851
excluded, varied: 1.47532242035
readyto, soaring: 0.420661368625
simpler, welcoming: 0.778165644604
key, tighter: 1.09850450154
aggressive, distraught: 1.20860102163
favourable, well-structured: 0
net, weary: 0.060684369249
indefensible, provided: -0.335702124673
commitment, inconsequential: -0.474920915186
full, require: 0.956538486196
southeast, work: 0.335176720655
icy, prudent: 0.867564708774
remarkable, scheduled: 0.20833709311
elongated, european: 0.246112870911
high-cost, weird: 0.0
aging, pitch-black: 0.0
evil, solemn: 1.82669855539
atrocious, unoccupied: 0.871717658683
fast, psychological: -0.704854711851
case, polluting: 0.280199380213
alternate, move: 0.540099874715
apace, long-lasting: 0.0
cold-rolled, found: 0.0
cancelled, shiny: 0.0
breathe, foolproof: -0.267648285162
dangerous, representativeness: -0.017273876474
fantastic, transparency: 0.109671717119
cohesive, few: 0.400446394966
disingenuous, non-transparent: 0.0
highest, rugged: 0.703963288618
psychological, results-oriented: 0.0
relentless, thin-skinned: 0.0
atrocious, treaty: 0.160289192074
existing, few: 0.1775042365
tall, thanks: -0.072322007706
indispensible, snug: 1.36614213765
harsh, official: 0.531925900524
recurring, tardy: 0.576380717306
terrible, well-organized: 0.0
independent, ridiculous: 0.244884525886
lighter, patent: -0.46307450184
exponential, loco: -0.27076712843
dreadful, get: 0.389433101145
pleasant, troubling: 1.79879764256
underdeveloped, unhealthy: 2.3479628436
juvenile, upstanding: 1.15506565662
biggest, mieux: -0.044000275071
susceptible, widespread: 2.96110463935
self-executing, unfettered: 0.0
tenacious, trivial: -0.209500674025
informed, parched: -0.359094951152
addition, personally: 0.493539969509
at, hurry: 0.38532284371
corny, nice: 3.42099605846
accurate, mind-boggling: 0.0
african, illiquid: 0.474231672166
muted, scary: 1.35637169954
efficient, untenable: 1.39371267943
authorized, focussed: 0.489431277638
opening, renowned: 0.658486308417
democratic, overall: 0.027972212574
infallible, second: 0.100336442644
ail, recently: -0.241688035759
fuckin, straightforward: 0.404280953937
heart-warming, hurting: 0.0
blessed, competent: 1.76700771461
longitude, trashed: -0.268035173868
deader, efficacy: -0.025235880242
absent-minded, visible: 0.0
these, warmest: 0.372697897744
cleanest, friends: 0.52447409469
arranged, soon: 0.097106926947
dependable, hereby: 0.399328787197
believable, ongoing: 0.134826059803
inspirational, stranger: 0.836711761773
bastard, thought-out: 0.0
ma, upper: -0.322545991768
professionally, restricted: 0.018663923946
heavier, reduced: 2.12146309083
dorky, ioaded: 0.0
richer, specifically: 0.005717204332
enlightening, frightened: 0.971026547596
articulated, petrified: 0.400609030742
blank, personal: 1.02353733193
abolished, lifelong: 0.185712300439
fuller, intermediate: 0.562980347204
cabbage, respectful: 0.525298813001
efficient, endearing: 1.20824385006
eventually, sponsored: 0.371770968839
longitude, sixth: 1.67093600183
shitless, transient: -0.179617634579
immoral, left: 0.15902175202
described, prompt: 0.666696943581
accessed, prestigious: 0.977639993087
creepy, intended: 0.420096287247
actual, violated: 0.381087229855
coast, today: 0.368032259848
educated, petrified: 1.21346183252
hiv, nearby: -0.10459360838
accessible, multi-disciplinary: 0.0
darkest, ecstatic: 0.314756726863
carefully, explosive: 1.37583729172
exceptional, natural: 1.70832344009
unlawful, various: 0.737110682479
fucking, risky: 0.230162853674
clare, improbable: 0.043214064641
louder, purer: 3.21703660486
foolproof, testy: -0.002587531445
non-compliant, undisturbed: 0.0
consistent, disposal: 0.631365007874
pre-established, primordial: 0.0
hardworking, multi-faceted: 0.0
high-quality, stupid-looking: 0
butthead, disgusting: 2.07395241282
associated, indigent: 0.253990319364
enhancing, ruined: 1.20119854117
in-house, scheduled: 0.0
functionally, kinky: 1.19055926472
anonymous, generalised: 0.0
sentient, unpleasant: 1.68077084726
complementary, overly-high: 0.0
dope, picky: 1.12813513182
3rd, receptive: -0.268953971881
antsy, flame-retardant: 0.0
mean, preoccupied: 0.980605055814
insecure, quickly: 0.411541298533
cardinal, hardworking: 0.259011749851
built-in, usually: 0.0
either, really: 1.0888938477
doin, industrialised: 0.0
south, substantial: 0.476043885687
classified, whar: 0.0
discrete, witty: 0.812440774246
whole, willing: 0.587139549759
elongated, pointless: 1.81813699084
flawless, inspiring: 1.706873527
non-self-executing, transient: 0.0
alive, pleasant: 0.911396802163
novel, precarious: 0.146618486465
close, fucked: 0.194721357643
afterwards, precisely: 0.744484087197
goal-oriented, insulting: 0.0
grown, inclusive: 0.527952837742
beter, disoriented: -0.253416181665
brightest, pending: -0.566130147689
enthusiastic, master: 0.735899965307
paradoxical, unwelcome: 2.05119323225
delay, upset: 1.63719327956
tiny, yearly: 0.848590113894
drastic, psychological: 1.36130775663
ashamed, facilitated: 0.475636691107
innumerable, nathan: 0.823699852179
discreet, squeamish: 2.68405386708
disoriented, fruitless: 1.94637587932
judicious, kiddo: 1.64631467976
groundless, upper: -0.401751275629
comprende, disparate: -0.031406089329
commenced, economically: -0.05489733961
awesome, bleak: 1.19209098126
thick, unused: 0.151569255541
overemotional, sweeter: 1.70436702302
cleaner, vis-: 0.0
enraged, gruesome: 2.46501916598
ironic, pre-published: 0.0
larger, unsolved: 0.261626997111
inconspicuous, well-organised: 0.0
heinous, wet: 0.751390722193
non-competitive, per: 0.0
distraught, rusty: 2.82986628313
continued, hurt: 0.90629207041
co-financed, sacrilegious: 0.0
higher, okey: 0.121886424646
received, slim: -0.336264074509
intermediate, pitiable: -0.018800989875
potent, uptown: -0.172516231416
consequential, ready: -0.099002929507
education, science-based: 0.0
non-existent, one-sidedly: 0
ended, recurrent: 0.872452655147
fragile, overly-high: 0.0
elaborate, palpable: 0.169121804886
divergent, obnoxious: 1.2976592296
admissible, hiv-infected: 0.0
binding, topic: 0.526441143844
elegant, senior: 0.194460535719
mideast, slightly: -0.03594738915
cleared, righteousness: 0.482048290167
choosy, cumbersome: 2.23399188427
interest, refundable: 1.72631927217
darkest, dreadful: 3.13209100116
-lncredible, poverty-stricken: 0
black, cancelled: 0.0
exciting, mixed: 0.878428950276
korean, unharmed: -0.392010396597
embarrassing, passionate: 0.733440208378
appreciable, sized: 0.480659182152
fearless, fraudulent: 0.234842991564
hands-on, legit: 0.0
clare, highest: 0.290798133866
implausible, well-structured: 0.0
complacent, two-pronged: 0.0
bothersome, graceful: 1.02887243375
good-looking, self-serving: 0
right-handed, unfriendly: 0.0
explained, intimate: 0.396633517887
inaudible, permitted: 0.790614130325
moister, neurotic: 2.31053848071
enhancing, innocents: 0.441855424548
something, susceptible: 0.577059668834
insurmountable, intertwined: 2.02460215992
helpful, rank: 0.350434517688
arbitrary, darn: 1.34131927221
by, intractable: -0.063306343847
chaotic, lye: 0.886482319191
unseen, wealthiest: 0.708612615845
frustrating, loaded: 0.698193555319
beautiful, worthless: 1.00953000508
defunct, unendurable: 0.114515706628
babe, largely: -0.261543101304
gay, you: 0.992477532863
characteristic, ignorant: 0.82460652026
eleven, fastest: 0.958248355424
gravest, raison: 1.50235080055
centralized, ingrained: 1.71531170502
flaccid, intensive: 0.660408052661
relieved, skilful: 0.400883725131
issue, weighted: 0.01840964939
cinematography, rife: 0.608831683982
shorty, tougher: 0.836794732867
fun, momentary: 0.730828198534
okay, sober: 1.85448108129
inter-linked, repugnant: 0.0
contrary, elected: 0.917184914064
tough, uncompetitive: 2.07614663171
fragmented, loving: 0.657575559458
sane, unprotected: 1.00552817938
discernible, weaker: 1.64890236882
darkest, il: 0.162534026901
cher, chilly: -0.147982988272
specify, sugary: 0.257560536342
founded, improper: 0.070655086768
luminous, suspicious: 1.52342496866
lit, respendable: 0.0
financed, korean: 0.052437091767
lame, nauseous: 2.91372413507
panicky, proper: 0.769516413669
flammable, insupportable: 1.0155620028
narrower, provided: 0.099651016903
anonymous, brain-dead: 0.0
agreed-upon, earlier: 0.0
cleanest, thanan: 0.0
demanding, furious: 2.67409725491
fucked-up, special: 0.0
new, stubborn: 0.08250046388
affixed, unlikely: 0.446212835246
mainly, open: 0.308486710586
complicated, supra: 1.2699082196
adverse, inter-connected: 0.0
energetic, realisable: 0.0
abusive, pending: 0.781281659732
monumental, notable: 3.00344335129
dead, solidarity: 0.488600437729
determinative, substantive: 3.06922769501
former, lengthier: 0.189427764876
affixed, righteous: 0.90957050085
called, someday: 0.429169752344
endangered, wider: 0.581852799424
state-of-the-art, weii: 0
try, widespread: 0.059156845178
structured, useless: 0.486211074186
discriminatory, heinous: 2.81920147233
formally, non-competitive: 0.0
benign, southeast: 0.169865029757
immaculate, receivable: 0.643447873666
amusing, expandable: 1.15866261938
cheesy, victorious: 0.271000631343
perplexing, probable: 1.69559468874
elaborate, traditional: 1.9140714283
berserk, speedy: 0.285032146717
compensable, safest: 1.28453268213
audience, partial: -0.509610342211
enchanting, flourishing: 1.78683118433
lower, underway: 0.173853280717
productive, well-informed: 0.0
invaluable, stagnant: 0.362241025751
endangered, requests: 0.340382959627
ever-increasing, stepped-up: 0
insane, insufferable: 3.72496282307
vigorous, warmest: 1.02637122624
disappointing, high: 1.30789016162
leveraged, welcoming: -0.473026307127
checked, debated: 1.71388040412
disquieting, palatable: 2.46789971132
mightier, pitch-dark: 0.0
populated, prominent: 1.69605095823
flush, quality: 0.404384815724
appreciable, potential: 1.20052534088
cold, fifty: 0.250987220327
limber, panicked: 0.961621979871
fast-switched, wholesome: 0.0
just, reciprocal: 0.093608997697
madness, non-exhaustive: 0.0
asking, preponderant: -0.308136076623
nice-looking, thankful: 0.0
favorable, nosy: 0.09725155799
also, wholesome: 0.2205405037
forward-looking, well-targeted: 0
herein, prerequisite: 1.48570028846
apace, firm: 0.84865074121
re-appointed, wide: 0.0
favorite, unexceptable: 0.0
mutual, obliged: 1.48560326665
amended, remarkable: -0.478796692938
funky, indecent: 1.10234764765
growin, similarly: -0.445480141339
together, uppermost: 0.345459963228
complex, objective: 0.369267856451
diverse, regularly: 0.849441945692
optimistic, receptive: 4.486363468
disorientated, perpendicular: 2.23992480195
human, mighty: 0.69787329277
sizable, vocational: -0.081574714896
applicable, in-flight: 0.0
moister, resolved: 0.841578514588
policy, vigilant: 1.63118143832
objectionable, snug: 0.968999014868
mistaken, opening-up: 0.0
disappointed, kosher: 0.860077472906
dependable, dubious: 0.86970764533
low-skilled, u.s.: 0
flaccid, non-compensatory: 0.0
certain, emotive: 0.988346046513
leading, low: 0.278995714965
restful, vested: 0.447136029272
results-oriented, well: 0.0
broke, shoot: 1.37996617473
blind, trite: 0.556246872124
born, cruel: 1.27167816512
house-trained, known: 0.0
lukewarm, written: 0.844686876679
bogus, mechanical: 0.663636011903
right-handed, unemployed: 0.0
real, unworkable: 0.630912540383
cher, sovereign: 0.365071919378
ourselves, quadruple: -0.056535270263
fourteen, geek: 0.458487935703
ingrained, well-filled: 0.0
gravest, sacrilegious: 1.15650439284
absurd, embedded: 0.731186764836
ridonc, twice: 0.0
believable, elite: -0.037864029452
happiest, scant: 0.114648183387
lately, weird: 2.23997485284
dressed, transient: 0.268305286754
provision, rock-solid: 0.0
advised, liberated: 0.535188061096
compassionate, unimaginable: 1.08336183938
edible, taller: 1.11989380433
all-round, decided: 0.0
accelerating, stoned: -0.062806037364
co-dependent, guaranteed: 0.0
circumspect, respectful: 4.58086052722
acknowledging, state-owned: 0.0
madness, tardy: 0.402523975378
migratory, spicy: 1.21984129539
soaring, systematic: -0.263484960979
fruitful, overt: 0.791899438807
prat, pricey: 0.791556365599
crazy, mighty: 1.29299786092
boundless, burned: 0.531592784001
agile, global: 1.39042609181
lame, shorter: 0.882538903386
deliberate, genuinely: 1.05890218412
destabilizing, restful: 1.54182685436
original, yellow: 0.620562420248
ludicrous, pretentious: 3.11970536581
independent, taller: 0.115490864152
nut, testy: 0.398610181738
impossible, larger: 0.687482896154
environmental, wrecked: 0.308427178635
pervasive, rough: 0.739852533721
find, standardized: -0.10899253632
registered, tense: 0.358344007583
direct, low-skilled: 0.0
apposite, asked: 0.681647370827
easiest, hurtin: 0.82066857359
user-defined, withdrawn: 0.0
diverse, self-conscious: 0.0
understanding, untrue: 0.159340463952
ggood, humane: 0.0
eventually, uneasy: 1.02797685372
lost, off-site: 0.0
inexplicable, mediocre: 2.58509848187
all-out, perverse: 0.0
inefficient, talkative: 0.602000795978
subtle, warmth: 2.19651314868
commenced, weighted: 0.500264159017
compensable, illustrative: 2.3256155695
down, ill-defined: 0.0
cabbage, initially: -0.193790234176
interdisciplinary, screwed: 0.025789798061
crafted, wing: 0.019941050633
about, different: 0.867418502977
dreadful, yet: 0.767620389717
harmless, unofficial: 0.682047907847
rarest, subordinate: 0.245302715336
acknowledging, dull: 0.074740805758
drunk, southwestern: 0.706737890835
belated, three: -0.039301693036
compensable, violated: 2.9557819415
amiss, faster: 1.35351999357
twisted, undisputable: 1.16658129105
cumbersome, leveraged: 0.940569736441
thorny, underfunded: 1.05899590662
internationaux, unreasonable: 0.236957915894
dorky, elongated: 1.52767470823
illustrative, policy: 0.59152123385
mid-sized, term: 0.0
reiterate, unspecified: 0.193704298179
detrimental, egocentric: 1.37251121002
obligatory, thanan: 0.0
operated, preferable: 0.904675894897
ma, to: 0.0
compassionate, skinny: 0.983998554738
commenced, gutsy: -0.35207936575
level, reliable: 0.578704448687
manufactured, trustworthy: 0.491366734485
completed, interoperable: 1.02422303708
anything, dear: 0.942479552209
nervous, puzzling: 1.38519319207
demanding, many: 0.560227624838
proportional, unfounded: 0.434350568517
iil, insulting: 0.0
acceding, executable: 0.945991880783
all-embracing, meager: 0.0
funded, latest: 0.56774262477
indigent, self-sustainable: 0.0
pitiful, third: 0.515605299284
issued, pluralistic: 0.532306690982
self-sustainable, unbalanced: 0.0
arranged, nut: 0.259596436332
depressed, following: 0.347114999876
lean, senior: 0.738497942135
dickish, fatal: 0.373288112125
donkey, infected: 0.917147659429
loveable, southeastern: -0.142893119279
free, unworkable: 0.492054540392
mieux, occurring: 0.102243108655
cool, wild: 1.98314439429
cute, forlorn: 2.88557338388
comprende, cooperative: 0.207764563651
cited, compulsory: 0.114888324274
bottled, focused: 1.38943102468
addictive, expanding: 0.782779757208
any, effectively: 0.885881509912
life-threatening, luke: 0.0
commended, underprivileged: 1.22276298551
motivated, prevalent: 1.47866525134
continued, untouched: 0.312941091663
just, prepped: 0.5602750668
hurting, set: 0.490988362691
alia, groundless: 0.041804709502
informative, two-thirds: 0.0
divine, patent: 0.228430763791
continued, priceless: 0.146841187209
hospitable, secret: 0.908566636705
berserk, frustrating: 1.16581456725
ominous, unique: 0.787509824527
emerged, phony: 0.027355232472
get, superior: 0.196157638241
restored, way: 0.237935983371
planning, singular: 0.065734590557
ju, sixth: 0.184282317565
democratic, lye: 1.75229236851
interest, older: 0.851317084669
panicky, richest: 0.311080296743
especiaily, reconcilable: 0.0
obnoxious, suddenly: 0.996507455078
dysfunctional, interlinked: 2.15382090302
functional, reduced: 0.832096925376
awestruck, dreadful: 1.26986880351
insured, restless: -0.119134826535
anymore, macabre: 0.354930069291
crippled, scared: 1.86988731866
expensive, seventh: 0.158445352566
rampant, unchangeable: 1.20972056496
firmer, under-inclusive: 0.0
dope, serious: 0.872345151587
nearly, uncontroversial: -0.041182792531
lasting, recommendable: 0.978661131404
mightier, trivial: 2.23743753393
inviolable, simply: 0.840032008711
self-sustained, topnotch: 0.0
meager, terrible: 1.59701220834
move, short-sighted: 0.0
all-inclusive, upbeat: 0.0
believable, looser: 1.38596581917
determinant, history: 1.41184961774
back, respect: 0.574374592889
able, slight: 0.944024111385
gross, slender: 0.229237924343
other, rad: 0.048421571538
riveting, unsteady: 1.4335748533
ridiculus, solid: 0.515596101937
primarily, wise: 0.913607195228
disoriented, monitored: 1.84076424485
balanced, timid: 1.5612292146
multidimensional, self-aware: 0.0
notorious, someday: 0.402611544194
nobler, resolute: 2.31964056446
partial, though: 0.717688934403
implausible, suddenly: 1.35089975898
certainly, louder: 1.03135834373
diligent, hey: 0.403751550614
improvement, narrower: 1.79825469876
arguable, secondly: 1.86602179591
jealous, traditional: -0.093813690317
bone-dry, spent: 0.0
individualized, static: 0.990183839465
informative, thick: 1.02032344596
casual, comfortable: 2.05777550325
indisposed, youngest: 1.83831328403
horrid, unproductive: 2.3304249396
fuller, volatile: 0.534197345389
deprived, fat: 0.757839997078
courteous, exquisite: 1.36231979867
derisory, opening-up: 0.0
disingenuous, loyal: 0.579737252181
case, sal: 0.259850542797
cross-border, screened: 0.0
greener, mad: 1.44276157053
apologise, refusal: 0.0
broken, insufficient: 1.30333630366
ambitious, steep: 1.17836935313
almighty, excessive: 0.967623039194
nutty, utilized: -0.321997714994
notable, thought-provoking: 0.0
miscellaneous, taller: -0.655253003242
dopey, responsibility: 0.604348510803
annually, astute: 0.325920987624
american, central: 0.370819413689
ageing, leveraged: 0.0
sudden, triple: 0.925617452812
astounded, giddy: 3.18438340934
docile, slim: 1.48709601468
burdensome, fullest: -0.359226099454
increasing, stringent: 1.60931032512
free-standing, opposed: 0.0
completed, well-treated: 0.0
cumbersome, fifty: 0.293365795785
democratic, specified: 0.311572586716
lethal, nominal: 0.443277123465
graduate, mechanical: 0.029733387345
acceded, life-long: 0.0
doin, heart-warming: 0.0
naive, three: -0.091362611687
alone, asshole: 0.512589090913
shit, superstitious: 1.11774993604
heartening, unofficial: 0.988967692969
icy, overridden: 0.438685058901
uncanny, unwholesome: 1.56970215892
double, memorable: 0.577956662541
green, overall: 0.76368651913
alternate, better-educated: 0.0
cracked, exhaustive: 0.443659550738
scientific, unlawful: 0.402859880077
cleverer, micro: 1.07731492939
differing, splendid: 0.611839320145
multi-threaded, stronger: 0.0
merry, rewarding: 1.14254457174
malicious, systematic: 1.42410615439
credible, indefensible: 1.2472408458
circumspect, snarky: 3.12634964536
lead, weird: -0.083351578248
preoccupied, roll: -0.252926209837
correctly, self-sufficiency: 0.0
ordinary, six-year: 0.0
lesser, satisfactory: 0.808646199592
environmental, hither: -0.2474349078
counter, unsuccessful: 1.25353806884
cheerful, precisely: 0.283538567667
high-quality, unworkable: 0.0
happy, responsive: 1.57789007626
disclosed, edible: 0.305913743826
feasible, screwy: 1.42212764963
boundless, supplemental: -0.16452665234
come, whassup: 0.656495947492
inconceivable, innovative: 0.147614132822
immense, practically: 1.06168212439
dense, richest: 1.07259935279
intimate, ultra-hazardous: 0.0
daily, incorrect: 0.544588862153
luck, updated: 0.586875343591
cattled, probably: 0.0
co-chair, proprietary: 0.0
startled, unprofessional: 1.76665957133
destructive, dull: 1.50623454559
frank, weird: 1.220026638
populous, safe: 0.808039687464
most, spectacular: 0.69303723551
achievable, principally: 0.258053861661
adapted, thought-provoking: 0.0
saved, well-received: 0.0
anonymous, inter-linked: 0.0
contentious, thankyou: -0.773624378779
well-represented, wrongful: 0.0
crude, outgoing: 0.602326130576
fifth, often: -0.086664140949
consultation, realizing: 0.733540202566
unprofitable, untouched: 1.8223853633
fancy, remaining: -0.123537883088
extremely, proprietary: 1.00815766604
firmer, well-written: 0.0
ever-changing, tiring: 0.0
of, unsuitable: 0.0
decent, tedious: 1.29005427355
encompassing, negligible: 0.317535551072
afraid, clearly: 1.21014946829
delineated, madness: 0.1069902751
severe, well-written: 0.0
organic, use: 0.599791179412
clean, gone: 0.483727236191
freely, unsuccessful: 0.244781650453
irritable, stunning: -0.332979801538
executed, solemn: 0.817568160619
absent-minded, unlimited: 0.0
fatter, wonderful: 0.621572454519
complementary, grown-up: 0.0
disjunct, simplified: 1.0420527054
blended, considerate: 0.810355278561
elderly, prevalent: 0.624101801931
irritating, sicker: 1.06274361631
arduous, sole: 0.190872606382
all-encompassing, visibility: 0.0
fitting, perpetual: 0.765731595814
degraded, psychogenic: 2.05519260908
sobering, updating: 0.339667031804
cautious, severely: 0.860659124879
nigeria, rock: 0.37796827873
applied, claire: 0.35014528088
competence, ioaded: 0.0
cherry, integrated: 0.523055016636
grimmer, rigid: 0.534947134777
humiliated, unfeasible: 0.545186202432
ethical, static: 0.263437429992
exponential, particularly: 0.430624508012
erroneous, sonny: 0.306359359219
attentive, too: 1.29082179635
ugly, well-reputed: 0.0
hence, state-run: 0.0
disjunct, fuckin: 0.672476614719
fast, yeah: 0.723222371778
comprehensively, nominal: -0.1617328473
alarming, off-putting: 0.0
dire, surprising: 1.7768908834
another, required: 0.379785165146
continual, happy: 0.898558995692
blank, moist: 0.410871675392
closer, favorable: 1.34635239626
immersive, shocked: 0.641346964958
pronounced, squeamish: 0.688390708858
environmental, high: 0.244363543572
complicit, cost-efficient: 0.0
lighter, unwarranted: -0.327502242034
delusional, humble: 1.67789751671
cherry, moderate: 0.724105358866
doin, welcoming: 1.4062330468
dope, hazardous: 0.832686212629
accurate, normal: 1.15062969283
given, invalid: 0.977062706773
dead, narrower: 0.036736089471
first-rate, transient: 0.0
before, unreliable: 0.255262838684
quiet, vulnerable: 0.943922465679
green, tailor-made: 0.0
generated, mighty: 0.281916694376
kane, richest: 0.061321178464
independent, school: 0.167841100266
internationaux, patronizing: 0.44257919584
criminal, mama: 0.565202684365
dull, off-the-record: 0.0
discriminate, motherfucker: 1.13872716752
hlv-positive, welcoming: 0.0
entirely, standardized: 0.719395005526
invariable, longest: 0.980410086936
leaner, to: 0.0
sore, unmistakable: 0.877491038014
2nd, environmentally-friendly: 0.0
mixed, unbalanced: 1.36146565634
enhancing, heart-warming: 0.0
competent, considerable: 0.392049629761
countless, forlorn: 1.37247265006
badly, expeditious: -0.002855683588
elected, innocents: -0.137228592473
careful, good-natured: 0.0
detrimental, incorrect: 2.65606442628
added, open-minded: 0.0
business-friendly, slippery: 0.0
by, profitability: 0.185583715713
agreed, boy: 0.180763512158
enabled, ourselves: 0.495290259159
fuckin, perplexing: 0.219403028741
crummy, spontaneous: 0.417093092338
counterproductive, married: 0.255297040117
hasty, trippy: 0.85559268874
intolerable, whilst: 0.492311788765
adequate, pitiable: 1.07461403884
false, targeted: 0.456397787799
sell, thorny: 0.595834237214
greater, time-consuming: 0.0
acceded, thrilling: -0.28653363544
either, unexpected: 0.670922393047
run, spectacular: 0.97079022308
bi-directional, unfeasible: 0.0
inexhaustible, ordinary: 1.53870299792
!, uppermost: 0.0
down, former: 0.165019851813
darn, irritating: 2.43220294469
impolite, note: 0.556315800219
pushy, thin-skinned: 0.0
healthier, nessessary: 0.0
briefly, hip: 0.778760449333
chickenshit, unique: -0.259622564125
committed, funny: 0.165211913633
rich, well-timed: 0.0
fun, smart: 2.07380312561
ingrained, profound: 2.74467166721
disposal, irate: 0.2827122731
inside, pro-choice: 0.0
capable, unanswered: 0.194355415893
conscious, thorny: 0.89311755693
copacetic, seldom: 0.432456604748
cohesive, constant: 1.25870058575
determinative, hurting: 1.10472241988
already, urgent: 0.700030348485
mid-sized, thready: 0.0
impoverished, quicker: -0.436143121504
darn, interested: 0.611171859019
linked, somewhere: 0.751546951225
perilous, prerequisite: 1.06570635518
builshit, low-skilled: 0
complex, wasted: -0.253529857158
debated, neurotic: 0.056700302278
dependent, doing: 0.820013549595
weakest, wealthy: 0.398264291032
challenging, sixteen: 0.665678318568
awaited, justification: 0.015195575801
ecologically, leaner: 1.51856502429
cheaper, high: 1.05953165316
frazzled, inside: 0.769602252499
perfect, self-evident: 0.0
horrific, pray: 2.12388981225
imperative, severely: 0.318233998804
elle, emotional: 0.811341788272
disappointed, traded: 0.852182652948
self-sufficient, unified: 0.0
dual, splendid: 0.652910831336
overheated, passionate: 1.16279820208
impatient, upper: 0.285249227402
canceled, iil: 0.0
personally, unattainable: -0.109161953826
of, represented: 0.0
nut, pure: 1.26203204232
fluid, something: 0.712864507253
nut, subsequent: 0.073231865251
hurry, overt: 0.405454184634
vigorous, weary: 1.88796823848
costly, premature: 2.07420757229
etcetera, skint: 1.19204957344
