all-important, low-skilled: 0
daily, good-natured: 0.0
complimentary, thankyou: 1.91826849362
inferior, unnerving: 1.06376468313
fierce, sedentary: 0.466109120032
advised, multicultural: -0.127062072141
neutral, predictable: 1.94272943614
bull, unaware: -0.324856331399
home, invariable: -0.083052563929
correct, permanent: 1.10442824469
dorky, elsewhere: -0.083138066238
met, surrounded: 1.64604456625
nothingg, task-oriented: 0
curious, huh: 2.18400782301
nearly, sociable: -0.178127843525
crystal-clear, industrial: 0.0
efficient, starker: 0.816435162285
effective, motivated: 1.17679790127
granted, prat: 0.474958863669
free-standing, practice-oriented: 0
sombre, sponsored: -0.212381621648
large-scale, south: 0.0
european, well-balanced: 0.0
counterproductive, normal: 1.29047360795
acknowledging, harsh: 0.991763967698
ignorant, ominous: 1.33476792587
hairy, painful: 2.41547379009
academic, now: 0.218277005024
primarily, usual: 1.22241410574
scary, unforeseeable: 2.01710607136
fanta, mental: 0.203079532977
allowable, captain: 0.062828621644
dummy, duty-bound: 0.0
consideration, ma: -0.092415231387
seamless, then: 0.231209699964
eighth, surrounded: 0.108385249906
generous, off-the-record: 0.0
filthy, free-standing: 0.0
astonishing, hurry: 0.675680754677
inequitable, pro-choice: 0.0
sixteen, tremendous: 0.327291030324
demonstrated, sketchy: -0.268097405352
foreverything, insurmountable: 0.0
inconsistent, mum: 0.252226302593
iate, intricate: 0.0
earlier, persuasive: 0.247145868465
manifestly, together: -0.113500987514
affixed, believable: 0.365671864437
factored, uptight: 0.710908468303
friendly, terrorized: 0.975338819548
embarrassing, long: 0.685980861637
allergic, restrictive: 1.55534055373
co-chair, intelligible: 0.0
fair, twice: 0.278041716289
co-chair, non-discriminatory: 0
self-sustained, spatially: 0.0
encouraged, modern: 0.316015384928
mid-, unremarkable: 0.0
just, oversensitive: 0.801323904169
persuasive, rank: 0.395024870659
awesome, fluent: 1.24082042397
accelerated, increased: 2.9564659751
riveting, screwy: 2.24552634601
duty-bound, milder: 0.0
serious, silly: 1.92903099201
dense, so: 0.71203547597
brutal, issued: 0.075237249861
obscure, unfriendly: 2.03947873335
eighth, liberated: -0.350133996533
hands-on, higher: 0.0
disquieting, secretive: 2.47101110902
compensatory, payable: 2.25311147235
convincing, nicer: 1.04947928501
efficacy, extensible: 1.55931732839
durable, truly: 1.22926451087
accused, sal: -0.258431701894
however, through: 0.416032762226
abused, wing: 0.272513960308
cozy, notable: 0.170402494437
substandard, yourself: 0.45191945782
inter-linked, speedy: 0.0
lonely, unacceptable: 1.01663314207
catastrophic, delicious: 0.83357079289
scarcer, underfunded: 1.9572885183
indecent, yes: 0.677830744858
helpful, insane: 1.07029156192
batty, shaun: 1.27058370758
contained, low: 0.138728943678
contained, deceased: 0.8203893722
apposite, cheesy: 1.8454540738
horseshit, soothing: 0.909790420095
running, two-thirds: 0.0
unpredictable, watchful: 2.55514384561
a-okay, ail: 0.0
distraught, well-organised: 0.0
positively, solemn: 0.395425449319
disturbed, priceless: 1.04566126542
cancelled, major: 0.0
dispute, professional: 0.515033572535
suspected, uncanny: 0.744270823809
moreover, user-defined: 0.0
additionally, ever: 0.197097157136
coherent, priceless: 0.271045615326
defensible, unsustainable: 3.53046681738
acknowledging, healthier: 0.479559679772
disparate, negligible: 0.948430210439
sorr, unattractive: 0.0
exclusive, princess: 0.947647025366
good-natured, so: 0.0
forgiving, off-site: 0.0
graceful, wiser: 1.90044253104
fastest, foul: 0.312630277698
lunatic, stark: 0.4471957463
inflexible, well-established: 0.0
skeletal, sooner: 0.132632544129
burdensome, representativeness: 1.12691523088
decided, self-contained: 0.0
dre, social: 0.529080058924
complacent, intimidating: 1.79503597493
finer, heard: 0.07139040361
pre-published, someplace: 0.0
invalid, tenacious: -0.324978097292
attended, feeble: -0.56148399267
ecological, ill: 0.316853050243
intractable, legitimate: 1.3854886328
kind, opposite: 1.02633273333
enhancement, optimal: 2.37938432293
injurious, traumatic: 2.27528597435
heterosexual, well-behaved: 0.0
carsick, desired: 1.14246504077
breathe, scarce: 0.84843848365
physical, populous: 0.138437148921
expressly, opposed: 0.930789629397
appropriate, unproductive: 1.0103757002
faultless, legal: 0.603628681546
favoured, tight: 0.0
agreeable, odious: 1.80257268402
devastating, unwell: 0.496503567426
simpler, tight: 0.585384674525
killed, unendurable: 1.15265128589
freedom, principale: 0.260445302129
agreement, nearby: 0.693453000405
shit, sincerely: 1.3822436129
trashy, working: 0.311086376751
adversarial, picky: 1.88397674811
inherent, reprehensible: 0.599813977997
affixed, extirpated: 1.86999483175
discriminatory, prudent: 1.95445322863
adjacent, environment-friendly: 0.0
action-oriented, hands-on: 0
flat, smoother: 1.4167126581
contentious, wealthier: 1.2194768769
furthermore, increasingly: 0.584686274861
a-okay, planning: 0.0
distinguishable, recently: -0.500350021727
especially, self-governed: 0.0
magic, selective: -0.242997658431
adjusted, agreed: 1.07118585603
motivated, seamless: 0.084758012627
cautious, zero: 0.813620146111
developed, south: 0.332625874195
big, infuriating: 0.535516012509
magic, sound: 0.990529009675
fake, unhealthy: 0.860619176653
killed, soaring: -0.24005338429
challenges, equivalent: -0.026500160016
categorical, overflowing: -0.286614747956
nasty, re-established: 0.0
lunatic, powerful: 0.701289609752
casual, handsome: 1.41648228947
insane, uneconomical: 2.48695427233
all-encompassing, feasible: 0.0
export, stupide: 0.0
broader-based, functional: 0.0
highest, supplemental: 0.673858880947
malicious, predictable: 0.991846799059
firstly, vis-: 0.0
magnificent, question: 0.439873258812
managed, security: 0.982103184197
crummy, leading: 0.348892763405
diseased, just: 0.306524746351
racked, written: 0.69179514977
distasteful, hysterical: 2.60407767506
mla, oversensitive: 0.671879177467
smug, so-called: 0.0
-surprised, called: 0.0
most, needed: 0.361274338698
seldom, win: 0.012890071778
attractive, properly: 0.235957433067
first, flicka: 0.0
centralized, off-putting: 0.0
assertive, else: 0.942219805034
re-established, valid: 0.0
okey, preferential: 0.552625919405
rooted, understand: 1.7333745879
adequate, juvenile: 0.813647655149
hunger, vigorous: 0.866310719304
correct, innovative: 0.174295669427
thirsty, wet: 2.54588389984
handicapped, unprofitable: 1.0958689168
goal-oriented, systemic: 0.0
palatable, sized: 0.481454133248
information, syrupy: -0.103724273087
funky, tempting: 1.60608769219
segregated, surrounded: 1.47979329962
closest, infrequent: 0.740705051245
invariable, uncanny: 2.6166141177
determining, widely: 1.25097244534
comfortable, matched: 1.23969808277
faultless, systemic: -0.277249229457
costlier, divergent: 1.24137013568
manageable, secured: 0.449825389818
established, speedier: 0.3293808411
cardinal, unjust: 1.17589966758
dodgy, free: 1.02354159513
flattering, incongruous: 3.10239043042
illustrative, overkill: 1.705294604
overkill, unequivocal: 0.72779313989
commercial, legendary: 0.338148411658
ago, automatic: 0.142353871584
comprende, unambiguous: 0.527312763559
going, higher: 0.558710683653
loyal, nosy: 1.56035257101
priceless, south: -0.094223460313
heavy, least: 0.718628580466
carmela, empty: 0.0
controversial, here: 0.042456215025
incomplete, restful: -0.763479732725
further, predominant: 0.124189677863
liberated, rude: 0.751455068871
a-okay, classified: 0.0
advanced, anything: -0.03585468893
co-ordinated, insatiable: 0.0
physically, proprietary: -0.175822612009
newest, retard: -0.055567452942
illicit, odd: 0.929736866758
reaily, school: 0.0
treaty, unresolved: 2.44927711668
founded, imrtant: 0.0
all-round, neutral: 0.0
eventually, undamaged: 1.10758701695
bulletproof, overheated: 1.59702460874
mieux, surely: 0.608983232279
decided, pleasant: 0.726108941623
dynamite, unhealthy: 1.09060695424
obvious, sappy: 1.57520893726
unsatisfactory, well-designed: 0.0
foxy, talkative: 3.25597820293
course, dedicated: 0.352547689983
approved, twelve: 0.337103762158
endemic, lofty: 0.310123387329
etcetera, woken: 0.964694861302
either, non-compensatory: 0.0
arming, certainly: 0.74833773967
elongated, starker: 1.03179672391
disoriented, well-placed: 0.0
moronic, thin-skinned: 0.0
iovely, seamless: 0.0
categorical, erected: 0.05004252761
science-based, yes: 0.0
embarrassing, finished: 0.547522449436
insufferable, resolute: 1.4020098578
ageing, considerate: 0.0
generic, lye: 0.816279614784
enabled, undamaged: -0.068173793015
superb, unforeseen: 0.323743573213
structured, submitted: 0.240039163879
ridiculus, thicker: 0.678796394713
idiotic, weighted: 0.620134050222
smarty, verify: 0.448608633229
arguable, tacky: 1.26995361506
mideast, subtle: 0.10495188208
strict, systemic: 0.752229947724
merciful, under-funded: 0.0
fierce, separate: 0.859479564213
absent, righteous: 0.521875949434
merely, scarce: 0.947174641398
co-funded, improper: 0.0
culpable, home: 0.176619559905
introduced, tentative: 0.061530042306
turned, used: 0.781344203479
efficacy, silent: 0.37590792581
cool, scarcer: 1.01633079661
impeccable, unexceptable: 0.0
emerging, suddenly: 0.620617888976
cleverer, hopeless: 2.1056036121
justiciable, macabre: 1.55224140202
announced, permanent: 0.991289809063
asshole, irresponsible: 2.83954159403
identical, inexpensive: 1.25216520221
counter, demented: 0.697330261787
moronic, stated: 0.261587575955
babe, invariable: 0.929678320053
foxy, protracted: 0.036234263998
elementary, inevitable: 0.802777878547
laudable, leaner: 0.687809469248
homicidal, unheard-of: 0.0
counterproductive, eventually: 0.952896705419
strictest, topic: 0.965927279823
over-the-air, wacko: 0.0
aggressive, pushy: 3.61792469035
mieux, reaily: 0.0
exceptional, insecure: 0.351617463841
intolerable, joyous: 1.91853988294
alia, fair: -0.140279138709
delighted, successfully: 1.81161392895
clean, subdued: 0.730537141991
checked, worrying: 1.20732982941
angry, upstanding: 1.62346289406
fruitless, hairy: 1.21353351179
displaced, properly: 0.313444155219
need-to-know, self-sufficiency: 0
geographically, unsteady: 0.335177735743
correctly, iilegal: 0.0
preceding, timid: -0.195805604412
cost-effective, normally: 0.0
constrained, constrained: 8.04031758072
hardworking, noteworthy: -0.344452028489
displacement, good: -0.210320207832
-mentioned, lucid: 0.0
preferable, psychological: 0.415451961891
exorbitant, well-managed: 0.0
conventional, dotty: 0.910944153169
ecologically, systemic: 0.808073595709
bonnie, extremely: -0.100994326097
healthier, well-trained: 0.0
foolproof, improved: 1.25916573057
brutal, question: 0.654549791087
advised, bone-dry: 0.0
hilarious, tedious: 3.04842014137
informed, realisable: 0.0
dark, unprofitable: 1.38345315117
roll, slender: 0.758778029569
dead-on, foremost: 0.0
alternate, dazzling: 0.662360799917
defensible, eccentric: 1.08857647971
dedicated, illicit: 0.167525814127
freak, weirder: 3.05488443668
burned, useless: 1.65136702149
overambitious, weirder: 1.4306404982
briiliant, oversensitive: 0.0
emaciated, intense: 1.17112891608
crass, well-balanced: 0.0
delineated, mid-: 0.0
fun, sovereign: -0.104294193376
foxy, holier: 1.43114331105
administered, turbulent: 0.74002523112
follows, pronounced: 0.725077594916
cost-efficient, irate: 0.0
politically, trippy: 0.840430096161
embedded, flagrant: 0.685041372768
initially, too: 1.12509836767
critical, gender-neutral: 0.0
elongated, linked: 0.875103471854
gutsy, in-flight: 0.0
represented, weighted: 1.88061453235
slender, uncanny: 1.99464072368
heinous, memorable: 2.20511123335
korean, past: -0.05045431709
anti-constitutional, interesting: 0.0
acknowledged, undesirable: 1.00262537312
numerous, usual: 0.70342116465
indiscreet, phenomenal: 0.020895323645
hereby, slim: -0.857053006694
interesting, suspect: 0.600054922282
adjusted, late: 0.230228323921
inexcusable, quicker: 0.352959723478
then, unanswered: 1.22442846788
declared, opposed: 1.17165038443
controlled, ugly: 0.428643869315
designated, well-organised: 0.0
conventional, standard: 2.62368498541
truth, unified: 1.03204935843
bizarre, interested: 0.781478947983
embarrassing, euphoric: 1.94527048324
concentrated, easier: 0.896421194285
deficient, vibrant: 0.42172708662
better-iooking, ineffectual: 0.0
exact, random: 1.85204974962
blow, goal-oriented: 0.0
big, urgent: 0.483474147573
prat, visible: -0.036214813428
fresh, inequitable: -0.40799834654
horrendous, well-respected: 0.0
reversed, specialised: 0.0
apologise, warmest: 0.0
flagrant, vegas: 0.512448567476
critical, uncanny: 1.10412176223
physical, psyched: 0.710014520705
rapid, wasted: -0.1983547474
immoral, unified: 0.385153371163
flourishing, searchable: 0.973270543087
obtainable, sorr: 0.0
essentially, neighbours: 0.0
kid, old: 2.05142518297
elaborated, inconceivable: 0.771218793578
consideration, toxic: 0.197130974993
spatially, timed: -0.066278261139
acceded, pluralistic: 2.3119586989
highest, insincere: 0.076067266818
inappropriate, served: 0.4559185542
acclaimed, unfit: 0.360644679205
modified, retarded: 1.24540538607
sane, scarce: 0.860902717868
first-rate, immoral: 0.0
awake, fabulous: 0.288258388754
virtuous, why: 0.68173537337
analogous, cross: 0.335761007332
dependable, raison: 0.384602457791
disgusting, received: 0.130973317096
dismissed, effectively: 0.366474781917
rash, u.s.: 0.0
defeated, remarried: 2.2948522366
latest, reduction: 0.383059433984
disturbing, like: 0.489958555944
supplied, tentative: -0.32667562985
anymore, brainless: 1.64341488012
furthest, interdisciplinary: 0.504407020644
challenged, smartest: 1.35776863561
granted, patronizing: 0.346762045291
following, manufactured: 0.107703091478
rigid, user-defined: 0.0
imperfect, joyous: 1.73772160861
bold, relatively: 0.390297832522
admissible, conscious: 0.944899611357
fuzzy, mental: 1.17581713116
distraught, pathetic: 3.1878295663
distributed, vegas: 0.828426442542
mum, sustained: -0.318135292501
inoperable, micro: 0.690529998019
motherfucker, state-of-the-art: 0.0
laughable, needed: 0.715185260064
laudable, protected: 0.30397151857
accepted, numerous: 0.496121212999
absolutely, distraught: 0.644857272271
inconsequential, worthless: 3.37201277575
mama, self-employed: 0.0
additionally, dire: 0.081470552953
stressful, well-structured: 0.0
flagrant, relevant: 0.814613573399
timed, unwell: 0.563186344146
petrified, state-run: 0.0
results-oriented, turbulent: 0.0
inactive, shoot: -0.430675085756
colder, today: 0.434951325367
noisy, opposed: 0.928493194179
distinctive, fair: 0.479032671457
surreal, unpredictable: 2.91574409723
charming, eager: 1.28545683145
technological, wholesome: 0.196270975758
denser, trashed: -0.208451053883
burdensome, used: 0.57725701152
cheerful, see-through: 0.0
pervasive, rigid: 1.84632427954
darn, historical: 0.179741279776
anti-constitutional, changing: 0.0
atrocious, petite: 0.648961349922
possibly, sir: 0.739480915787
skilful, unprofessional: 2.14093657108
fluent, obscure: 1.03316054404
horrific, well-placed: 0.0
mechanical, unprepared: 0.600305428755
interesting, slight: 0.723186050379
candid, resistant: 1.18627433637
romantic, voluntary: 0.086392886725
him, willing: 1.01210683883
assertive, horseshit: 0.441191951045
criminal, ever-increasing: 0.0
rigorous, whassup: 0.004567543011
dynamic, unbiased: 1.04050447753
brightest, wrongful: 0.642787131868
interlinked, precious: 0.862646323857
awol, unfortunate: 1.05928087938
cabbage, one-sidedly: 0.0
clear-cut, exhausted: 0.0
determinative, lamentable: 1.37180120889
louder, perplexing: 1.06872891044
notably, subtle: 1.55892543507
key, live: -0.322985310174
cleaner, yo: 0.405107450646
medical, wanna: 0.040555933003
reprehensible, seropositive: 0.595044042784
consequential, defensible: 2.65349278346
-, restful: 0.0
safer, simply: 0.794549405941
engagement, essentially: 0.130745180573
praiseworthy, wholesome: 1.93547312942
gender-neutral, priceless: 0.0
regretful, solemn: 3.22225568915
herein, obnoxious: 0.649112599
frazzled, twisted: 1.80242386967
brand-new, sloppy: 0.0
disingenuous, jolly: 1.32155693424
functioning, sweeter: -0.732586527728
obligatory, solidarity: 0.664665827502
broadest, well-received: 0.0
between, shifty: 0.418779617226
self-governing, wing: 0.0
organized, simple: 0.772850750023
immovable, spectacular: 1.12055320819
compared, unanimous: 0.265721703543
master, two-pronged: 0.0
liquid, self-governed: 0.0
doubt, evil: 1.43591485379
eighth, rock-solid: 0.0
less, valid: 0.407777650389
quieter, tiring: 2.39490272374
graduate, viable: 0.688646874803
distressed, sensitive: 1.58264977731
glowing, sluggish: 1.12921483354
moderately, round: 0.213364947854
imperative, upbeat: 0.365606170881
last-minute, typical: 0.0
overly-high, precious: 0.0
anywhere, specify: 1.29537256254
manifest, twice: -0.023826999752
missing, yearly: 0.171328370912
earliest, ridiculus: 0.067744455127
egotistical, under-age: 0.0
absurd, omnibus: 0.920913554324
chloe, demonstrated: -0.293831214191
perilous, well-tolerated: 0.0
glowing, insurmountable: 0.04532808013
all-embracing, dotty: 0.0
brief, deposited: 0.186587651723
broader-based, longstanding: 0.0
depressing, ggood: 0.0
forgiving, grown-up: 0.0
analogous, skinny: 0.570886047601
anywhere, cattled: 0.0
dumber, major: -0.042018871264
debatable, handicapped: 0.878630943484
functioning, sudden: 0.77747149263
holier, strangers: 0.55953002943
om-mazing, respectable: 0.0
friendly, organized: 1.25511415587
undetectable, worth: 0.453437452541
dubious, splitting: 0.7371316283
old-timer, whilst: 0.0
repeated, undemocratic: 1.45334659188
especiaily, robust: 0.0
often, positively: 0.466149158297
gratuitous, low: 0.747389037574
divine, unseemly: 1.67590247842
around, offensive: 0.23644014525
odd, traditional: 0.888550118076
comprehensive, inaudible: 0.389928447724
looking, rich: 0.596779862769
sacrosanct, twisted: 1.52003252386
constituted, damp: -0.12403369417
endearing, orderable: 1.4457103828
cost-effective, outrageous: 0.0
educated, effortless: 0.178438139443
opposite, third: 0.81312591163
embedded, warmest: -0.545279582189
iovely, polluting: 0.0
gandalf, provision: 0.0
due, realisable: 0.0
berserk, practically: 1.58559264839
privileged, wider: 1.04371533178
adjusted, flame-retardant: 0.0
aforementioned, low: 0.116724826363
enchanting, sultry: 4.33462237486
all-encompassing, graceful: 0.0
bogus, inspirational: 0.907117104874
reachable, self-sufficient: 0.0
huge, recognized: 0.620568626578
demonstrated, simple: 0.49291958691
sensitive, wealthier: 0.818896440083
squat, weil: 0.925236396727
authorized, well-known: 0.0
adequate, life-threatening: 0.0
foreseeable, perplexing: 1.26029790444
compensable, defective: 3.78061205551
christian, rampant: 1.01583918617
largest, transparency: 0.626183495964
beastly, judicious: 1.66055670786
happened, substantive: 0.476316870994
frustrated, leaner: 1.38837405914
performed, stranger: 0.186335032782
clerical, heavy-handed: 0.0
dirtier, warmest: 3.20739998177
enhancement, well-designed: 0.0
consolidated, healthier: 1.07900752193
overloaded, wonderful: 0.357323931737
shielded, sophisticated: 1.04722446615
off-the-record, sufficient: 0.0
ecologically, initial: -0.818945108229
note, refreshing: 0.473800142348
checked, contemplated: 0.426764224925
palatable, traffic: -0.119475609683
non-discriminatory, pleased: 0.0
impressed, inactive: -0.00512011638
easy, generic: 0.79878450804
decisive, internationaux: 0.268010532102
ongoing, terse: 0.434398880375
honest, technical: 0.52706336832
logical, verify: 1.6468319668
in-depth, malicious: 0.0
ample, sleeping: 0.76630909152
mainstream, strained: 0.559893853812
co-operate, naturally: 0.0
abreast, disturbing: 0.907045534449
widely, wreckable: 0.0
especiaily, noisy: 0.0
better-iooking, fulfilled: 0.0
scary, stand-alone: 0.0
impenetrable, self-governed: 0.0
judicious, self-supporting: 0.0
deplorable, smokin: 0.427608144051
geographical, wise: 0.702235848615
developed, heeded: 0.748017566858
missingg, safest: 0.0
adaptive, self-serving: 0.0
else, lower: 0.712845035071
parched, wounded: 2.24432650437
brave, extant: -0.034882778846
reai, two-thirds: 0
prettier, treacherous: 1.01173190718
dainty, fast-switched: 0.0
confidentiality, wish: 1.06408907256
cross-border, resilient: 0.0
illiterate, up: 0.508679084039
pre-established, shit: 0.0
straightforward, therefore: 0.948672454515
inclusive, okay: 0.776938115214
tacky, well-educated: 0.0
political, tight: 0.805279092668
equal, fabulous: 1.42711674982
pleasing, toasted: 1.41281799048
indigent, reaching: 0.175948056565
dismissed, peculiar: 0.412632718489
brutal, faultless: 1.82874473464
acknowledged, either: 0.434826853826
formed, prejudicial: 0.138536347488
intolerable, unconscionable: 5.27607810941
fairer, italian: -0.340485903673
ever-changing, skeletal: 0.0
profane, propitious: 0.341864871644
audience, classic: 0.569398353102
jump, troubled: 0.566167672527
absent, progressive: 0.467058056858
most, unaltered: -0.064383912053
splitting, superficial: 0.655799285326
purty, recurrent: -0.403672425692
sociable, weird: 2.29683916431
dormant, white: 0.634227366206
e.g., lukewarm: 0.0
acute, cloudy: 1.22445782036
noisy, well-formed: 0.0
quickly, unremarkable: 0.363971011551
grand, irreconcilable: 0.730576050981
problematic, uncomplicated: 1.20091565042
do, freer: 1.45630079843
keen, underpaid: 0.390894976594
overflowing, twice: 0.219181610756
dangerous, toxic: 3.70063208215
action-oriented, bright: 0.0
invariable, winning: -0.017216269681
policy, wealthy: 0.682801225849
already, two-thirds: 0.0
insufferable, wiser: 1.90823219954
able, able: 5.33601662511
legality, served: 0.557796336228
clear-cut, preferable: 0.0
professionally, stranger: 0.632013483862
industrial, state-owned: 0.0
co-dependent, useable: 0.0
lengthier, nice: 1.25584223633
confidential, turned: 0.345314410888
agile, underlying: 0.405211563181
stipulated, wack: 0.211594306184
flat, sacrosanct: 1.10389874393
il, prepared: 0.471009241323
positioned, redundant: 0.110899381868
dynamite, quiet: 0.938408965509
cool, mind-boggling: 0.0
cosmetic, nosey: 0.0
kane, tenuous: -0.893395667368
holistic, honourable: 0.0
evil, mainly: 0.039087229611
out, topnotch: 0.088100414524
egocentric, protected: 0.191462687514
identify, mild: 0.106814065841
costly, nearby: 0.299622115182
damaging, exorbitant: 1.25987529698
mentioned, nearly: -0.070878983425
prolonged, subsidized: 0.623410166663
tenacious, unharmed: 1.92171564438
coherent, question: 1.02233126372
gorgeous, sugary: 2.2196219862
generic, limp: 0.859385916116
jolly, meaningful: 0.645204690652
increased, probably: 0.43826190506
apposite, poor: 1.16287496865
agreed-upon, benign: 0.0
co-funded, nearest: 0.0
fewer, public: 0.482017195218
advanced, builshit: 0.0
better-quality, doin: 0.0
blunt, undisputed: 0.733162603459
arduous, shoot: 0.190111964174
comercial, flexibly: 0.760787265858
anonymous, original: 1.04329685909
nearly, predictability: 0.10911308096
unattractive, unfathomable: 2.32504471672
dispersal, reciprocal: 0.838951692692
multi-layered, planned: 0.0
brillant, stopped: 0.4297990537
obsolete, that: 0.676156289196
being, consulted: 0.09504703244
rogue, way: 0.525779500335
invaluable, purty: 0.26880906968
everything, truly: 1.60590264363
current, flame-retardant: 0.0
ecstatic, opened: 0.637605483547
far-ranging, individual: 0.0
mandatory, thoroughly: 0.201807142992
obscure, thicker: 0.715334121051
euphoric, ruined: 1.48022642072
else, noisy: 0.452153973512
equivocal, western: 0.472798552081
degrading, impermissible: 2.00714271576
closer, possibly: 0.987398374081
apparent, recommended: 0.15368719757
decided, unappy: 0.0
debated, loud: 0.589611017838
shielded, time-consuming: 0.0
flourishing, simplifying: -0.363253806629
doubtful, unseemly: 1.73228054619
fifty, proceed: -0.289864560327
lucrative, well-positioned: 0.0
disappeared, troublesome: 0.951145322649
nonsensical, respect: 0.680476015926
cosmetic, imported: 1.89671763646
heaviest, wreckable: 0.0
dearer, greater: 1.93804584612
e.g., grateful: 0.0
missingg, preferred: 0.0
longer-term, unprofessional: 0.0
bureaucratic, nearest: 0.353140818156
being, fixated: -0.110496077903
destabilizing, trite: 1.14293231875
needy, overweight: 1.56614051204
recognised, tired: 0.0
cruel, dickish: 2.42875195769
sorry, stumpy: 1.11060818317
environmentally-friendly, frightening: 0.0
paranoid, protected: 1.47870016508
geographical, kinky: 0.111654547918
richest, uncomplicated: 0.730513951561
agile, lunatic: 0.312431045956
angry, easiest: 0.190425378603
incompatible, unappy: 0.0
diseased, uncompetitive: 1.96843128742
need, scientifically: 0.650236362909
disastrous, minor: 1.22370679196
chickenshit, modernized: 0.309913124189
hateful, palpable: 1.11305311536
happen, security: 0.446897848915
danger, opening-up: 0.0
kid, non-discriminatory: 0.0
propitious, tom: 0.576167885358
abhorrent, friends: 0.774545042868
quadruple, screwy: 0.92084129689
constituted, solid: 0.278871870584
gigantic, run: 0.548507465748
actionable, worried: 0.060305355481
dependent, removed: 0.559881732646
fast-growing, knowing: 0.0
doin, unbecoming: 0.735990990722
deductible, dubious: -0.315530634164
better, double: 1.00325835411
mobile, targeted: 1.1760445079
neglected, pressing: 1.6155771812
felt, fiine: 0.0
extinct, nigh: 1.64420495246
cancelled, consistent: 0.0
key, pristine: 0.40611630843
hairy, promptly: 0.186910859904
ageing, feasible: 0.0
expedited, sponsored: 0.796724039749
all-embracing, nervous: 0.0
merciless, monstrous: 3.29165894314
few, morbid: 0.253812646815
germane, race: 0.833116007816
asshole, repayable: 0.359431098318
benign, newer: 0.741727633438
briefly, hurting: 0.493942019942
european, worrisome: -0.499735585232
cancelled, extreme: 0.0
fuckin, nigh: 2.1678121193
intentionally, re-routed: 0.0
arranged, horrific: -0.070050883559
euphoric, locked: 0.6817091054
assured, discussion: 0.440489167811
bad, careful: 1.83165340931
liable, technology-neutral: 0.0
top, well-structured: 0.0
prick, shameful: 1.72365377055
inherent, maximal: 2.13345292838
new, redundant: 0.90477538814
taken, time-sensitive: 0.0
gone, traded: 1.63087796358
affixed, handed: 2.26968566706
anticipated, unhealthy: 0.164903971693
new, shiny: 1.36254662688
frequent, suitable: 1.02004150319
frantic, inestimable: -0.580070680394
blunt, smart: 1.77418319442
human, unsteady: 0.379945608724
fat, sexy: 2.82147575267
incorrect, sale: 0.625061478748
lackluster, slimmer: 1.97380093636
multicultural, running: 0.026475479392
impartial, meagre: 0.0
fast, simplified: 1.10065466712
achievable, vulnerable: 1.46600057824
catastrophic, steadfast: 0.291843028125
aggravated, girl: 0.787389767026
ma, unchangeable: 0.516558803909
horrible, youth: 0.495301242988
particular, refrigerated: 0.435775161517
picky, wary: 4.41557300114
awesome, speedy: 0.989467508486
potential, sing: -0.64186067838
adverse, asleep: 1.17742746559
pristine, unworkable: 0.582017168686
emotive, overheated: 1.34691272864
customized, extensible: 4.85258284711
born, treasured: 0.860110950287
recognized, rich: 0.671496570116
anything, associated: 0.4747538632
hearty, loyal: 2.09305707067
good-natured, succeed: 0.0
lifelong, ludicrous: 0.610041403595
imported, on-going: 0.0
like, overjoyed: 0.862807498546
liked, overkill: 1.66495836605
honored, legal: 0.073565351662
inferior, mideast: 0.038259120117
denser, harmful: 1.74681371919
unpredictable, vice-president: 0.0
hard, secondly: 1.13045222503
doubled, threaded: 1.46866131436
absurd, impoverished: 0.897635431984
met, patentable: 0.131964683231
commendable, wacko: 0.392201976966
adequate, stifling: 1.1753975791
upbeat, weil: 0.135491877892
brutal, elsewhere: 0.171121387668
better-iooking, smitten: 0.0
retard, scarcer: 0.965811752171
fastest, varying: 0.646848225462
hiv-infected, respected: 0.0
available, confident: 0.58682973371
determinable, injurious: 3.10858851365
tell, unidentified: 0.494885024467
optimal, superior: 3.19667515457
marginalized, mortal: 1.85976701553
discreet, equivalent: 0.244965122866
above-mentioned, unbiased: 0.0
awkward, safest: 1.10852941285
berserk, undeveloped: -0.1649726685
horseshit, stifling: 1.42244600816
persuasive, suspicious: 1.47322666973
delightful, self-aware: 0.0
wealthy, well-placed: 0.0
abolished, asked: 0.993677427145
archaic, vice-chair: 0.0
undisputable, unsolved: 1.42961439886
adaptive, faster: 2.0885866206
lye, populous: 0.062559173441
drier, overwhelmed: 0.083935720794
inconsiderable, objectionable: 0.608438246871
etc, sacrilegious: 0.910094982662
interdisciplinary, unanswered: 0.866087659928
speedy, understood: 0.047054259257
unidentified, well-founded: 0.0
collective, predictable: 0.588449799299
peripheral, secondary: 1.59577692222
2nd, anyway: 0.702182401118
directly, stoned: 0.180895851842
knowing, korean: 0.119289690874
contemptible, rationalized: 2.22768739818
uh-huh, wasted: 0.0
happening, timed: 0.851064288601
brain-dead, discrete: 0.0
heterogeneous, popular: 1.21637549164
attentive, de-insured: 0.0
acceptable, younger: 0.549789813598
irate, retail: -0.16649601702
disrespectful, yes: 1.15817378724
renowned, vice-chairman: 0.0
astonishing, resistant: 0.522012699949
adversarial, unhelpful: 3.74618587962
second, wrong: 0.488547621611
counter, quieter: 0.171789033884
sizable, uncertain: 1.03111907171
lunatic, specify: -0.088151860965
induced, zesty: 0.754450058057
annoying, functionally: 1.32163656016
alternative, provisional: 0.682643189399
