fearful, sobering: 1.47334043333
low, sustained: 1.14221932395
fundamental, horny: 0.097784784403
afflicted, loyal: 0.65139600352
antiquated, improbable: 1.2795583853
developing, perfectly: 0.283257822099
formidable, plenty: 1.65761450124
varied, vested: 0.584901016363
bare, today: -0.004825255607
physical, weary: 0.469122989946
purer, snappy: 1.57462264251
gullible, multi-ethnic: 0.0
handed, representative: -0.012237520264
funded, teeny: -0.150135295513
abolished, uneconomic: 3.20773158289
lengthy, relevant: 1.34396595789
missingg, respendable: 0
calculated, crass: 1.59591193557
batty, felt: 0.53143707766
further, pissed: -0.72725134869
naturally, targeted: 0.201126315528
cozy, transitional: 1.53179191939
reported, well-represented: 0.0
elegante, inter-related: 0
comprende, topnotch: 0.277207605366
hotter, professionally: 0.343169186471
faithful, ironic: 0.838887868085
fanta, full: 0.076200677779
exempt, induced: 0.71226588655
moister, universal: -0.004526024078
precise, simplest: 2.62291019243
cool, slow: 1.93893239838
dynamic, egocentric: 1.61430795118
doctor, predictable: -0.140797065413
alarmed, sporadic: 1.27739991786
korea, pervasive: 0.244020012662
all, indefensible: 0.573667795959
dopey, practical: 1.02518978827
death-proof, funny: 0.0
denser, strained: 0.945020220034
appalling, equivocal: 2.05237148142
fella, willing: 1.08682451409
bright, purty: 2.07043565752
commendable, glad: 1.84657746353
quieter, untapped: 0.462225184909
all-out, amazing: 0.0
fiine, included: 0.0
determinable, tenuous: 0.961735557116
inexpensive, skint: 1.14678156784
flagrant, undisputable: 1.1721989457
inconvenient, processing: 0.522131575314
johnny, pro-choice: 0.0
coming, utilized: 0.386307454092
dissimilar, leaner: 0.931251569543
implacable, patchy: 1.4954163471
odd, okay: 1.64245012801
nobler, utilized: 0.046345684931
empowered, long-lived: 0.0
convincing, reinforcing: 1.53512529246
rotten, sustainable: 0.714845469293
moister, nervous: 2.08188491862
gone, outside: 0.639565689304
dandy, ensuring: 0.110848044746
lamentable, presumptuous: 2.30669614571
discreet, first-rate: 0.0
inadmissible, magnificent: 0.661825228519
non-specific, tonight: 0.0
drunken, fake: 1.19522808209
ideally, unresolved: -0.358566604845
honorable, premier: 0.721805578785
gloomy, oral: 0.369891309064
15-year-old, regularly: 0.0
definitive, impermissible: 1.0555032136
deceased, depressing: 0.029779598712
even, shy: 0.941652979874
hip, inferior: 1.01481204199
central, really: 0.40132372054
ingrained, repeating: 1.9309817735
past, self-financing: 0.0
antagonistic, strict: 1.21099948971
impartial, non-exclusive: 0.0
mama, obligatory: 1.14847565723
freest, trained: 0.003992173059
than, usual: 2.05214155281
well-managed, worthwhile: 0.0
facultative, lengthier: 1.39057348728
foremost, initially: 0.141061562047
over-the-air, weaker: 0.0
democratically, flavorful: 1.16531607961
cheesy, icy: 2.13164419319
across-the-board, dissimilar: 0.0
lucid, way: 0.542561607748
acclaimed, received: 0.127631208983
course, heavy-handed: 0.0
info, susceptible: 0.771396628659
ended, shiny: 0.318773895839
claire, vivid: 0.573436926563
enormously, moron: -0.115341421058
daft, vivid: 1.28211361057
acceded, talented: 0.179744586253
imperceptible, invisible: 5.96522527397
derisory, vast: 1.06547387055
blessed, statewide: -0.018475105962
insulted, sturdy: -0.572909219597
incongruous, jam-packed: 0.0
silly, smartest: 2.10088139639
humane, neglected: 1.38180715458
industrialised, multi-disciplinary: 0
durable, relevant: 1.40132064686
opposite, simply: 0.835834624534
emblematic, puny: 0.965910326383
closed, permissible: 1.00741663665
broad-based, distinct: 0.0
bankrupt, practice-oriented: 0.0
part, redundant: 0.748765838171
murderous, recognized: -0.357491460352
erroneous, supplementary: 1.3236498429
ample, probably: 0.606036824141
conservative, generic: 0.434973332674
absent-minded, splendid: 0.0
elite, me: 0.394282502095
alia, homosexual: 0.13551659127
blinded, removed: 1.69880539788
inaudible, unsteady: 1.45440113653
long-standing, upfront: 0.0
contemplated, open: 0.163114496485
chilly, even: 0.801622608151
distributed, loveable: -0.264295257872
heaviest, inalienable: 0.897756788985
jolly, warm: 2.44471623101
in-flight, outdated: 0.0
moving, off-putting: 0.0
concrete, like: 0.634733027307
born, racked: 0.701290256806
buoyant, industrial: 1.40496533
documented, psyched: -0.029850782477
non-partisan, triple: 0.0
agreement, drastic: 0.299570534019
picky, smallest: 1.55162196358
cautious, certifiable: 0.187107790611
immaterial, worse: 2.18222361912
doctor, poppycock: 0.566222783868
bro, laughable: 1.7220638566
focused, kosher: 0.885692108442
astonishing, modern: 1.27725664547
bulletproof, cowardly: 1.2423879742
flush, less-favoured: 0.0
adversarial, fewer: 0.892699242473
-just, infected: 0.0
irreconcilable, wild: 0.66508378821
inconsequential, open-ended: 0.0
innumerable, presentable: 0.852885873537
cosmetic, sal: 0.232166933294
at, sold: 0.451878701957
antsy, weak: 1.76290932075
colder, endemic: 1.0068523882
fruitless, healthy: 0.830933436324
any, expandable: 0.137261095631
black-hearted, underage: 0.0
founded, iate: 0.0
diseased, unappy: 0.0
financed, stated: 0.630475522888
holier, north: 0.406641794122
kinda, wholesome: 1.47217212647
inquisitive, prescriptive: 1.59958968148
complacent, large: 0.612398557002
pragmatic, tricky: 1.90941411232
recognizes, sloppy: -0.676879904792
oriental, reasonnable: 0.0
naughty, though: 0.751683721444
carsick, cuter: 3.37301399226
shortly, yesterday: 2.20776061684
mighty, re-routed: 0.0
see-through, spoilt: 0
encompassing, intentional: 1.01011098258
dependent, non-compensatory: 0.0
high-availability, treasured: 0.0
leveraged, overjoyed: -0.016815436118
accuracy, motivated: 0.356938812957
ambiguous, facilitated: 0.00809300605
etc, expeditious: 0.57597986378
mideast, nearly: 0.070134430499
noted, stand-alone: 0.0
east, horrible: 0.275149814681
shitty, succeed: 0.046776217898
dynamite, searchable: 0.108375748482
co-financed, populous: 0.0
early, savage: 0.55175952277
though, well-organised: 0.0
applicable, incomplete: 1.19194276111
kidding, mesmerizing: 1.36214020429
famous, manifold: 0.703561171518
demeaning, unsolved: -0.370694922406
rewarding, social: 0.905750068685
insufferable, thereto: 1.06169050883
mistreated, radical: 0.586171871002
rank, see-through: 0.0
three, wasted: 0.445458299401
unlucky, varying: 0.244792095661
exclusive, worried: -0.148389965867
rooted, understandable: 2.35182677706
frightful, mediocre: 2.16217620896
customary, faint: 0.025615484184
connected, nationwide: 0.204657069481
autonomous, expedited: 1.3855489102
repulsive, well-off: 0.0
fiercer, marvellous: 0.0
grieved, susceptible: 0.737248004503
-mentioned, destabilizing: 0.0
imminent, staggering: 0.786922228759
handsome, stipulated: 0.880256651258
beastly, fuckin: 2.03352277437
bloodied, cuter: 2.01154909797
african, early: -0.392822425051
loyal, unspeakable: 0.786194467827
ruthless, sorry: 1.47853393447
authorised, reality: 0.0
discretionary, total: 0.75769891638
looser, manageable: 1.77312468532
discretionary, small-scale: 0.0
government-owned, promising: 0.0
approved, bastard: -0.590682220863
inter-related, senseless: 0.0
flat, perpetual: 0.47204667821
part, rapid: 0.324726874057
enlarged, mortal: 1.12797170889
better-quality, undignified: 0.0
presently, yo: 0.056569979357
nonsense, priceless: 0.717639740157
equivalent, meaningless: 1.52571856432
displacement, poverty-stricken: 0.0
commensurate, insecure: 0.794828032352
attentive, famous: 0.614339926322
grieved, liked: 2.15883547591
home, serene: 0.637482620054
evening, overworked: 0.293753748896
contestable, treatable: 2.29468999814
started, sweetheart: 0.227365792491
authoritative, lightweight: 0.629165014843
co-financing, devastating: 0.0
parallel, perpetual: 1.1882408206
prior, refundable: 1.41522553613
intelligent, tasty: 0.958923141001
mid-sized, sorr: 0
n'tunderstand, vested: 0.0
born, notable: 0.745190413593
disciplined, stern: 2.44564031074
confidentiality, dopey: -0.110448619111
pitiable, prejudicial: 1.56724330625
glowing, ill-conceived: 0.0
evey, pretentious: 1.18779539871
brain-dead, someday: 0.0
luckier, massive: 0.216563895899
demanding, paradoxical: 0.834552330976
frankenstein, overburdened: -0.190814772347
enriching, last-minute: 0.0
importantly, presumptuous: 0.785492525771
elementary, preferential: -0.291336871716
longitude, warranted: -0.110359384221
thereto, visible: 1.16834844791
also, purty: -0.186827390249
germane, reduced: 0.235367614167
frozen, implemented: 0.655098633342
blessed, unconvincing: 0.324506833427
complementary, undemanding: 1.71185556044
explained, overloaded: 0.438957683442
lighter, peachy: 1.61666680605
frustrating, upbeat: 1.90589494393
handling, introduced: 0.320502652307
nigeria, sunnier: 0.077463687765
inter-linked, unequivocal: 0.0
inalienable, panicky: -0.519017898864
detailed, short-term: 0.0
alternative, ironic: 1.00223719012
old-timer, together: 0.0
acknowledging, unconvincing: 0.862698264175
lengthy, manufactured: -0.055222914921
insincere, short-sighted: 0.0
geographic, guilty: -0.605803917666
move, open: 1.1199740302
even-handed, unremarkable: 0.0
permanent, retail: 0.647618047519
available, scrumptious: 1.13006056183
as, self-conscious: 0.0
heavier, incorrect: 0.840090565389
closer, cowardly: -0.249944523595
constructive, succeed: 1.79239966391
closer, irritating: 0.250742133594
do, serene: 0.334616320466
cohesive, honest: 1.91153415775
fledged, inestimable: 0.404344624325
hiv-positive, suited: 0.0
huh, participants: -0.194452034743
longitude, planning: 0.251928475371
hazardous, modernizing: 0.125380937079
meaningless, stress-related: 0.0
adjacent, problematic: 0.581522744109
domestic, rigorous: 0.300428088818
broadest, environmental: 1.27509867159
undemanding, wicked: 0.700293762318
continual, usually: 0.995391157097
imperfect, pitch-dark: 0.0
beter, destitute: 0.531524350953
determinative, unidentified: 0.708873119402
illusory, sudden: 0.965374257368
frazzled, human: 0.803976775409
dope, subtler: 1.41704331998
nessessary, only: 0.0
controlled, critical: 0.809993109263
level, untrue: -0.218835833858
booked, iovely: 0.0
astute, eccentric: 3.48899469528
carefully, unlucky: 0.592214213868
becoming, debated: 0.439899630831
blessed, fascinating: 1.66182734927
impressive, security: -0.214068229169
obnoxious, refusal: 0.593697979545
optimistic, well-done: 0.0
conservative, fucked-up: 0.0
interest, scientifically: -0.08321145678
automatic, close: 0.342057468059
ample, instable: 0.69798873213
science-based, stupider: 0.0
determining, fancy: -0.040289253473
exemplary, slightly: -0.275308829401
colder, furthest: 1.96502062393
loud, youngest: 0.646253703958
compensable, rapid: 0.066499863821
grotesque, multifocal: 1.56975535017
bright, overwhelming: -0.048330316231
determinative, vocational: 1.02633871342
competitive, profitability: 2.57135122078
disconcerting, subsequent: 0.848693883799
overt, treatable: 1.18949545732
audacious, oldest: 0.831745215269
interlinked, vis-: 0.0
non-self-executing, time-sensitive: 0
indebted, poorest: 2.9543638327
all-powerful, egotistical: 0.0
formidable, largely: 0.725822201703
broad-based, held: 0.0
developed, several: 0.744494793724
equipped, more: 0.489539528286
dying, handy: 0.547653273169
pretend, rooted: 1.22737454617
pure, tighter: 0.077520732704
abnormal, de-insured: 0.0
first-rate, generalized: 0.0
docile, productive: 2.52260994191
across-the-board, co-operation: 0
happiest, manifold: 0.137439201078
bonnie, west: 1.15496698893
equivalent, minuscule: 2.03727400286
right-handed, squeamish: 0.0
completely, executed: 0.153516916338
efficacy, grieved: 0.081304930709
hurt, misused: 1.44776865903
counter, marty: -0.335141565509
broader-based, disposal: 0.0
annulled, two-pronged: 0.0
economic, growing: 1.10470089427
fast, so-called: 0.0
grisly, odd: 1.83644979167
bad, supplemental: 0.598508811755
handicapped, petite: 0.951759102325
entrenched, wholly: 0.691093805906
light, softer: 1.34566753605
dishonest, indicative: 1.53941025844
adaptable, apposite: 1.85341525295
impartial, inside: 0.161551514836
achievable, apposite: 1.87490942595
coming, grisly: 0.409540870044
-good, youth: 0.0
knowing, usual: 0.689957987585
above, flat: 1.55124930336
education, shaking: -0.028303778748
optimum, wacko: 0.158387763877
newsworthy, nice: 1.88678816937
complimentary, depressing: 0.526624026356
arbitrary, subject: 1.53473916677
annoying, trippy: 2.83215035711
briiliant, shifty: 0.0
nosy, useable: 0.495560386656
bankrupt, informed: 0.821289925151
good-iooking, leveraged: 0.0
come, unjust: 0.529012877353
redundant, sombre: 0.833892607472
louder, unhealthy: 0.693626243127
high-ranking, representative: 0.0
busier, exposed: 0.491444113546
brand-new, uncontroversial: 0.0
conscientious, constituted: 0.554392582977
mild, nude: 0.772707929271
cross-border, groundless: 0.0
myself, practical: 0.967660790687
needy, young: 1.87136569371
called, recognising: 0.0
laborious, rigorous: 3.72529138309
sophisticated, straightaway: -0.241799560953
coming, exclusive: 0.020365534941
deprived, lethal: 0.88606539266
belated, commenced: 1.34562230711
geographical, milder: 0.775099020194
classical, well-positioned: 0.0
divine, kinda: 0.544712395579
callous, physically: 0.974359770508
demonstrated, helpless: -0.048281854702
actual, disposal: 0.180189051146
fiine, subtle: 0.0
greater, topic: 0.50011549662
crafted, kinda: 0.612707586019
intelligent, varied: 1.08235274447
deplorable, panicked: 1.48165501563
east, egocentric: 0.521359317189
possibly, selfevident: 0.0
confidentiality, safeguarded: 3.44880439443
dopey, lovelier: 1.53310316333
impolite, unpublished: 1.01767512897
now, unexpected: -0.167176897346
dressed, psychotic: 1.78743191927
junior, southeast: 0.311244239645
glamorous, northern: 0.609998357289
daily, south: 0.609074315281
aggravating, internationaux: 0.067177594484
elite, normally: 0.706647624468
fifth, thicker: -0.00813682858
announced, pure: 0.322392622194
soon, today: 1.24851092681
hilarious, substandard: 1.09432264663
minor, specify: 1.36273010614
alia, seriously: -0.173206114841
consistent, frightened: 0.142240677871
-good, freer: 0.0
categorical, obscene: 1.60205111491
pilot-tested, world-wide: 0
fbl, fledged: 0.0
co-financing, smooth: 0.0
fertile, soothing: 1.65099528122
obscure, succinct: 2.2330750129
alarmed, freezing: 0.657004824432
problematic, spooky: 1.08142939395
only, reasoned: 0.621490766548
accused, youngest: 0.971545489209
astounded, formidable: 0.958656885928
big, expanded: 0.228670371837
fast-growing, saved: 0.0
precise, resolved: 0.657830021287
abusive, grievous: 1.40410929662
high-cost, marvelous: 0.0
find, neat: 0.612776097491
discriminatory, meaningful: 1.58416182977
incompatible, reaching: 0.054125433232
bolder, valued: -0.009518171323
full, swifter: 1.24252780952
hard-pressed, korean: 0.0
clever, non-compliant: 0.0
appreciable, unused: 1.46977178203
happened, unanimously: 0.370823451514
innocents, perverse: 3.06521791574
forever, supportive: 0.970399031531
scheduled, unwise: 0.812080165136
tight, untenable: 1.42729195294
high-tech, quality: 0.0
better-quality, bygones: 0.0
furthest, treatable: 0.762057567579
canceled, contrary: 0.831502234657
drawn-out, thorough: 0.0
cold, prominent: -0.092588065075
enchanting, unfeasible: 1.14676517112
stern, unprofitable: -0.533078752489
minor, so: 0.163741354861
environmentally-friendly, useless: 0.0
expandable, untenable: 1.4009188549
anticipated, you: 0.108212796434
encouraged, snotty: 0.361677710257
experienced, fierce: 0.455711905721
mla, used: -0.215072059522
fairer, objectionable: 0.958701813705
jumpy, persistent: 1.55848881998
good-iooking, l: 0.0
bad, wacky: 2.29209801797
heavy, twisted: 0.867602066452
retrievable, u.s.: 0.0
huge, worthwhile: 1.80001230969
iil, quickly: 0.0
actionable, following: 0.774109782873
enlarged, recurrent: 1.80376007651
beneficial, well-founded: 0.0
educational, twice: -0.069898640928
indicated, trippy: -0.049859589537
depressed, expressed: 0.664526592673
responsive, sane: 1.72433846774
indicated, monumental: -0.117222726007
pre-published, strongly: 0.0
history, unlocked: 0.085160958161
foolish, idiots: 3.56502630913
inexhaustible, left: 0.078442221406
forthcoming, smaller: 0.330283395107
more, rationalized: 0.49302127037
between, intentional: 1.11231370312
direct, staff: 0.496772712232
political, traumatic: 0.991846613577
doing, impaired: 0.214872091406
illiquid, special: 0.689682889397
obstinate, overripe: 2.26411859228
incalculable, recently: 0.012911105446
clearest, first: 1.17621243642
dubious, proscribed: 1.48161541897
breadth, inquisitive: 0.793712079293
first-hand, specifically: 0.0
apparent, sir: 0.05782843431
ashamed, hereby: 1.6568098138
grisly, separate: 0.828012036981
flat, well-prepared: 0.0
all-round, glowing: 0.0
on, trivial: 0.693365274224
particularly, toxic: 0.335197774047
eleven, two: 2.49095617626
dope, fourth: 0.500635038642
endangered, lye: 0.299499608886
geographic, immutable: 1.65569155398
intelligent, terrifying: 0.735470495772
confidentiality, notably: -0.001425423574
felt, solid: 0.684335641033
fruitful, interest: 0.942640212236
interdependent, squat: 0.331063932813
-just, predominant: 0.0
aging, unsure: 0.711433010341
dull, key: 0.238532015036
excitable, redeemable: 0.498023098785
compulsory, convincing: 0.687539195575
regardless, well: 1.12044845083
formed, simply: -0.125579983866
unlimited, viewable: 2.51965240466
nut, purer: 1.11848395878
grumpy, uneconomical: 0.956222917436
opening, public: 0.746865155456
nearby, well-armed: 0.0
emerging, moist: 0.52216421542
arguable, cloudy: 0.796176605555
ungrounded, volatile: 0.669607592766
small, technical: 0.603406402461
practical, well-organised: 0.0
harsh, unachievable: 1.37622458611
compensatory, nessessary: 0.0
critical, kinky: 0.19317537246
better-quality, non-transparent: 0
added, influential: 0.351355115708
executory, with: -0.974811495236
quoted, technology-neutral: 0.0
good-looking, question: 0.0
recommendable, underprivileged: 0.566238951095
brilliant, issue: -0.585314535786
leaner, white: 0.784431032987
dry, effectively: 0.633727820043
scientifically, shielded: 0.293136331347
rusted, thanan: 0.0
distraught, zero: -0.034475222744
resolved, value: 0.278597435875
adaptable, kane: -0.089565324851
deep, twisted: 1.39958270181
ashamed, harmonised: 0.0
barmy, creditable: 1.88056035545
expanded, year: 0.837092410741
charming, yo: 1.29402533056
positive, steeper: 1.03112338923
known, truth: 0.308024332358
sooner, wonderfui: 0.0
preferable, unappy: 0.0
infamous, ironic: 2.32419785392
beautiful, rock: 1.04980886974
costly, sell: 0.737221760288
opposed, tense: 0.435404093717
anomalous, mainly: 0.533703146104
school, true: 0.367452248089
formal, near: -0.031263846969
inequitable, upbeat: 0.250068422934
insupportable, prejudicial: 4.73646928559
multi-layered, ungrounded: 0.0
self-sufficient, sketchy: 0.0
advantageous, suicidal: 1.02335089115
clinically, vacant: 0.228549536058
outermost, problem: 0.660741579653
compact, stout: 1.78131309529
armored, rehearse: 0.992088187574
free-of-charge, roisin: 0
readyto, underdeveloped: 0.223358432335
heterosexual, small-scale: 0.0
particular, specifically: 2.35373039839
copacetic, frustrated: 1.38446729405
flagrant, syrupy: 1.6748148903
evening, everything: 0.36258809246
america, well-informed: 0.0
colder, extant: 0.027968023187
overworked, soaked: 1.6491661345
scarlett, sophisticated: 0.245412890273
confusing, foolproof: 2.21157850709
disgusting, judicious: 0.827235449939
childish, striking: 0.433427878016
sketchy, whatever: 0.950093363115
unprofitable, weakest: 3.03632052065
disclosed, welcomed: 1.38219078767
brutal, insulting: 2.07706142057
completed, expressed: 0.728586755256
do, syrupy: 0.375870222026
slimmer, unheard-of: 0.0
naked, splitting: 0.658943536389
nervous, over-ambitious: 0.0
genuine, grown: 0.335700184562
automated, wealthier: 0.209315156067
commended, organized: 1.80165212079
dainty, prevailing: -0.059181609129
business-friendly, wrongful: 0.0
incalculable, starker: 2.55525276546
tied, unreliable: 0.823090284122
craze, declared: 0.325888965951
bummed, geek: 3.52201817918
risky, symmetrical: 1.14724121188
rarer, senseless: 0.817396308039
education, wack: 0.674831598673
determinable, unspeakable: 1.36727340361
madness, requested: -0.234596168138
everything, well-served: 0.0
clearest, nineteen: -0.096744820441
fair-minded, optimistic: 0.0
effectively, offensive: 0.604354597334
few, opportunity: 0.864233724231
denser, race: -0.080767153005
exponential, violated: -0.465844194709
lucid, mightier: 0.933872591934
finer, then: 0.426429789248
amazing, sacrosanct: 0.604481611779
gandalf, thank: 0.0
centralized, nice: 0.501563569428
long-term, perpetual: 0.0
efficacious, rough: 0.198661846286
satisfying, suicidal: 0.924431093074
consulted, tragic: 0.422552439384
gorgeous, spotless: 2.64282466748
restless, u.s.: 0.0
disjunct, max: 0.349360910865
erroneous, plenty: -0.00204593418
disabled, frazzled: 0.894339111258
allright, nauseous: 2.3088671261
bigger, foreverything: 0.0
cool, north-east: 0.0
ghastly, sold: -0.205185078948
proactive, vital: 1.58269642655
impenetrable, refined: 1.31420064002
n'tunderstand, steady: 0.0
starved, undamaged: 0.606630452837
eco-friendly, perfect: 0.0
paradoxical, well-coordinated: 0.0
anti-constitutional, proportional: 0.0
flame-retardant, reyes-torrena: 0
conservative, encompassing: 0.64721060398
luckier, probably: 2.26942986629
disappointing, sombre: 3.18324429693
on, together: 0.857742772354
described, disabled: 0.217719274213
primarily, twofold: 2.16255519855
legibly, non-binding: 0.0
irrational, neurotic: 3.58301033928
distraught, requested: 1.16374284066
fascinating, free-standing: 0.0
hither, inconceivable: 0.301244175105
possibly, yummy: 0.244051299066
compared, snappy: 0.656295652138
exorbitant, life-long: 0.0
everyone, moody: 0.252111228238
obnoxious, unanswered: 0.618458834748
questionable, repulsive: 1.53806104161
based, recently: 0.799647440694
bogus, disgusting: 2.391374976
induced, interoperable: -0.397331798061
hurtin, interoperable: 0.675442074047
begin, significant: 0.386519799956
five, imminent: 0.130261673996
david, masterful: 0.662879626634
impracticable, unified: 0.805206947212
erected, louder: 0.762214184134
transparent, treasured: 0.293478006639
blurry, quiet: 1.17293949781
inexcusable, stated: 0.940588339247
compact, sleeping: 0.180954486983
corresponding, somewhere: 0.770180364541
-lnteresting, handy: 0.0
few, ravishing: 0.194614944642
additional, anticipated: 1.48567875269
first-hand, tell: 0.0
despicable, one-sidedly: 0.0
human, likable: 0.882644079797
developing, vocational: 0.803623344195
distressing, info: 0.63072000256
eco-friendly, respendable: 0
aggravated, essential: 0.453818823547
functioning, softer: -0.621911410354
inter-connected, roisin: 0
nosy, well-maintained: 0.0
northeastern, sore: 0.245972483769
inconspicuous, unsuitable: 1.50437689912
centralized, geographically: 2.90261974567
belligerent, classified: 0.139069343716
better-iooking, non-compliant: 0
generally, hungry: 0.651980737786
thoroughly, witty: 1.00584535623
awol, donkey: 2.2613631643
concrete, sustainable: 1.74621760616
considerate, moving: 0.679951116934
more, need: 1.13585019768
forever, turbulent: 1.47394608263
forthwith, well-placed: 0.0
confrontational, unbalanced: 2.62405188103
equivocal, recognized: 0.884691511907
meaner, sustainable: 0.339317664855
dressed, hourly: 0.453909472894
requested, smokin: -0.026522033671
everyone, various: 0.702738573521
influential, pleased: 1.00373555231
keen, outnumbered: 0.134300872717
co-operate, substantial: 0.0
funded, typical: 0.618516311602
entertaining, integral: 1.28023407375
blank, slimmer: 0.642479203686
demanding, longitude: -0.219735362101
disappointed, sicker: 1.52155514511
proscribed, underage: 1.68712897343
anymore, you: 2.40190719148
nonsensical, together: 0.370201428866
atrocious, south: 0.457303176324
concerted, implacable: 1.13452374959
efficacy, liberal: 0.7787381415
brand-new, secret: 0.0
indigent, prepared: 0.607067163471
consequential, non-transparent: 0.0
furthest, linked: 0.649364828492
supplementary, ungrounded: 1.26170136874
appreciated, asinine: 0.468424672918
application, starker: -0.418704224607
rather, resistant: 0.496079100879
admitted, available: 0.221833851068
meritorious, undamaged: 0.879001910816
premier, screwed: 0.11942318492
abnormal, denser: 1.70036000446
determining, state-run: 0.0
implacable, wreckable: 0.0
clerical, ridiculous: 0.45591306643
automatic, dispute: 0.421627357075
clerical, notable: 0.659399043465
complacent, disappeared: 0.480336714699
defeated, export: 0.526915235852
uncontroversial, upper: 0.398243720573
orderable, tasteful: 1.3473209114
fastest, joyful: 0.410170954538
clare, roisin: 0.0
pro, so: 0.246701533136
salutary, welcome: 1.63903576316
divine, shiny: 0.905459614404
generalized, persistent: 2.32189424677
dre, gracious: 0.377018167747
great, protected: 0.475043013193
fragile, shaky: 4.51509636089
conventional, reason: 0.06693299387
enormous, secondary: 0.293602883253
repeated, uppermost: 0.783348868009
positive, under-age: 0.0
disrespectful, respect: 3.31096235742
coming, farther: 1.19073061775
gutsy, peculiar: 1.06729798137
dull, factored: 0.58346815043
illusory, regulated: 1.17923743289
encouraging, understand: 0.925406376368
accessed, savage: -0.71502181808
babe, self-conscious: 0.0
imperceptible, there: 1.40444561757
multidimensional, selfish: 1.57313476875
contemptible, working: 0.064908506975
dim, expeditious: 0.424788341115
ago, grouchy: 0.488323351713
stranger, utopian: 1.27819610257
presentable, undemanding: 2.69096929378
convincing, well-maintained: 0.0
contradictory, eastern: 0.655506827818
grown, kosher: 0.866187392262
annulled, equitable: 1.55173516176
really, unproblematic: 0.520857451087
popular, pretend: 0.40760967135
smart, stunning: 0.927782400672
leading, time-consuming: 0.0
distracted, improper: 1.34505748044
gutsy, reai: 0.0
retard, victorious: 0.069451806772
starved, vigilant: 0.07508638382
self-governed, well-formed: 0
lucky, to: 0.0
blurred, worrisome: 1.62710120316
mieux, wreckable: 0.0
facultative, subsidized: -0.003885277285
abysmal, tasty: 0.886362276628
roisin, terrifying: 0.0
forthwith, singular: 1.00240109341
10, compulsory: 0.0
afterwards, rock: 0.134263107839
all-encompassing, naked: 0.0
briiliant, snotty: 0.0
greener, run: 0.464343664269
promptly, still: 0.220618179749
born, marginalized: 1.42560607647
particularly, steadfast: 0.721387828764
first-class, selfish: 0.0
environmentally-friendly, unappy: 0
grateful, lovely: 2.36728786636
extensive, thinner: 0.512301085164
blessed, unsure: 1.17986597963
nearly, terrified: 0.700709273033
consistent, icy: -0.039803562436
categorical, vice-chairman: 0.0
astonishing, null: 1.03860862431
affluent, yesterday: 0.199249757355
entirely, merely: 1.84045568588
inconceivable, infected: 1.05768542754
inconsequential, truer: 1.65702506089
disconcerting, unprepared: 1.91386670515
crazed, monstrous: 2.83968845824
fresh, old-fashioned: 0.0
differently, time-consuming: 0.0
safeguarded, time: 0.541439322266
previously, special: 0.724045767715
foremost, untrue: 0.074309440462
industrialized, unsettled: 0.776831311549
frightened, threaded: 0.044621215933
deceased, proficient: 0.159910373578
obvious, reyes-torrena: 0.0
perilous, serious: 2.16247155575
humane, prolonged: 0.712298922999
unavoidable, unworkable: 3.01495303411
dark, reasonably: 0.563510295546
carefully, whilst: 1.17555005215
fantastic, understand: 0.971046630624
contemplated, generalized: 0.914866648036
flattering, spaced: 1.26452133364
profane, stringent: 0.826836398067
baby-sitting, substandard: 0.0
commenced, qualified: 1.17904204588
puny, try: 0.309964620646
afterwards, stuffed: 0.172493342665
wacko, well-documented: 0.0
doctor, emerged: -0.258850619695
shorter, unacceptable: 0.1666835313
concrete, treatable: 0.164019461624
noticeable, picky: 1.48400530288
disclosed, disclosed: 9.19856249683
equipped, tense: -0.028461528646
accurate, bad-looking: 0.0
ominous, worst: 1.71660610139
juvenile, verify: 0.173488503223
distinguishable, equally: 0.668596157231
now, principally: 0.668610625345
inalienable, lovelier: 1.02184473384
fat, quick: 1.17605707708
extinct, moronic: 0.906004429216
discrete, ping-pong: 0.0
north, undecided: 1.14277001441
dead, logical: 0.447988281421
large, telling: 0.088230256423
hence, reyes-torrena: 0.0
disgraceful, inconvenient: 2.83127375813
administered, on: -0.02390453857
extra, ignored: 0.532829222132
inconvenient, technological: 1.08466005985
aforesaid, multi-threaded: 0.0
reachable, unconventional: 0.236861382328
concise, geek: 0.398009700473
enough, soft: 0.975824243035
prepped, them: 0.231467335404
dorky, say: 0.800615418271
diverse, stir-crazy: 0.0
growing, tricky: 0.07402041351
likable, non-transparent: 0.0
consultation, updating: 1.5493899384
definite, targeted: 0.52913409479
formal, impenetrable: 0.569951425344
dear, lackluster: 0.774314907847
intentional, tight: -0.272919949383
geographically, vice-chairman: 0.0
incomprehensible, western: 0.616805879326
cinematography, discretionary: 0.56404998779
distressing, use: 0.275843645827
erected, obstinate: 0.864201072033
cher, notorious: 0.055829334901
living, unjust: 0.808704418841
-ready, furious: 0.0
doing, nationwide: 0.095224831899
irritable, spatially: 2.73190292593
ideally, typical: 1.32757126546
justified, thankyou: 0.310538826925
constituted, inequitable: 1.84207251503
drunken, export: -0.037816177182
!, galore: 0.0
resident, resolute: -0.170680255163
creation, year: 0.053808445054
critical, fucked-up: 0.0
indiscreet, organised: 0.0
noted, profitability: 0.71384778593
reasonable, selected: 0.321857932233
thready, visual: 1.02057013101
already, last: 1.16320969165
