terse, try: 0.19331108423
creditable, paranoid: 0.425208482476
adverse, issue: 1.07283869371
costly, paranoid: 0.6442546743
embarrassed, unaware: 2.86560932927
economically, legitimate: 0.891943697854
advised, beneficial: 1.08894918712
accountable, ever-increasing: 0.0
bright, nigh: 0.643883071684
self-governing, unchanged: 0.0
unimpressive, worrying: 2.12249466872
destabilizing, urgent: 1.31468464801
preferential, unsatisfactory: 1.58373386903
better-iooking, deductible: 0.0
moronic, realist: 1.09547261165
endearing, lethal: 1.34772880571
degraded, lasting: 1.02897452007
astonishing, exaggerated: 2.10881764521
inoperable, married: 0.600028305713
likable, of: 0.0
co-operate, flattering: 0.0
elevated, okey: -0.216431993736
grumpy, nosy: 4.89956209181
western, worrisome: 0.695947767046
impoverished, statewide: 0.282036586746
noisy, rarer: 1.66836807745
commitment, ridiculous: -0.118396264438
foutu, turned: 0.0
bulletproof, estimated: 0.1196428803
ju, suspected: 0.937039757172
arguable, deliberately: 0.757817615432
heterosexual, task-oriented: 0.0
largest, registered: 1.81584156669
clerical, lucky: 0.02881098474
opportunity, seldom: 0.925935085184
immaterial, intimate: 0.894812984849
aggrieved, retard: 0.665259092151
asinine, fruitless: 2.75382657587
cost-effectiveness, huge: 0.0
calming, nice: 1.76774604391
crafted, hopeful: 0.465243331138
lazy, reassuring: 0.739902413361
included, well-paid: 0.0
hostile, non-toxic: 0.0
cheesy, insignificant: 1.60799152829
hereto, surreal: 0.467218826736
poor, whatever: 0.845467987947
deep, shared: 1.22349823499
lucid, weil: 0.536123406338
endearing, unchangeable: 1.95861637966
abundant, actionable: 1.2351849483
empowered, ordinary: 1.68476615496
hot, muted: 0.8995284138
interdisciplinary, leave: 0.310072274509
surely, topnotch: 0.966247389921
arguable, neat: 0.739969612495
droll, observed: 0.82794112109
brillant, skilful: 3.83453290849
spotless, switching: 0.338205189855
chaotic, dangerous: 2.92663553535
restricted, self-contained: 0.0
near, super: 0.000904293593
distinctive, iilegal: 0.0
fucked-up, open-ended: 0
courteous, slight: 0.858232392762
fluid, inalienable: 0.047828923056
justiciable, maintained: 0.773034987496
across-the-board, irreconcilable: 0.0
apolitical, occupied: 1.36108651226
forgotten, roll: 0.389328847213
fierce, transient: 0.353145436806
flagrant, horrendous: 2.57204850543
exemplary, thirds: 0.289717337702
determining, infamous: 0.113829148499
better-looking, misguided: 0.0
groovy, state-owned: 0.0
eastern, unabated: 0.794843890843
re-established, simplest: 0.0
better-educated, direct: 0.0
inappropriate, rusted: 0.858784673989
duty-bound, vulnerable: 0.0
absolutely, workable: 1.12484618119
harmless, single-ranked: 0.0
anticipated, apace: 1.29088388351
nobler, unmistakable: 1.69686827144
friendlier, softer: 4.62373065503
dependable, oral: 0.656080811181
comprehensive, locked: -0.322234299175
quality, revealing: -0.118421624662
doubt, yearly: -0.178797650758
long-range, prevalent: 0.0
meticulous, worth: 0.833258347748
archaic, ravishing: 1.68011170236
export-ready, favourable: 0
comfortable, created: 0.0451254476
southeast, stunning: -0.022394917326
loaded, move: 0.893700679099
american, overweight: 0.933878714318
unimaginable, zero: 2.48603720355
girlie, slender: 1.69781754473
acquainted, hazardous: 0.342556623771
righteousness, secondly: 0.988638235714
drunken, organized: 0.424246826098
kinky, launching: 0.024592731081
bi-directional, lean: 0.0
faster, repelling: 0.663852092296
dressed, instead: 0.149354336284
honourable, offensive: 0.0
longest, quoted: -0.397149427904
magic, noteworthy: 0.631592134784
heaviest, unbiased: 0.692247233379
accused, indiscriminate: 1.00591405193
accustomed, asleep: 1.37113165584
frightening, sweeter: 1.6286534432
delayed, overwhelming: 0.695931058026
myself, published: 0.110904584506
disposal, flawless: 0.547141062693
actively, lookin: -0.933574713627
healthy, odd: 0.696861341127
distasteful, tardy: 1.21326731398
interdisciplinary, twice: -0.185790042716
move, superficial: -0.15699604879
coordinated, fine: 0.191304793584
danger, involved: 0.771488616034
overpriced, trashed: 3.33535889109
deliberate, worst: 1.1120567217
hiv-positive, yourself: 0.0
ecstatic, irrelevant: 1.33998550652
reachable, vice-president: 0.0
attended, lifelong: 1.39233634825
expandable, to: 0.0
compulsory, elevated: -0.027233384866
aligned, holistic: 1.74530046725
dry, issue: 0.812854949967
addition, unspecified: 1.02052735782
factored, multi-layered: 0.0
believable, secret: 1.58841766121
multi-faceted, sympathetic: 0.0
self-contained, successful: 0.0
privileged, self-explanatory: 0.0
crafty, know: 0.994256369387
categorical, chubby: 0.191942373702
emerged, ineligible: 0.018416599328
executed, furthermore: 0.534764579512
coarser, prejudicial: 1.25993388325
privileged, uppermost: 0.900833432719
intimidating, stocky: 3.22424179944
cranky, pre-established: 0.0
cruellest, important: 1.42575732593
oral, welcoming: 0.065614550561
ashamed, tardy: 1.67455200142
agreed-upon, lead: 0.0
cabbage, flashing: 0.456101206931
crippled, displaced: 2.19061195149
briiliant, hospitable: 0.0
provided, supplemental: 2.01986997132
suicidal, swifter: 1.15618788735
quickly, ugly: 0.981083640793
sacred, temporarily: 0.581199512575
reality, well-documented: 0.0
preferential, segregated: 2.08283069217
central, stupid: 0.122612203722
superfluous, unfounded: 2.89804973754
naked, non-toxic: 0.0
nearby, unhappy: 0.662566699091
momentous, righteousness: 0.536225870285
enough, pleasing: 0.669332943683
general, wicked: 0.018308064156
darkest, populated: 1.1691480707
immutable, rarer: 2.27036459035
prosperous, well-documented: 0.0
diversified, taken: 0.083685170418
bothersome, hideous: 2.89325638619
gracious, see-through: 0.0
improving, woken: 0.557798633154
rusted, scarce: 1.61452612464
poor, tiresome: 1.02605904498
modernized, preferable: 0.903874630477
expensive, midget: -0.069734138141
longer-term, objective: 0.0
open-ended, proper: 0.0
on, uniform: 0.257758661387
consideration, removed: 0.591617340514
humid, suspected: 0.491988177092
gonna, syrupy: 0.942283555642
supplied, use: 1.87120190117
finest, off: 0.149766148906
nosey, political: 0.0
honourable, longer-term: 0
pray, viewable: 0.767200304847
believable, excessive: 0.126195673565
do-able, surer: 0.0
eccentric, grand: 1.20364692283
nosey, unremarkable: 0.0
adversarial, overridden: 1.26377052452
sporadic, tiring: 1.42116619506
get, operative: 0.06202934486
fluid, unfounded: -0.153255018733
proficient, under-funded: 0.0
flexibility, staff: 0.923740843141
briefly, firstly: 0.944561750716
all-round, unfortunate: 0.0
equivocal, unseemly: 2.07838639741
duty-bound, raison: 0.0
apace, envious: 1.30197927309
fearless, someday: 1.19021159583
invested, quicker: 0.428727857766
evey, forlorn: 0.700530968437
commonplace, fall: 0.427303578755
daily, receptive: -0.424601060939
scary, yummy: 2.90837698787
clever, considered: 0.437165734601
choosy, multi-disciplinary: 0.0
feisty, painful: 1.31953163471
transitional, unacceptable: 0.873568025147
specify, stimulating: -0.004060353677
deep-rooted, marty: 0.0
fairer, suspicious: 0.215491613367
mainstream, retard: 1.3450991968
sing, u.s.: 0.0
certain, hip: 0.524428494307
10, unitary: 0.0
diseased, palpable: 0.879596952765
homosexual, seasick: 1.19901187511
self-executing, sketchy: 0.0
dearer, keen: 1.6769736121
powerful, school: 0.044488491066
dual, fake: 1.14163627031
need, wierd: 0.604232822365
acceded, fair-minded: 0.0
acceded, weak: 0.713809486887
corrupt, rogue: 4.11137686679
priced, vacant: 0.344679214086
freedom, shorter: 0.538172614622
met, unreliable: -0.250291614012
autonomous, understood: 1.07659325582
disclosed, famous: 0.051627910915
disputable, unthinkable: 1.06462240283
same, switching: 0.881107404639
fifteen, operated: 0.831277770846
disruptive, moreover: 0.697848669943
adversarial, serene: 1.66273581938
created, happiest: -0.048380174149
bitter, currently: -0.213053897424
entertaining, unattainable: 1.28686355053
brightest, cheesy: 0.205368505364
aesthetic, enormous: 1.58656735023
cute, effective: 0.844619688637
rarely, updating: -0.297143098918
heartfelt, ridonc: 0.0
marginalized, unequivocal: 0.946573039173
inadequate, well-lit: 0.0
conscious, undisputed: 0.872663868673
pluralistic, unchanged: 0.574580979947
guaranteed, introduced: 0.590725472027
appropriate, booming: 0.089624219627
concerted, elegante: 0.0
economically, there: 0.368092716249
scared, sophisticated: 0.892240525241
touchy, unconditional: 0.342528477347
frazzled, homosexual: 0.295152408672
heavyset, snug: 1.90354620168
!, objectionable: 0.0
enlightening, marvelous: 2.89116868984
interdependent, pretty: 0.925788434489
better, unified: 1.28336413377
bothersome, comin: 0.871398277881
correctly, tiring: 0.368445310816
naturally, old: 0.395740207039
integrating, two: 0.264882029837
icy, retard: 0.205744817078
heavier, sturdy: 2.87294225308
bloodied, committed: 0.335953644637
horrific, policy: 0.371642971095
overpriced, well-represented: 0.0
fall, unique: 0.046854007828
way, youthful: 0.314475281404
graduate, wrongful: -0.207354771998
dreadful, unbearable: 3.31023470388
flavorful, skint: 2.04362016161
involved, tiring: 0.988574762755
presumptuous, related: -0.19393607372
instrumental, operative: 1.10232676615
socio-economically, tangible: 0.0
debate, know: 1.10477077809
fuzzy, unfavourable: 0.0
easier, losin: 1.10453044461
disputable, low: 0.277542918301
cheery, sensitive: 0.890989501955
finer, holistic: 1.71958342184
engaged, traded: 2.02124852176
elementary, skilful: 0.185975875952
merciful, qualified: 0.920982638623
hungry, sir: 0.958296529655
ironic, potential: -0.164980431629
leading, pressing: 0.993335524345
acknowledging, culturally: 0.737546333513
convincing, stark: 2.40745299178
commendable, hardto: 0.40796999884
circumspect, dim: 1.71199585733
unprofessional, unsanitary: 5.1783898152
ravenous, tasteful: 0.585389235872
courrier, exempt: -0.059063056671
correct, sparse: 0.138890372054
administered, horny: -0.17145804228
dense, turbulent: 1.45384524079
limited, profane: 0.311699804646
distressing, sincere: 1.42506314559
inactive, re-established: 0.0
furthest, handy: 1.19924987703
baby-sitting, nothingg: 0
consultation, recheck: 1.77228988571
dangerous, internationaux: 0.012587512469
etc, likely: 0.218481597273
maximal, timelier: 0.875741767016
revised, unimaginable: -0.010810146927
prohibitive, written: -0.068614901762
inoperable, pro-active: 0.0
rarely, untapped: 0.955317334388
notably, obvious: 1.46758733647
aforementioned, normally: 0.307293082469
linked, supported: 2.16232692317
greater, theoretical: 1.52063876703
laughable, prettier: 1.72307158222
favoured, shameful: 0.0
fanta, self-sustainable: 0.0
il, multifocal: 0.495319707096
booked, intermediate: 0.554882127398
scarlett, useable: 0.779612509351
batty, opening: -0.309012935621
favourable, liked: 0.0
canceled, clerical: 0.268609027579
carefully, insulting: 0.362030959052
guys, stricter: 0.676200927684
goodto, moody: 0.0
marty, worrying: 0.384477885298
cosmetic, dotty: 1.10840425638
co-dependent, generalised: 0
require, resident: -0.029167879707
insensitive, lead: -0.421846125309
disciplined, responsible: 2.3755588233
cowardly, need-to-know: 0.0
faithful, screwed: 0.534906611107
obsessed, serious: 1.07660618919
garbled, trivial: 2.71103338169
content, drastic: 0.087114072629
refined, tonight: -0.087487514392
overambitious, remote: 0.758884092602
elusive, incidental: 1.56416383991
divine, thicker: 0.930319985753
unaffordable, well-trained: 0.0
fluid, logical: 1.33188272079
discriminatory, sunny: -0.276392558765
dumb, homesick: 1.81144249072
invariable, permitted: 1.03461332592
customized, substantiated: 0.458661332272
cardinal, unaffordable: 0.399796169417
inter-related, interactive: 0.0
dorky, unbalanced: 0.90350501798
cynical, well-designed: 0.0
acquired, obscure: 0.852398598974
finest, proceed: -0.551009123628
disruptive, rank: 0.623458940432
co-dependent, insecure: 0.0
gutsy, lackluster: 3.34424256832
ecological, expressed: 0.577933064602
flexibility, probably: 0.545945471596
actually, batty: 0.759156225104
15-year-old, naughty: 0.0
accuracy, improvement: 1.25900995973
enormous, particular: 1.34903436376
burned, worse: 1.57685303082
presentable, unsolved: 0.39554697971
nuts, prestigious: 0.059300966164
east, restless: 0.78069969225
contaminated, set: -0.025837461785
apace, applied: 0.059086682169
accessed, mean: 0.450144674944
free-standing, uninsured: 0.0
harmless, well-organised: 0.0
dumb, handling: 0.711396956951
latter, secured: 0.083065034166
sovereign, well-trained: 0.0
able, diligent: 1.34929065144
mesmerizing, youth: 0.447461415677
captain, tired: 1.08467824181
flicka, friends: 0.0
barmy, unsettled: 1.33336909402
centralized, disposal: 1.23572250009
forthcoming, unrealistic: 0.838078563914
expressed, northeastern: 0.552934247572
concrete, solemn: 1.58722382374
entitled, final: 0.61662550607
counter, hope: 0.09545683764
debated, jam-packed: 0.0
culpable, tan: 0.089990622998
enormous, flaccid: 0.842119357991
arduous, vulgar: 0.262311606121
aggravating, lookin: 0.001212602288
precious, prosperous: 1.29333391926
general, outrageous: 0.439940751212
accused, female: 1.25593769847
culturally, jittery: 0.092258771311
euphoric, loose: 0.656941622624
going, upper: 0.419319511052
brilliant, preponderant: 0.70143320756
carmela, vital: 0.0
exceptional, unabated: 0.319499481969
glad, satisfactory: 1.44434056485
powerful, unsteady: 1.08876965891
divergent, unattainable: 2.04954254187
divided, soothing: 0.377441462543
comfortable, eligible: 1.191992874
discriminate, prescribed: 1.24748271324
high-cost, invaluable: 0.0
authentic, violent: 0.77379910737
term, this: 0.473831697077
pluralistic, pristine: 1.59798541947
calculated, emaciated: -0.247492874822
belated, foreseeable: 0.749126838053
contrary, shaky: 1.07703181733
little, stern: 1.00680758043
il, luke: 3.39465897164
granted, liberated: 1.96038276201
confused, six-year: 0.0
well-protected, wet: 0.0
it, snarky: 0.599058790659
appointed, inappropriate: 0.7137458639
anomalous, tied: 0.636104040992
fewer, woolly: 0.679701112286
apologise, laughable: 0.0
good, newsworthy: 1.46392242333
official, pale: 0.294214218111
hungry, unbecoming: 0.449457052161
casual, patentable: 0.031155976151
motivated, surrounded: 2.13450003196
impenetrable, two: 0.269999825735
cruellest, gender-neutral: 0.0
infrequent, modern: 0.398228205149
elegant, elegant: 7.89906263457
complex, needy: 0.417642557027
grouchy, unethical: 0.851500611729
cranky, requested: 0.014528401124
admirable, conspicuous: 2.3051675776
acceding, staggering: 0.463271842215
deliberately, expandable: -0.490196394693
life-threatening, sweeter: 0.0
large-scale, nobler: 0.0
closer, youth: 0.179595000349
overworked, soothing: 1.40482794945
effective, mideast: -0.154175211415
cherry, decided: 0.181583738148
displaced, unpredictable: 0.706461598412
believable, in: -0.094856648864
unsanitary, unwell: 3.17080726337
contentious, truthful: 1.14709920343
follows, potent: -0.764958651549
hazardous, two: 0.139953444576
mideast, occupational: -0.5105793258
broken, infrequent: 0.53893075043
imprecise, undesirable: 2.60114580307
-lnteresting, dandy: 0.0
high-cost, well-structured: 0
2nd, single: 0.926285495346
focussed, visibility: 0.923509788658
farther, opening: 0.439981309773
emblematic, second: 0.519962275573
pleasing, shaky: 1.56081986642
distinguished, ten: 0.887009744229
inflexible, juicy: -0.338881529397
disruptive, il: 0.109802789103
diseased, fresh: 1.21485679976
frozen, sinister: 0.260505052459
forlorn, necessarily: 0.036531348951
constant, endangered: -0.13555058286
sore, these: 0.318207820233
monthly, underfunded: 0.366978806861
instrumental, parched: -0.409074963801
foremost, well-founded: 0.0
implacable, stoned: 0.948958399121
exact, lean: 0.383350331224
apt, deader: 2.7028482891
healthier, inappropriate: 0.582573568988
dismal, first: 1.03146350177
deeper, intimate: 2.09278478968
iilegal, off: 0.0
acceding, bull: -0.198597934053
prerequisite, unaware: 0.485189154117
ephemeral, nonsensical: 2.40224924466
jam-packed, swift: 0.0
coordinated, occupied: 0.37367404941
conscientious, manifold: 0.506070902168
deceased, opening-up: 0.0
disjunct, horrible: 0.724741672308
gratifying, preoccupied: 0.852185457673
thanks, unforeseeable: 0.69204216364
fresh, variable: 0.418363695536
treasured, wild: 1.62207858508
heaviest, industrial: 0.882245351223
forgiving, touchy: 3.032396179
actively, pitch-dark: 0.0
friends, mistaken: 0.627725669772
expanding, unbelievable: 0.457487715992
craze, iil: 0.0
application, really: 0.128745687847
concentrated, horny: 0.676297731332
-mentioned, extra: 0.0
fuller, mightier: 2.69238488957
over, small-time: 0.0
copacetic, unidentified: 0.253731211278
happened, sloppy: 0.921645361438
severe, worrying: 1.86980735503
big, telling: 1.07067500178
clarified, pleased: 0.774193126829
gullible, responsibility: 0.7986171903
credible, damaging: 1.22691877361
insurmountable, technical: 1.88720885763
edible, wealthy: 0.95301850263
american, nauseous: 0.768467606504
henry, stupid-looking: 0.0
ah, terrible: 1.17093549711
broad, earliest: 0.671458569334
alike, favoured: 0.0
fiine, ill-defined: 0
likable, stoned: 1.44487055469
reduction, screwy: -0.21016961862
domestic, protected: 0.371616917522
sale, untraceable: 0.553452959727
found, remediated: 1.82104815288
marked, stir-crazy: 0.0
donkey, fruitful: 0.759659443941
opened, technology-neutral: 0.0
privileged, worse: -0.052436690063
presumptuous, thought-out: 0.0
vain, wicked: 1.74868903675
ecologically, ordinary: -0.007361954587
flashing, preferred: -0.155591674862
telling, unsure: 1.56899334391
high-tech, loyal: 0.0
financed, shitty: 0.629221678407
discriminate, in-progress: 0.0
fuller, reconcilable: 1.45057327883
first-class, raison: 0.0
nasty, weighted: 0.220736021437
frantic, pissed: 1.13768082102
personal, slimmer: 0.375290768495
dynamic, rotten: -0.397473464516
guaranteed, indiscreet: 0.665807352793
delightful, unfit: 0.57240454747
flawed, usual: 0.273848676244
especiaily, pretentious: 0.0
foxy, instead: 0.373759982853
hopeless, twice: 0.623070499726
ok, wide: 0.260476107213
fussy, registered: -0.128200921235
alien, well: 0.179477338421
even, secondly: 0.966301242975
discretionary, understood: 0.96265156112
occupational, therefore: 0.576436871403
alarmed, unconscionable: 1.9835441109
disabled, swifter: 1.14616905499
self-sufficiency, unscathed: 0.0
abundant, unlimited: 2.51995802919
overwhelmed, straight: 0.255806267102
autonomous, intentionally: 0.081841218031
disingenuous, invested: 0.485238497362
even-handed, ioaded: 0
dotty, unemployed: 1.66820769682
lovelier, righteous: 2.45086942915
freer, history: 0.21089594767
countless, oriental: 0.404665794087
challenging, saying: 0.462018200589
adopted, conventional: 0.462941595259
consultation, under-funded: 0.0
non-discriminatory, sensational: 0.0
currently, kane: -1.00180305453
fluent, long-standing: 0.0
automatic, compulsory: 2.73975088986
hooked, moron: 0.831445995498
information, recommended: 0.454595781872
sixteen, sold: 0.676562483546
flexible, obnoxious: 0.540225420669
addictive, south: -0.358034277837
elle, illegal: 0.101201459457
thin, transient: 1.10963595404
conscientious, mixed: 0.303697984987
meagre, vice-chair: 0
operative, school: -0.189906322559
dependable, entirely: 0.754825995401
costlier, seminal: 0.145064226009
participants, uneconomical: -0.532721361969
15-year-old, ideal: 0.0
humiliating, inadmissible: 2.53064976519
hunger, monitored: -0.129218649216
estimated, tentative: 0.727046364623
lame, widely: 0.282022175732
last, thanks: 0.719837029773
perplexed, sacrilegious: 2.70733485162
hither, whilst: 1.59539783617
cheapest, finest: 3.30347706319
boring, moving: 1.12892028026
autonomous, undetectable: 1.29860271133
democratically, dormant: 0.498386824104
catastrophic, finished: -0.009351495656
provided, shitty: -0.311595213856
do-able, raison: 0.0
milder, wrong: 0.822054374509
flame-retardant, funky: 0.0
graduate, vegas: -1.16650207762
implemented, untrue: 0.318137880249
envious, korean: 0.458784830006
ludicrous, psychological: 0.873888679064
battered, orderable: 0.636161284429
bravest, poisonous: 1.14847284821
lonely, tabled: 0.111116738283
insane, world-wide: 0.0
sing, woken: 1.846919582
imported, irregular: 0.0562286226
equivocal, naughty: 1.22793949779
dynamic, smallest: 1.00118938785
competitive, guilty: 0.479596292505
consistent, unanswered: 1.00382434622
transitional, underway: 0.759810670541
establishment, supplied: 0.530749514025
consultation, shifty: -0.333308242129
iegitimate, patchy: 0.0
liberated, seductive: 1.96322305909
believable, irritable: 2.68686156226
existing, pale: 0.679956153969
seen, vulgar: 0.73014431536
first, shot: 1.06306883592
graduate, shoot: 0.991044191794
stable, tolerated: 1.4930577648
fiine, simplistic: 0.0
gratuitous, recognizes: 0.324364794769
cross, hiv: 0.213656637306
mean, sacred: 0.674488297284
manifestly, vigilant: 0.108981737684
spatially, time-consuming: 0.0
lightweight, proportionate: 0.481145306225
alive, elderly: 1.01771181127
paramount, school: 0.284876158242
honored, unsteady: -0.053440531212
coming, oversensitive: 0.266062462899
boy, surely: 0.145796722293
compelling, degraded: 0.656517204132
enchanting, unfavourable: 0.0
david, reinforcing: 0.129023111698
personalized, vice-chair: 0.0
humane, thick: -0.156215455006
distracted, started: 0.759559598454
too, unreal: 1.71205627808
hardworking, total: 0.237647054729
brittle, task-oriented: 0.0
by-election, changing: 0.0
broad-based, hereby: 0.0
huge, roisin: 0.0
drenched, miniscule: 0.907246201018
suspect, ugly: 0.82237899397
unaffordable, virtually: 1.29549426517
inconclusive, least: 0.576460403506
adjusted, luck: 0.145717364885
absent, immaculate: 1.26628893898
functionally, unsettled: -0.305776205126
prudent, unable: 0.853261015993
high-cost, self-supporting: 0
brainless, careless: 2.26893280971
petrified, thicker: 0.982840619584
axiomatic, fifty: 1.28286322681
addictive, high-tech: 0.0
average, decent: 2.0886835727
handy, satisfied: 0.318026018116
easier, eleven: 0.014151394279
bigger, disagreeable: 0.369658492096
coming, merely: 0.268873264742
faulty, mama: 0.558506019325
grateful, iucky: 0.0
nosy, ridonc: 0.0
considered, good: 0.688190303925
pertinent, specific: 2.57730686239
best-known, closed: 0.0
challenged, vice-chairman: 0.0
entertaining, touching: 1.77148642269
mistaken, mobile: -0.046101580021
builshit, clare: 0.0
controlled, thick: 0.545321037794
hon, hourly: 1.33856641031
america, comprehend: 1.09974867907
currently, deader: -0.050293945912
found, irregular: 0.700243086913
south, withdrawn: 0.253617693206
application, great: -0.347173490622
inconspicuous, unqualified: 1.20472342311
to, unequal: 0.0
disputable, seductive: 0.819964602506
expanding, inaccurate: -0.070832403328
asleep, topical: 0.075559668803
broken, compatible: 1.22797886205
modernizing, silent: 0.29368382142
off-site, perilous: 0.0
discriminate, substantial: 0.87248223285
this, unspecified: 0.068110961114
exposed, forthcoming: 0.018542245493
down, importantly: 0.493300341761
myself, revised: 0.211741781996
divided, prodigious: 0.301561960763
good, loose: 1.58366333878
ironic, transnational: 0.530658694716
in-progress, miniscule: 0.0
brighter, conscientious: 0.631755490044
distraught, extensible: 0.217520533988
nifty, nobler: 1.05084950896
charmed, independent: -0.017529629998
complements, happy: 0.650590887041
hateful, well-managed: 0.0
unfilled, user-friendly: 0.0
elementary, ravishing: 0.043933519516
locked, nosy: 1.27837626653
addition, fixated: -0.369831243966
corny, statewide: 0.999406096376
life-long, requests: 0.0
continual, spicy: -0.398472242322
deplorable, twelve: -0.1559998534
reversed, well-timed: 0.0
ensuring, sincere: 0.827205937573
slightly, stranger: 0.045190308632
barmy, unnecessary: 2.67354607462
material, wide-ranging: 0.0
expedient, short-sighted: 0.0
imprecise, unfilled: 2.35302195331
exaggerated, overlooked: 2.65084115451
indicative, laudable: 1.07263721678
debated, slight: -0.382658703597
irreconcilable, prompt: -0.26734705075
10, ridiculus: 0.0
eligible, precarious: 0.992262716225
grumpy, long-winded: 0.0
grieved, recently: 0.864951378768
2nd, unattainable: -0.191978930002
imrtant, particular: 0.0
obscure, rarer: 2.78003728641
abnormal, recognizes: 0.102133800996
enchanting, worried: -0.11129664359
guys, patent: -0.157483246895
female, necessary: -0.071247085416
frazzled, liable: 0.915410901976
obvious, settled: 0.187242778068
changed, screened: 0.471739670851
darker, superior: 0.977568906357
mind-boggling, proactive: 0.0
appalling, astounding: 3.65061266086
action-oriented, hardto: 0.0
grimmer, scarlett: 0.082156902165
folks, welcoming: 0.874217136836
mandatory, wacky: 0.251537530912
resistant, subject: 0.974319373562
filthy, safeguarded: 0.856446321221
drunk, stupid: 3.5471316061
actionable, well-educated: 0.0
nice, unbelievable: 4.30092462814
above-board, celebrities: 0.0
environment-friendly, expeditious: 0.0
expedient, tentative: 0.324474137433
heartbroken, thought-provoking: 0.0
innocents, science-based: 0.0
miscellaneous, two-thirds: 0.0
indispensible, responsable: 1.50069314383
aforesaid, familiar: 0.813880892313
frantic, representative: -0.380877990857
free-of-charge, viewable: 0.0
insignificant, unacceptable: 2.62061987253
nobler, vigorous: 1.7455192105
all-embracing, richest: 0.0
potent, sell: 0.375132832049
enchanting, treble: 1.81742393159
aesthetic, thorny: 0.645855449082
housebroken, muscovite: 1.64440700257
determined, state-owned: 0.0
approved, below: 0.915785502118
open-ended, unfortunately: 0.0
fiine, straightaway: 0.0
defeated, honored: 1.64964068454
started, supported: 0.81041683544
state-owned, stumpy: 0.0
graver, pricey: 1.15775075157
desired, previous: 0.577543217026
interest, traumatic: 0.408573716175
absurd, grimmer: 2.45807610181
fifteen, unambiguous: -0.180630518711
interested, stern: 0.213546397219
exclusive, rock-solid: 0.0
commenced, others: -0.686354096284
harmful, widest: 0.025928726782
closest, creditable: 0.609542345964
lastly, potential: 0.324763524964
cost-effective, intimate: 0.0
clerical, noticeable: 0.747261007013
carsick, shallow: 1.81861058936
riveting, warranted: 0.741806769771
countless, demonstrated: 0.71214231677
alia, informed: 0.164663391526
accountability, iucky: 0.0
basically, operational: 0.165477296378
detailed, uncanny: 0.396698783421
gutsy, staggering: 1.23292383
noble, smooth: 0.915396674488
freest, scanty: 1.48266881876
myself, poisonous: 0.836571017378
accessed, happiest: 0.95619061105
executed, participants: 0.017946351503
bright, correctly: 0.548872047967
heavyset, meaner: 2.53264965196
commitment, tolerable: 0.141080735056
intrusive, prolonged: 1.54719400561
alone, precise: 0.694212338509
comprehensive, efficacious: 2.08941629618
dying, ineffectual: 1.06198407051
tabling, wider: 0.47658059875
cross-border, weighted: 0.0
disrespectful, prevalent: 1.47685967099
clara, non-self-executing: 0.0
cool, superb: 1.60939859764
normal, substantial: 0.548095461633
distinguished, year: 0.44368250968
boundless, discreet: 0.881643482792
stated, typical: 0.044434561189
early, say: 0.379220748506
accustomed, two: 0.640381172031
hardto, theoretical: 0.212773491022
futile, moot: 3.95523091442
optimistic, unfortunate: 1.59564373497
imported, insurmountable: 0.956267936217
bitter, others: 0.478998092497
advisable, unusual: 2.6578267788
cost-efficient, minimal: 0.0
environmental, overly-high: 0.0
sixth, unconditional: 0.691925908902
arbitrary, indispensible: 1.19600288319
inspiring, wish: 0.934785070515
lacking, truth: 0.902180756369
immaterial, odd: 1.73317397213
flame-retardant, low-skilled: 0
exceptionally, vibrant: 1.60488518969
explicit, stuffed: 0.261150805226
biased, statewide: 0.240727784682
comprehensively, well-defined: 0.0
positioned, promptly: 0.327353637828
ionely, re-established: 0
appropriate, turbulent: 0.537955400036
complex, industrialised: 0.0
defunct, uncompetitive: 1.50489398521
braver, lengthier: 2.55528142843
modernized, unsolved: 0.788479330177
cost-effectively, kosher: 0.0
accuracy, blessed: -0.03496367921
well-positioned, winning: 0.0
annually, sooner: 0.752141858518
multicultural, recommendable: 0.428915818839
praiseworthy, top: 0.360728652488
cheesy, dissimilar: 2.26097578446
in-progress, useful: 0.0
deficient, due: 0.977513579243
appalling, taller: -0.686703962663
hungry, valuable: 1.34754129341
emotional, go: 0.410334813853
sparse, zesty: 1.09083684888
pretend, sizeable: 0.054825572176
attended, these: -0.238614561148
funnier, intense: 0.708415274782
intentionally, radical: 0.232988421593
attractive, reported: -0.347623714629
down, unethical: 0.308165635263
annulled, lousy: 1.06553109973
cooler, exemplary: -0.478535699371
angry, horseshit: 1.23593611823
astounding, iate: 0.0
appreciated, foolproof: 1.40144604913
groundless, higher: 0.717626104015
annually, cleverer: -0.328816279094
aggressive, under-inclusive: 0.0
interwoven, reality: 1.366336255
envious, negligible: 1.27446821099
apolitical, fbl: 0.0
unforgiving, wide-ranging: 0.0
illustrative, latter: 1.08789701996
fantastic, threaded: 0.966903665998
own, untapped: 0.238150958281
divergent, endearing: 1.55645760107
snarky, untrue: 2.08816990383
developed, get: 0.241864234012
derisory, under-inclusive: 0.0
simillar, suitable: 0.643888778672
notable, well-protected: 0.0
represented, steady: 0.227319308043
grown, meaningless: -0.168410017075
acute, internationaux: 0.45370454631
adamant, foolproof: 1.73392611707
further, green: 0.399099824354
encouraging, properly: 0.315481010525
crummy, vigilant: -0.250050533039
