adapted, marketed: 2.89288611474
fair-minded, relevant: 0.0
beautifui, traumatic: 0.0
kosher, priced: 1.10623172933
joyous, problem: -0.026122570868
-just, gonna: 0.0
progressive, sounder: 1.9794025981
disruptive, with: -0.038099504283
legality, underprivileged: 0.000108665211
hourly, micro: 0.720717073231
clare, prominent: 0.203385398428
industrial, pre-published: 0.0
down, user-defined: 0.0
latest, meticulous: 0.759530438693
dependent, happier: 1.59040195183
categorical, industrialised: 0.0
inestimable, prouder: 1.77829485303
moreover, trustworthy: 1.33301629764
noisy, victorious: 0.769593493026
latter, vicious: 0.592070399222
in-depth, probably: 0.0
unwarranted, wrecked: 0.22618726784
creepy, mla: 0.333568344433
awake, finished: 0.739163360049
short, toast: 0.338821499011
occupational, well-off: 0.0
dormant, lucid: 1.52061734393
crippled, partial: 1.27610138134
implausible, laudable: 2.70420207247
incompatible, polluting: 2.14141049542
about, disastrous: 0.10693946935
in-depth, principally: 0.0
state-owned, virtuous: 0.0
humiliated, pleasant: 0.716739756448
major, overlooked: 1.32161225906
greatest, rugged: 0.69425890734
grim, in: 0.647670967214
determining, quality: 0.556336190738
accomplished, staggering: 0.677724688387
explicit, wealthiest: 0.25334540112
autonomous, reduction: -0.102652673235
fuzzy, tabling: -0.068817635588
humiliated, iil: 0.0
application, physical: 0.360899403799
richest, running: 1.03856141842
implementable, well-deserved: 0.0
aging, simpler: 0.770748716572
mental, strained: 0.927555930543
bleak, sale: 0.029239977895
aging, leading: 0.556031983162
fuckin, promptly: 0.436296656825
ah, cordial: 0.648857305045
challenging, felt: 0.582813428839
simpler, useful: 2.91634908677
fucked, ten: 1.1646213343
independent, pro-choice: 0.0
compelling, severely: 0.022834065763
inter-connected, irritated: 0.0
friendly, wide-open: 0.0
inconclusive, overpriced: 1.0784482522
mission-critical, trite: 0.0
amazing, bitter: 0.745325156102
adopted, freedom: 0.312908831794
sadder, unjust: 1.59360352143
overkill, strengthened: 0.190630520393
squat, varied: 0.092957867298
dismal, negative: 2.79667051493
erected, hereto: -0.074531561857
only, well-trained: 0.0
grouchy, well-trained: 0.0
-lncredible, prettier: 0.0
damp, obese: 0.142099095271
big, monumental: 2.69889922047
high-availability, many: 0.0
open-minded, primary: 0.0
hurt, planned: 1.07444773049
deserted, worthwhile: 0.397847180375
well-known, well-treated: 0
real, stand-alone: 0.0
horrifying, liquid: 0.699392764893
medium-sized, young: 0.0
analogous, pre-published: 0.0
occurring, testy: 0.483211699851
cheap, published: -0.059501938913
impenetrable, indefensible: 2.9624973843
belle, defective: 0.235198688747
hurt, simplistic: 0.372796596928
attention, knowing: 0.608925178845
okey-dokey, quickly: 0.0
classified, imperfect: 0.863849807464
exemplary, just: 0.072967196444
frail, non-exclusive: 0.0
smarty, unreal: 1.15891283273
finished, toxic: 0.331849656576
distressed, furthermore: 0.250951936615
circumneutral, time: 0.0
public, unfortunate: 0.477222786677
industrial, simpler: 0.523888636492
famous, threaded: 0.713269771306
centralized, perfect: 0.76671766643
strict, technological: 0.742567493281
insupportable, sacred: 2.40504768865
payable, stocky: 1.37607219086
choosy, readable: 0.952535397164
possible, random: 0.808124853362
close, inside: 1.30703563938
familiar, toast: 0.789339121737
loaded, sufficiently: 0.617288155788
explained, mesmerizing: 0.367756325697
moreover, neutral: 0.983739168654
human, iucky: 0.0
pursuant, pursuant: 13.3768385808
as, righteous: 0.463644758983
north, respected: 0.319060975652
discriminate, yes: 0.770701354514
commercial, gracious: -0.094206158406
faithful, sunnier: 1.37057078584
black-hearted, interactive: 0.0
hiv, significantly: 0.486494407858
certain, slender: 0.512212639275
angry, unwholesome: 0.781571625424
content, expanding: 0.898446626797
sizable, worth: 0.889833948974
assured, becoming: 0.432887158038
degrading, impatient: 0.286905778105
average, multidimensional: 0.405156262286
closer, convenient: 1.29112957513
establishment, inconclusive: 0.48593899555
infeasible, non-self-executing: 0.0
degrading, silly: 2.16657829623
considerably, executable: -0.065043534872
indecent, rewarding: 0.583564294109
annulled, bereft: 0.876817843578
agreed, targeted: 0.566283526681
flattering, introduced: 0.102256616964
bygones, insolent: 2.17235969642
multifocal, obsessed: 0.893794164108
19, sentimental: 0.0
poppycock, positioned: -0.398188036127
course, mandatory: 0.752260685713
above, dynamite: 0.094370164282
greatest, superstitious: 1.26349228029
incredible, supplied: 0.12621007007
carmela, growing: 0.0
beloved, unmistakable: 1.37471926079
senseless, standardized: -0.175145199812
ambitious, fearless: 2.23339846691
il, widening: 0.094333929546
actual, medical: 0.29657612676
acknowledged, over-optimistic: 0.0
impulsive, unused: -0.207878514942
orderable, well-managed: 0.0
concise, freely: 1.18413211637
disabled, disabled: 8.12073061235
horseshit, maximum: 0.234384031462
disciplined, well-paid: 0.0
iate, relevant: 0.0
etcetera, stern: -0.250361476905
everyone, infected: 0.199886736299
fucked-up, over-optimistic: 0
ah, horrifying: 0.647396177137
decisive, genuine: 1.45308063306
condescending, fitting: 1.20761760435
alert, verify: 1.71639747328
considerably, government-owned: 0.0
recommended, worrisome: 0.99353925661
although, antiquated: 0.125661222224
dry, need-to-know: 0.0
darling, private: 0.486777826496
coming, foxy: 0.405274876099
handled, refusal: -0.020336172051
best-known, professionally: 0.0
organized, serious: 0.494423784515
democratically, obese: 1.60714884618
courageous, humble: 3.57042575281
standing, work: 0.781879008799
proprietary, rarest: -0.145046832476
refreshing, surreal: 3.32018577223
overwrought, undetermined: 0.066176751032
insane, recommendable: 1.76729249171
below, negative: 1.27081070715
marvelous, softer: 0.575795713079
badly, exceptionally: 0.897958072188
ignorant, onboard: 0.529516440794
discriminate, like: 1.19040812056
interdependent, tough: 1.13793732444
integrated, multi-ethnic: 0.0
atrocious, cleared: 1.0464652154
counterfeit, yourself: 0.332346691523
high-quality, incalculable: 0.0
stopped, wealthiest: -0.348520113655
ephemeral, sincerely: 0.354175846617
displacement, initially: 0.288910351257
abhorrent, french: -0.127489318303
installed, woken: 1.21412310802
in, that: 0.518440733341
designated, hon: 0.439611711128
several, volatile: 0.684485330635
early, ingrained: 0.694898525034
evil, recognised: 0.0
case, internal: 0.602987271052
conservative, overlooked: 0.742315647394
indispensible, three: -0.088570246061
emotive, tough: 1.09349536535
loyal, neighbours: 0.0
absolutely, confidential: 0.736497617818
either, political: 0.700464206429
gravest, muchfor: 0.0
breathtaking, well-designed: 0.0
foutu, ironic: 0.0
armored, handy: 0.278716748002
all-powerful, hey: 0.0
able, awareness-raising: 0.0
better, between: 0.673770483729
long-lived, marginalized: 0.0
earlier, ionely: 0.0
permitted, shorty: -0.273946216876
battered, improper: -0.373844761832
awesome, pilot-tested: 0.0
-just, subordinate: 0.0
gratuitous, static: 1.53031763805
received, unspoiled: 0.185779412734
formal, steadfast: 0.562361324928
productive, so: 0.785237759968
stated, written: 1.6926082802
everywhere, indecent: 0.109434143571
quadruple, wide: 0.613565059225
achievable, unimportant: 2.13800480079
changed, selfevident: 0.0
assertive, challenging: 1.60184402044
eighth, non-specific: 0.0
handling, timed: 1.54877625659
fundamental, requests: 0.107569198348
becoming, distracting: 1.49626891489
shot, unhealthy: -0.132169035081
generous, muted: 2.16791624793
repealed, uncomfortable: 0.755828295071
better-looking, in-house: 0
hysterical, patent: 0.385320736939
-mentioned, determinable: 0.0
reality, self-conscious: 0.0
inexplicable, installed: -0.378222260918
fearful, noticeable: 1.19329293716
criminal, typical: 0.665952503993
inferior, opposite: 1.53996345511
disoriented, private: 0.153805349779
dual, restored: 0.352271586626
cleared, security: 0.386880433087
microscopic, well-off: 0.0
aforesaid, proscribed: 2.8444272418
comforting, immovable: 0.880572092951
all-inclusive, beneficial: 0.0
grimmer, starved: 1.44909779481
lead, outgoing: -0.238818659977
counterproductive, insulting: 3.73436344469
colder, ok: 1.42087890885
all, updated: 0.538598478875
advantageous, politically: 1.47372699934
dre, gross: 0.471873251766
headstrong, mission-critical: 0.0
toasted, unjustified: -0.16851833139
action-oriented, earlier: 0.0
appalling, heavier: 0.089638406223
justiciable, referenced: 1.3641773689
advantageous, enriching: 1.91619446045
automated, in-house: 0.0
homosexual, iittle: 0.0
on-going, well-armed: 0
sponsored, warmest: -0.305922688093
distinguished, organized: 0.98236932595
all-powerful, opening: 0.0
contentious, first-rate: 0.0
exceptional, to: 0.0
economically, trippy: 0.401743141911
dual, preliminary: 0.572656464512
additional, dedicated: 0.727898019525
arbitrary, ripe: 1.45441478032
missingg, requests: 0.0
american, hypersensitive: 1.03287635973
co-financing, minimum: 0.0
pleased, truly: 1.25751185425
happy, hasty: 1.1803145446
tired, upset: 2.57698420863
deepest, terminated: 0.494272979923
inquisitive, stay: 1.33762055939
balanced, grumpy: 0.334176496711
bull, knowledgeable: 0.126167881281
nonexistent, reimbursable: 1.44547483699
careful, tougher: 2.05317248321
beter, very: 0.800183875338
rescinded, stark: 0.848245686299
closest, taken: 0.469229728849
locked, mla: 0.077558935311
greedy, so: 1.23256473846
sell, stupide: 0.0
defeated, incapable: 1.10711622751
erected, inconceivable: 0.79088873093
onboard, permanently: -0.014222926022
hiv-infected, triple: 0.0
hollow, seropositive: -0.314175097403
disturbing, toxic: 1.85146200984
pre-published, trashed: 0.0
hands-on, predictable: 0.0
best, crass: 0.825152538698
confusing, watchful: 0.785613886886
however, naturally: 1.30589497432
launching, sensational: 0.214084768041
mobile, verify: 0.872452974569
environment-friendly, treated: 0.0
actionable, luck: -0.775040687169
insignificant, tan: -0.034453219488
gone, well-filled: 0.0
larger, quality: 0.626134960006
doubled, non-transparent: 0.0
long-range, obliged: 0.0
luckier, yo: 0.4704384063
sharper, wished: 0.19800165516
based, sentimental: 0.313721885021
forlorn, neutral: 1.35704178299
comparable, faster: 1.77186565381
blank, inexcusable: 1.43195486005
added, ferociously: -0.023716010596
multi-layered, rusty: 0.0
alia, rusted: 0.468128192491
eerie, well-off: 0.0
butthead, rigght: 0.0
overall, slick: 0.698618565832
commended, vigorous: 1.55784113397
ludicrous, saved: 0.841922302829
remote, well-suited: 0.0
perfect, thankyou: 0.685305844055
correctly, verify: 1.96358829875
exactly, hot: 1.06553984969
inexpensive, robust: 2.36204825222
hateful, moody: 1.79840087427
hurtful, noticeable: 1.22055041489
adequate, fiercer: 0.862595659819
hateful, subordinate: 0.864082177302
non-competitive, uncertain: 0.0
occupied, shitty: 0.661306207331
notified, widely: 0.191673607719
proprietary, well-treated: 0.0
uncomfortable, yellow: 0.290914834917
accuracy, why: 0.500992912889
archaic, concise: 1.0429667257
frazzled, sorry: 2.06679131624
deader, greatest: 2.00410144951
bastard, non-self-executing: 0.0
ephemeral, government-owned: 0.0
inequitable, pointless: 2.44141285498
detrimental, finite: 0.820102600414
expedient, polished: 0.690917096832
greedy, unavailable: 0.293621354569
stuffed, suited: 1.03618186747
fourth, well-educated: 0.0
honest, thanks: 0.523577981491
humid, ominous: 1.74850587135
proportionate, unthinkable: 0.620370784801
naturally, sixteen: 0.438507858533
feisty, re-appointed: 0.0
glowing, inadequate: 0.930345515008
astonishing, export: 0.214643693223
disquieting, genuine: 1.39480990828
psychotic, richer: 0.661514497513
accustomed, bone-dry: 0.0
legality, special: 0.508731204469
responsibility, strictest: 1.60952994562
firmer, unwise: 0.15839013149
anymore, tasty: 0.60351003608
minuscule, warmth: 0.439010227884
better-looking, interest: 0.0
awestruck, delightful: 2.19595390181
pronounced, unwell: 0.521163873598
culpable, nonexistent: 0.521643123997
audacious, readyto: 0.303295085539
meaner, unfounded: 0.665713293073
mostly, sustainable: -0.222811821956
exceptional, unpublished: 0.697198823436
monitored, unprepared: 0.648581305637
generated, poppycock: 0.75078313114
automated, however: -0.199845209457
recently, warmth: -0.27516683577
actionable, working: 0.04654743465
normally, unconvincing: 0.070444575791
fourth, unfeasible: -0.325347020724
pressing, sentient: 0.490262668741
lucid, uneconomic: 0.855533887988
exclusive, instructive: 0.446880814768
anyway, psycho: 0.910876469897
environmentally-friendly, prevailing: 0.0
indiscreet, unanswered: 0.540548791705
exact, predominantly: 0.210350723435
female, poverty-stricken: 0.0
brand-new, easy: 0.0
overemotional, paradoxical: 1.96231062909
murderous, superstitious: 1.64225804713
chosen, divine: 0.586201517077
apt, briefly: 0.174909376504
already, moderate: 0.445957166178
immutable, obligatory: 1.91272634984
case, establishment: 0.334194742646
anonymous, every: 0.860901770486
irregular, subtler: 0.965111524024
broader, disgusting: 0.184538677613
broken, lengthier: 1.27440814759
shifty, unjustified: 0.363500708609
previous, state-funded: 0.0
me, negligent: 0.459230153817
bare, deductible: 0.420605760331
end-to-end, unquestionable: 0.0
educated, stricter: 0.982612957427
impatient, telling: 1.59739884761
across-the-board, well-protected: 0
coming, enlarged: -0.253561436771
babe, degraded: 0.055889556603
cowardly, regulated: 0.607115023826
awol, inclusive: 0.081091121739
co-operative, lit: 0.0
principal, well-defined: 0.0
everyone, wierd: 1.59092732169
entertaining, hard-pressed: 0.0
inside, wanted: 0.774609906403
jumpy, unconvincing: 2.28222681022
adamant, opened: -0.04003747244
being, inquisitive: 0.905259257882
faster, furthest: 1.56864714747
enhancement, maintained: 0.971209310788
hurry, non-exclusive: 0.0
largest, repeated: 0.352272431613
internationaux, self-supporting: 0.0
idiotic, sold: -0.019338567418
implemented, wondrous: 0.050841311224
psychogenic, under-age: 0.0
clare, cranky: 0.643835474604
all-important, massive: 0.0
aging, sloppy: 0.31474040241
credible, environmental: 0.598599316798
humble, unconvincing: 1.21750710464
inadmissible, mere: 1.54650599034
beter, traffic: 0.07855277787
responsible, slender: -0.003063345146
droll, necessary: 0.276268386315
arranged, mesmerizing: 0.630360412339
braver, conclusive: 1.27756294943
equivocal, luke: 0.138467697121
secondly, vice-president: 0.0
aligned, smartest: 0.94210897883
deliberately, fucked-up: 0.0
faster, laborious: 1.93070488478
disquieting, objective: 0.744856725094
inoffensive, necessary: 0.506193427457
lit, marvellous: 0.0
homosexual, notorious: 1.16159400139
emerging, soft: 0.421468424738
fussy, terrifying: 1.41982552896
abysmal, reduced: 1.17207536401
checked, spotless: 1.84797665398
cracked, undemocratic: 0.54009301318
inalienable, redeemable: 2.36718421616
pro-active, requests: 0.0
demonstrated, macabre: -0.167551333532
lacklustre, unknown: 0.0
fucking, non-competitive: 0.0
groovy, selected: -0.21833363888
awestruck, varying: 1.01083280087
premier, rash: 0.08920406474
milder, tricky: 1.67184453831
asian, reaily: 0.0
endemic, forthcoming: 0.3358286347
pitch-black, weird: 0.0
apace, productive: 1.06189109527
etc, self-financing: 0.0
awareness-raising, momentary: 0.0
impermissible, perfect: 1.04460893323
mesmerizing, stifling: 1.08606677175
enforceable, exciting: 0.597009832467
bottled, honest: 1.07143383226
advanced, lucid: 0.899357276202
contemporary, non-exhaustive: 0.0
flexibility, wierd: -0.003825488384
focussed, set: 0.634778163484
left, virtually: 0.909884956874
endangered, unfathomable: 1.01601522736
inhumane, separate: 0.527160251301
optimum, understood: 0.420104519682
active, cost-efficient: 0.0
cherry, conventional: 0.110869226268
tragic, vis-: 0.0
ah, colder: 0.713878786613
hearty, least: 0.306681577871
average, smug: 0.532174462369
fun-loving, well-done: 0
cooperative, publicly: 0.715689950663
bigger, singular: 1.28332363971
flagrant, just: 0.694768132667
required, separate: 1.05522887536
about, excited: 1.15501309776
opened, swifter: 0.347861901745
detrimental, right-: 0.0
immovable, patronizing: 0.371837736418
midget, well-deserved: 0.0
practical, promising: 0.695404496153
flaccid, prevalent: 1.27117733724
everybody, grievous: 0.165886903751
discriminate, pilot-tested: 0.0
again, obese: -0.083844242679
adulthood, cheaper: -0.158379178095
dispute, mindful: 0.850254132057
dickish, generally: 0.891421386144
ravenous, useful: 0.26029711251
poisonous, wealthiest: 0.623158826922
advisable, empty: 0.685472652313
harmonised, inexpensive: 0.0
ultra-hazardous, unknown: 0.0
self-financing, unwarranted: 0.0
creation, thin: -0.108461095487
onerous, telling: 0.476293418105
chaotic, laborious: 2.91586109066
good, significantly: 0.44514249147
overkill, welcome: 0.618121830111
erected, incomplete: 0.144765432076
accustomed, costeffective: 1.02500765931
irritable, perplexing: 1.87704771805
far-ranging, onboard: 0.0
prejudicial, self-reliant: 0.0
benign, tentative: 1.05310204205
charmed, expedient: 0.23570303883
commercial, domestic: 1.43195404917
adaptive, wack: -0.231783540445
bi-directional, stoned: 0.0
ah, sadder: 0.920088080474
mimi, well-developed: 0.0
omnibus, second: 0.284937992959
horrific, thankyou: 0.737321196307
deader, stumpy: 2.24184501034
continual, infallible: 1.25852066997
liberal, multi-threaded: 0.0
friendlier, hotter: 4.70103629521
jam-packed, on-going: 0
clear, stuffed: 0.228800497298
clara, two-pronged: 0.0
etcetera, polluting: 0.402613588295
loco, proven: -0.183313658641
ill-conceived, twice: 0.0
distribution, worrying: 0.058181405129
dissimilar, reinforcing: 0.865127060844
case, scarce: 0.551718182823
practically, secondary: 0.61616425288
all-inclusive, horrific: 0.0
across-the-board, micro: 0.0
commonplace, thank: -1.12482848653
indispensable, tight: 0.559757492832
maintained, sticky: 0.137448992115
previously, undecided: -0.322442341473
ice-cold, yeah: 0.0
inexpensive, overlooked: 1.27486544212
eighth, explained: 0.062782071695
easiest, weil: 0.051289067363
co-operate, heights: 0.0
inescapable, matched: 0.71291037222
foreseeable, growing: 0.617726692907
docile, transitory: 2.02022727886
annoying, proactive: 1.17694774598
disrespectful, woolly: 1.15219296582
human, stupider: 1.11730768903
executory, flush: -0.300460128575
cuter, us: 0.737958342784
pleasing, self-evident: 0.0
constructed, disturbed: 1.16421057848
nearest, potent: -0.27153930821
green, restored: 0.334328873278
humiliated, humiliated: 9.78877107059
facultative, scary: -0.002702854402
acclaimed, convenient: 0.49273684399
changing, shifty: 1.63584214334
gaunt, whar: 0.0
endangered, occupational: 0.766486273064
inside, shoot: 1.46427298297
abhorrent, twisted: 2.45781524627
doable, mla: -0.182739360406
forlorn, insane: 1.15255966521
chilly, hiv: -0.478444903422
dummy, trashy: 0.737548128941
minute, realistic: 0.651162186926
fucked-up, thoughtful: 0.0
realist, simplifying: 0.564555370851
ionely, reasonable: 0.0
brisk, unqualified: 0.651174209039
counterfeit, relieved: 0.084005685813
cumbersome, monthly: 0.769830299523
fraudulent, least: 0.472154425924
darkest, pursuant: 0.059429462853
harmonised, unprotected: 0.0
education, working: 0.779378227394
bolder, unexpected: 0.881193100007
launched, reversed: 1.00501000149
offensive, thicker: 0.145146343737
broader-based, cher: 0.0
ionely, motivation: 0.0
busy, challenging: 2.24143034843
customized, some: 0.104080855668
ambitious, exempt: -0.278288334084
eleven, oversensitive: -0.65081330185
boy, lenient: 1.13392330099
eighth, infected: 0.755005390933
nonsense, righteous: 2.18198713688
glad, recurrent: -0.692293794729
discretionary, terrified: 0.366981553022
probable, trendy: 0.828750727389
appreciated, glowing: 0.956148289785
incorrect, rather: 0.645931710424
glorious, intimate: 1.2543797875
eerie, terrified: 3.06815660823
heights, specialized: 0.213324981389
mere, spontaneous: 1.40700829503
emblematic, nearby: 0.062884946323
ineffectual, sultry: 0.533515154226
furious, restrictive: 0.613445190553
negative, receptive: 1.92795903928
agreed-upon, seldom: 0.0
free, tougher: 0.426240997964
corresponding, uneconomic: 0.663676970899
instrumental, sugary: -0.299165124135
definitive, searchable: 2.04704670732
grotesque, small-scale: 0.0
ecstatic, faultless: 2.22366713624
lasting, legit: 0.323138228386
out, snotty: 0.632100426565
radiant, repayable: 0.357907050628
decent, snotty: 1.40354007808
impractical, objectionable: 4.65205934402
horrible, optional: 0.146748130175
brighter, conspicuous: 1.34303608882
proportional, uppermost: 1.84567606064
carsick, tell: 1.75733389816
bothersome, expedited: 0.066037612035
dependent, vice-president: 0.0
belligerent, tall: 1.83902049814
co-ordinated, way: 0.0
adjusted, giddy: 0.861389199645
attentive, scarcer: 1.27088207362
generic, ggood: 0.0
cost-effectively, on-going: 0
disappeared, kosher: -0.108867725681
celebrated, hearty: 1.00861514411
appropriate, nut: 0.165051408807
detailed, increasing: 0.273669493708
better-looking, droll: 0.0
almost, renowned: 0.226633669909
affordable, assured: 1.30718595359
overweight, unappy: 0.0
non-transparent, vicious: 0.0
petrified, written: 0.726240936509
central, girlie: 0.374722609714
existing, indicated: 0.764717897701
co-dependent, probably: 0.0
announced, glorious: -0.152074940219
folks, lifelong: 0.541416676883
creative, groundless: 0.307959868432
careless, worthy: 1.2410733875
vice-chair, willing: 0.0
empty, thought-out: 0.0
astounded, eccentric: 1.43557812904
fragile, glamorous: 1.06191951222
last, practical: -0.27756121879
attractive, rugged: 1.93886495873
lye, own: 0.368424329393
slick, why: 0.169129144246
awareness-raising, wealthier: 0.0
discretionary, seen: 0.397763683409
friends, populous: 0.301143191649
mad, scalable: -0.37329801683
elementary, spooky: 0.931238408384
improper, monstrous: 0.508226867182
crazy, interesting: 2.63395176847
reported, well-timed: 0.0
global, superfluous: -0.022771590172
changing, notorious: 0.404992471086
hey, sincerely: 1.48531919185
again, candid: 0.101080888396
motivation, powerful: 0.617748897181
gloomy, good: 2.22334192432
cleared, tangible: 0.002628737288
accomplished, supplemental: 0.624094395533
environment, respectable: 0.322957805091
detrimental, notorious: 0.974129222673
several, virtually: 0.749140290388
actively, daunting: 0.465961897741
defective, sincere: 0.588754518959
practical, term: 1.3133885792
advised, non-competitive: 0.0
asleep, contemptible: 1.6771461338
abolitionist, instrumental: 0.470793965635
entitled, merciless: 0.05235102007
adorable, bottled: 0.347211158473
risky, unsafe: 4.48690212355
big, unforgiving: 1.08934359406
blind, luminous: 1.30959779861
ghastly, pro-poor: 0.0
deceased, unwelcome: 0.404409434295
charming, strongly: -0.177048553263
hearty, mutual: 1.09660481833
assertive, self-reliant: 0.0
infeasible, unhurt: -0.444517511368
discrete, untrue: 0.242729165118
apace, freaky: 0.20234593714
influential, stone-cold: 0.0
lovable, specifically: -0.483049068083
droll, severe: 0.163500986494
careful, everybody: 1.76183338309
firmer, tenuous: 2.81127389698
adorable, wanna: 3.17854322587
susceptible, uncomfortable: 3.483236356
alert, interoperable: 2.43219115292
homosexual, unforeseen: 0.952755456916
early, heeded: 0.998905721188
admitted, multifocal: -0.37506978683
decided, gorgeous: 0.252200410816
about, firmer: 0.367433723122
great, virtually: 0.77930653048
improper, quiet: -0.071286009651
best, whassup: 0.376329989499
negative, state-run: 0.0
non-specific, pitiful: 0.0
clear-cut, tiny: 0.0
extreme, ok: 0.611055858599
selective, self-sufficient: 0.0
childish, tiring: 1.74869999022
inconvenient, innocent: 2.19405061178
ready, worthwhile: 1.2560143228
duty-bound, dynamite: 0.0
chloe, multi-ethnic: 0.0
executable, polished: 1.21786710791
admirable, futile: 2.20698248836
balanced, evening: 0.385038844206
jealous, twisted: 1.8641420942
expandable, marvelous: 0.423674221522
multi-ethnic, yo: 0.0
merciless, second: 0.403544632565
rampant, uptown: 0.441981118168
creation, smallest: 0.568703387848
statewide, under-age: 0.0
comforting, executed: -0.324192055873
ageing, professionally: 0.0
sunny, uncommon: 1.10932234353
as, progress: 0.274209660161
audience, prouder: 0.44925452975
disturbing, longstanding: 0.737012331317
cost-effective, immaterial: 0.0
northeastern, quality: 0.093282617756
honored, sharp: -0.262319715091
populated, receptive: 1.50597375442
north-west, off: 0.0
busier, personalized: 0.528096003721
confusing, round: 0.171578006472
intrusive, mid-sized: 0.0
iike, pure: 0.0
changed, finer: 1.20539720891
reason, ultra-hazardous: 0.0
groundless, partial: 0.264756059435
distressing, impolite: 2.57169975761
forgotten, free: 0.821721339995
casual, hilarious: 1.84297426651
fussy, indispensible: 1.49321483776
extraordinary, unprecedented: 4.4732504083
honorable, myself: 2.01028640752
jam-packed, luck: 0.0
dotty, older: 2.05298599122
final, wanted: 0.6180395463
observant, understand: 1.56699123134
attention, well-organized: 0.0
created, general: 0.478067505858
axiomatic, constant: 1.84303389094
incompetent, open-minded: 0.0
broke, heard: 1.3986477994
inaccurate, intricate: 0.888498006476
irritated, unlawful: 0.52836559918
funky, vague: 0.798946401747
soft, speedy: 1.73831533023
deliberate, grimmer: 0.358697574652
joyous, wounded: 1.35036907247
follows, inadmissible: 0.261010870479
insincere, well-deserved: 0.0
asking, western: 0.213586037221
published, unseen: 0.226301876495
partial, self-serving: 0.0
frankenstein, panicked: 0.115663797022
compensable, fully: 1.47561065383
corrigendum, gandalf: 0.0
non-exclusive, short-sighted: 0
exorbitant, sombre: 0.341705530617
discussion, dodgy: -0.258139160322
comprehensive, unsound: 0.925467606423
better-looking, contestable: 0.0
greater, lame: -0.401430743742
broader, self-sustained: 0.0
fit, impartial: 1.06025150482
mla, timely: -0.313466080579
continued, doomed: 0.581535541445
clearer, medium-sized: 0.0
differently, grieved: 1.14140146653
inadmissible, worst: 0.60218887554
consolidated, unofficial: 0.559471474368
advertised, choosy: 1.9325072013
abundant, disgraceful: 0.082147948109
referenced, rough: 0.375652247816
abreast, nathan: 0.290459690694
expressed, uncomplicated: 0.72621287245
slippery, topic: 1.07269779791
candid, paranoid: 2.56081934622
cognizant, seen: 1.33564931627
comparable, unfit: 0.675475111175
faithful, handled: 0.248381900717
in-progress, laudable: 0.0
multi-dimensional, prerequisite: 0.0
below, broken: 1.38152612632
inefficient, nascent: 1.36135605044
maintained, psychogenic: 0.079772362405
bad, profane: 1.23368155119
nosy, restored: -0.072648174964
firstly, unbelievable: 0.879087949494
spaced, weighted: 3.13750151589
mental, repelling: 0.880960466952
integral, optional: 2.78240026321
consideration, rock: -0.03486900736
quiet, tolerated: 1.65770633667
commensurate, eligible: 1.22731471258
desirable, well-armed: 0.0
secret, wanted: 1.15756652095
abhorrent, classified: 0.615941640292
somewhat, unbecoming: 1.02767139772
intractable, scared: 0.590272760773
insufficient, interdependent: 0.980041428387
humane, splendid: 1.53938737768
italian, tardy: 0.175848615411
dainty, shifty: 2.71000830393
crummy, feisty: 1.12209854424
educational, unlocked: 0.368707668677
drawn-out, greener: 0.0
infamous, quality: -0.320148246338
harder, topnotch: 0.700301786641
culpable, enlightening: 1.27984669492
stimulating, supra: 1.16888989466
mideast, self-contained: 0.0
energy-efficient, non-self-executing: 0
northeastern, underlying: 0.173192139387
celebrated, onboard: 0.149595793739
inexplicable, yellow: 0.357215938097
deficient, prestigious: -0.183392569019
diversified, fixated: 1.13614123509
asleep, obsolete: 0.612625292615
timely, unaffordable: 0.462323238244
empty, insane: 1.7078773598
liable, radiant: 0.075658581507
do, futile: 0.920427095967
closest, thirds: 1.1598296873
orderable, wished: -0.150182638165
sporadic, unfettered: 1.11213693956
desired, nobler: 1.87857196254
inactive, smooth: 0.180635787668
appalling, tentative: 0.186917298501
gloomy, praiseworthy: 1.84774321812
kinky, stepped-up: 0.0
minuscule, outstanding: 0.722977578823
me, mostly: 0.384853977982
accepted, repeating: 0.753225344038
based, phenomenal: 0.741100628424
technological, wait: 0.399402734453
multifocal, self-supporting: 0.0
isolated, pitch-dark: 0.0
charmed, unsavory: 1.63239936577
ambitious, kosher: 0.222670837011
likable, occurring: -0.500268382509
asked, disappeared: 0.997114277085
rampant, yeah: 0.9386913612
leading, snappy: 0.18806877238
sleeping, tired: 2.13493785599
answerable, stocky: 0.829954197175
defenceless, determinant: 0.0
goal-oriented, prolonged: 0.0
classy, history: 0.389534542932
cohesive, increasing: -0.086480305172
disruptive, in: 0.358669696595
fearful, pro: 0.783028902756
hearty, rank: 0.642016035121
ill-conceived, transnational: 0.0
analogous, realisable: 0.0
clarified, well-received: 0.0
issue, unforgiving: 0.069676343172
rebatable, triple: 0.0
slippery, unproductive: 1.3363151242
comforting, identical: 1.24129291746
iovely, north: 0.0
satisfactory, sharper: 1.16162124876
idiots, try: 1.07127545187
mideast, weak: 0.737484392689
sale, thinner: 0.148539258521
all-inclusive, state-owned: 0
grimmer, retail: 0.972477631122
cowardly, interlinked: 0.291315164724
appealing, kidding: 0.417117344492
fertile, specified: 0.566301807008
leveraged, representativeness: 0.537732349731
returned, smart: -0.372939630254
atrocious, mere: 1.1319425999
