effectively, unexceptable: 0.0
beautiful, insufficient: -0.11250254105
plenty, sunny: 1.62942213943
conservative, incorrect: 1.23319620739
corresponding, short-sighted: 0.0
hopeful, well-treated: 0.0
focussed, successfully: 0.840204077414
intense, undeniable: 1.58767549143
anticipated, apposite: 0.922145971739
recheck, year: 0.318122529997
complements, static: 0.978491378732
published, selective: 0.53950324098
chosen, needed: 0.604176488339
infrequent, tired: 1.49905899909
affixed, elected: 0.596848347759
surprised, toasted: 1.50566010935
high, thirds: 0.505882787164
interactive, organized: 1.45652696196
lame, shit: 3.66862706966
irritating, up-to-date: 0.0
far-reaching, skeletal: 0.0
insulted, self-reliant: 0.0
thirsty, uptight: 2.23876978996
disappointing, liquid: -0.565454546256
primordial, recognizing: 0.300332459886
indecent, terrorized: 0.869110150283
hot, satisfying: 1.18827773912
fascinated, prick: 1.1179183896
enriching, gone: 0.481800120861
dormant, unprepared: 1.45299158744
moron, valued: 0.054117783741
fit, ghastly: 0.404728745559
human, wise: 0.902909561438
flawed, frightful: 1.44425060105
accuracy, see-through: 0.0
bygones, multi-disciplinary: 0.0
inconvenient, reasoned: 1.0796526633
belligerent, ever-increasing: 0.0
drunk, queer: 2.20797577524
successful, well-treated: 0.0
closer, pivotal: 1.88694759455
hands-on, treaty: 0.0
unitary, unproblematic: 1.76093265193
cited, unacceptable: 1.49483683684
cancelled, improper: 0.0
non-exclusive, rigid: 0.0
immediately, quiet: 0.244911461188
offensive, prick: 0.078689220361
freezing, prior: 0.307558791523
basic, free-of-charge: 0.0
compared, founded: 1.02645499739
efficient, strong: 1.22068997453
light, technical: 0.214144791261
all-encompassing, odd: 0.0
co-operation, testy: 0.0
naturalistic, startling: 2.41236113544
intriguing, thoughtful: 2.3495691396
pragmatic, unequivocal: 2.55411029755
already, well-written: 0.0
awestruck, explosive: 1.01611713705
frustrated, meager: 1.5612377088
baseless, coarser: 0.191382609126
disappointed, spotless: 0.124923612329
common, longer-term: 0.0
giant, mistreated: -0.300565616348
broke, mature: -0.173077897387
cheery, heavy: 1.19991068524
lesser, mutual: 0.745667366793
iucky, pressing: 0.0
coarser, reaily: 0.0
gratuitous, youthful: 0.944272228272
abrasive, minimum: -0.287553404714
pursuant, sensitive: 0.238903688722
inter-connected, opposite: 0.0
ecologically, mutual: 0.168602460342
grateful, normally: 0.234882619067
intelligible, subtler: 2.72704324323
shallow, touching: 1.08893033128
nosey, respendable: 0
scheduled, timid: -0.012959489472
ripe, touching: 0.955382774032
occurring, sinister: 0.919386321599
germane, hiv-positive: 0.0
confused, evil: 1.1001137108
accessed, unconventional: 0.049905164881
healthy, slim: 2.72334525607
inconvenient, lenient: 2.11730868178
anti-constitutional, pitch-dark: 0
inconclusive, prat: 0.104391685544
ambitious, patient: -0.146516955461
induced, reckless: 1.26511953297
forlorn, likely: 0.789018278218
realist, routine: 0.235072353576
overlooked, usable: 0.593892178146
continuous, unhelpful: 0.789496460841
primary, rationalized: 0.179158130627
analogous, impeccable: 1.04227730146
delicate, trustworthy: 0.809635749714
intimate, well-protected: 0.0
awaited, dubious: 1.1168974182
typical, unofficial: 1.25861394394
mistreated, strengthening: 0.064917727237
attractive, of: 0.0
hideous, hurt: 0.584668097378
documented, legit: 1.33850277179
contentious, ioaded: 0.0
biggest, geographical: 0.941329115016
basically, longterm: 0.576884824826
politically, user-defined: 0.0
annulled, looking: -0.326969517464
hardest, specialised: 0.0
flush, glad: 0.24721787633
executed, justification: 0.488025496191
fourth, introduced: -0.077831986812
directly, genius: 0.474339320484
obsessed, sincere: 1.16338264123
pre-published, stunning: 0.0
korea, unique: -0.359029194732
complements, handed: 0.303100154006
shallow, stricter: 0.515628175161
loco, well-written: 0.0
disappointed, revealing: 0.796177960872
ignorant, one-sidedly: 0.0
cranky, stringent: 0.601460761982
roll, traded: 1.10341119085
archaic, kinda: 2.03445221767
affordable, skilful: 1.24891684211
legality, static: 0.207131262151
christian, race: 0.244436058402
damaged, high-cost: 0.0
awkward, scientifically: 0.46349288761
gandalf, worrying: 0.0
built, extra: 0.254003788761
authoritative, planned: -0.79665649218
bored, substantial: -0.047118409389
stumpy, updated: -0.879038148081
excluded, macabre: -0.106256834749
fuzzy, missy: 0.710008679022
clever, especiaily: 0.0
top, worldwide: 0.796117700169
sobering, top: 0.446309504565
compliant, focused: 1.18961360726
course, subtler: 0.668508358794
self-sustained, up: 0.0
deeper, unpublished: 0.497625508635
easy, loco: 0.518358800834
in-depth, same: 0.0
illicit, permitted: 1.45478765518
damaging, wack: 0.899116219638
impaired, positive: 1.47929782383
desperate, small-time: 0.0
co-operative, gifted: 0.0
rapidly, usable: 1.31635137894
furious, hard: 1.39208369134
ill, redeemable: 0.913852220854
booked, fatal: 0.513091503878
deserved, readyto: -0.008597683119
sensational, unhelpful: 1.0753636604
prescriptive, unique: 0.776320585925
elementary, unjustified: -0.017453842933
dirtier, kind: 0.702606444935
evey, least: 1.06269804522
egotistical, splitting: 0.476746256713
friendlier, in-flight: 0.0
acknowledging, strengthening: 0.985429131098
feisty, small: 0.962777434896
non-partisan, rebatable: 0
able, own: 1.01323755534
scanty, tailored: 1.45593304174
disadvantaged, disparate: 1.72095881587
traffic, unproductive: 0.359550337251
primarily, trite: 0.608171867901
outside, pitch-dark: 0.0
defective, with: 0.020752327368
!, sane: 0.0
humid, ubiquitous: 1.12373965105
certain, fifteen: 1.0004280619
change, overambitious: 0.345390579709
labour-intensive, multicultural: 0.0
progressive, suspicious: 1.25092100475
far-reaching, unnecessary: 0.0
hardto, luminous: 0.293334593164
blunt, recognizes: 0.127055933393
fairest, ten: 0.737794219568
obsessed, preceding: 0.127612121243
counter-productive, holistic: 0.0
enhancing, user-defined: 0.0
advisable, simplest: 2.64794658858
prohibitive, wished: 0.716296627564
off-putting, threaded: 0.0
shocking, smaller: -0.00387957516
ineligible, sacrilegious: 2.44580834268
strict, unendurable: 1.38872874169
bothersome, vacant: 0.298146223731
reality, viable: 1.83350344454
delineated, furthermore: 1.1376584834
considerate, formidable: 0.591554988286
commitment, doing: 1.09752325069
insulted, transitional: -0.117249986953
acknowledging, advantaged: 0.403224828324
indiscreet, prescribed: 0.845620464707
groundless, one-sidedly: 0.0
derisory, talented: 0.816248293351
direct, organized: 0.63452105465
articulated, compared: 0.764150187587
mla, splitting: 0.133206390926
lacklustre, single-ranked: 0
consequential, intensive: 0.72062579441
delayed, uniformed: -0.393556554299
about, gorgeous: 0.198453705517
drenched, scientifically: 0.367015427996
creditable, school: 0.229047289922
liked, prodigious: 0.949032587437
harmful, operative: 0.56380836019
genius, temporarily: 0.728877694682
audacious, representativeness: -0.228127943266
state-of-the-art, two-fold: 0
excluded, feeble: 0.524288861337
actual, unprofessional: 0.80721264006
vast, weaker: 0.390135980431
actual, squeamish: 1.01102994705
meaner, off-the-record: 0.0
repugnant, staff: 0.15859743194
dreamy, launched: -0.047621243321
legit, pretend: 1.89081186863
groovy, gullible: 0.920919919521
genius, sparse: 0.059362119541
rusted, traditional: 0.743409640581
pointless, resistant: 0.597620577464
answerable, inappropriate: 1.889720774
contradictory, day: 0.360333380162
hereby, southeast: -0.152778017666
lame, requests: 0.538364815122
fixated, sound: 0.605751005721
european, excessive: 0.201989898441
cross-border, well-deserved: 0
manifold, pray: 0.621656818871
dull, inalienable: -0.373448889779
idiotic, inconsequential: 2.75896842041
advised, injured: 0.669234908964
diseased, preferable: 1.3010427036
basically, lukewarm: 0.700344830999
hereto, simillar: 0.252890274825
defenceless, loud: 0.0
cynical, relative: -0.253471543404
blurred, petite: 0.349528196589
homicidal, seductive: 2.59124554913
respectable, withdrawn: -0.008219793715
idiotic, sexy: 1.85114193638
fuzzy, ineffectual: 2.0828162744
crude, obscure: 0.932497317193
functional, specific: 1.70574874513
a, tasteful: 0.0
served, troubling: 0.011629759164
sparse, wrong: 0.12276297329
humiliating, psychotic: 1.23811474005
bright, unethical: 0.746961792203
steep, unaffected: 0.942973023589
addition, lousy: -0.302323970898
admitted, nasty: 0.825325065613
disgraceful, hungry: 0.463944726408
particularly, princess: -0.090992531506
breadth, extensible: 1.71580493166
jack, proscribed: -0.03197465885
pursuant, terminated: 4.05227879567
acquainted, uneven: 0.006366872917
looking, unsure: 2.58979586322
in-house, worded: 0.0
annoying, critical: 1.00312982914
spooky, well-targeted: 0.0
eccentric, late: 0.727141022535
antiquated, popular: 1.20382418174
flush, misused: 1.33469323046
cruellest, far-reaching: 0.0
dysfunctional, morbid: 2.3031266428
business-friendly, sovereign: 0.0
completely, recommendable: 0.858127891563
clare, consequential: 0.158343790737
aggravated, hour: 0.463478896209
released, reversed: 1.67667443339
business-friendly, lukewarm: 0.0
described, shifty: 1.45727458791
underdeveloped, unimaginable: 1.43048316117
chaotic, tragic: 2.8773257177
revealing, topic: 0.638239536176
anti-constitutional, panicky: 0.0
especially, unseen: 0.607348556803
out-dated, western: 0.0
accountability, ioaded: 0.0
connected, respectable: 0.506093583284
ineffectual, self-explanatory: 0.0
celebrated, sorr: 0.0
compensable, north-west: 0.0
bravest, fragile: 1.28436671735
icy, suited: 0.969135351559
general, serene: -0.056456318584
quicker, triple: 0.879721623325
central, here: 0.548713085363
furthest, recently: 0.38262767293
everything, reyes-torrena: 0.0
gravest, perverse: 1.83404869884
blind, specified: 0.293421415847
imported, okey: 0.616879109656
academic, prick: 0.59120117508
implementable, indebted: 0.488398665683
darling, opposed: 0.316895753356
magnificent, political: 0.116834745637
distasteful, reasonable: 1.98414744569
revealing, universal: 0.156063189653
flexibly, personally: 0.218464384082
dim, occupational: 0.207860871496
ravishing, various: 0.296960813453
need-to-know, squeamish: 0.0
every, prohibited: 0.759802406868
dual, firmer: 1.09752286111
filthy, psyched: 1.87309309391
proper, specifically: 1.09486776438
allergic, free-standing: 0.0
comparable, unimpressive: 2.04314776985
disagreeable, like: 1.02858937038
fifth, flourishing: 0.447403218359
efficient, nigh: -0.45968751177
bizarre, commended: 0.082185776123
amazing, degraded: 0.743425627722
ferociously, hereby: -0.507496464836
moving, two: 0.426859293748
repeated, richer: 0.281654896062
noisy, smokin: 1.44133688753
hunger, revealing: 0.360244765004
forthwith, steady: -0.169328477663
associated, misguided: 0.388901539923
considerable, irresponsible: 0.263711771696
presentable, shoot: 1.18625393278
competitive, functioning: 0.721260909972
dire, fucking: 0.500350103718
complex, ionely: 0.0
terrific, vigilant: 0.367443391362
unattainable, youngest: 0.597059618456
believable, mechanical: 0.821814273952
liquid, mightier: 0.126561164565
micro, this: 0.147851552014
brainless, common: 1.22250412766
grass-roots, squat: 0.0
monstrous, unhurt: 0.525986462193
easiest, unstable: 0.64910113901
inside, precious: 0.628814711561
provisional, utopian: 0.682502754775
defensible, magnificent: 0.893827784426
received, succinct: 1.16701865539
needy, yummy: 1.73617826805
counter, life-threatening: 0.0
beneficial, statewide: 0.587531647786
executable, internal: 1.20321700948
illegal, unprecedented: 1.29400257048
retard, underfunded: 0.530899074288
educational, well-deserved: 0.0
broke, indisposed: 0.258697864125
contemptible, disjunct: 1.49618651013
merry, statewide: -0.686467559851
known, unusual: 1.1148961298
high, sloppy: 0.777968420951
application, instrumental: 0.256051039802
something, unaffordable: 0.911816559728
grisly, simillar: 0.388555641981
customized, selected: 2.12429868465
benign, engagement: -0.137229652588
forgiving, insane: 1.50608265041
dependable, genuinely: 1.36169961972
alarming, inadequate: 2.45517575288
deprived, undeniable: 1.0813186227
handsome, overemotional: 1.69540371511
deserved, miserable: 1.88222068067
co-operate, first: 0.0
dre, immediately: -0.183052080441
related, unfounded: 1.28881747836
capable, untrue: 0.950318930557
open-ended, paradoxical: 0.0
cruel, short: 0.826828515799
interdependent, unfathomable: 1.73958076505
indispensible, pushy: 0.420239451758
concrete, surrounded: 0.725015709442
irritated, merry: 0.912928767199
all-encompassing, scared: 0.0
hunger, notorious: 0.406530663142
jump, then: 0.654924229732
indiscreet, worthy: 1.19684821701
erected, long-range: 0.0
bogus, self-contained: 0.0
tabled, ten: 0.132952717507
biggest, mid-sized: 0.0
coherent, flagrant: 0.560955526283
ever-increasing, jumpy: 0.0
clear-cut, inconsequential: 0.0
binding, deserted: -0.122232328849
knowing, nice: 1.38651077678
ill, prescriptive: 1.29033178337
best, secondary: 0.562141636915
bullshit, impulsive: 1.61551101795
free-of-charge, ruined: 0.0
elaborate, unsettled: 0.596449151015
again, tall: 0.186867570229
boundless, grass-roots: 0.0
egotistical, obsolete: 1.13866740164
eerie, terrible: 2.82552292603
unimaginable, volatile: 1.40978594979
convinced, social: 0.339957569724
broke, heavy-handed: 0.0
bonnie, consulted: -0.052653129782
aroused, snappy: 0.367097092438
boring, exceptional: 0.355469874687
acceptable, sorry: 1.79644472039
obsolete, overflowing: 1.82589033422
-me, reinforcing: 0.0
fucked, warned: 0.09566975126
leveraged, tangible: 1.45428674198
cold-rolled, minor: 0.0
swift, why: 0.353655334301
business-friendly, of: 0
ever-increasing, nothing: 0.0
flicka, strengthening: 0.0
beautiful, cheerful: 2.73463171543
dramatic, knowing: 0.431532565056
alone, tenacious: 0.233217445587
huge, undetermined: 1.53487598753
grand, one-sidedly: 0.0
absent-minded, salient: 0.0
sturdy, unnatural: 1.64601401595
compulsory, identifiable: 1.05337813822
bitter, youngest: 1.28026925276
dispute, well-prepared: 0.0
clearer, strictest: 1.73915571834
dope, enrolled: 0.465964214129
modest, omnipresent: 0.432807635076
discretionary, sober: 0.720216415851
speedy, thrilled: 0.095035772251
humid, western: 1.28592071525
possible, understandable: 1.37176184427
long-range, spatially: 0.0
inaudible, such: 0.279985123682
crucial, ridonc: 0.0
government-owned, predominant: 0.0
rarer, unspeakable: 1.73181418052
nauseous, recurrent: 0.912829697815
far-ranging, maximal: 0.0
ludicrous, striking: 0.860035408157
undisturbed, vice-chairman: 0.0
gandalf, privileged: 0.0
antiquated, practical: 1.14021365733
meritorious, nut: -0.168477870723
strained, strange: 1.26245023217
exempt, sixth: 0.481512214347
lovely, representativeness: -0.194662228438
heart-warming, new: 0.0
costlier, lovelier: 2.86461465111
irreconcilable, thoughtful: 0.829768077235
formerly, lit: 0.206998811262
generated, magnificent: 0.006172375717
immature, selfevident: 0.0
infeasible, sacrilegious: 2.3561163913
forceful, traditional: 0.811725442288
darkest, such: 0.27299097254
afflicted, overall: 0.311364199552
contaminated, happier: 1.21377796856
green, joyous: 0.478385845565
intriguing, wonderfui: 0.0
lighter, relieved: 1.34852301664
cancelled, them: 0.0
drunk, tardy: 2.17681233426
chickenshit, interdisciplinary: -0.412827165259
-, condescending: 0.0
indicative, time-sensitive: 0.0
fall, systematic: 0.245068306552
beter, per: 1.01346105821
constrained, discreet: 1.56231598836
excitable, exempt: 0.410709204879
automatic, innocuous: 1.47974515348
open-minded, refusal: 0.0
iittle, neighbours: 0
deepest, enlightening: 1.50132759603
certainly, shut: 0.268641847042
declared, uncommon: 0.101556520293
incomprehensible, sealed: 0.602126311478
anticipated, pleasing: 1.29611947365
handled, perplexed: 1.6412235193
intermediate, opportunity: 0.814526220516
moist, recognising: 0.0
enriching, uncompetitive: 0.752671222094
permanent, self-serving: 0.0
happen, imprecise: 1.01428248186
energy-efficient, know: 0.0
successfully, virtuous: 0.439771877511
brief, tell: 0.443254594893
prevailing, younger: 0.240141810857
functioning, happened: 1.00097221884
of, wonderful: 0.0
crazy, motivated: 1.74334473789
meager, straightaway: -0.037399015628
heavy-handed, insufferable: 0.0
dispute, dressed: 0.106778091686
chosen, cute: 0.795420385294
multi-dimensional, non-partisan: 0
of, tabled: 0.0
fourth, someplace: 0.382454471619
valuable, wacko: 0.207648733726
pragmatic, reassuring: 1.77706014979
praiseworthy, racked: 0.120069948769
appalling, run: 0.380478371754
overall, settled: 0.367907080082
dissimilar, tell: 0.720127832046
beastly, understanding: 0.146462647696
comprende, well-prepared: 0.0
lovely, microscopic: 0.730482819743
asked, various: 0.549951375464
hopeful, written: 0.401804117791
abreast, noisy: 0.269504741543
although, seventh: 0.266506939424
far, nauseous: 0.047287415614
long, tiring: 1.60353027957
murderous, strong: 0.746399106685
end-to-end, pretentious: 0.0
larger, wacko: 0.257904518175
bastard, entrenched: 0.760551597673
asked, straightforward: 0.314384879218
danger, tied: 0.470361948417
courteous, high-ranking: 0.0
authoritative, grand: -0.258639961975
sweetheart, topic: 0.806150533539
accurate, intensive: 1.39690215741
first-class, unanimously: 0.0
fertile, paid: 0.530823592988
accuracy, weak: 0.106913901308
dirty, open-minded: 0.0
heterogeneous, lackluster: 0.59471309368
equivocal, year: -0.058862274822
false, mideast: 0.60740126589
pivotal, stupid: 0.254039447633
funny, noteworthy: 1.79266821129
accountable, really: 1.23237958401
conventional, touching: 0.256294690506
comprende, internal: -0.041707810502
respectable, twice: 0.936961763563
armed, insurmountable: 0.954126468143
rank, ugly: 0.220588443691
promptly, unwelcome: 1.10143735746
conducive, reaily: 0.0
scared, self-financing: 0.0
else, illustrative: 0.422666677041
bull, public: 0.543332971572
principally, warned: -0.097779705579
chickenshit, mortal: 1.12283572419
cozy, prodigious: 0.42569899136
rare, recommendable: 1.1073813041
free-of-charge, tell: 0.0
emerged, unlocked: 0.739105459679
critical, raison: 0.543115435493
15-year-old, shot: 0.0
expeditious, relative: 0.335858631272
astounding, patronizing: 0.454228274083
doubt, traffic: 0.09258191505
baby-sitting, unusual: 0.0
ethical, ill-defined: 0.0
begin, loverly: 0.129500316288
doable, treasured: 0.664661100379
less, under-funded: 0.0
lively, mad: 0.868560526571
customary, race: 0.46387728265
astute, personally: 1.16167540719
frightened, regulated: 1.36467483539
home, whatever: 0.577970600654
over-ambitious, smart: 0.0
permitted, tenacious: -0.517777595761
saved, usual: -0.273969620374
candid, unified: 1.24131504519
astute, self-supporting: 0.0
turbulent, unspecified: 0.285219858215
inconsequential, whassup: 0.464838168951
amusing, rational: 1.56670919852
fair-minded, unfair: 0.0
bereft, common: 1.20150399727
nascent, non: 0.454405042472
specify, substantial: 1.61749991438
dismal, everything: 0.463226471841
mutual, witty: 0.105059440737
safe, self-explanatory: 0.0
earliest, twelve: 0.352170978558
dire, thicker: 0.916452854442
contrary, novel: -0.116457081745
corrigendum, synergistic: 0.141784466887
cumbersome, fundamental: 0.649339138277
accustomed, secretive: 1.6344959181
expanding, find: 0.32284916124
almighty, fucked: 2.11434188449
brainless, limp: 2.11876792386
cooperative, immaterial: 0.42536206022
sure, well-prepared: 0.0
unendurable, unprofessional: 1.4214842502
cher, immeasurable: 0.086391984051
traffic, whar: 0.0
adequate, overweight: 1.45173223804
jolly, moist: 1.40572148508
canceled, distressed: 0.602745456376
lovable, milder: 0.855501691778
culturally, seasick: 0.72727182991
mental, robust: -0.653623288097
cold, psycho: 0.64090223391
proper, unachievable: 0.911032051471
sturdy, vested: 0.138298608615
accelerated, inestimable: 0.532842016905
liquid, usable: 2.39207021219
helpful, respect: 0.946966058818
committed, purer: 0.316740566672
palpable, reason: 1.65201163388
briiliant, stimulating: 0.0
hardto, middle: 0.172615189743
amusing, snappy: 4.08978405176
marginalized, risky: 1.12890791202
apt, warranted: 1.78518528155
forthcoming, heeded: 1.05391075343
finer, mild: 0.203122885781
conscious, unsafe: 1.01446333329
indebted, tougher: 0.283406347893
outgoing, starved: -0.086499536144
droll, faultless: 2.51143295882
smartest, weighted: 0.602468350484
insupportable, underdeveloped: 1.08305133607
extensible, intended: 0.738948693949
crass, horrifying: 2.41533671442
disconcerting, quoted: -0.351698452123
incompetent, pretentious: 2.94796028842
aroused, outnumbered: 2.49748758508
stand-alone, them: 0.0
brillant, longer-term: 0.0
spicy, unremarkable: 1.57681286197
smokin, temporary: -0.1891141905
embarrassing, excellent: 1.00719922222
justification, verify: 1.40923999213
jurisdictional, off-putting: 0.0
authoritative, historical: 1.87698770914
chilly, immature: 1.07049058187
lengthier, organized: 0.323392729187
immeasurable, jittery: 0.09153020231
honored, well-received: 0.0
colossal, unfeasible: 1.75376065418
hlv-positive, tolerable: 0.0
dirty, telling: 1.24097482219
lean, periodic: 0.290811924266
expressly, over: -0.249340627124
education, state-run: 0.0
believable, dynamite: 1.262131227
infrequent, unimportant: 2.70818957151
brighter, immersive: 1.5922296305
gifted, non-competitive: 0.0
korean, shorter: -0.149757685762
one-sided, unprejudiced: 0.0
muted, spectacular: 2.04650027517
shared, two-: 0.0
better-quality, compatible: 0.0
similar, small: 1.25709347561
minus, tailor-made: 0.0
knackered, under-inclusive: 0.0
inoffensive, unfilled: 0.724037244224
coherent, obscene: 0.469399672569
integrating, precise: 0.361324095898
industrialised, just: 0.0
debatable, well-designed: 0.0
oldest, placed: 0.408849580797
nearly, urgently: 0.138306379739
desirable, proud: 1.08637193448
discriminate, uninsured: 2.70851226895
speedy, tangible: 0.544860979807
cattled, self-sufficiency: 0
co-financed, executory: 0.0
issue, selfevident: 0.0
policy, salute: 0.371905404973
strengthening, widely: 0.673659201188
generally, tentative: 1.07983290715
find, random: 1.01372575964
homicidal, suddenly: 0.706806263678
remediated, run: 0.051494381822
black-hearted, chloe: 0.0
abreast, co-dependent: 0.0
circumneutral, sudden: 0.0
her, soothing: 1.04164161599
careless, fluid: 1.58096800502
emotional, tonight: 0.919890510726
handsome, opposed: 0.056761944355
outdated, trusted: 0.593676203939
handy, welcomed: 0.237244218759
noticeable, remarkable: 2.68175283221
advised, well-suited: 0.0
hospitable, neat: 1.8084172561
grateful, strong: 1.80496945881
co-, static: 0.0
dying, horrendous: 1.77897227173
magical, suddenly: 1.50176081602
justification, observed: 1.05527018878
affected, cordial: 0.640440248728
needy, returned: 0.381571440247
generally, susceptible: 2.08386206512
hlv-positive, them: 0.0
archaic, well-reputed: 0.0
equivalent, presentable: 0.466013928782
kidding, overdue: 1.32977879767
organized, perverse: 0.275161120728
debated, valid: 1.32025907271
industrial, selective: 0.58982308115
altered, growing: 0.377101562011
momentary, subtler: 2.4148722659
bogus, unaffordable: 2.18689168188
heavy, lovelier: 0.014715433868
first, sorr: 0.0
deficient, jittery: 0.791567922716
dainty, purer: 1.68114886916
deserted, spaced: 0.806430001488
quality, undeveloped: 0.325666908097
aroused, catastrophic: -0.057933888508
expanded, historical: 0.306366875763
geographical, greater: 1.8789298759
coming, handling: 0.686731714797
blow, compassionate: 0.520332063116
manifold, thriving: 1.03613035653
altered, correctly: 1.30237462664
high-tech, periodic: 0.0
fiercer, yellow: 0.344343571739
policy, technically: 0.192914614192
discreet, relaxed: 2.99930487181
hateful, weirder: 2.27787686445
rare, reasonnable: 0.0
cost-effectively, lonesome: 0.0
healthier, rarely: 0.528287089863
buoyant, costeffective: 1.15977947598
buoyant, insurmountable: 1.60015231309
across-the-board, ferociously: 0.0
unprepared, vacant: 0.927918169191
basically, no: 1.3607478007
admissible, recognizing: 0.363369689617
deadly, in-house: 0.0
disposal, main: 0.264990168598
fully, repulsive: -0.157510920562
liquid, substantiated: 1.02785027722
average, long-lasting: 0.0
stress-related, ugly: 0.0
proper, relaxed: 1.51328482281
high-ranking, know: 0.0
splitting, trustworthy: 0.394793890711
exhausted, exhausted: 9.24650179529
secure, unjustifiable: 0.591537082878
ecologically, hollow: 1.27376223797
neighbours, present: 0.0
elected, prestigious: 0.37278249886
retail, revealing: 0.452424455792
immeasurable, sympathetic: 1.05476394175
3rd, dense: -0.651249675871
felt, non: 0.229348119809
compensatory, suspect: 0.396856199558
legal, screwed: 0.454665358465
academic, oriental: 1.386340394
refundable, respendable: 0.0
critical, hlv-positive: 0.0
legality, tight: 0.09690243128
groundless, moreover: 1.58193707091
applied, jurisdictional: 0.932120760913
legal, scheduled: 0.310783358743
burdensome, implementable: 2.0085538466
certified, regretful: -0.327022225569
active, static: 1.42106336845
hinky, hiv-positive: 0.0
jumpy, legality: -0.366217395177
connected, satisfactory: 0.431419436524
condescending, of: 0.0
commitment, moist: 0.022151393435
discussion, farther: 0.431135947202
anymore, wealthy: 1.03669288632
anxious, unattainable: 0.614407956824
granted, relentless: 0.019828283436
married, optimal: -0.368529161065
dedicated, unsteady: -0.179951317136
dominant, proud: 1.63073158049
determinant, largely: 0.914251423768
glowing, yellow: 2.2886844464
energy-efficient, responsible: 0.0
marketed, merciless: -0.079781295921
attention, romantic: 0.154820960892
bleak, finest: 1.22506433207
incompatible, start: 0.252758830941
sporadic, steadfast: 1.43278027922
juvenile, rigid: 0.618195700646
muted, routine: 0.85458893681
fast-switched, passionate: 0.0
relaxed, well-respected: 0.0
illegal, worse: 1.03835400823
economically, rugged: 0.604807961206
focused, understood: 1.28960376358
queer, severe: -0.455588002505
patient, sorr: 0.0
consequential, unfair: 0.844898418011
awkward, punchy: 1.78386528455
full, permissible: 0.204243973826
degraded, wreckable: 0.0
commitment, provision: 1.42596137477
finest, launched: 0.112355611926
as, pitiful: 0.695315267401
accelerated, leave: 0.250383902444
unprepared, valued: 0.295331923392
otherwise, priceless: 0.639795725666
categorical, misguided: 1.27176544979
normal, vacant: -0.356254742854
hateful, independent: -0.099546098118
patient, stagnant: 0.600655199055
goofy, rough: 1.69064885121
threaded, unfathomable: 0.220882390957
effectively, sketchy: -0.283418002188
effectiveness, evey: 0.178519577621
compared, stylish: 0.628799243186
tentative, weary: 1.63354840232
insupportable, on-going: 0.0
lesser, natural: 0.929737427771
gigantic, recommendable: 0.415612585781
breathe, elle: 0.898538523668
monstrous, peachy: 1.39519091599
laughable, technology-neutral: 0.0
died, soft: -0.434344146256
creditable, judicious: 1.43842523612
also, frightful: -0.099947848514
lovable, quiet: 1.77407084957
dispersal, disposal: 2.08885055298
harder, unmistakable: 0.252725963812
received, watchful: 0.047892984609
immaterial, wholesome: 0.428030117607
striking, tiring: 1.30905966555
fearful, screwy: 1.07716263669
given, well-treated: 0.0
organic, sunny: 1.03917242987
last-minute, sixth: 0.0
legal, slimmer: -0.470287416728
darkest, thrilling: 2.08081465585
cleanest, partial: 0.340049844074
geographical, rigght: 0.0
delineated, payable: 1.78012683977
hysterical, reaching: 0.197742028733
unreliable, wealthy: 0.56086749155
amiss, swifter: 0.671999595971
explosive, grown: 0.755902918066
starker, stimulating: 0.483862351728
expanding, uh-huh: 0.0
comprehensively, l: -0.02049988475
nude, sporadic: 0.237445196971
bare, ravishing: 1.91667928309
defeated, retail: -0.097292587213
concerned, nobler: 0.638925241621
built-in, invariable: 0.0
agreeable, sad: 1.56160197883
low, progressive: 0.483701727693
crowded, potent: 0.96849258952
fast, tailored: 0.818918702288
franco, quality: 0.104841563611
appreciated, whole: 0.832771454671
about, deadly: 0.154442908726
on, upfront: 0.446998778892
fifteen, relentless: 0.618907052141
ioaded, well-lit: 0
incomplete, previously: 0.35746356937
diminished, interestedin: 0.0
heavier, unspeakable: 0.499761568433
prerequisite, seropositive: 0.94235129278
illicit, lucky: 0.324743975801
fourteen, indian: 0.845513294013
indiscriminate, unbecoming: 2.82221867961
affluent, unhelpful: 0.439152335034
deepest, policy: 0.506114952388
misused, southeastern: -0.710077136501
classic, miscellaneous: 0.689467080523
authentic, ill-founded: 0.0
insulted, southeastern: 0.594428064009
accuracy, reason: 0.354441364119
notorious, undamaged: 0.063851602166
outnumbered, uncertain: 1.04884378421
apolitical, greater: -0.158227901003
abolished, unattractive: 1.62710549635
messy, serious: 1.3709149866
unrelated, well-lit: 0.0
clean, noticeable: 0.527681393782
home, widely: 0.047297816064
elected, wished: 1.27239434021
humble, untapped: 1.14252393366
meticulous, probable: 0.211319170994
bloodied, despicable: 1.75717836249
less, meagre: 0.0
conscious, willing: 1.7558943757
ungrounded, unprotected: 2.12310865588
hideous, triple: 0.82401806476
importantly, supported: 0.888966128329
inflexible, past: 0.482201012596
joyous, tailored: 0.14176434547
honoured, hour: 0.0
smartest, thus: 0.33604592133
distinguished, dressed: 1.83006393784
sweetheart, unavailable: -0.266001015732
crippled, unimpressive: 1.58197513306
aligned, theoretical: 0.812300406786
complicit, finally: 0.514104476291
admirable, wierd: 1.64544278496
