10, independent: 0.0
historic, vis-: 0.0
countless, stronger: 0.142202640879
affixed, unpopular: 1.00023820368
cost-efficient, terrorized: 0.0
bi-directional, guilty: 0.0
builshit, enforceable: 0.0
distinguished, self-aware: 0.0
audacious, wierd: 1.00402126218
next, representativeness: -0.135102819081
classical, famous: 1.65390187278
dim, obstinate: 1.9388121709
better-iooking, shy: 0.0
immersive, unsettled: 0.509117772836
attention, large-scale: 0.0
complements, demand-driven: 0.0
personally, weakest: 0.388130599507
increasing, wounded: 0.535086167263
arguable, explosive: 1.23003934919
broken, unsteady: 1.92145473673
contained, impatient: -0.423020528686
delighted, large-scale: 0.0
impeccable, soaked: 1.44948915867
loose, opening-up: 0.0
legality, properly: 1.63782414234
unprecedented, vice-chairman: 0.0
foxy, scientific: 0.10125736975
disgusting, up: 0.452604123279
below, home: 0.538077281691
freest, regrettably: 1.05771006339
deep-rooted, substandard: 0.0
astonishing, off-putting: 0.0
cohesive, ionely: 0.0
end-to-end, meaningless: 0.0
close, shoot: 1.4994269312
accordingly, evident: 0.05616063761
horny, satisfactory: 0.944527461184
crafted, shielded: 2.46593701091
protracted, urgently: 0.845566639593
imperfect, physical: 1.13097051405
dysfunctional, peripheral: 1.55676746049
exquisite, included: 0.545332326014
deadly, noteworthy: 0.590593923126
east, marty: 0.190843257039
geek, profane: 1.88983535155
highest, living: 0.802265409981
durable, safe: 2.39781140559
cognizant, non-binding: 0.0
coming, guys: 1.94975430035
handicapped, stupide: 0.0
relatively, unfeasible: 1.31811552782
dressed, irresponsible: 0.386915323132
regularly, well-treated: 0.0
dre, girl: 1.26244226271
consistent, free-standing: 0.0
first-rate, standardized: 0.0
inter-linked, retard: 0.0
america, non-specific: 0.0
customized, use: 1.37485614137
impossible, unanimous: 1.8361863934
cited, well-placed: 0.0
every, manifestly: 0.328669507402
emotive, immature: 1.24758897352
constantly, different: 1.50188839954
free-of-charge, typically: 0.0
anonymous, madness: 0.40332510261
bone-dry, granted: 0.0
looser, looser: 9.93553671858
rarer, upper: 1.13171592174
focussed, wondrous: -0.390888993553
generated, regrettably: -0.07688857783
admirable, periodic: 0.245611093138
efficacy, positive: 1.2518098345
advanced, analogous: 0.729747151253
counterproductive, sharp: 0.18664128695
amended, subordinate: 1.28712779206
blank, dodgy: 1.54267806101
boy, specify: 0.006879129969
acquired, over: 0.462705494552
expressed, mid-sized: 0.0
intact, wholesome: 1.66345553028
closer, very: 0.543857685051
preposterous, youngest: 0.623224782692
knowledgeable, safer: 1.45601340952
flagrant, material: 0.662064308957
exhausting, twofold: 0.746516703207
aggressive, well-informed: 0.0
good-natured, kind: 0.0
presentable, troublesome: 1.03424305678
infeasible, startling: 0.774583853271
constructed, wounded: 0.5401779211
disconcerting, guilty: 1.53488391044
detailed, fucking: 0.373867445103
little, obnoxious: 0.883180923276
entitled, inexcusable: 1.1663065322
daunting, hardworking: 0.334628827679
alive, suitable: 0.850131090904
realist, trippy: 2.71283010456
flat, subdued: 2.97535859871
heavy, jack: 1.15632105089
anxious, reasonably: 0.566828148975
beter, fat: 1.5599417208
mindful, sound: 0.525742642412
less-favoured, pivotal: 0.0
discreet, topnotch: 1.0301089244
shortly, vis-: 0.0
enjoyable, well-off: 0.0
incidental, sudden: 0.996528133072
asshole, divine: 1.28776040885
flaccid, requests: 0.533537329042
advantaged, every: 0.437387032748
growin, submitted: -0.388064379821
non-toxic, patchy: 0.0
cool, provision: -0.400417116305
easiest, upset: 0.357741046707
fearful, pricey: 0.832565725807
determinable, final: 1.36826922767
encouraged, spicy: -0.237021781359
holistic, usually: 0.271228528405
palpable, wing: 0.12586814258
disjunct, enhancing: 0.764792503887
clear-cut, motivation: 0.0
distraught, refundable: -0.104430376307
just, limp: 1.03182046123
tabled, unfortunately: 0.450507963722
far-ranging, inhumane: 0.0
giant, worded: 0.087112863814
comfy, untapped: 0.580748751508
phony, why: 0.72150595768
brighter, self-conscious: 0.0
insufferable, unnecessary: 2.21979764749
nuts, primary: 0.592737397351
comercial, so: 0.361856767284
patronizing, stubborn: 1.59359397324
deposited, holy: 0.698077572021
green, ruthless: 0.315095296821
notably, right-: 0.0
done, incomprehensible: 0.606724440374
good, panicked: 1.16109062695
modern, registered: 0.287995779286
enhanced, resilient: 0.94534116535
directly, inconceivable: 0.305259304598
cinematography, fatter: -0.717176536387
potential, unconscionable: 0.852785944333
complicit, unheard-of: 0.0
brighter, permanent: 1.58225779533
inferior, self-explanatory: 0.0
insincere, sparse: 1.43837067169
completed, henry: -0.273142614067
enormously, equipped: 0.431998063155
terrifying, unrelated: 0.697116225912
come, longer: 0.532359009225
dual, tacky: -0.24626369244
groovy, remediated: -0.182374271537
entrenched, flashing: 0.163452111815
detailed, dubious: 0.773393895894
cherry, thus: 0.347169410355
idiotic, seamless: 1.02075100426
deserved, thinner: 0.157138463
common, dense: 1.02409677365
enjoyable, focussed: 2.31092062258
hands-on, ioyal: 0
droll, thorough: 0.833000458296
-ready, lengthier: 0.0
prescriptive, toast: -0.602428963946
adulthood, displeased: -1.04604565172
proper, rigid: 1.67072442265
meaner, served: 0.538202737856
subdued, sweeter: 2.10381089438
estimated, massive: 1.55226372975
non-exhaustive, ping-pong: 0
ready, well-coordinated: 0.0
frozen, great: 0.424142575545
many, non-existent: 0.0
cooler, ferociously: 0.469867183476
nicer, self-sufficiency: 0.0
anyway, spotless: 0.756238079338
indicated, overt: 1.29804834212
understandable, uptight: 2.16543595229
gorgeous, spatially: 0.889174894143
refreshing, warmth: 2.78480505711
contradictory, gigantic: 0.547473587163
longstanding, loyal: 2.27399709458
cancelled, running: 0.0
revised, varied: 1.49308752059
conservative, threaded: 0.331039980733
aroused, retarded: 0.719401312159
one-sidedly, tiny: 0.0
enlarged, recently: 0.541744424339
culturally, long-range: 0.0
hideous, subsidized: 0.775060712393
bloodied, finished: 1.32271418794
co-financing, traumatic: 0.0
properly, raison: 0.755511501805
every, increasingly: 0.719797815283
confrontational, irritating: 3.25021719743
breathe, upfront: 0.155041947888
micro, seriously: 0.34456180954
-sorry, humid: 0.0
clear, today: 0.32397986433
crippled, negligeable: 0.0
reversed, rugged: -0.674352039271
egregious, expeditious: 2.40000066527
greater, unequivocal: 1.03564018295
industrialized, way: 0.253106989833
awesome, snarky: 2.25873140531
madness, sunny: 1.39776780789
sunny, urgent: 0.058125318972
hasty, monumental: 1.98935942022
breathe, prompt: 0.325373783531
first-hand, tight: 0.0
frightful, inquisitive: 1.63006798449
salient, turbulent: 0.977523272184
lucky, miniscule: 1.49389336324
appointed, microscopic: -0.091131824216
accelerating, brief: 0.201321094328
steep, transitory: 1.53283824144
onerous, six-year: 0.0
even, vivid: 0.51021698448
commended, glad: 2.53405214796
allright, superior: 0.459400316378
accessible, trite: 0.97437051394
afresh, reachable: -0.455163271225
identified, topnotch: 0.234970628004
delighted, then: 0.313227435646
grumpy, sooner: 0.974616857445
corrupt, grim: 1.09690660668
murderous, vice-chairmen: 0.0
developed, so: 0.263460768368
killed, largest: 0.800098514948
abolished, freak: 0.134907749686
reasonnable, wing: 0.0
objective, sinful: -0.06938632925
magnificent, supra: 0.45261893707
friendly, well-written: 0.0
ingrained, wiser: 1.51295782223
finally, unseemly: 0.55286850737
explained, provision: 0.344938887153
il, invested: 0.183632036333
term, upfront: 1.13707478545
exquisite, non-compliant: 0.0
gaunt, milder: 1.31639541959
disquieting, government-owned: 0.0
doin, master: 1.02850842043
cost-shared, exciting: 0.0
authentic, opening: 0.630565185247
iittle, nut: 0.0
happened, straight: 0.553826601794
steadfast, used: -0.28888085572
cattled, unfeasible: 0.0
compassionate, updating: -0.098276395967
murderous, wide-open: 0.0
binding, buoyant: 0.2888816444
telling, uniformed: 0.808429260451
crazy, risky: 2.30437183077
healthier, steady: 1.98402238651
functional, inevitable: 0.409195693913
damaging, puzzling: 1.37018694124
breathtaking, pray: 0.621552862436
gandalf, naive: 0.0
hard-pressed, risky: 0.0
a, unclear: 0.0
sacred, unaware: 0.634363795162
stellar, unprotected: 0.252600023619
disadvantaged, prior: 0.061589380263
existing, motivated: 0.00414903119
currently, launched: 0.412691739489
annoyed, low-skilled: 0.0
pragmatic, tailor-made: 0.0
practicable, simple: 1.63862108295
phat, unjustifiable: 0.989889812659
frantic, sluggish: 2.42522860712
house-trained, now: 0.0
prejudicial, well-founded: 0.0
serene, unsanitary: 0.799373008715
formidable, gratifying: 1.44230244482
3rd, cynical: 0.053593722778
revised, vis-: 0.0
long-lasting, stricter: 0.0
ominous, stupid: 1.46343485848
childish, yourself: 2.05527574562
answerable, righteous: 3.00893051673
co-operative, running: 0.0
fairer, multi-dimensional: 0.0
overridden, rooted: 2.45385924306
hostile, introduced: -0.032382644535
deeper, rubbish: -0.003918690548
appropriate, omnibus: 0.99137444494
combative, worldwide: -0.416969510643
ominous, super: 0.034566837472
geographically, iilegal: 0.0
slender, subject: -0.226066719203
extensible, predictable: 2.28918880632
happier, rogue: -0.184789882967
proficient, sturdy: 1.59524541353
imrtant, treatable: 0.0
foolproof, material: 0.764178874627
awkward, unforgiving: 2.79362503227
blow, glorious: 0.800478360155
so, unmistakable: 0.071722084194
non-partisan, skeletal: 0.0
courageous, enlarged: -0.258278030105
rescinded, unlocked: 0.764847111966
processing, rock-hard: 0.0
appalling, ill-defined: 0.0
large-scale, self-evident: 0
drenched, short-sighted: 0.0
application, five: 0.209972271941
admitted, straightforward: 0.543012526037
interrelated, sustained: 0.499898763373
courrier, rusty: 0.572446072778
strengthening, tough: 1.46668697896
imperative, shorter: 0.627702828837
north-east, timely: 0.0
delicious, nonsense: 1.04570409809
defeated, finicky: -0.185706959678
brutal, defeated: 1.53717509479
frustrated, involved: 1.50395961315
indebted, shocked: 2.11973174646
clinically, heeded: 0.012672576632
infuriating, over-the-air: 0.0
primordial, unfeasible: 1.15369395271
elementary, invalid: 0.287171180345
italian, pro-poor: 0.0
handsome, transitory: 0.701732354087
blind, inaccurate: 1.33258719304
-lncredible, awful: 0.0
illustrative, principally: 0.967802768217
overflowing, systemic: 0.361452185613
eleven, skint: 0.774463006776
nauseous, tough: 0.749286329328
", differing: 0.0
heartbroken, prat: 2.29452058602
visual, well-served: 0.0
indefensible, unwholesome: 2.50430647813
briefly, insubstantial: 0.425453087549
ah, positively: 0.384398642745
dirtier, unheard-of: 0.0
grouchy, minute: 0.722326464906
around, needy: 0.712084870348
slimmer, stressful: 1.03396150522
absent-minded, younger: 0.0
agile, supra: 1.12883075268
rock-solid, shallow: 0.0
crafted, long-lasting: 0.0
moot, troubling: 1.97938565131
inescapable, unaltered: 1.62778778739
demonstrated, propitious: -0.294257810589
enhancement, hurting: 0.318039209104
broader, disingenuous: 1.15011278692
called, smoother: -0.195719058781
inevitable, tabled: 0.464735305355
accomplished, ping-pong: 0.0
generic, iilegal: 0.0
effectiveness, rooted: 0.024689032372
at, obsessed: -0.072960908456
synergistic, true: 0.869918608821
now, specific: 0.220257686897
envious, incompetent: 2.07588723526
concise, received: 0.717478750488
immersive, insufferable: 1.73536548948
forward-looking, seldom: 0.0
only, worrying: 0.5813108245
abolitionist, prevailing: 0.835943164535
cuter, provided: -0.632460877551
self-executing, unfriendly: 0.0
cultural, dumber: 0.027019095642
convincing, strengthening: 0.9220916005
flagrant, motherfucker: 1.55167371642
blatant, flicka: 0.0
chosen, sooner: 0.01547415977
freest, hollow: 1.30439692854
dedicated, positive: 0.688621477276
rigid, unfeasible: 1.59339236505
profane, self-governed: 0.0
fiercer, selfish: 0.427896541489
cleverer, scarce: 1.77361214563
accessible, italian: 0.302630694088
desperate, traded: 0.686734073723
aesthetic, miscellaneous: 1.49927332989
that, time: 0.546688034388
foreseeable, stress-related: 0.0
dependable, self-sustaining: 0.0
cloudy, met: 0.069424042206
conflicting, positioned: -0.559029931352
trained, unseen: 0.631926168987
prerequisite, skeletal: 0.236989940555
carefully, claire: 0.204256555419
ongoing, sound: -0.144620575829
charming, occupied: 1.4614328447
definitive, lastly: 0.107475867969
hereby, secondary: 0.207795469492
closed, so-called: 0.0
key, sizable: 1.40896636555
dispersal, significant: 0.643147782626
incompetent, thoughtful: 1.51969914022
surely, unattractive: 0.712261109133
inconclusive, ominous: 2.47723640601
dispersal, launched: 0.260120916281
brillant, various: 0.007016916597
change, school: 0.321289947197
extremely, triple: 0.546299987619
defunct, preliminary: 0.06344584803
enhancement, prepped: -0.034448955219
appreciated, technology-neutral: 0.0
autonomous, over: 0.299984954363
business-friendly, furious: 0.0
prevailing, salient: 1.33934166083
big, offensive: 0.751455578325
cheerful, sleepy: 2.60389213959
null, related: 0.852881287077
arbitrary, malignant: 1.63812764458
preoccupied, prohibitive: 1.73762006893
permitted, under-inclusive: 0.0
ionely, th-that: 0
liberal, wounded: 0.751894489523
busy, defective: 0.014983069224
bitter, lead: 0.458149582504
northern, snug: 0.79016665205
sexy, youngest: 0.124349838055
sorry, together: 0.226516248278
lovelier, pro-choice: 0.0
daunting, one-sidedly: 0.0
insatiable, ioyal: 0.0
participants, uncertain: 0.194650962806
inexcusable, solemn: 1.92549244835
puzzling, stricter: 0.767491100643
filthy, richer: 0.631599263934
korean, madness: 1.00925752397
defeated, wet: 0.550843263002
advantageous, being: 0.041285297163
shy, universal: 0.588788375154
happier, microscopic: 0.378407352691
exhausted, negative: 0.082791399912
dull, secured: -0.044294805895
minute, non-compliant: 0.0
thank, treatable: 0.520230980887
acclaimed, thin-skinned: 0.0
heartening, urgently: 1.62121822026
visible, wacko: 0.325597570118
certain, ended: -0.045906527045
broke, cleaner: -0.202009610221
forceful, insulted: 1.10080793275
challenging, evolving: 2.41275584237
lazy, useful: 1.56890570536
characteristic, hopeful: 0.202425254826
decisive, winning: 1.88983841046
purty, stupid-looking: 0.0
submitted, underfunded: 1.07980543357
palpable, twice: -0.059985878669
cabbage, severely: 0.907699148548
imrtant, noble: 0.0
convincing, though: 1.14411221631
lackluster, self-governing: 0.0
fifty, recent: 0.652104512941
filed, greedy: 0.543731954287
expensive, honest: 1.0654370543
recurrent, utilized: 0.57458388251
equipped, possible: 0.794836930173
practicable, unspoiled: 1.43088487072
outstanding, value: 1.67364168791
lookin, represented: 0.19716625476
pro, represented: 0.969342055375
damp, overheard: 0.227774607107
majeure, twisted: -0.044417928514
constantly, roll: 0.352791291883
possibly, smokin: 0.19914792649
challenging, unharmed: 0.349848520422
simply, touchy: 0.606693192622
actually, stressful: 0.963896010817
begin, co-dependent: 0.0
prime, reachable: 1.10042675606
cleanest, reyes-torrena: 0.0
equitable, seventh: 0.412062406362
begin, mortal: -0.310178260811
manifestly, marked: 0.75998749106
european, kinda: 1.1387194582
phat, well-educated: 0.0
rehearse, repeated: 1.47043761253
articulated, eleven: 0.505179036227
loose, prevalent: 0.471925028705
complacent, thick: 0.732592484627
ancient, quick: 0.052224837376
notable, supportive: 0.846488284519
antagonistic, stringent: 1.21623256071
hostile, level: 0.327133161558
same, undignified: 0.62274224359
short-term, uniform: 0.0
15-year-old, surely: 0.0
energetic, practicable: 0.508574674415
affixed, costly: 0.439763046495
relaxed, withdrawn: 1.35164900232
fussy, minuscule: 1.05463764388
foolproof, troublesome: 1.41484766341
uncommon, wicked: 0.802104015052
astounded, propitious: 0.964160233034
abundant, far-ranging: 0.0
outermost, undetectable: 1.61726109455
felt, saved: 0.849661751048
problematic, supplementary: 0.92328264395
belated, quickest: 0.855492404552
harmful, stand-alone: 0.0
chaotic, neurotic: 2.39649538577
moderately, okey-dokey: 0.0
fearless, yesterday: 0.277727285346
dumb, imperfect: 2.46813086675
stoned, unlucky: 2.7975580498
sloppy, them: 0.895223075764
decent, substantive: 0.977155864891
opposed, unwise: 1.74738352391
comprende, spent: -0.060176318362
welcoming, wiser: 1.16296021452
death-proof, gorgeous: 0.0
forthwith, silly: 0.548632548467
commensurate, older: 0.173886638806
contestable, dressed: -0.078286090127
messy, sovereign: 0.824296829099
convinced, lastly: 0.589617368929
safer, uneconomic: 2.494930761
heartfelt, linked: -0.165148016678
affirmative, education: 0.954092369595
ideal, truth: 0.25091791841
fraudulent, mainly: 0.602601572164
liked, zero: 0.219599644878
earliest, scattered: 1.16540128099
attentive, glowing: 1.25383726276
-sorry, over: 0.0
business-friendly, tom: 0.0
faster, optimum: 2.28019433423
payable, total: 1.85843229337
outnumbered, terminated: 0.119396092847
deepest, unlikely: 0.603029974502
disjunct, mild: 0.720420582219
her, unoccupied: 0.555041823639
drunk, moderate: 0.300166194885
careful, mild: 1.78277288028
considerate, fearless: 3.04537771216
undeveloped, ungrounded: 0.230199035476
propitious, psychotic: 0.405102849497
selfevident, vigilant: 0.0
awaken, guys: 0.149673079938
cheap, honoured: 0.0
motherfucker, retrievable: 0.91379610372
infamous, tied: 0.861551064461
curious, nobler: 1.44251082595
well-maintained, well-trained: 0
afflicted, content: -0.289872583048
better-iooking, monthly: 0.0
preferable, ridiculus: 0.935105311896
do, naturalistic: 0.466005261695
disagreeable, physical: 0.890237872798
accomplished, scarcer: 0.72539879782
frigid, steady: 1.31902530748
distribution, feisty: -1.07979558025
-so, senseless: 0.0
fit, laughable: 1.2545265843
clerical, moody: 0.336866594722
emerging, fussy: -0.30443509784
antsy, pushy: 3.9064077056
applied, primordial: 0.578279644446
disgraceful, retard: 2.01518006965
awestruck, happiest: 3.04702802336
traditional, worthy: 0.608085264978
superfluous, very: 0.341796835521
called, fundamental: 0.297917081518
approved, obese: 1.25473731836
sparse, uptight: 1.32623558015
3rd, horrifying: 0.134337360156
historical, strengthened: 0.66964076507
evey, minute: 0.751306034807
fatal, warranted: 1.19192740682
magical, whassup: 0.653710427978
better-quality, pre-established: 0
optimistic, touchy: 2.2489793118
innocent, snappy: 0.160550895699
dainty, unclear: 0.618683628303
admiral, proscribed: 0.47559906119
parallel, pluralistic: 1.73088653513
awol, zesty: 0.161087940691
handling, start: 0.58905736749
suited, wondrous: 0.764490674122
bulletproof, chosen: 0.434964918865
expressly, growing: 0.068160577266
sluggish, start: 1.6893786541
actively, pleased: 2.03552204946
met, rigght: 0.0
flaccid, perplexing: 2.00475665327
free-of-charge, prohibited: 0.0
focused, instructive: 0.94505093663
net, repayable: 1.86152786001
foul, kidding: 0.994441167777
advanced, especiaily: 0.0
presentable, primary: 0.046117117294
audacious, dreamy: 1.83150322588
cynical, korean: 0.59240799302
bravest, creation: 0.277390115455
coarser, well-off: 0.0
best-known, industrial: 0.0
delicious, wacky: 2.30275282404
asinine, guaranteed: 1.3248548096
considerably, doomed: 0.258113254254
individual, respectful: 1.55787962047
lawful, trashy: 0.690233997265
however, minus: 0.637025863365
spotless, subsidized: 0.697539041989
mechanical, prescribed: 0.149724400462
defenceless, remaining: 0.0
consistent, re-established: 0.0
loud, mesmerizing: 1.5136242189
european, freak: 0.141332129297
embedded, simplifying: 1.71577287051
irresponsible, vital: 1.26104087639
fine, short-lived: 0.0
crowded, ravishing: 0.749996413788
effortless, therefore: 0.10860193757
incomplete, technically: 1.66449989747
closed, global: 0.146474016238
longterm, top: 0.353222342402
comercial, non-toxic: 0.0
painful, strong: 0.740945420056
hardworking, vice-president: 0.0
screwy, unfit: 1.40983200587
fascinating, switching: 0.186407532553
culpable, filthy: 1.20052857018
achievable, illogical: 1.44488222543
immaculate, sparse: 2.69833253036
finer, wealthier: 1.55560875488
joyous, returned: 0.896607110517
complicit, tremendous: 0.119338518715
unsteady, well-balanced: 0.0
cruel, needy: 2.02600054446
forthright, reyes-torrena: 0.0
griet, unsustainable: 0.0
lukewarm, snappy: 2.003155002
flat, opening-up: 0.0
exact, outrageous: 0.949069255962
one-sidedly, reconcilable: 0.0
big, secured: 0.268824437216
awol, uneven: 0.377655865424
historic, integral: 1.39174339198
bizarre, gruesome: 4.24463562725
populated, removed: 0.956296963601
international, interwoven: 0.451322519646
self-evident, unanimous: 0.0
overly-high, preposterous: 0.0
standardized, unsure: 0.149946874522
responsable, unsettled: -0.054509880856
ok, unavailable: 1.20550587617
aggressive, cowardly: 2.31351789116
furthermore, sunny: -0.280315758962
massive, west: 0.737601909667
happened, weird: 2.35879456145
everybody, interminable: 0.616011603028
phony, weil: -0.519438714132
geographical, over: 0.65822274491
dickish, incongruous: 2.30255143102
crafty, temporary: 0.710178024012
acquainted, brutal: 0.355213818404
pertinent, tolerable: 1.00066285168
19, unanswered: 0.0
sincere, twofold: 1.5606992973
inquisitive, opportunity: 0.911244713811
spontaneous, well-organized: 0.0
exorbitant, extensive: 0.615789936387
spoilt, wet: 0.0
earliest, unknown: 1.53739700735
insane, newsworthy: 2.19671227683
admitted, instrumental: 1.16804337288
atrocious, simple: 1.270851316
demand-driven, realisable: 0
several, some: 2.18544162252
deplorable, non-exclusive: 0.0
fruitless, written: 0.177638567493
importantly, well-coordinated: 0.0
elle, lucid: 1.23796024636
infrequent, plain: 1.38650842569
contained, mobile: 0.482700892721
difficult, unseen: 0.38881916108
instead, unseen: 0.420355069245
2nd, aforesaid: 0.712272046896
hereto, scientific: 0.007853200708
favorite, unique: 1.19962545485
pitch-black, rather: 0.0
largely, specified: 0.331653909064
impermissible, like: 0.339878820989
slippery, undisturbed: 1.44556749769
demeaning, mid-sized: 0.0
education, unfortunate: 0.47517087786
knowledgeable, reprehensible: 0.727853878935
about, statewide: 0.284487904308
same, typically: 0.964323516069
nationwide, no: 0.486729966286
term, wide-ranging: 0.0
illiquid, refusal: 0.47992085242
responsive, thus: 0.96816256859
horrifying, nominal: 0.706455525087
livid, naive: 2.20319609166
adversarial, complete: 0.234550227221
cheap, interestedin: 0.0
neighbours, running: 0.0
dominant, non: 0.95024376812
insufferable, justiciable: 1.16850836881
depressing, topnotch: 0.243148086279
cleanest, pristine: 3.87555747407
rugged, toasted: -0.061514917742
luckier, lucky: 5.74017487626
stark, unpublished: 1.06488730781
launched, polluting: 0.040618761354
etcetera, permissible: 1.49994752212
cool, ineffectual: 0.76894510422
resolute, squat: 0.484025747456
efficacy, multi-faceted: 0.0
infected, parallel: 0.452444026285
co-operation, prohibited: 0.0
ensure, less: 0.161690090543
ineffectual, instead: 1.35410258074
killed, temporarily: 0.798027742817
increased, transparent: 0.290498432165
grievous, swifter: 1.47550455876
normal, southeastern: 0.856893269375
annulled, moreover: 1.12279286752
ideal, self-governed: 0.0
here, nearby: 0.784751558468
longstanding, rehearse: -0.923273869001
creepy, implemented: -0.561238336425
positively, restful: 1.00469066707
celebrated, conflicting: -0.260397287076
level, teeny: 0.138022757823
adverse, bare: 0.22361135315
conservative, expressed: 1.21383119096
served, unresolved: 0.317681492574
discernible, patient: 0.403595769483
opposed, practice-oriented: 0.0
all-encompassing, discernable: 0.0
economically, snug: 0.477648975687
dense, regular: 0.278601057494
hardest, routine: 1.18921166398
amazing, bi-directional: 0.0
emotional, gratuitous: 2.06070492333
liberated, useable: 1.85317290086
handy, nearest: 2.00406252851
bureaucratic, terrorized: 0.193433033508
believable, rigid: 1.39462533241
unusual, useable: 0.397464542023
frightened, functional: -0.029632312831
cher, various: 0.105605877927
installed, strict: 0.670380015305
sold, unjustifiable: -0.101267590545
dead-on, productive: 0.0
lengthy, sir: 0.70375458889
deader, extraordinary: -0.166200725047
depressing, operational: -0.111986169828
durable, fast-growing: 0.0
application, valuable: 0.346400530089
aggravated, claire: 0.441574470987
better, skilled: 1.22069955174
exhaustive, fried: -0.140773424431
clerical, satisfied: 0.194889069753
arguable, sacred: 1.04885968889
ample, vain: 0.484167876534
although, claire: 0.143478107645
african, fatter: 1.1776666798
happened, right-: 0.0
plain, thoughtful: 1.34982038113
placed, self-sufficiency: 0.0
disjunct, intended: 0.161907488666
off-site, unseen: 0.0
controversial, multifocal: 0.019885937556
less-favoured, screened: 0.0
familiar, suck: 0.252225862727
criminal, information: 0.88396503224
bogus, dry: 0.597368838069
frazzled, recently: -0.162467676077
robust, steadfast: 2.11384176366
funky, seamless: 2.02699460985
ju, sluggish: 0.163036338857
all-powerful, potential: 0.0
somewhat, tough: 0.607168301066
crowded, illustrative: 0.464480320357
beneficial, controversial: 1.49738531083
harmless, tabled: 0.449220155772
celebrities, lamentable: 0.967795151432
certifiable, vulgar: 0.629805608457
appealing, pro-active: 0.0
2nd, smug: -0.274122397772
blurry, self-governed: 0.0
progressive, spectacular: 0.644675470598
improper, plain: 0.916996213913
cruel, faulty: 0.959538947923
disconcerting, fancy: 1.15321003729
disquieting, energy-efficient: 0.0
official, repugnant: 0.226922452371
given, latest: 0.401677406795
elegant, non-exclusive: 0.0
shitty, thus: 0.803533308415
allowable, disappointing: -0.127312873156
leave, turbulent: 0.656969853619
aggravated, lousy: 0.61173931842
expensive, overall: 0.417027506435
cumbersome, unlikely: 1.32716961411
especiaily, youth: 0.0
knowledgeable, unquestionable: 0.96375764618
condescending, strengthening: 0.045026230454
remarried, wetter: 3.08475611633
picky, statewide: 0.045781737966
distracting, short-term: 0.0
batty, scheduled: -0.312866429798
reachable, thorny: 0.438629814948
gay, passionate: 2.20113785935
listed, unsound: 0.980650198933
gullible, unfeasible: 1.00978565576
keen, whilst: 1.80422855879
admissible, fuller: -0.093736571847
preoccupied, prevalent: 2.24768735589
all-round, two-: 0
lonely, sufficiently: 0.291641017973
discernable, wacky: 0.397264199042
connected, intractable: 0.605851831391
raison, vis-: 0.0
already, twelve: 0.627661637824
deceased, enrolled: 1.38886387595
alia, relaxed: -0.058943679206
run, touching: 0.438141550453
appalling, under-age: 0.0
certain, unspeakable: 1.36774649342
lunatic, mortal: 2.00401529644
application, cheaper: 0.660100265246
aroused, fourteen: 0.466121175555
disappeared, industrial: 0.571204252637
advised, plain: 0.143604795497
transitional, understand: 0.713816372659
policy, prouder: 0.431043936437
assured, mimi: 0.12408049635
integrated, logical: 1.60119030427
them, wacky: 0.577296350236
below, combative: -0.545407964184
psyched, under-inclusive: 0.0
remote, technical: 0.720424070884
constituted, degrading: 1.32089705652
conducive, day: 0.458574842388
becoming, pro-choice: 0.0
droll, unfortunate: 0.966329385575
confidential, phat: -0.091834469917
inconspicuous, mistaken: 1.09191943365
off-putting, well-treated: 0
transitory, weird: 1.90189648783
exhaustive, move: 0.397030446379
course, humiliating: 0.559835131784
initial, task-oriented: 0.0
tighter, two: 0.63447960255
beneficial, humiliated: 0.239477287649
alike, batty: 2.38882943162
commitment, nicer: 0.258945055465
publicly, simply: 1.12129290847
policy, spicy: -0.156371821601
helpful, on: 0.106043630736
constrained, underprivileged: 0.360286565034
due, unmistakable: 0.338522571617
based, incorrect: 1.68686901771
acceding, nationwide: -0.474061528308
indispensible, interesting: 2.04020867369
by, open-minded: 0.0
executory, past: -1.10372980725
handling, righteous: 0.253936776769
detrimental, handy: 0.825904582135
durable, shameful: 0.267026768399
poisonous, stark: 1.20967119185
exorbitant, single: 0.255369387372
illusory, upright: 0.264803375849
inviolable, reversed: 0.559368941547
better-quality, easiest: 0.0
funnier, re-routed: 0.0
ecologically, rock-solid: 0.0
absolutely, separate: 0.091943205492
instrumental, unproductive: 0.346254123194
comprehensive, hiv-positive: 0.0
likable, limber: 2.79658664946
calculated, sexy: 0.377185722485
affluent, aging: 1.78240899318
better-looking, chaotic: 0.0
", settled: 0.0
equivalent, unanimous: -0.116595602861
effective, transitory: 0.85130886812
busier, magic: 0.858980078621
mindful, respectable: 0.812573639983
casual, terse: 1.60046903084
attended, unnecessary: -0.177467890311
dubious, welcoming: 0.336108567753
born, separate: 0.024466934136
directly, honest: 0.274011508558
clerical, weakest: 0.866431473473
enchanting, manifestly: 0.897706676919
really, updated: 0.111513787161
inconvenient, oversensitive: 3.22373981015
depressed, righteous: 0.41583670798
impressive, luminous: 1.91560259006
divine, rational: 2.53605959276
friendly, holy: 0.547131572335
task-oriented, underway: 0.0
imrtant, principale: 0.0
abolished, shiny: 0.376479874935
cognizant, madness: 0.359457412162
lasting, unqualified: 0.255233417803
'sgoing, top: 0.0
jumpy, perverse: 1.11663511039
