fiercer, pivotal: 1.84417795573
mid-, previous: 0.0
massive, shortly: 1.12390939696
mobile, non-compliant: 0.0
adorable, knowing: 0.67753260301
autonomous, democratic: 3.29733020176
promptly, uncommon: -0.292957822129
astounding, sharper: 0.626425080511
adverse, environmentally-friendly: 0.0
distracting, single-ranked: 0.0
apart, guaranteed: 0.655768386927
low-skilled, operational: 0.0
processing, soaked: 0.661302678632
asshole, refined: 0.654409334982
dominant, proceed: -0.029535778633
calming, modified: 0.26495583159
doctor, get: 1.09556891399
reduction, understood: 0.627649807627
problematic, stoned: 0.878728777216
momentous, shallow: -0.360752605925
advantaged, typically: 1.22063257422
exempt, strengthened: 0.920622124781
peaceful, sunny: 3.57018740112
fastest, majeure: 0.002768582926
anymore, selfish: 1.95030799159
hardest, irritable: 0.803822822047
practical, under-age: 0.0
costeffective, superb: 0.909103479702
american, restless: 0.052861202001
disadvantaged, muted: 0.598981879104
payable, prerequisite: 1.54320086827
undecided, well-done: 0.0
disorientated, security: -0.127435861696
mesmerizing, multi-ethnic: 0.0
all-encompassing, recognized: 0.0
bummed, ruthless: 0.770871252667
inside, subdued: 0.94812961988
awol, moist: 0.39602836162
minor, sharper: 1.1950721265
heaviest, sensational: 0.830404502243
limited, uppermost: 1.077162367
religious, restrictive: 1.46903230601
comfortable, serene: 2.99477362398
quick, stone-cold: 0.0
iovely, so-called: 0
clerical, straight: 0.034873657793
pristine, talented: 1.02214747915
enraged, lousy: 1.27275429184
mimi, yummy: 2.19373674944
suspicious, wreckable: 0.0
happen, irrational: 1.52109566526
abolished, delusional: 0.818981793617
confusing, folks: 0.935180137483
apt, potent: 1.96183129524
awaited, legendary: 0.845623156035
unreliable, unseen: 1.45526624015
folks, gotta: 3.06106098178
important, previously: -0.109358368071
essential, mistreated: 0.041153409628
aroused, physical: 0.541912038973
mama, unfounded: 0.532676880528
invaluable, marvelous: 3.03799038353
loco, us: 0.26487040751
non, simple: 0.692359297809
marketed, recognising: 0.0
celebrities, impossible: 0.394763628491
beautifui, ensuring: 0.0
conscious, expensive: 1.65544466516
prestigious, trained: 1.23199570572
sicker, speedier: 2.33324712883
fifth, paramount: 0.576989195568
bastard, comercial: 1.23996394403
edible, well-known: 0.0
manifold, require: 0.136591150676
balanced, complacent: 1.94376139064
affirmative, ironic: 1.04837911859
roisin, stressful: 0.0
conventional, steeper: 1.29195922509
dim, executory: 0.477790845156
dispute, youth: 0.39802875711
lost, well-represented: 0.0
hungry, witty: 0.609299825498
started, unspeakable: -0.313325621056
found, induced: 0.777578957299
jam-packed, necessary: 0.0
mla, terrified: 0.542626131554
intolerable, maximum: 1.01198101404
notably, sustainable: -0.027264784563
neutral, unpopular: 1.7043992677
deposited, strangers: 0.497878169196
costeffective, white: 0.33998307789
flammable, uncertain: 1.14604564414
agreed-upon, smitten: 0.0
centralized, massive: 1.22862111586
impenetrable, mere: 1.56910379302
arranged, hon: 0.528980787205
autonomous, furious: 0.082049368794
dirtier, unseen: 1.37125093177
celebrities, really: 0.749143269476
skint, undemocratic: 1.73016056601
deprived, non-toxic: 0.0
released, speedy: 0.103219148221
complex, specified: 0.284677334015
permissible, severely: 0.819778591581
lengthier, unexceptable: 0.0
equivalent, pragmatic: -0.024539495157
conceivable, identical: 2.42784142716
comparable, second: 0.682918667615
freezing, time-consuming: 0.0
opportunity, way: 1.29146957989
concise, treasured: 0.734853033646
over-optimistic, stone-cold: 0
all-out, ancient: 0.0
encouraging, scarlett: -0.104596872316
peachy, restful: 2.83952485989
indebted, messy: 0.213078177427
contestable, hiv-infected: 0.0
entertaining, girlie: 1.73945532979
exaggerated, grown: 1.07061617508
hinky, sizeable: 0.203622074999
conspicuous, than: 0.968398215627
blurry, hlv-positive: 0.0
faulty, heartfelt: 0.162621286267
embarrassing, kinda: 1.3894841539
consequential, irritable: 1.35880561293
east, rooted: 0.461014225463
advantaged, unsanitary: 0.395827357092
liberal, yellow: 0.581499006118
launched, self-supporting: 0.0
acknowledging, soothing: 0.825407542219
magnificent, tiring: 1.90376820315
enrolled, pro-poor: 0.0
reasonably, reassuring: 1.6224002204
etcetera, leading: 0.138720734145
abysmal, glamorous: 0.771812315788
spoilt, whassup: 0.0
economically, madness: 0.505929935822
honoured, uneasy: 0.0
canceled, timelier: 1.28283615962
complete, physically: 0.52192505089
fussy, original: 0.818997724286
instable, reai: 0.0
ageing, mobile: 0.0
foul, self-evident: 0.0
extensible, resident: -0.577966823188
reliable, underway: -0.240657427097
controlled, weii: 0.0
on, talkative: 0.180684260572
acknowledging, improved: 0.042017209819
interdependent, vibrant: 2.47800385141
cracked, richer: -0.020449738118
concentrated, these: 0.848688054278
out, toast: 0.388278031705
deliberately, together: 0.066971821027
fascinated, juvenile: 0.506926359377
articulated, synergistic: 1.34562494326
me, undisputable: 0.317225517007
baseless, ferociously: 0.74522479322
formed, nonsensical: 0.260436580782
adulthood, rigght: 0.0
david, livid: 0.392727653978
disruptive, insulted: 1.82187417298
gross, warm: -0.445260247819
bloodied, due: -0.047735454654
sensational, trusted: 0.54947565456
cranky, longest: 1.1297157778
extra, gone: 0.771944127669
masterful, short-sighted: 0.0
ferociously, implausible: 0.817083418
ordinary, previously: 0.668348670375
catastrophic, motivated: 1.04566939182
honorable, massive: -0.297736375998
blatant, overpriced: 1.79766205895
mere, weird: 0.933379042392
environmental, illicit: 0.521392938004
no, non-discriminatory: 0.0
glamorous, incredible: 1.01794164495
longterm, typically: 0.267400317205
rock-hard, unable: 0.0
married, vast: -0.646631770897
actively, creditable: 0.127430172137
agile, little: 0.850513649396
egotistical, hip: 0.98631395047
daunting, existing: 0.460840738295
amazed, nonexistent: 0.885817991784
reconcilable, sensational: 0.298171073182
briefly, knowing: 0.004033630168
axiomatic, inadvisable: 3.23377980547
primordial, simplest: 2.30914625417
fruitful, similarly: 0.642650120915
messy, part: 0.833250045386
subsequent, value: 0.599033759295
exhausted, intractable: 1.6316644122
lamentable, legally: 0.715468579641
co-financed, witty: 0.0
missingg, temporary: 0.0
nearly, stoned: 0.257582985617
mobile, weaker: 0.331814800072
baby-sitting, salutary: 0.0
knowledgeable, lucid: 2.92003612572
baby-sitting, senior: 0.0
hiv-infected, sweetheart: 0.0
removed, stepped-up: 0.0
furious, stoned: 2.13172956479
out-dated, rotten: 0.0
clueless, thanks: 0.52293768249
thank, unforeseeable: 0.64679663195
responsive, well-timed: 0.0
kane, prolonged: 0.160601098098
domestic, inter-related: 0.0
accuracy, rigght: 0.0
eccentric, resolved: -0.292558405543
biased, contemptible: 3.05022418816
comparable, secret: 0.190040218825
humid, near: 0.932939781581
being, peripheral: 0.718609305078
minute, worrying: 0.390776746961
inexplicable, lead: 0.630127147722
fresh, immature: 0.62981120623
clearest, economically: 0.779194494584
nationwide, onerous: 0.237212183904
doctor, observed: -0.314779080367
invisible, required: 1.03604715619
armored, perilous: 1.41819740411
forthcoming, wounded: 0.264721579624
merry, specified: -0.145372997073
bro, excessive: -0.143831095467
contained, elegante: 0.0
excessive, profound: 0.895083755805
hypersensitive, other: 1.14352593414
dire, phat: 0.589611401476
changing, l: 0.282042068788
fascinated, sooner: -0.14394972563
elusive, executed: 0.571024530327
realistic, thick: 0.729356199526
considerate, insatiable: 1.19403579625
explained, powerful: 0.004465548378
butthead, stupide: 0.0
adversarial, real: 0.819682689902
predominantly, rock: 0.848524658486
complete, fifth: 0.692249796316
adjusted, wrongful: 0.092909920554
tailor-made, uneconomical: 0.0
adulthood, respect: 0.396028739165
baby-sitting, hotter: 0.0
declared, talkative: 0.990707005223
finest, ping-pong: 0.0
spaced, zesty: 0.347803572967
inconceivable, substantive: 1.01581856636
north, regardless: 0.15119003993
commenced, vacant: 0.484435629629
crafty, okey-dokey: 0.0
duty-bound, gandalf: 0
just, stupider: 1.34777393843
total, uneasy: 0.287956307525
advertised, functioning: 0.951858285865
ill-equipped, strangers: 0.0
apt, chaotic: 1.72761905103
effortless, well-balanced: 0.0
1st, puny: 0.276049216747
jam-packed, tolerated: 0.0
addition, directly: 0.790101053236
anymore, cordial: 0.279284856288
impolite, kidding: 3.36701718796
grown, released: 0.587326098654
envious, equivocal: 1.0708927778
awake, decent: 0.709882838851
entrenched, jump: 0.659142218868
dopey, horrendous: 1.42983698267
facultative, helpless: -0.37916603611
proportionate, th-that: 0.0
reaily, simplest: 0.0
cozy, unnatural: 1.72443335893
callous, pretentious: 3.2027699506
agreed-upon, heavy-handed: 0
convinced, elected: 1.4380128381
detrimental, refrigerated: -1.0542518543
junior, unable: 0.329218376928
identify, interactive: 0.694920545877
hearty, paramount: 0.148279057926
flat, remaining: 0.448269052537
re-routed, unconvincing: 0.0
defenseless, so: 0.776626357434
atrocious, truer: 0.935768511694
harmful, overall: 0.486185331252
smokin, written: 0.591418994586
treatable, urgent: 2.55616512423
fast-growing, inherent: 0.0
outrageous, state-run: 0.0
dreamy, renowned: 1.03187741156
inactive, indiscreet: 0.645295548955
humbled, supplied: -0.218793874973
distressing, less-favoured: 0.0
keen, unendurable: 0.1713662829
graver, invested: 0.132390821663
educated, weil: 0.781963654554
early, ridiculous: -0.047394117915
equal, reasonably: 1.12459688446
permitted, unfortunately: 0.318096519717
aesthetic, appropriate: 1.29118146111
mandatory, resolved: 0.498080885279
anti-constitutional, terrifying: 0.0
flawless, surprising: 1.26584738909
labour-intensive, marginal: 0.0
generated, toxic: 0.674609743628
heterosexual, uncanny: 0.557277514997
sell, worded: 0.780959671817
adequate, non-partisan: 0.0
co-operate, smart: 0.0
rogue, subordinate: 1.39287483984
thoughtful, wanna: 1.18107472521
incredible, long-lived: 0.0
conflicting, vast: 0.620271373241
inadvisable, stay: 0.442994063297
total, two-thirds: 0.0
henry, irrational: -0.091441117971
clever, innocent: 1.58188390061
ensure, unproblematic: 0.96787875416
improved, lesser: 1.04364937745
faster, immediate: 1.05038527161
enhanced, north: 0.072792106525
enchanting, richest: 1.36912855253
scheduled, wicked: -0.094392380024
accordingly, low-skilled: 0.0
disabled, enough: 0.677049810622
similarly, unidentified: 0.067596155178
charged, scandalous: 0.9094849355
awaken, promising: 0.67980824792
courrier, prime: 0.027308409818
burned, private: 0.51402634594
bright, remarried: 0.50176306016
illegal, trained: 0.529023792431
high, repelling: -0.029189781792
beneficial, self-explanatory: 0.0
checked, convincing: -0.2633047359
alone, negative: 0.551136140193
former, illiterate: 0.603381901498
cloudy, leaner: 1.31528996712
grass-roots, problematical: 0.0
enough, unavoidable: 0.736138338447
mature, straight: 0.42503777975
cooperative, illustrative: 0.894421640224
refined, unbalanced: 0.895296854007
flattered, weird: 2.6894520694
proscribed, tan: -0.059254413425
flexible, undamaged: 1.09076630199
priceless, ready: 0.642755111664
north, wider: 0.747882850983
improvement, treble: 0.754003543614
liable, notorious: 1.64414842796
comparable, discretionary: 1.11489064632
again, germane: 0.665727201919
compelling, intermediate: 0.09098779827
in-house, publicly: 0.0
tight, worded: -0.015938354376
calming, productive: 1.29693574008
fragmented, hollow: 2.40705669373
still, two-: 0.0
quality, wider: 0.959015669351
conscientious, marginalized: 1.24183520863
cowardly, unharmed: 3.00820964133
collective, random: 1.37491246159
delighted, well-formed: 0.0
far-ranging, full: 0.0
married, nasty: 1.02631896606
liberated, uncomfortable: 1.81967067595
droll, pretentious: 4.98644011624
profitability, unknown: 0.185339823875
annoying, bi-directional: 0.0
delay, quiet: 0.668758283798
momentous, prolonged: 1.04194089647
normal, responsibility: 1.05713109153
erroneous, historical: 2.09473912213
flagrant, idiot: 1.84418981531
counter-productive, ready: 0.0
greedy, wider: 0.527179823896
flexibly, potent: 0.315290128423
off-the-record, unsanitary: 0.0
blurred, complementary: 2.05584445563
ludicrous, treaty: 0.214239663452
frankenstein, systematic: 0.190609162777
l, pitiable: 0.360163160692
certainly, long: 1.01973918827
current, unacceptable: 1.08283658082
fraudulent, somewhat: -0.017503479959
efficacy, macabre: 0.174751046248
going, repugnant: 0.363343916735
bored, political: 0.392540431941
focused, practically: 0.086453214912
bolder, listed: -0.381453700626
primary, underprivileged: 1.10785476719
international, stubborn: 0.209036185977
international, lengthier: 0.925259131144
added, genius: 0.11099990356
interdisciplinary, standard: 0.842132511941
adaptable, marvelous: 1.40688512642
latter, overwrought: 0.873212984772
respect, results-oriented: 0.0
own, uneconomical: 0.557227974592
quoted, suspicious: 0.125269521684
admiral, broad: 0.621111189239
accuracy, paid: 0.43123825727
dandy, passionate: 0.590455482574
laddie, requested: -0.94560121666
dearer, productive: 1.23016596398
entrenched, juvenile: 0.381077151942
annulled, brand-new: 0.0
crafted, infuriating: 0.895094623081
perverse, western: 0.911731483295
merry, previous: -0.043769144984
linked, now: 0.543819008092
delicious, unsteady: 0.28448683357
apart, toasted: 0.850194556705
exceptionally, supportive: 1.45524244072
goofy, public: 0.133595019097
nigh, reversed: 0.478298490321
preposterous, regularly: 0.246772181246
inconceivable, intermediate: 0.307278486711
lye, treatable: 1.57822083255
frustrated, whatever: 0.87585664011
all-out, valued: 0.0
challenges, something: 0.66562493078
bad-looking, proactive: 0.0
adamant, inconsiderable: 1.72377875265
determined, wondrous: 0.095600011859
acceptable, simpler: 1.6829980543
conventional, cruellest: 0.800301794854
fat, louder: 1.23828516653
co-dependent, tiresome: 0.0
american, diseased: 0.90304771257
dispersal, ensure: 1.10480938935
dense, first: -0.104488215126
aggravated, moody: 1.28353901293
accelerated, misused: -0.167075084828
princess, vis-: 0.0
hateful, pursuant: 0.501804079613
compelling, tasty: 2.19734114477
il, soft: 0.406350344656
radiant, right-: 0.0
rusty, uniformed: 0.15775900081
cabbage, impartial: -0.04746328425
though, unseemly: 0.604838265003
drenched, eleven: 0.20703370437
conspicuous, disastrous: 1.34856450143
praiseworthy, unbearable: 1.39264493797
cozy, dead-on: 0.0
declared, out: 0.342034681764
all-embracing, erected: 0.0
culpable, impressive: 0.74598556159
conspicuous, killed: 0.028640453694
punchy, right-: 0.0
fewer, positioned: -0.004446300163
cross-border, forceful: 0.0
galore, little: 1.3602323325
lackluster, phony: 1.30209081554
dispersal, progress: 0.26759947268
mightier, needed: 1.52812382593
colossal, complicit: 1.7653685967
elusive, wealthy: 0.787005946301
connected, longitude: 1.34875472437
obliged, self-explanatory: 0.0
aggravated, self-governed: 0.0
disruptive, witty: 0.807895142966
brisk, government-owned: 0.0
quickly, recheck: 0.661376149126
exclusive, incapable: -0.267768618448
patchy, southwestern: 0.877151161896
off, punchy: 0.799528600587
optimistic, princess: 0.629854717864
scandalous, startled: 1.50976399724
mid-, soaring: 0.0
gutsy, invaluable: 0.664991343568
egotistical, ill-treated: 0.0
disposal, unsteady: -0.55822259616
onboard, prosperous: -0.38341220941
darling, persistent: 0.32022821117
demeaning, intended: 1.2267332615
exciting, oldest: 1.31281140373
above-mentioned, dickish: 0.0
kinda, unforgiving: 1.20142812527
confidential, preferable: 0.755704058562
finite, lean: 1.0013292978
careless, constantly: 0.938633836234
briefly, phony: 0.623623343297
notorious, wanted: 0.564667401149
need, unreasonable: 0.655678233796
oriental, reciprocal: 1.23562288759
horrid, innumerable: 1.40135502713
inconsiderable, unprotected: 0.118783511411
anonymous, vulgar: 2.4917488537
about, impermissible: 0.563115649338
jurisdictional, stiff: 1.12003412054
developed, whilst: -0.221643448578
compatible, th-that: 0.0
supreme, transparent: 0.692968157503
incongruous, prior: 0.197699705542
lean, scary: 1.07408734369
in-progress, vacant: 0.0
exposed, two: 0.295189314388
reprehensible, well-respected: 0.0
simplest, smarter: 2.35632070114
stale, very: 0.653005165812
east, over: 0.850934709167
pathetic, varying: 0.875911929693
multicultural, straight: 0.27178792791
bastard, permanent: 0.03877381264
end-to-end, these: 0.0
educational, terrorized: -0.617277835626
dynamite, imprecise: 1.07097269145
excluded, parched: -0.000813262976
swifter, win: 0.049100357357
damaging, eligible: -0.27010808436
eccentric, proportionate: 0.02625591099
encouraged, hlv-positive: 0.0
perilous, standing: 0.687462314857
arduous, well-documented: 0.0
executory, migratory: 1.81674154081
exquisite, previous: -0.050703474931
conservative, outside: 0.631039613525
overheard, reachable: 1.03132599854
disputable, jumpy: 0.008904986292
doctor, funded: -0.063183063501
snug, thankyou: 1.15051846841
discrete, infrequent: 2.13743008683
secure, them: 0.868663733106
incorrect, pre-established: 0.0
extremely, hip: 0.205945588403
lame, outrageous: 2.56218505425
obsolete, resident: 0.255502680479
deprived, inaccurate: 1.38832998189
pristine, tolerated: 0.894695304591
kiddo, overt: 0.396287893802
inactive, rooted: 1.32356620915
challenges, inclusive: 0.674406075903
disciplined, heavy-handed: 0.0
lastly, requests: 0.147645972518
homosexual, integral: 0.615513757166
intolerable, trashed: 0.842632464687
alarmed, trippy: 1.01690417632
dirty, multi-disciplinary: 0.0
competence, legit: 0.564774601651
housebroken, quadruple: -0.541955540208
a, unreasonable: 0.0
awestruck, cohesive: -0.03487250022
funky, terrific: 1.71924061271
righteousness, sustainable: 1.76637012463
terse, unforgiving: 1.79959781049
mature, radiant: 1.70968512226
changing, spooky: 0.58124581059
kane, youngest: 0.921085030208
comercial, friends: -0.362571100477
slimmer, unproblematic: 0.355845618554
rooted, simillar: 0.062380414025
newsworthy, unwell: 1.2627217193
fixated, surer: 1.69864570674
fiine, paranoid: 0.0
info, informal: 0.85895301518
bolder, cleverer: 5.41555856845
anticipated, geographic: 0.537311011073
bothersome, served: -0.241993857857
elaborated, headstrong: 0.105100009552
america, stupider: 2.8996021645
crucial, owned: -0.436024493862
cooler, information: 0.480877260521
conflicting, destructive: 0.743867639938
classy, renowned: 1.49207580573
illiquid, sizeable: 1.59942656077
alert, straightforward: -0.047061900958
harmonised, notably: 0.0
included, suspect: -0.080666288728
marvellous, well-coordinated: 0
ashamed, egocentric: 2.95071740206
high-tech, leave: 0.0
checked, fearful: 0.504476844865
-lncredible, assertive: 0.0
doin, naked: 1.19909400832
merciless, super: 0.755828536275
co-financing, danger: 0.0
big, genius: 1.05095280506
non-compliant, scandalous: 0.0
certainly, hazardous: 0.227151285972
export-ready, north-east: 0
content, protracted: 0.310163918182
moister, unlawful: 0.498143126255
simplistic, somewhere: 0.460693892498
longitude, peripheral: 0.79309418597
alien, inaccurate: 1.14833944109
bloodied, stupide: 0.0
properly, representativeness: 1.19833058758
green, steeper: 0.651663873999
corrigendum, exponential: 0.705811938756
absurd, ancient: 1.15624046724
infuriating, personal: 0.884124214752
delightful, prepped: 0.691448229909
given, unhealthy: 0.392674736662
flicka, self-supporting: 0
dodgy, fun: 0.915208767618
below, slick: 0.673557586394
mainly, oriental: 1.34040378693
previous, prompt: 0.437195226318
horrible, ruthless: 2.21704717267
granted, publicly: 0.603887366541
prejudicial, swifter: 1.20403637137
aggravated, troubled: 1.250357124
psyched, thicker: 1.80445566345
legible, short-sighted: 0.0
case, ravishing: 0.228973780335
generic, highest: 0.187639845828
broad, transient: 1.10857013554
resident, upstanding: 0.681401754249
finer, sorr: 0.0
safer, twofold: 0.972446714403
noteworthy, specialised: 0.0
fundamental, humiliated: -0.227650168281
re-routed, transparent: 0.0
insincere, precisely: 0.89714335027
christian, explicit: 0.952345548493
murderous, now: 0.299171099562
enabled, junior: -0.09225082537
cleaner, undetermined: -0.119965712179
concise, easier: 0.981162697738
earlier, primordial: -0.26676693713
foolish, poor: 1.64205497586
terrifying, yourself: 1.51385935763
braver, danger: 1.59882960792
gruesome, multi-faceted: 0.0
excluded, ordinary: 1.09171151474
admissible, mid-sized: 0.0
mostly, non: 1.60699066312
change, crass: 0.507839305026
credible, unconvincing: 2.63401215017
angry, pitiful: 2.11063783946
frustrating, thin-skinned: 0.0
concrete, terrific: 0.136572005874
dim, recurrent: 0.831246900384
completely, heart-warming: 0.0
antsy, forlorn: 2.32293348109
builshit, worst: 0.0
six-year, swifter: 0.0
task-oriented, thrilling: 0.0
understood, upright: 0.699895244185
furthest, iate: 0.0
embedded, stopped: -0.224098604978
high-tech, ridiculus: 0.0
comin, worldwide: -0.316706416165
tenuous, well: 0.817808711506
bad-ass, safest: 0.0
implementable, palpable: 0.455034059142
etc, lousy: 1.48120844853
incompatible, sixth: -0.235342832596
reimbursable, timely: 1.02643678787
operated, thrilled: -0.056785490545
lifelong, vacant: 0.801105632825
heard, mobile: 0.441009613228
cuter, treaty: 1.03290511034
evening, shared: 0.708880824084
hardto, subordinate: -0.161637728719
derisory, gutsy: 1.05609434392
intermediate, pressing: -0.183011639412
contentious, pleased: 1.09741393419
extensive, nothing: 0.744910321893
defenseless, operative: -0.148202892978
virtuous, worried: 0.581357931507
amusing, nice-looking: 0.0
distracted, foolish: 1.92682313196
particular, petrified: 0.327802115807
cherry, illogical: 0.53872928341
decent, practically: 1.04914179523
fundamental, tenacious: 0.872683723965
optional, periodic: 1.60740186704
asian, transient: 0.618634884936
spent, truth: 0.159242575308
astute, thin-skinned: 0.0
disadvantaged, ecstatic: 0.138999992496
individual, stocky: 0.052635868935
fearful, undeniable: 0.567528594561
hypersensitive, intertwined: 1.8580601421
introduced, shortly: 0.446243405762
rash, sooner: 1.0271447766
permitted, stunning: -0.083114111875
apt, issued: 0.101367959231
agreement, prohibited: 1.29081828799
for, well-known: 0.0
embedded, mesmerizing: 0.235548554459
evening, null: -0.090975337507
handling, iil: 0.0
overly-high, scattered: 0.0
goodto, well-paid: 0
muted, seductive: 1.58588039941
charming, life-threatening: 0.0
afterwards, comforting: 0.887026297234
around, homosexual: -0.009126110648
egregious, updated: -0.049766104996
female, industrial: 0.062920178148
now, varying: 0.253490913961
locked, proscribed: 0.614367509264
judicious, needy: 1.21488909866
inclusive, toast: 0.229538827691
generous, instead: 0.036735417378
classified, underpaid: 0.776298863143
identify, snug: -0.488046415932
acceding, sick: 0.405849198125
agreeable, heaviest: 0.00149955832
mid-, preferable: 0.0
insupportable, prominent: 0.556173763705
free-standing, parallel: 0.0
nauseous, practicable: 0.81370474594
distracting, occurring: 0.829909211805
customized, non-binding: 0.0
blameless, visible: 1.35848779169
lookin, peripheral: 0.227567106283
loud, secondary: 0.196404806795
ethical, quickly: 0.139200055526
simply, troublesome: 0.908161265958
15-year-old, advanced: 0.0
apologise, relaxed: 0.0
-sorry, dead-on: 0
hateful, tired: 2.24857226604
creditable, maximum: 1.2576860142
brand-new, presently: 0.0
high-availability, unnatural: 0.0
mistreated, try: 0.538107375801
cattled, motivated: 0.0
powerful, sorry: 0.514314647288
purty, specified: 0.321623023008
il, rad: 1.80742039915
housebroken, rewarding: 1.55278259087
biased, worded: 2.57721467251
closer, inside: 1.25336429436
narrow, twenty: 0.184716767511
excited, owned: 0.768286208512
benign, sovereign: 1.64234248351
faulty, hands-on: 0.0
catastrophic, senseless: 2.40822503478
energetic, untrue: 0.244056509414
beter, well-written: 0.0
collective, confident: 0.217108779706
simply, ungrounded: 1.53242943636
calm, impressed: 1.33650451603
instructive, normal: 0.50740808657
somewhat, state-funded: 0.0
certain, medical: 0.801687187458
cited, furious: 0.50440056536
non-toxic, thankful: 0.0
prime, restless: 0.882922582676
steep, troubled: 1.02602428439
babe, forever: 1.39108985543
jam-packed, useable: 0.0
petrified, previous: 0.054079002911
proactive, qualified: 0.659652973038
contentious, over-the-air: 0.0
fair-minded, heartbroken: 0.0
broke, thick: 0.864598873567
house-trained, too: 0.0
ridiculus, suddenly: 0.49465519534
multidimensional, ruthless: 1.46197066872
either, required: 1.14183110393
bottled, generalised: 0.0
bloodied, long-range: 0.0
overambitious, pre-published: 0.0
inexplicable, surprised: 1.1581742411
reachable, subject: 1.28161118261
apposite, bad: 1.50205122535
influential, obliged: 0.307605019146
breathe, stylish: 0.717229584283
berserk, juvenile: 1.13077962655
informative, pluralistic: 1.94440482099
small-scale, up-to-date: 0
equivalent, on-going: 0.0
occupied, rusty: 0.94835782986
fully, prudent: 1.26360527618
co-ownership, negligeable: 0
industrialized, static: 0.965913931194
annulled, merely: 0.55477610114
cooler, straightaway: 0.881869340606
bleak, forthwith: 0.190460382887
died, justifiable: 0.246400292948
consolidated, overwhelmed: 0.722849524239
crafty, some: 0.951273037469
looser, steeper: 3.2535216051
cohesive, naive: 1.24341601216
near, welcome: 0.144662406643
all, remote: 0.382370502628
macabre, wholesome: 1.75940368191
preceding, well-organised: 0.0
antagonistic, grimmer: 2.02055467471
broader-based, treble: 0.0
lame, propitious: 1.44155403238
fella, ignored: 0.189906407257
prerequisite, wide-open: 0.0
immature, objectionable: 2.86798745783
luck, scalable: -0.328892160173
odious, realist: 1.44774234266
happening, ice-cold: 0.0
dispute, generalised: 0.0
embarrassed, proscribed: 1.0898859329
discriminatory, enhanced: 0.305745547174
classified, youthful: -0.146898679354
defensible, small-scale: 0.0
manifest, simplifying: 0.136174143284
battered, declared: 1.05105210916
comprehensive, restricted: 0.041217008126
political, prevailing: 1.41920874394
closed, combative: 0.535791942428
anxious, perfect: 0.975413288506
detrimental, long-range: 0.0
hypersensitive, than: 0.37375182424
busier, run: 0.718867504019
confidential, instable: -0.126173777984
arranged, excited: 0.432971501051
export, freezing: 1.05014462318
terrifying, yes: 1.19218635558
multidimensional, net: 0.410120265372
brand-new, formally: 0.0
controlled, well-off: 0.0
clear, obvious: 3.03832658307
deductible, trashed: 0.531371262176
high-ranking, uncomplicated: 0.0
blind, unfilled: 2.05189381324
funnier, ma: 1.26891074863
shaun, tiny: 0.272458907262
pressing, pretend: 0.843811547943
systematic, vast: 1.80092977067
preoccupied, why: 0.996385353253
centralized, defenseless: -0.160131240119
south, white: 1.08708105836
slower, terse: 0.806630391492
enduring, pleasing: 0.844880664351
celebrities, publicly: 0.811412794529
cordial, eager: 2.03103643937
efficacious, stylish: 1.99923153478
professional, repulsive: 0.149550034371
built, specialised: 0.0
geographical, with: 0.392371485786
bitter, no: 0.549689977443
impenetrable, unfettered: 2.56924001067
content, displacement: 0.402150995486
influential, sleeping: -0.104458463826
others, self-aware: 0.0
masterful, more: 0.124436835036
defective, rapid: 0.411119175396
admirable, extreme: 1.84875005612
comfortable, well-established: 0.0
adversarial, alone: 0.218012217868
credible, flexible: 1.62746162749
apart, comforting: 0.706027797883
hasty, solemn: 2.38125734687
corrupt, well-established: 0.0
girl, south-east: 0.0
unprejudiced, warm: 1.33941131953
go, sovereign: 0.456981559194
injurious, ok: 1.053363388
interoperable, justification: 0.680760073922
economical, evening: -0.018744033468
milder, new: 0.79446791433
opportune, surrounded: -0.215074252088
enough, lamentable: 0.442940625926
dumb, immaculate: 0.482211121436
desperate, tough: 2.33464474366
preferential, widening: 1.41762913935
day, juicy: 0.130845082157
excellent, happen: -0.052788310209
doomed, varying: -0.145897395316
hereto, mostly: 0.362211779495
clever, corrupt: 1.38657549452
incompetent, statewide: 0.454584572653
ill, visible: 0.864403588901
delicate, fucking: 0.688179981084
sappy, slender: 1.34400426269
hungry, non-compliant: 0.0
tiring, unsuitable: 1.91822314533
excitable, fat: 2.24218761509
complicit, eerie: 0.566275138173
internationaux, particular: -0.061544873837
forthwith, honest: 0.400604896031
definitive, manufactured: -0.02018632585
heterogeneous, rather: 0.668896865574
last, resolute: 0.267714356227
improper, swifter: 0.536613091761
restored, submitted: 1.47925953514
ethical, private: 1.64413504348
death-proof, short-lived: 0
cozy, dickish: 1.17284458982
focused, retarded: 0.554542767358
pleased, useless: -0.114933051638
a-okay, invaluable: 0.0
southwestern, uncommon: 0.888989034066
even-handed, weak: 0.0
desired, opportune: 1.709642342
excellent, fried: 0.420060973676
justification, mental: 0.649221015135
filed, pivotal: -0.109066684111
busy, start: 1.32992384186
export, sweeter: 0.310331376995
arguable, finite: 1.73255632317
damp, non-exclusive: 0.0
north-west, well-armed: 0
brief, passionate: 0.862245074379
off-the-record, straightaway: 0.0
fearful, hon: 0.458674902706
amusing, well-managed: 0.0
appreciated, unbelievable: 2.17716481318
manifest, welcomed: -0.4115290377
aggrieved, marginalized: 3.69356697831
envious, permitted: 0.505107140979
harmless, ten: 0.245593266871
