monstrous, unable: 0.526513176469
courteous, to: 0.0
recognising, well-structured: 0
hideous, payable: -0.197954157907
dynamite, irrational: 0.652135318402
accessed, yet: -0.13626320455
darker, preferential: -0.142744322851
drier, modernized: 1.78638549286
conducive, general: 0.678309731582
astounded, uneven: 0.565908094943
fatal, juicy: 0.42363485158
equivalent, oldest: 1.14061753725
infrequent, treated: 1.61640805517
biggest, nigh: 0.931955249503
identifiable, organic: 1.48056310208
immature, stated: 0.36305092962
crucial, heartfelt: 0.322086198398
admiral, over-the-air: 0.0
ageing, lazy: 0.0
bad-looking, twice: 0.0
commenced, less-favoured: 0.0
huh, likely: 0.832296511505
hereby, lacklustre: 0.0
claire, intentional: 0.397469486374
capable, friends: -0.200801878996
autonomous, transient: 0.777476081053
knowledgeable, vested: 1.39668308049
annually, surreal: 0.127077319781
legible, self-supporting: 0.0
belated, blurred: 0.612101033331
constrained, unique: 0.780190783123
advantageous, thirsty: 1.14393232056
asleep, enhancement: -0.886336909263
clueless, maintained: 0.199773972308
distasteful, tonight: 1.15899965347
present, satisfactory: 1.19410245951
contained, wholly: 1.34624055127
life-threatening, timed: 0.0
ended, two: 1.07718633431
responsibility, stupid-looking: 0.0
oversensitive, scrumptious: 0.517076815878
cost-efficient, quieter: 0.0
lonesome, stupider: 0.891629564799
lifelong, proceed: -0.333552588482
blatant, ju: 0.538566077627
coarser, updated: 0.768131417271
exaggerated, non-binding: 0.0
laborious, restless: 1.62478322423
armed, open-minded: 0.0
discernible, recent: 0.865697299213
butthead, ungrounded: 0.386247892254
accepted, youthful: -0.292529646154
anymore, desperate: 1.26983003406
about, old-fashioned: 0.0
humiliating, weii: 0.0
big, girlie: 1.7235793612
annoyed, public: 0.268118779225
accused, steadfast: 0.896793782639
bright, increased: 0.291455988588
imported, monitored: 0.714859912337
better-iooking, content: 0.0
shaking, vague: 1.21222784025
motherfucker, whole: 1.1135700795
scrumptious, unaware: 0.245906610492
forthright, quieter: 1.80417629472
longstanding, thankyou: -0.377508450096
booming, time-sensitive: 0.0
brand-new, disgraceful: 0.0
absent-minded, right: 0.0
sedentary, valid: 0.239342131943
impartial, self-sustaining: 0.0
disclosed, knackered: -0.60218601989
exhausting, multi-faceted: 0.0
enough, quieter: 0.40781872934
high-availability, up-to-date: 0
donkey, practicable: 0.801787441568
danger, worded: -0.113654403671
orderly, stressful: 2.38884714467
comfy, surprising: 1.28972103087
characteristic, original: 0.573856037563
embarrassed, worldwide: -0.180006863854
innocent, normal: 1.14056290929
irreconcilable, steadfast: 2.27884888928
cynical, extensible: 1.04482949927
bi-directional, erected: 0.0
thready, uptight: 1.22676691808
flammable, innumerable: 0.169002412685
lesser, rebatable: 0.0
common, purty: 0.360919721331
rough, thoroughly: 0.514121278184
better-iooking, equally: 0.0
correctly, cowardly: 0.542707941475
incomplete, secondary: 1.74056788756
bull, sophisticated: 0.472772902701
handled, sparse: 0.859644438912
irrational, technological: 1.35052339192
comfortable, negligent: 1.57892132274
wacky, wounded: 0.590793309023
distressed, selfevident: 0.0
dark, gotta: 0.745541682998
authorised, fantastic: 0.0
intractable, practicable: 1.7088305246
pending, stupide: 0.0
explained, responsibility: 0.623539669487
ionely, lengthier: 0.0
best, completely: 0.685314892038
ambiguous, looser: 2.68522892708
evolving, ok: 0.176021342953
innovative, progress: 0.679269045611
hurt, pursuant: -0.059890712487
debated, minute: 0.080094581293
reason, reversed: 0.947084016097
braver, johnny: 1.30881219313
darker, segregated: 1.16975433171
bi-directional, nauseous: 0.0
bonnie, harmful: 0.442460016592
ingrained, weird: 2.02943401706
abolished, disputable: 1.98319898784
developing, jump: 0.081988274833
completed, dismal: 0.694956062323
builshit, girlie: 0.0
expedient, nathan: 0.344323419262
sketchy, treacherous: 1.95330212468
additional, lovable: -0.773906519631
above-board, business-friendly: 0
perfectly, reciprocal: 0.151599203612
admissible, breathtaking: -0.223076399538
involved, weirder: 1.60347636345
back, only: 0.702398475274
exactly, finite: 1.00739634468
jumpy, rugged: 1.38358604864
information, vacant: 0.041940773881
distinguishable, inadmissible: 4.66534782365
false, handy: 0.52785334056
impenetrable, spatially: 1.349682674
cost-shared, subject: 0.0
co-chairperson, stocky: 0.0
handled, terrific: 1.03035012405
rather, sweeter: 1.74098117738
oral, wet: 0.608835216446
served, victorious: 0.803150389805
sized, warmth: 0.783561207606
updating, well-received: 0.0
formidable, noteworthy: 1.78240317935
authorized, mission-critical: 0.0
iil, stone-cold: 0
disproportionate, hotter: 0.022187581718
indiscriminate, mission-critical: 0.0
sized, well-prepared: 0.0
interlinked, youth: 0.06311962305
fortunate, pre-established: 0.0
firstly, influential: 0.48354078714
disclosed, simillar: 0.339146414792
regulated, retard: 1.2596662916
enormously, yesterday: 0.002230117159
gone, poorer: 0.667426862886
obliged, sincere: 1.5417482932
dormant, thirsty: 1.67163104232
all-inclusive, strangers: 0.0
below, flexibility: -0.120286646685
bygones, legitimate: 1.03520702984
appointed, widespread: -0.034814649886
orderly, published: -0.070310414007
delirious, ridiculus: 0.43997528707
categorical, smokin: -0.024998042799
busy, fundamental: 0.264822084249
jolly, pluralistic: 0.981397975559
batty, unfriendly: 2.59952672598
anomalous, higher: 1.17328571533
content, unsavory: 0.997697454938
minus, provided: 0.494742453474
daft, firm: 0.103279876121
doctor, immoral: 1.37497674491
foreseeable, remarried: 0.511588088259
exactly, responsable: 0.397091414602
energetic, solid: 1.80071105742
friends, running: 0.399488368109
compact, narrow: 1.77046892989
slight, unsatisfactory: 0.89899896564
brave, hardworking: 3.6756446919
clearest, gaunt: 0.313359835622
paid, rampant: 0.292007965295
challenges, identical: -0.072297857593
anonymous, tasteful: 1.23207500525
loverly, working: 0.082943888108
erroneous, unlimited: 0.678821460847
basically, self-executing: 0.0
advisable, two-pronged: 0.0
fewer, why: 0.860024793924
net, paradoxical: 0.119466170406
ecstatic, synergistic: 1.37739517934
opening, respectful: 0.692408367162
attended, defeated: 2.4468328906
efficient, smitten: 0.404162036263
treasured, well-controlled: 0.0
everyone, respected: 0.859758971906
staggering, unwell: 0.207293355848
accessible, unsuitable: 2.46195313584
conscientious, hence: 0.619276248759
impoverished, mortal: 1.00228666385
above-board, proactive: 0.0
cynical, see-through: 0.0
damaged, individual: 0.649745340811
afraid, executed: 0.121730910838
compelling, short: 0.889328540161
dire, unattainable: 1.82853377461
active, sloppy: -0.082255338095
lean, recurrent: 0.90399972758
marketed, strict: 0.642234495167
perpetual, rising: 1.0492015394
relaxed, tall: 1.49860570031
helpful, housebroken: 2.43424948999
contentious, wide: 0.830686684633
mandatory, salute: 0.540423072769
fluent, inexhaustible: 1.62624652434
onerous, profound: 1.26490853661
secretive, unconvincing: 1.71601175721
stupider, threaded: -0.515546343557
eerie, ferociously: 0.331662701896
poor, understood: -0.030975287449
policy, tom: 0.781509412678
assertive, nice-looking: 0.0
found, western: 0.703630305125
especiaily, stated: 0.0
declared, mere: 0.509841025397
extant, prohibitive: 1.22118839401
rapidly, ripe: 1.82445444934
presentable, sentient: 0.890642531636
also, financed: 0.454565827643
david, short: -0.066851688123
challenging, opening-up: 0.0
adulthood, vague: 0.574252924955
cold, ridonc: 0.0
ever-changing, subsequent: 0.0
powerful, strange: 1.12141794267
mature, various: 0.657225592737
almost, wary: 0.177763768544
beter, varying: 0.760192087011
ju, scant: 0.123821580331
defective, topic: -1.0622084041
inclusive, supreme: 0.631028470671
well-respected, yesterday: 0.0
best-known, scarlett: 0.0
distraught, soon: 1.57231454509
payable, public: 0.231032970215
envious, special: 0.704271632684
rife, wretched: 1.61671531045
functional, strict: 0.642702629375
deprived, improper: 1.09177773642
ludicrous, moving: 0.574192286808
authorised, spotless: 0.0
dependable, icy: 0.338061986264
carmela, given: 0.0
adaptable, high-quality: 0.0
incidental, teeny: 0.731803549167
colder, foul: 1.27377483829
incomprehensible, ominous: 2.77807946994
shielded, symbolic: 1.14277082151
antsy, healthy: 1.8739098787
madness, whatever: 1.55295297005
flaccid, psychotic: 1.50762382617
certifiable, historical: 1.08974802932
restless, typical: 0.809090043563
recommendable, unsolved: 0.915144653307
treasured, usable: 1.73642207969
lighter, undisputed: 0.214999190897
lucid, undeveloped: 1.0602761509
inspiring, traded: 0.300602537268
elsewhere, n'tunderstand: 0.0
bastard, designated: -0.041156125277
de-insured, savage: 0.0
disconcerting, hinky: 2.18716928421
eighth, therefore: 0.099370270299
annulled, well-treated: 0.0
precise, steady: 1.20312622209
healthy, sinful: 1.57353136497
more, tailored: 0.702082865043
north, tailor-made: 0.0
formally, self-governing: 0.0
hot, work: -0.008827085048
equivalent, honored: 0.083498045529
acknowledged, passionate: 0.819853876901
cynical, north: 0.310331340792
flattering, south-east: 0.0
disoriented, naturally: 1.23058225702
indebted, prick: 1.24227531106
exhausted, export-ready: 0.0
lamentable, unoccupied: 1.37577711309
merciful, vain: 3.19109904743
reasoned, usual: 1.36800992448
prevailing, threaded: 0.097777860121
announced, tired: -0.603109537555
cohesive, ill-treated: 0.0
solidarity, white: 0.754243869568
consultation, underlying: 0.293824555696
closer, costlier: 2.45780875945
dotty, subsidized: 0.746487072801
every, obvious: 0.553776278606
comprehensive, well-filled: 0.0
stiff, sublime: 0.758036125938
destructive, populated: 1.57713627368
humane, modernized: 1.86419169469
horrific, well-managed: 0.0
fascinated, overwrought: 1.55619851685
crushed, sombre: 0.78801033964
disposal, systematic: 1.05070146162
entitled, strictest: 0.410340755954
simplifying, taller: 0.419757157757
growing, supplementary: 0.384882623076
comforting, erected: 0.220946982156
motivated, uncommon: 1.46758973287
cautious, skint: 1.36320917483
female, manifold: 0.273689208593
clare, year: 0.04463178976
especiaily, zesty: 0.0
plentiful, sticky: 1.9546151673
flawless, kosher: 0.876393863656
doubled, irregular: 0.650050185428
still, unfounded: 0.701575610178
princess, spectacular: 1.28917371867
interdependent, then: 0.015829575259
sponsored, terrified: 0.09380227666
kiddo, narrow: 0.83974599931
curious, perplexed: 4.44957521692
aforesaid, integrating: 0.020306287745
cowardly, retrievable: 0.282970729492
uptight, well-managed: 0.0
historical, priced: 0.343645663575
bored, environment: 0.446102765556
hateful, uptight: 2.84640613102
dysfunctional, magnificent: 0.481946204876
volatile, well-organised: 0.0
changed, worried: 1.38092946462
ignorant, tough: 0.785012922162
deductible, settled: 1.66140405833
antiquated, victorious: -0.089415193849
apart, sorr: 0.0
anonymous, white: 0.995839509458
shameful, truth: 2.4575994027
needed, upfront: 1.05719143243
fatter, punchy: 1.55398768257
fabulous, prat: 1.53211329681
magical, recheck: 0.538028527013
frequent, stocky: 1.34702475056
cross-border, due: 0.0
sudden, viable: -0.118143698953
clean, publicly: 0.786997437158
additionally, heaviest: -0.006815782422
commonplace, eastern: 0.515833832849
loverly, slight: 0.567574483409
respected, sincerely: 1.94478551964
broad, in-depth: 0.0
accessible, suitable: 3.16899659419
luke, sing: 1.07426776604
hands-on, married: 0.0
actual, fiercer: 1.29254174241
instable, remaining: 0.103686115479
courteous, winning: 0.339036880529
interactive, multidimensional: 2.51822194225
n'tunderstand, potential: 0.0
enough, systemic: 0.524311961627
improved, naturalistic: 0.64337812782
inter-connected, speedier: 0.0
heartening, sexy: 0.940631248958
delayed, exactly: 0.105392595679
lit, obligatory: 0.325100639635
intriguing, self-reliant: 0.0
even, quadruple: 0.785293496545
southeast, timely: -0.260423396563
greedy, proscribed: -0.146213110863
favorite, tasteful: 0.958219850622
brief, removed: 0.653498727237
ever-increasing, perplexing: 0.0
considerate, rapidly: 0.092047108152
pleasant, thirteen: 0.121859474753
acquainted, primordial: 0.685588162606
refundable, sick: 1.86356334123
almost, clinically: 0.809634570848
parched, unaltered: 0.9918335211
almighty, awesome: 2.89004011423
affluent, elongated: 0.914702097441
black, tense: 0.726359419368
added, flagrant: 0.428716771403
extraneous, unfavourable: 0.0
accessible, ubiquitous: 2.07559705076
lookin, refusal: 0.029691946776
called, ecologically: 0.310537027623
bulletproof, simplistic: 1.46566660754
jealous, overdue: 0.173273983322
definite, efficient: 0.3551337584
only, straightaway: 0.647600620651
low, unendurable: 0.512099435743
attractive, brillant: 1.41581101743
incongruous, nearby: 0.91892534628
engaged, wary: 1.10641049549
apologise, convincing: 0.0
extraordinary, hypersensitive: 0.823987138052
requests, shy: 1.20083103684
crummy, drier: 1.57846955449
export, well-coordinated: 0.0
aforementioned, scarcer: -0.032259196838
part, wreckable: 0.0
extensible, pre-established: 0.0
fraudulent, unoccupied: 1.45191421259
unacceptable, unambiguous: 2.60099569441
aggressive, opposed: 1.27229348242
cosmetic, permanently: 0.853894591066
creative, justification: 0.258414602578
crazy, shameful: 2.01986898242
affluent, irresponsible: 1.14168852997
dopey, interwoven: 1.34013428213
lame, maximum: -0.834864327765
clueless, iil: 0.0
darker, fuzzy: 3.26504445886
better, unspoiled: -0.072914082544
marginal, tired: 0.354342009202
flammable, underpaid: 0.696777306257
complements, disgraceful: 0.544734396701
naked, undisputed: -0.037250965537
malignant, understand: 0.37356542426
crippled, delicious: 0.052495977112
tolerated, vocational: -0.134415873899
professional, real: 1.05948075773
abundant, manifold: 2.08189819706
normally, ominous: 0.186721035627
susceptible, wanted: 0.180009475067
manifold, prescribed: 1.01772668364
heterosexual, installed: -0.174743591917
awesome, dispute: -0.342207687074
advantaged, worthless: 0.667191429118
high, hurtin: -0.239750497946
improbable, locked: 0.38702172282
-mentioned, self-sustainable: 0
extensive, win: -0.417066248863
little, nut: 0.81902335519
idiots, indicated: -0.415223441606
ancient, predominant: 1.60724380303
helpless, paramount: 1.16539201061
dual, upbeat: 0.281875438544
conducive, theoretical: 1.27697805235
disappointing, vigorous: 0.896837825349
fullest, smaller: 0.175812919278
deepest, hideous: 1.60533546833
annulled, implementable: 1.98159649063
friendly, undetermined: 0.757686259997
correct, stubborn: 1.34348188521
comprehensive, induced: 0.161025807201
north-west, sacred: 0.0
induced, nationwide: 0.607128051393
lacklustre, liberated: 0.0
poverty-stricken, unethical: 0.0
dedicated, meticulous: 1.78515563797
monitored, uh-huh: 0.0
heated, needless: 0.570806212595
alia, disgusting: 0.513182224394
lackluster, unused: 1.44817647947
docile, perilous: 1.70984529045
counter, jurisdictional: 0.315943990878
below, regardless: 0.95660064464
impossible, secret: 1.35372484611
managed, newest: 0.250316379578
afflicted, moist: 0.90044911295
incompetent, uniformed: 1.67854878699
ongoing, strangers: -0.074324546427
grave, righteous: 2.02440741824
coordinated, nauseous: 0.126254654216
circumneutral, fewer: 0.0
inexpensive, upstanding: 1.37184367474
applied, brutal: 0.482981137708
seductive, weak: 1.21719007167
standard, two: 0.3519094376
claire, slender: 0.422924339017
highest, unspeakable: 0.788428829369
darker, suspected: 0.329286327748
preferred, valued: 1.3935649286
clever, tougher: 0.79173602259
lucid, theoretical: 1.96604376807
competence, david: 0.113235948194
dearer, formidable: 0.8231678696
opening-up, strengthening: 0.0
imperceptible, unbelievable: 1.89402413356
content, history: 0.539623073155
case, frantic: 0.254713389424
probably, violent: 0.517529596857
actually, instable: 0.266234812635
batty, insupportable: 2.84994736529
conservative, surprising: 1.1913354119
married, self-sustainable: 0.0
chosen, respected: 1.64847377981
obnoxious, swifter: 0.274652947963
insatiable, inviolable: 2.58768452069
heard, multi-disciplinary: 0.0
proficient, turned: 0.57213160962
beastly, just: 0.66892952638
ju, scandalous: 0.779366470219
junior, sadder: 0.11650054298
domestic, tiresome: 0.560623558163
interdependent, temporary: 0.413453448109
constrained, user-defined: 0.0
insulted, integral: -0.115496584271
mixed, sustainable: 0.645850062968
hateful, mental: 1.50243295003
cleared, dressed: 0.849048338951
colossal, high-ranking: 0.0
best, qualified: 1.35169699386
appreciated, erected: 0.591753121104
former, inoffensive: -0.19817052823
decent, free: 1.4324079086
flawed, interminable: 1.54860699648
first-rate, revealing: 0.0
rotten, unhappy: 2.2481789968
precise, transitory: 1.30621891927
frazzled, notably: -0.059813247067
myself, simplest: 1.62566018266
affected, varying: 1.55186505496
global, sappy: -0.067850729107
incomprehensible, supported: 0.692450199281
acceding, co-chair: 0.0
innocuous, jam-packed: 0.0
cranky, tabled: 0.460235747064
between, gay: 0.352753031104
pissed, progressive: 0.664129188501
bereft, long-lived: 0.0
determined, scanty: 0.81692612503
demonstrated, unforeseeable: 0.580549369959
foreverything, sixth: 0.0
surer, untenable: 1.37629333197
for, perpetual: 0.840822279486
long-range, uncomfortable: 0.0
inhumane, relatively: -0.082433299574
ambitious, cross-border: 0.0
manifold, simpler: 1.09144362909
amended, standard: 0.766990683698
over-optimistic, widespread: 0.0
rarest, shitless: -0.16171788409
consultation, unchanged: 0.823357029045
thereto, wide-open: 0.0
beautiful, educational: 0.965286143739
guilty, mad: 2.0623226424
disruptive, everything: 0.392781226963
south, unproblematic: -0.217208874762
poor, transient: 0.771159982063
broke, challenges: -0.071763979537
fifty, reasonably: 0.79738889016
lively, over: 0.432407868535
3rd, quiet: 0.368736913522
culpable, desirable: 1.9157522443
powerless, rash: 1.15079921278
annually, ready: 0.320469686812
ghastly, recommended: 0.104266279815
reason, warmer: 0.194399079809
middle, nathan: -0.101210186175
acknowledging, brisk: 0.05329695938
clean, house-trained: 0.0
master, surely: 0.774502749579
cleared, obvious: 0.544759201708
callous, doubled: -0.130047442551
high-quality, reduction: 0.0
need-to-know, shitty: 0.0
emotive, heartbroken: 1.55354502557
appointed, funny: 0.29836621521
attainable, discernable: 1.34299047863
naturally, toxic: 1.27669654401
impenetrable, refundable: 0.26749051443
in-flight, intensive: 0.0
outdated, sympathetic: 0.78101140475
closest, woolly: 0.636833682988
offensive, scarlett: 0.103726731235
forthwith, shot: -0.485530848599
aggravated, wide-open: 0.0
adaptive, transitional: 1.02653050266
sizeable, tired: -0.130918616333
over-ambitious, treble: 0.0
medium, over-optimistic: 0.0
principale, tough: -0.392439537152
flammable, unpredictable: 2.04021694344
counterproductive, pending: 0.591487946457
berserk, well-coordinated: 0.0
antsy, dormant: 2.29635428537
precious, secure: 1.65998462843
considerably, uncontroversial: 0.167058017812
evolving, organised: 0.0
hopeful, twice: 0.048154440325
liquid, sore: 0.655386025669
creative, significantly: 0.102393054554
depressing, functional: 0.799547868458
paid, undetectable: 0.353472957141
compared, elementary: 0.354392615182
ill-equipped, sudden: 0.0
all-inclusive, sedentary: 0.0
executable, irrelevant: 1.7190443173
entertaining, sugary: 1.68474873314
justiciable, plenty: 0.538414201439
authorised, global: 0.0
grimmer, junior: -0.055308766368
lucky, proscribed: -0.467481115392
co-ordinated, comparable: 0.0
intimate, noisy: 2.32788396451
incidental, unanswered: 0.763372707256
creation, idiots: 0.121076454944
delay, nobler: 0.34850620789
miscellaneous, thirteen: 1.14059904199
preceding, renowned: -0.113715071232
issued, repeating: 1.11683660512
identify, leaner: 0.317215584459
impolite, romantic: 2.02898713576
implacable, restrictive: 0.95348148954
inadmissible, parched: 0.606679365614
grim, inequitable: 1.37587503155
dirtier, hard: 0.954693918748
determinative, globalization: 0.382766570505
another, smoother: 0.208354139762
comfy, roisin: 0.0
greedy, warranted: 0.156654118007
crystal-clear, unchangeable: 0.0
co-financed, created: 0.0
info, sicker: 0.662726151167
end-to-end, fierce: 0.0
prevalent, vain: -0.124219575512
favourable, principal: 0.0
deeper, stark: 2.37771902051
observant, shit: 0.918803556536
eligible, noted: 0.450297290541
crazy, treatable: 1.28914418964
distraught, psychotic: 3.29424887707
restless, well-organized: 0.0
immeasurable, retail: 0.172864852401
celebrated, hasty: 0.923501321589
skilled, steeper: 0.705074706677
interdependent, overpriced: 0.36101588738
constantly, over-the-air: 0.0
booked, tom: -0.190240890196
bright, unachievable: 0.69993030524
attractive, silent: 0.299250108054
cheesy, self-supporting: 0.0
gratuitous, relieved: 0.552435001749
blessed, historical: 0.545695447204
endemic, twelve: 0.270880080466
disoriented, upbeat: 1.17482696451
lengthier, sacred: 0.777938145393
cross, elsewhere: 0.457394955443
especiaily, frail: 0.0
identified, still: 0.287509632942
harmonised, middle: 0.0
harder, obstinate: 1.23184379811
complicit, recurrent: 0.629826242162
sinister, steady: 0.278358704949
costlier, cracked: 0.140071918719
primordial, succeed: 0.068172700512
coordinated, pending: 0.562195663133
follows, tense: 0.47256366778
patentable, traffic: -0.058750327462
double, substantiated: 0.597556733257
fantastic, pronounced: -0.501825529389
diminished, optional: 0.793201856312
principale, successful: 0.048411276127
marine, pervasive: 0.410822801406
quality, self-sufficiency: 0.0
also, untraceable: -0.031599122787
insulted, irritated: 4.44243968544
devastating, unfit: 0.892425933035
hardworking, tiring: 1.12754801254
listed, tense: -0.11084984522
incalculable, satisfactory: 0.317441695464
mind-boggling, prevalent: 0.0
deliberately, twelve: 0.042094212618
ageing, six-year: 0
drunken, inclusive: 0.180211014712
dressed, unsuccessful: -0.335699823767
existing, transparent: 0.633252193728
developing, overdue: -0.032636905415
east, expensive: 0.49272941856
okay, underfunded: 0.403612796147
controversial, well-represented: 0.0
better-iooking, unprejudiced: 0.0
brittle, primordial: 2.4364398754
legitimate, unhurt: 0.62480268959
glamorous, isolated: 0.712961765894
constantly, living: 0.746224491669
distant, expanding: 0.694073645056
conscious, quieter: 1.33381530419
proceed, sufficiently: 0.902074297656
dramatic, snarky: 0.961450493878
agreement, irritated: -0.090894671673
infrequent, unbearable: 1.23184234664
advantageous, inaccurate: 1.823451164
potent, righteous: 1.1310930587
hope, old-timer: 0.0
costeffective, dismal: -0.043994018044
foreseeable, incompatible: 1.86584315145
better-iooking, dre: 0.0
dre, someplace: 0.566344978499
astute, volatile: 1.8646860408
cleared, sketchy: 1.03237945004
establishment, excluded: 0.481547597036
compensatory, poisonous: 0.824221232576
pissed, preceding: 0.089367048085
gratifying, white: 0.091428360422
extensive, less: 0.140197410643
thirteen, unlawful: 0.189089777644
adorable, protracted: -0.236681655724
stimulating, tired: 0.956987069961
handling, inestimable: 0.16257994744
discreet, inferior: 0.362081194459
inquisitive, odious: 0.626473282412
cardinal, justifiable: 0.591083158105
conservative, furious: 0.50992341617
loud, unspeakable: 1.13098730442
humane, unified: 1.68903942774
knowledgeable, up-to-date: 0.0
embarrassed, exquisite: 0.843386168807
naturalistic, reduction: 0.349948093621
bi-directional, commitment: 0.0
holier, widest: 0.660777906825
depressed, simple: -0.117523798484
belligerent, disrespect: 2.95867492291
aesthetic, implausible: 0.955784808838
frightful, unlimited: 0.946878591788
all-round, deliberately: 0.0
disparate, insolent: 0.369679027724
previously, unseen: 0.453736926131
blatant, intrusive: 2.29819546671
expeditious, illiterate: -0.011811483113
by, inter-related: 0.0
displeased, overweight: 1.95838335689
ideal, numerous: -0.012894688161
hopeless, impatient: 3.08899800154
hiv-positive, needless: 0.0
shared, wrecked: 0.649653938913
authentic, supplemental: 0.101186694867
alternate, deficient: 1.07871548836
accuracy, decided: -0.697115158192
exactly, intriguing: 1.06839103243
modernized, rad: 0.482012106325
democratically, see-through: 0.0
clearest, recommendable: 0.863419796357
alia, merciless: 0.51730857821
disastrous, orderable: -0.07772841556
pro, unforeseeable: -0.071346949453
co-ownership, evening: 0.0
joyous, time-sensitive: 0.0
intermediate, rapid: 0.732824028204
considerable, reported: 0.549233822889
countless, presumptuous: 0.034222596628
careful, deductible: 1.72584616095
enlightening, stillborn: 1.10958377064
consultation, tougher: 0.060589556894
-me, nineteen: 0.0
salient, wondrous: 1.56428221064
dead-on, hip: 0.0
hiv, likable: -0.568854840587
answerable, morbid: 0.161357058357
start, time-consuming: 0.0
reasoned, unprofessional: 1.58014397281
displeased, smoother: 0.82476415981
overwrought, rather: 1.64251991315
outnumbered, sublime: -0.60627426684
", mission-critical: 0
alert, south: 0.840716595145
attentive, well-protected: 0.0
shorty, widely: -0.121019271712
quality, well-founded: 0.0
cost-shared, taller: 0.0
living, precarious: 1.293210858
housebroken, lethal: 2.3568954811
environmentally-friendly, limp: 0.0
blunt, stranger: 0.760433660645
contentious, tiring: 1.94854778177
published, unclear: 0.705644824055
loyal, tell: 1.25609652634
celebrities, liberal: 1.41418896967
essential, hardto: 0.50735594601
customized, part: 0.220434661304
unique, wicked: 0.723447780328
breadth, fragmented: 2.21065926592
in-progress, sharp: 0.0
immense, symbolic: 1.42786769925
donkey, representativeness: 0.046545281386
distracting, u.s.: 0.0
duty-bound, poverty-stricken: 0
cheaper, subsequent: -0.083484516993
her, unknown: 0.425693623056
effective, generalized: 1.15819606461
elderly, enabled: -0.266972603198
affected, high-cost: 0.0
characteristic, illusory: 0.813329793202
ever, self-sufficiency: 0.0
iike, naive: 0.0
feasible, unexceptable: 0.0
funnier, ten: 0.639969024559
discussion, handsome: -0.157764066131
inferior, sleepy: 0.463334119594
fuckin, remediated: 0.675260216743
executable, truthful: 0.691447760799
pending, reprehensible: 0.154756941417
loving, win: 0.997315137194
muted, painless: 1.50712640704
interested, narrow: -0.348290187016
competence, last-minute: 0.0
shorter, thoroughly: -0.011708292614
inter-linked, perplexing: 0.0
diminished, discrete: 0.539940391976
inefficient, overflowing: 1.4767751873
adulthood, rugged: 0.152150891516
bitter, butthead: 0.598263175962
articulated, self-executing: 0.0
prior, solid: 0.772468667677
state-owned, unambiguous: 0.0
giant, grotesque: 1.30395201039
autonomous, telling: -0.131756152948
apart, recently: -0.383247516331
in-house, tasteful: 0.0
single-ranked, well-developed: 0
opening-up, regular: 0.0
injurious, invariable: 1.75728311308
aware, spaced: 0.570992888464
dearer, edible: 3.53761933427
stupid-looking, touching: 0.0
live, unoccupied: 0.321651215647
demeaning, ma: 0.737759589278
goal-oriented, raison: 0.0
safe, warmest: 1.12336811222
cumbersome, deficient: 1.81615824485
uh-huh, user-friendly: 0
ghastly, icy: 1.63272966774
advantaged, eventually: -0.184581124827
dynamic, hiv: -0.097871373817
biased, task-oriented: 0.0
come, honoured: 0.0
six-year, state-run: 0
chilly, discernable: 0.845020655943
franco, funnier: 1.65780725908
supplemental, weak: 0.754546336294
safe, shot: 0.715360482246
awful, stone-cold: 0.0
favorable, terminated: 0.970830945041
flammable, poorer: -0.34478657276
disquieting, heartfelt: 2.13229907717
former, hard: 0.519986732214
childish, merciful: 2.00329538262
princess, scant: 0.256105495302
fuckin, key: -0.365328245475
dirtier, insurmountable: 0.827338228597
in-house, necessary: 0.0
fiine, insulting: 0.0
tragic, underpaid: 0.638302460121
stay, worst: 0.51061676387
inexpensive, tan: 1.67240457863
now, pertinent: 0.332986412676
multiple, smaller: 1.73097419575
fussy, willing: 0.993695116016
", unsanitary: 0.0
explosive, independent: 0.340301275804
miscellaneous, vague: 1.46737074215
bothersome, five: 0.199269237368
burned, skilful: -0.246105168124
liked, minor: 0.246863081587
undisputable, worst: 0.828972716431
apposite, psychotic: 1.0145705773
general, recheck: 0.12756716585
recognising, uneven: 0.0
abundant, generally: 1.62678004813
exhilarating, losin: 1.01792533952
education, freak: -0.188935478468
ashamed, day: 0.428036788695
shoot, vulnerable: -0.196961960371
hardworking, included: -0.246614186811
charmed, original: 0.132930663186
hostile, published: 0.284533133247
terrifying, written: 0.67278610426
numerous, strange: 0.712196982476
patent, premature: -0.517585366929
brittle, exaggerated: 1.55143484707
contestable, palatable: 2.18979435544
courteous, heartening: 1.37682943472
positioned, prosperous: 2.15182144552
feeble, positioned: -0.004068404086
democratically, unresolved: 0.938561941065
sloppy, well-written: 0.0
adverse, uneconomical: 1.40646310102
defenceless, susceptible: 0.0
determined, identifiable: 1.70855196996
-ready, calculated: 0.0
acute, hence: 0.940329569164
emotive, oldest: 0.084723883722
flat, juicy: 0.878766313775
builshit, incapable: 0.0
rash, striking: 0.476764965604
pilot-tested, supra: 0.0
lazy, stringent: 0.481826322991
boring, dorky: 4.05657853049
authoritative, efficacious: 2.52244090246
commonplace, desired: 0.665665443916
died, disclosed: 1.8015002994
ill-equipped, sadder: 0.0
fifteen, repayable: 1.52645933576
fitting, highest: 0.316728996731
focussed, well-controlled: 0.0
compelling, independent: 1.03316012142
faithful, wasted: 0.878506682197
