light, recognising: 0.0
massive, reduction: 1.10389827938
reiterate, unbiased: 2.0860905761
normally, wrong: 0.360157806401
believable, rife: 1.18149945776
changed, indigent: 0.06855747831
designated, new: 0.425124001779
abnormal, overdue: 1.18557789913
focussed, screened: 1.52368291713
removed, small-time: 0.0
telling, wild: 0.517499967072
brightest, gratuitous: -0.392786382853
hunger, unsuccessful: -0.229187222843
daily, humble: 0.459549566003
moody, older: 1.36030010514
fucked-up, unusual: 0.0
audience, dead: 0.10926103732
paranoid, too: 1.39404746508
by-election, typically: 0.0
criminal, girlie: 0.859545312852
dead-on, stifling: 0.0
exclusive, hon: -0.070015087931
dishonest, sounder: 1.6633208245
good-looking, others: 0.0
exclusive, processing: -0.101323545164
around, sure: 0.754212976204
patronizing, well-coordinated: 0.0
blank, diverse: 0.74881397056
immutable, nineteen: 0.910241635018
bright, surprised: 0.532552216366
grimmer, paradoxical: 3.30272827715
all-round, retail: 0.0
endangered, smoother: -0.406864031946
progressive, unprejudiced: 1.73153348551
delay, fourth: 0.818583903729
furthermore, mieux: 0.909909010655
genius, justification: 1.41410398913
active, spent: 1.54062312924
joyful, plausible: 0.977129991875
approved, immersive: 0.293899140582
fastest, th-that: 0.0
doing, fools: 1.20760475603
poppycock, unjustified: 2.48345978446
microscopic, necessarily: 0.415687648194
butthead, hereby: 0.203471789927
go, rash: 0.490459235354
effortless, later: 0.297739145236
acute, proven: 0.360797412002
barmy, ludicrous: 5.21978767699
demand-driven, readyto: 0.0
crippled, okey-dokey: 0.0
crafted, parallel: 0.303273051912
hasty, restful: 0.977014802329
eccentric, unfriendly: 2.72191832563
beneficial, poverty-stricken: 0.0
self-governed, truthful: 0.0
-lnteresting, additional: 0.0
payable, unimaginable: 0.067973275679
hotter, unfilled: 0.486273129077
profitability, soon: 0.343614311616
fake, finicky: 0.773352888359
fake, insubstantial: 0.883417813927
circumneutral, set: 0.0
beter, hour: 0.505727714383
all-out, gaunt: 0.0
murderous, snug: 1.04029775159
horny, removed: 0.19630757834
pristine, repulsive: 1.54722852718
accustomed, pronounced: 0.79452581803
obese, passionate: 0.970993299614
egocentric, sixth: -0.16790100433
heterosexual, muted: 1.32520222557
omnibus, utilized: 0.102515040087
frazzled, lethal: 0.365257902422
innocuous, ironic: 3.24526318224
constructed, honourable: 0.0
impoverished, trashy: 1.77036578794
fledged, lifelong: 0.738948301088
original, stocky: -0.121484416302
awkward, zero: 0.395101340822
better-quality, strongest: 0.0
dire, sacrilegious: 1.33157037705
important, unfeasible: 1.2544617262
chloe, proud: 0.514577421513
cher, informed: 0.393182019539
selected, stagnant: -0.348056087366
hither, impossible: 0.758581444529
prohibited, ruthless: -0.338718879409
factored, pilot-tested: 0.0
inoperable, well-tolerated: 0.0
bored, frustrated: 4.09753056917
symmetrical, unethical: 0.149608260866
unwell, well: 0.888392136738
needless, straightaway: 0.848491116884
customary, violent: 0.231145412569
intricate, kosher: 0.695976336946
fearless, plain: 0.831923193644
constructed, expandable: 3.48822418157
dissimilar, safer: 1.27664942353
agreed, proportional: 0.492388325534
policy, wiser: 0.917464852385
calm, canceled: 0.789526876752
explicit, terminated: 0.793624760208
ill-conceived, with: 0.0
individual, reyes-torrena: 0.0
disrespectful, welcoming: 2.60738937685
empowered, insensitive: 1.51215096923
discernible, two-pronged: 0.0
vibrant, wounded: 0.498848445937
horrific, strengthening: 0.238902305109
closest, distant: 3.01553151161
conscious, pragmatic: 2.51746116808
acceptable, positive: 1.41700667974
fully, vigorous: 1.43393502829
flawed, reported: -0.601531487604
ill-equipped, innumerable: 0.0
imprecise, overambitious: 4.2750493688
elle, marvelous: 1.15719538885
demonstrated, unrestricted: 0.445452599883
flourishing, healthy: 2.05611598417
rock-solid, vulnerable: 0.0
comfy, french: 1.53387787995
armed, goodto: 0.0
interim, respectable: 0.461240999845
occurring, trustworthy: -0.535701352578
cuter, regular: 0.12837851495
evil, unwelcome: 1.59134857641
hypersensitive, reason: 0.49194652295
insolent, liable: 2.4180822912
guys, understand: 1.54677913451
constrained, humid: 0.92254999803
consequential, rampant: 0.188209528455
foul, premature: 1.97326141357
salutary, shocking: 2.25072812595
clever, smarty: 2.54970952677
housebroken, passionate: 1.8564850652
planned, unsanitary: -0.239145734094
ample, blameless: 1.11521322461
forthright, respectful: 5.42159500232
compatible, provisional: 0.197692045972
lowest, opening-up: 0.0
chilly, lower: 0.791153044699
effective, stagnant: 1.17818997657
cheery, disproportionate: -0.263772581544
self-financing, unspeakable: 0.0
optimal, policy: 0.873742736024
lamentable, pilot-tested: 0.0
aesthetic, odious: 0.637317833842
breathtaking, dre: 0.94992138772
drenched, medium-sized: 0.0
revised, swearing: 0.367917692357
nifty, southeastern: -0.657947600903
accuracy, improper: 0.88919428762
simple, unanimous: 1.31817587474
puny, vice-chairperson: 0.0
combative, girl: 0.691650291007
craze, roll: 1.8822109561
overemotional, presently: 0.12878329415
modest, weakest: 1.74598597514
confrontational, continuous: 0.275465099309
firm, upright: 0.89683829915
amazing, proprietary: 0.11046441933
slim, well-documented: 0.0
altered, impatient: 0.618806223506
inexcusable, skilled: 0.717890359361
candid, specific: 0.98483994521
mobile, untenable: 0.592759340049
enriching, injurious: 2.37115302065
individualized, intelligent: 2.34076462295
frail, gender-neutral: 0.0
restless, sluggish: 2.44626896199
hardest, perpetual: 0.022880007173
irrelevant, wonderful: 0.634668769118
modified, sunny: 0.243740755235
motivated, provision: 0.121480677153
exhilarating, time: 0.535568389453
adamant, orderable: 0.327124808099
compared, eager: 0.556298561249
fragmented, weil: 0.799010032358
fruitless, history: 0.570113464742
arbitrary, divine: 1.85076071119
derisory, uncomfortable: 1.64360760001
bulletproof, discernable: 0.885564066481
casual, founded: 0.394405687598
il, indian: 2.41925941635
lean, wanted: 0.672112616257
ludicrous, noisy: 0.896068270865
broader, pro-poor: 0.0
expressed, forthwith: 0.931175640101
captain, heinous: 0.783975789487
heinous, removed: 0.604812162493
risky, unheard-of: 0.0
naturally, vigilant: 0.684879367294
pathway, transitory: 0.563069072773
celebrities, monstrous: 0.567640684551
monstrous, performed: 0.050867265825
disturbed, opening: -0.052158761347
herein, multicultural: 0.721462274573
parallel, u.s.: 0.0
material, patchy: 0.492208051049
appreciated, funny: 1.62920706131
anyway, hazardous: 0.701737956341
homosexual, lifelong: 2.4944092288
barmy, monthly: 0.223827727601
soaked, valid: 0.072181484629
plausible, scandalous: 2.07952263953
hardworking, sale: -0.317125889439
abrasive, inconsiderable: 1.42406495679
today, unclear: 0.375370305158
friendlier, open: 1.58919430701
notable, well-off: 0.0
prouder, segregated: 1.41373051705
foul, nobler: 1.22016552564
dumber, stout: 1.38626806495
cabbage, irritated: 0.890313472889
admitted, self-financing: 0.0
cordial, started: 0.602965925938
determinable, severe: 0.801131430699
displaced, energetic: 0.659104689254
biased, old: -0.127898917331
gifted, up: -0.017384822171
effortless, like: 1.58902601077
dormant, patronizing: -0.345022277133
amazing, ill-defined: 0.0
jittery, user-friendly: 0.0
achievable, segregated: 0.339535703654
merciful, pending: 0.744728452504
germane, supplemental: 2.24456508941
marginal, unequivocal: 0.674662933447
absolutely, accountable: 1.84329292781
appalling, mightier: 0.393205797343
black-hearted, breathtaking: 0.0
attainable, circumneutral: 0.0
afraid, aggravating: 1.24770486917
affordable, multifocal: 0.537493747027
weighted, well-tolerated: 0.0
collective, possible: 0.152168910029
hard, lighter: 0.668464565077
advertised, short: 0.646012799737
competitive, justified: 0.969959708389
fragmented, intimate: 1.54181583576
aggressive, eastern: 0.535917248498
doubt, overweight: 0.278393630385
reality, uneconomic: 1.82721606718
good, sophisticated: 0.575340179563
legit, sugary: 0.111719618981
focussed, worried: 1.63348225684
obsessed, rampant: 2.0631925006
hour, phenomenal: 0.4552320408
clearest, comprende: -0.070978412435
sober, upset: 0.490200480652
co-chair, manifold: 0.0
open, petite: 0.174949634888
funded, talkative: 0.533533859027
coast, lookin: -0.003752260494
obnoxious, specifically: 0.310380024452
happiest, user-friendly: 0.0
multi-disciplinary, nineteen: 0.0
grievous, insensitive: 3.39680669033
evolving, pronounced: 0.357878510324
complicit, placed: -0.135889620932
abysmal, liberated: 0.767251244445
boring, drastic: 0.842855656341
debate, sincerely: 0.1587827993
adaptive, unhappy: 0.056872631482
moody, overloaded: 1.27404765926
craze, freest: 0.662744952557
installed, unaltered: 0.218553837258
dynamic, severe: 0.364492129732
acceded, sleepy: 0.644963602726
conscious, serious: 2.18312567258
coarser, realisable: 0.0
uncontroversial, youngest: 0.241356444215
firmer, poverty-stricken: 0.0
marty, satisfactory: -0.186868958366
cited, lousy: 0.709258974527
distributed, tedious: -0.059271939737
risky, vocational: 0.189935369652
deserted, fixated: 1.74376884591
non-compensatory, planned: 0.0
abysmal, well-deserved: 0.0
initially, stimulating: 0.309651295404
defenseless, private: 0.242138655187
hospitable, pitiful: 1.21835866942
interlinked, lesser: 0.36266433828
doctor, safe: 0.815001753422
antsy, beautifui: 0.0
ago, filthy: 0.136902459447
galore, henry: 1.36132203391
delineated, reinforcing: 1.44122369935
aggravating, renowned: 0.003734143582
migratory, permanently: 0.781374836823
careless, undecided: 0.487837485629
nonsense, well-controlled: 0.0
honorable, prevailing: 1.09491867402
jurisdictional, variable: 0.344958900018
ludicrous, unaffordable: 3.57585651692
shitty, stubborn: 1.29882558626
deep, loco: -0.15707775407
commitment, deceptive: -0.108394297008
mama, paid: 0.098651083155
illiterate, radical: 0.692487122467
appalling, proportional: 0.526909894038
dry, gracious: 1.28206200164
domestic, enthusiastic: -0.133785097069
fortunate, treasured: 2.57542772669
fucked, poor: 1.30974153953
burdensome, static: 1.09083884637
believable, queer: 1.72433125567
considerate, finally: 0.034878605885
fragmented, robust: 2.09872508987
equipped, few: -0.248152404793
furthermore, traditional: 0.225911949241
dysfunctional, embarrassed: 2.45076908103
apolitical, you: 0.049881632136
fascinating, untrue: 1.81227869118
goodto, rank: 0.0
bygones, under-age: 0.0
heaviest, lukewarm: 1.0764358364
clear, cute: 0.503925695634
antiquated, independent: 0.753595392479
bonnie, gracious: 1.04815904662
all-out, asshole: 0.0
displeased, essential: -0.073235906441
expandable, improving: 0.518029197583
persuasive, vice-chairman: 0.0
earliest, thorny: 0.746700090744
moronic, stupide: 0.0
booked, fluid: -0.021014276203
at, unbalanced: -0.156840032013
finite, ultra-hazardous: 0.0
fucked-up, proceed: 0.0
such, these: 1.9457930238
concluded, secondly: 0.518565097745
mideast, touching: 0.182892238511
momentary, northern: 0.230389300954
becoming, high-quality: 0.0
characteristic, skint: -0.242776669921
dynamic, sorr: 0.0
busier, distraught: 1.24029480465
active, judicious: 1.177900409
disappeared, identifiable: 1.54258304562
dismissed, partial: 0.434679801781
coordinated, essentially: 0.000519692695
crass, unhealthy: 2.34989105377
first-class, marginalized: 0.0
deserved, inefficient: 0.275607442187
changing, readyto: 0.345093159558
confident, zero: 0.415374166304
aging, scattered: 0.409949478723
intriguing, rewarding: 2.19216239943
flat, unheard-of: 0.0
coast, elongated: 0.894207963514
america, nuts: 1.58268990277
nigeria, west: 0.502792981148
conspicuous, settled: 0.338692943074
annoyed, distraught: 4.48029917265
prerequisite, tangible: 1.70542215583
professionally, unconscionable: 0.230322120181
respect, wish: 1.82014449746
forthcoming, plenty: 0.776552168312
brainless, unbelievable: 1.98811422251
underlying, worthless: 1.20018588227
contradictory, lengthier: 1.38302928652
brighter, perfect: 1.97788759846
hurtful, refrigerated: -0.779269887371
appalling, normally: 0.420965252505
cited, prescriptive: 0.289914280649
under-funded, whar: 0
corrupt, disjunct: 0.847541758847
heights, unspoiled: 0.022452376597
regardless, saying: 0.778350863829
comprehensively, shoot: -0.800973747589
doin, unfeasible: -0.871670457165
heterogeneous, noteworthy: 0.710786403844
flammable, mobile: 0.606266661138
confident, immutable: 0.385147310905
thorny, trashy: 0.733180180074
apposite, mum: 0.875727847512
unconscionable, up: 0.425436715236
female, overloaded: 0.291410054278
inter-related, widening: 0.0
snappy, well-lit: 0.0
ensure, sticky: 0.285661501711
blatant, tolerated: 3.20027912357
majeure, paranoid: 0.03858842902
hands-on, systemic: 0.0
above-mentioned, odd: 0.0
respendable, wasted: 0.0
industrialized, wanted: 0.139650239401
comprehend, pluralistic: 1.97141055607
fourteen, painful: 0.637833205066
crucial, organised: 0.0
mental, uncompetitive: 0.112877316502
felt, info: 0.013408533018
genuine, undisputable: 2.02540381767
say, thicker: 0.562956066492
sounder, under-funded: 0.0
streamlined, vibrant: 1.89831161523
readyto, unclear: 0.440840195182
overkill, sentimental: 1.87683982752
enhancement, regularly: 0.0484165972
bare, uppermost: 2.0043915179
french, time-consuming: 0.0
asked, principal: 0.868942307772
low, temporarily: 0.771477190287
again, exorbitant: 0.530215836548
efficient, peculiar: 0.203333120414
centralized, treble: -0.536335043979
deliberate, marvelous: 0.598640420254
hour, undisputable: -0.287161177493
challenges, well-established: 0.0
alright, incidental: 0.971694982264
tiring, undesirable: 0.962897018494
sober, tepid: 1.82952786362
commendable, disclosed: 0.862799044666
burned, disturbing: 0.63598483703
ambitious, included: 0.240312735555
2nd, shared: -0.063797344204
afresh, illustrative: 0.650225341484
cherry, evening: 0.237425231733
potential, retail: 0.256024643212
present, rational: 1.01989938951
illiterate, unprotected: 2.39912436375
blurry, masterful: 1.28999991499
hardest, properly: 0.689977809185
-lnteresting, enriching: 0.0
integral, lackluster: 0.291212391192
distinguished, simplified: 0.563053635495
hilarious, locked: 0.291745076462
forceful, present: 0.374628148956
pragmatic, terrorized: -0.607160215936
defenseless, education: 0.859019203141
grave, inter-related: 0.0
disruptive, gender-neutral: 0.0
america, severe: 0.582559675879
crystal-clear, likable: 0.0
disciplined, tiresome: 0.576467607482
biggest, harmonised: 0.0
bulletproof, indiscreet: 0.781639871556
mainly, virtually: 0.906000742072
mobile, moron: 0.355300775721
freest, lacklustre: 0.0
restless, worse: 1.40956310799
immature, specialised: 0.0
gandalf, multi-faceted: 0
hard-pressed, unchanged: 0.0
apolitical, user-defined: 0.0
confidential, immature: 0.8131699072
blurred, lovable: 0.288203346873
interim, physically: -0.200061075002
evey, underlying: 0.263228516239
disclosed, sponsored: 1.2728711566
rusty, uncomfortable: 2.09860964723
unfortunately, worthwhile: 0.983974597651
disposal, negligible: 1.2450652642
notified, peachy: -0.271847258684
roisin, searchable: 0.0
cheaper, simpler: 4.97954890345
brillant, well: 0.961740452391
abused, elegant: -0.498798058916
insurmountable, prevalent: 1.51556808319
flush, loveable: 0.479844912216
consistent, helpless: 0.459641221274
classified, growing: 0.489281502819
elusive, useable: 1.41374033653
broader, dreadful: 0.315269386865
cheerful, overheard: 2.01183099761
even-handed, insignificant: 0.0
seductive, several: -0.271890654192
fixated, intelligent: 1.02260745134
drunk, miscellaneous: 0.273524515022
narrow, uneconomical: 0.538297908645
asshole, entitled: 1.21739699236
berserk, displacement: 0.136680018388
agreed-upon, bored: 0.0
improvement, uncommon: 0.34304304614
battered, claire: 0.454842084839
joyous, lower: 0.056535344729
odious, proscribed: 2.23827444853
cool, nonsensical: 0.975691339986
brilliant, unexpected: 1.25138546993
disconcerting, meaningful: 1.64445089743
cross, pluralistic: 0.474269123274
mysterious, total: -0.043803321057
elementary, legally: 0.534874398952
juvenile, tacky: 1.19906556979
longterm, sold: 0.1215237449
bullshit, hotter: 0.879874046609
bullshit, firmer: 1.04667187254
confused, shameful: 1.04059544046
crafted, utopian: 1.36040103321
actually, malicious: 0.876342082455
all, gratuitous: 0.593862677495
heights, prudent: -0.24757224968
latter, th-that: 0.0
reiterate, sketchy: 0.125966536422
closed, opportune: 0.492050352523
fancy, merciless: 0.782398084365
inadequate, tempting: 1.31348299883
broke, private: 0.463481498259
open, prolonged: 0.088261012738
far, retrievable: 0.654932638182
consideration, severely: -0.098079590196
fussy, mutual: -0.831181636631
ongoing, resident: 0.389279322144
moot, nationwide: 0.28612180471
anti-constitutional, demeaning: 0.0
speedier, worst: 0.987581815413
by-election, standardized: 0.0
indicative, justification: 1.10314193141
baseless, primarily: 0.367764592184
gross, uniformed: 0.57311847577
stepped-up, technology-neutral: 0
forceful, scattered: 0.275312084754
notified, widening: 0.381964842054
accountable, before: 0.067685987886
everywhere, nonsensical: 0.999207950085
clearer, softer: 3.42829937929
past, probably: 0.675056496759
gutsy, heard: 0.185804226148
fluid, magical: 1.2791925246
far-reaching, unanimously: 0.0
intrusive, pretty: 0.310062079122
another, much: 0.453843391641
obscene, tabling: 0.761933414729
east, old: 0.934092476807
handsome, launching: -0.575208040818
identify, unacceptable: 0.843143566438
irrelevant, one-sidedly: 0.0
eligible, longitude: 0.819374860653
appalling, ironic: 3.52456690132
confusing, horny: 1.32972589198
aforesaid, insecure: 0.878429802188
hourly, modified: 0.886377968355
freezing, opening: 0.428902249484
acceding, state-owned: 0.0
bitter, correctly: 0.210568405585
shipshape, terrible: 1.45463665707
incredible, plentiful: 1.16942981443
-so, kiddo: 0.0
cautious, cheesy: 0.873218757426
kidding, victorious: 1.60706738994
extremely, louder: -0.201756350535
diverse, virtually: 0.414643719929
enhancing, important: 1.81044973399
mortal, nascent: 0.943689113339
nearly, pitiable: 0.227702154492
impossible, uncompetitive: 2.48990107979
riveting, transitory: 0.886909451438
insolent, mightier: 2.42844929041
clearest, pushy: 0.212827491339
nothing, unanswered: 0.903125065493
chilly, us: 0.248839823559
firmer, poisonous: 0.390754903131
combative, quickest: 1.24302703382
rapidly, starker: 1.28691783399
disappointing, syrupy: 0.686797957578
goal-oriented, inaccurate: 0.0
dumber, pathetic: 4.01507784609
interestedin, reasonable: 0.0
belle, untraceable: 0.560416947757
overworked, woken: 1.59117604296
nonexistent, planned: 0.218276813594
faint, inspiring: 0.793419089609
actively, embarrassing: -0.050465961274
grisly, today: 0.32953883477
gross, south-east: 0.0
culturally, distinguishable: 2.17132232646
certain, sounder: 0.459333975679
concerted, sustained: 2.76537217738
stepped-up, tied: 0.0
laughable, non-compensatory: 0.0
ready, wealthier: 0.544227259107
reprehensible, subdued: 0.54372819841
enforceable, inexhaustible: 0.936065256835
hostile, youngest: 0.839070316967
although, desirable: 0.767445391343
organised, presentable: 0.0
creation, grim: 0.365304590324
priceless, terrible: 2.38294703248
commitment, treated: 0.04520811411
cardinal, treated: 0.644091699508
snotty, win: 0.558229080304
fella, require: 0.10830931293
expressed, refundable: 1.06020538844
pathway, promptly: 0.201650464242
cruellest, substantive: -0.01034409653
distribution, hopeful: -0.106703491436
closest, nobler: 0.584172857292
reasoned, repulsive: 0.993716528641
blurry, supreme: 0.211056310386
hard-pressed, iate: 0
insatiable, unanimous: 0.106745744393
axiomatic, typical: 1.20155701708
icy, monitored: 0.313798511989
dangerous, meaningful: 0.855919263751
mla, scientifically: 0.177665037852
accomplished, world-wide: 0.0
spectacular, worthy: 1.78698920716
non-compensatory, sicker: 0.0
discrete, well-placed: 0.0
atrocious, northeastern: 0.292200663224
directly, moreover: 0.830647571114
brutal, talented: 1.3081214861
hour, substantiated: -0.267538335454
hurting, pleasurable: 0.106786041165
odd, palpable: 1.3053433349
inquisitive, well-timed: 0.0
homosexual, young: 1.79900514215
released, vast: 0.389443623113
denser, liked: 1.21735045683
perfect, unachievable: 2.12456641268
daunting, pretty: 1.34277905759
anxious, competitive: 1.29427561613
cleanest, lonesome: 1.26785563751
revised, transitional: 1.21812280551
fabulous, sketchy: 0.685504324893
absent-minded, extirpated: 0.0
cozy, divided: 1.14461625019
delicious, favourable: 0.0
recheck, solemn: 0.659855777134
confrontational, else: 1.04051836993
hardworking, hiv-positive: 0.0
commercial, worse: 0.142633165324
fifteen, l: 0.513492077962
twofold, unreasonable: 1.41329828192
larger, traffic: 0.49707811106
performed, supplementary: 0.02991858554
alternate, mum: -0.14478115455
dismissed, well-respected: 0.0
unmistakable, unnatural: 1.52345679485
clinically, contemplated: 0.354415427807
positive, slight: 2.08138314758
om-mazing, selfish: 0.0
cheap, heavyset: 0.892920469383
common, culturally: 0.759642382252
debatable, under-age: 0.0
irregular, true: 0.283322052083
historic, plain: 0.438693557609
abysmal, degraded: 2.27422190266
minute, pure: 0.87148247256
acclaimed, cherry: -0.122924689678
ridiculous, some: 1.00653945693
above-mentioned, upset: 0.0
painless, unscathed: 2.18518281225
-sorry, in-house: 0
unrelated, wreckable: 0.0
exponential, ignored: 0.246506262579
harmful, just: 0.425991696106
complete, motivated: 0.375901020233
forgiving, petrified: 1.3866873296
certainly, contained: 0.534846644496
stable, undamaged: 2.8993889871
educational, refusal: 0.140091767301
futile, welcomed: 0.256722867996
cheery, rad: 1.55164415337
self-financing, wicked: 0.0
cruellest, unwelcome: 2.64081137239
rescinded, unique: -0.011276039014
dark, personally: 0.30302541274
collective, severely: 0.471121141673
met, repulsive: 0.537846189791
decided, sober: 0.756254210872
terrified, youth: 0.305725361057
founded, hazardous: -0.556420791131
formed, germane: -0.047211581111
comprehensively, neglected: 1.2770465098
global, time-sensitive: 0.0
tailor-made, visible: 0.0
critical, troublesome: 1.9471621103
briiliant, simplest: 0.0
neglected, unprecedented: 0.001666366456
authorized, homesick: -0.430991753707
performed, user-defined: 0.0
cruellest, free: 0.732888647018
lucrative, white: 0.116569280241
nonsense, wet: -0.019095092051
dangerous, homicidal: 2.44089870921
extraordinary, pretend: 0.609569563246
included, preferential: 0.29720878944
regrettable, served: 0.093581302814
categorical, gratuitous: 2.20206864861
no, unsavory: 0.444794243618
repayable, unchanged: 2.16131552019
admissible, lookin: 0.337757778178
mid-, victorious: 0.0
carsick, old-timer: 0.0
scarcer, state-run: 0.0
dirtier, worded: 0.31559496259
arming, dreadful: 0.351675628947
bigger, scheduled: 0.693612909512
competent, immovable: 1.83904025443
associated, tough: -0.308924658561
extraneous, improving: 0.546019214268
identify, shallow: 0.653575151452
famous, mean: 0.578094679503
endemic, intelligible: 1.13115925602
fbl, underway: 0.0
dubious, fancy: 1.6220210445
discreet, me: 0.700399183134
lawful, self-aware: 0.0
frequent, older: 1.23163441589
freak, unavoidable: 1.72399672106
good-iooking, unsustainable: 0.0
co-ownership, vice-chairmen: 0
objectionable, tom: -0.264172814658
extreme, unsure: 0.359916385111
passionate, treaty: -0.053465633439
crafty, rising: 0.278687344373
challenges, psyched: 1.00858554132
neutral, plentiful: 0.274549153799
prodigious, surrounded: -0.045461763881
major, unclear: 1.21544542995
desirable, goodto: 0.0
self-sustaining, worrisome: 0.0
generally, in-house: 0.0
disclosed, petite: 0.224433350636
gigantic, inactive: 0.290513421162
inescapable, light: 0.802947336787
deserted, stiff: 1.16881765192
bigger, strongly: 0.434876779926
eighth, gutsy: 1.4985673628
disturbed, globalization: -0.165504104386
able, related: 0.565921422434
calculated, lye: 1.12591152287
there, unjust: 0.310854565536
ridiculous, whar: 0.0
adopted, sober: 0.878198536145
brillant, inefficient: 0.799203475726
captain, educated: 0.124130851434
probably, silly: 1.30141506813
thoroughly, unfriendly: 0.869974632415
dismissed, identify: 0.230984313704
bullshit, humbled: 0.526838452163
desperate, truer: 1.65822073285
contradictory, herein: 1.35019198668
dummy, virtually: 0.501544708427
entitled, exponential: 0.368086373998
everything, overjoyed: 1.09731116444
dry, geographical: 0.543880326625
naturally, proven: 0.658279423819
gentle, milder: 2.35108651011
brainless, ourselves: 1.30349346203
environmentally-friendly, trivial: 0.0
distinctive, vulnerable: 1.03489304235
passionate, poorest: 0.80854993327
presently, well-filled: 0.0
firm, full: 0.738443596481
barmy, prejudicial: 1.86907359337
horrible, unlocked: 0.520262160621
economically, well-positioned: 0.0
cooler, lucky: 0.951080250252
permanently, suited: -0.278203992258
ever-increasing, extirpated: 0.0
meaningless, sooner: 0.303788047256
northeastern, overweight: 0.5962258727
afresh, fast: 0.584938567106
negative, unbecoming: 1.83858324902
authorised, classical: 0.0
designated, functionally: 1.35178020857
muscovite, nouveau: 0.995694032986
controlled, essentially: 1.10628556875
sick, top: 0.368444182152
candid, compensatory: 0.120878571648
cheery, freezing: 0.537815940458
potential, youthful: 0.784301028264
coming, doubt: 0.813661686702
keen, notified: 0.535270936562
nationwide, tell: 0.084625336007
uncommon, weil: 0.179873506168
10, disgusting: 0.0
eager, wide: 0.888125549226
blessed, optimum: 1.10333027524
absent, omnipresent: 2.02686663734
everywhere, insulting: 0.585656928394
fifth, re-appointed: 0.0
defunct, now: 1.28464452831
exquisite, sicker: -0.491365478372
flawless, shaun: 0.064077404825
determined, wierd: -0.081281724213
childish, prompt: 1.00321256838
allowable, heavier: 1.64848145409
-sorry, gross: 0.0
sold, unworkable: 0.745975482603
costeffective, interdependent: 1.39367240766
darn, restored: 0.180021326285
estimated, tougher: 0.483630330084
shaun, wetter: 1.03594720632
moron, tom: 2.99499864077
inexpensive, know: 0.324432522555
lovelier, uh-huh: 0.0
forever, stress-related: 0.0
cheap, multifaceted: 0.237222963316
limited, panicked: 0.489006934687
freer, mieux: 0.26471788598
missy, retrievable: -0.578769008967
disciplined, science-based: 0.0
stuffed, well-organised: 0.0
classified, enraged: 0.388389537242
characteristic, european: 0.359724333652
above-board, seventh: 0.0
badly, considerable: 0.708174899411
painful, probably: 1.35048222649
cancelled, ice-cold: 0
abrasive, severely: 0.852909794469
bold, helpful: 0.719480895426
distinctive, first-class: 0.0
cancelled, very: 0.0
minuscule, safe: 0.621371555793
cheapest, enraged: 0.239405414041
often, vice-chair: 0.0
intolerable, stable: 1.21513266078
medical, tasteful: 0.097411580005
considered, mad: 0.299905385274
amazed, selfevident: 0.0
apart, dire: 0.370483715346
exhausted, schizo: 1.32075836323
reasonably, retail: 0.676198311807
above, mobile: 0.116288469568
illusory, related: 0.497977243572
laborious, sunnier: 1.20249165862
pristine, well-timed: 0.0
rapid, sugary: 0.533157209025
next, year: 1.11504238163
independent, unhelpful: 0.767892420868
realistic, refusal: -0.117890314418
deepest, grieved: 1.39545523433
everybody, unlocked: 0.448926997952
fully, seamless: 1.35351731119
astute, outnumbered: 0.598352916326
green, painless: 0.63529902681
disclosed, droll: -0.007776665081
handicapped, stupider: 1.78814482906
appalling, respectful: 1.31980272007
lacklustre, nominal: 0.0
glorious, off-site: 0.0
admitted, selected: 0.69915096708
north-west, unhurt: 0.0
find, linked: 0.458287921511
common, revealing: 0.200274942432
felt, mental: 1.3689772825
specified, this: 0.338574257074
democratically, enhanced: -0.307985030146
broad-based, issue: 0.0
acknowledging, unbiased: 0.438317193491
awaken, state-of-the-art: 0.0
cultural, over-the-air: 0.0
powerful, rife: 1.05323026557
deep, silly: 0.643246757048
henry, reprehensible: -0.141379326872
opened, weaker: 0.367429791593
courrier, praiseworthy: 0.14811754847
distressing, passionate: 1.49720742602
difficult, swearing: 0.202894167867
forceful, initially: 0.40653446799
answerable, deprived: 2.63629097667
facilitated, political: 0.591261771466
expensive, issue: 0.794177002279
alien, firm: -0.135411876634
expressed, state-funded: 0.0
stranger, tabling: 0.456655585449
linked, old-timer: 0.0
accurate, well-established: 0.0
depressing, treatable: 1.78088822197
tabled, topic: 2.05648492165
previous, ultra-hazardous: 0.0
aggravated, linked: 1.98548681033
impatient, super: 0.648298372282
hurtin, iegitimate: 0.0
deceptive, equitable: 0.9272334431
mean, varying: 0.228402289381
graduate, subsequent: -0.528446460382
burned, respected: 0.694255876409
aligned, non-compliant: 0.0
improving, undamaged: 0.782985823078
impaired, medical: 0.670512023588
incredible, lowest: 1.22821304286
dire, satisfied: 1.19636726112
first-hand, specific: 0.0
change, counter: 1.04876615546
ludicrous, motivated: 1.10038908756
manifest, romantic: 1.10838063496
oral, ravenous: -0.214680157878
shifty, under-inclusive: 0.0
indisputable, untenable: 2.34790690496
know, twelve: 0.15810422707
east, facilitated: -0.037229656298
publicly, term: 0.679530212847
girl, tangible: -0.221436106223
mindful, task-oriented: 0.0
moderate, thank: -0.270096083971
instead, redundant: 0.635411862188
deep, subsidized: -0.388132615096
approved, obligatory: 0.741367518216
