created, precious: 0.423683984603
dynamite, undisputable: 0.969184241809
rash, senseless: 2.02952898958
panicked, plain: 0.484867466448
good, sluggish: 1.90298282011
simplistic, thus: 0.876351210403
doubtful, max: 0.684481537755
foolish, out: 0.697083543105
compensatory, sore: 0.697560118986
blind, dre: 0.524808234265
crummy, dispersal: -0.129389983916
died, flavorful: 0.981362876591
treatable, widest: 0.64335385636
noble, transnational: 1.73589730302
overwhelmed, technical: 0.658220149341
needless, someday: 0.413429320403
freedom, innocuous: 0.092266988564
lovely, supra: -0.257283849606
harsh, insupportable: 2.03800797453
fixated, frantic: 1.52657032863
any, psyched: 0.260070037144
constructed, truth: 0.296533942894
foxy, sir: 2.03317739405
discussion, sedentary: 0.917113402292
-mentioned, nonexistent: 0.0
clearly, wished: 0.46759502847
goal-oriented, psyched: 0.0
affordable, self-sustained: 0.0
comparable, issue: 0.158623144711
fifteen, painless: 0.746966728279
-so, insensitive: 0.0
dependent, merry: 0.971942581537
inadvisable, newer: 0.08148253419
brutal, frankenstein: 0.289154439528
hostile, operational: 0.640021775125
credible, imperceptible: 0.650972558424
alarmed, far: 0.735865416672
tolerated, worrying: 1.18705200718
extinct, well-formed: 0.0
disclosed, moreover: 0.642954050257
co-ownership, coarser: 0.0
overpriced, sacrosanct: 2.00994036603
determinable, glad: -0.428695852762
conventional, thanks: -0.164074798976
democratic, misleading: 0.060485412116
controlled, illiquid: 0.845908208829
emerging, unusual: 0.817676191334
persistent, sombre: 0.464087215382
cited, pathway: 0.006972474023
carefully, icy: 0.564281351956
irritable, previous: 0.129410378526
surprised, too: 1.50700015151
fine, unbalanced: 0.294946323733
beloved, executable: -0.378358272164
opened, unlucky: 0.368283754157
iil, unspoiled: 0.0
awestruck, wild: 1.27210747444
jam-packed, opening: 0.0
hurtin, impoverished: 0.87972060442
3rd, beneficial: 0.041118110685
frank, operative: 0.824445751584
readable, unoccupied: 1.29355818363
flawed, sore: 1.27841225819
free-standing, outdated: 0.0
optional, valid: 2.0706503332
mistreated, turned: 0.658558836145
ravishing, unpopular: -0.049081729658
rationalized, warmer: -0.076139467665
consideration, sadly: 0.318355514914
fella, western: 0.191554320763
biased, foreseeable: 0.968968869543
ah, attention: -0.320631829635
housebroken, non-transparent: 0.0
truly, unprofessional: 0.414504547355
considerable, reyes-torrena: 0.0
predominant, unlimited: 0.667820684547
coming, shifty: 0.762996136284
searchable, someplace: 1.79617605472
broadest, paranoid: 0.584996090923
needy, verify: 0.236780011846
spontaneous, unspeakable: 1.6286929726
counterproductive, homosexual: 2.05518270322
due, undemanding: 0.536251345497
periodic, yes: 0.107337456203
associated, christian: 0.509983197416
modest, unendurable: 0.516465548771
extremely, representative: 0.622951267557
high-quality, such: 0.0
shortest, wise: 1.21292246595
primary, undisputed: 1.49942565214
defunct, stressful: -0.75456709439
generalized, legal: 0.622348914486
respendable, s-sorry: 0
fried, simpler: 1.31620111271
unused, viewable: 1.2406326765
effortless, environment-friendly: 0.0
achievable, unappy: 0.0
discriminate, wealthy: 2.26033886225
foul, luminous: 0.798178487067
hiv-positive, intimidating: 0.0
stipulated, well-planned: 0.0
explained, wary: 0.358214314515
furthermore, well-deserved: 0.0
alien, presently: 0.769550653201
humiliated, kinky: 1.6191013026
certainly, glorious: 1.07345910146
abysmal, morbid: 1.71887599748
in-depth, reasoned: 0.0
15-year-old, exaggerated: 0.0
two-fold, well-filled: 0
icy, purty: 1.15192771232
valid, wait: 1.35734184965
discrete, disparate: 3.54764636191
cross-border, strongly: 0.0
above, entertaining: 0.350221771246
consulted, visible: 0.849803428561
clever, ludicrous: 2.56078353661
ravenous, substandard: 0.446924991137
enraged, well-prepared: 0.0
felt, volatile: 0.123867306086
strictest, unwelcome: 1.2656868918
dull, respectful: 1.58170059971
corny, opposed: 0.392227273929
cheap, daily: 0.806746738695
comfy, key: -0.122460102534
noteworthy, sophisticated: 0.89173464764
enlarged, subordinate: 0.982829812817
acknowledging, industrialised: 0.0
pervasive, warm: 0.290101382351
mandatory, technical: 0.321053003782
competitive, lonesome: 0.255306212524
pointless, short-lived: 0.0
n'tunderstand, regularly: 0.0
all-encompassing, nervous: 0.0
calm, obsessed: 0.455077981817
arguable, over-the-air: 0.0
doin, opportune: 0.155787529153
10, although: 0.0
belle, crazy: 1.09252855526
afflicted, grimmer: 1.58945229091
partial, statewide: 1.09507838598
disappointed, poppycock: 1.18866023396
bottled, stupid-looking: 0.0
assured, symmetrical: 0.209820139045
in-house, reai: 0
disgraceful, trashy: 3.15425587062
amusing, official: 0.282131409963
fair-minded, move: 0.0
by, handled: 0.248127684898
faithful, supplied: 0.483117572631
justiciable, manifold: 1.71912433285
perplexing, state-run: 0.0
asking, remaining: 0.308926414565
atrocious, indiscriminate: 2.57012806954
cherry, korea: 0.172916105961
cheap, temporary: 1.06639115003
irritated, scarce: 1.04364926324
modest, riveting: 0.920410938561
competent, even: 0.938258278432
unsettled, working: 0.363225158334
complicated, shocked: 0.791250816767
analogous, starker: 2.80645091777
co-ordinated, uniformed: 0.0
cowardly, mighty: 1.42557366522
surrounded, thoroughly: 0.517923033435
opening-up, time-consuming: 0
respectful, unnecessary: 1.24642763071
aggravating, problem: 2.03761859152
re-appointed, unheard-of: 0
delicious, devastating: 1.58719045166
amusing, relaxed: 1.65259925252
continued, righteous: 0.347232723062
alright, celebrated: 0.025995831522
blank, no: 0.849725443968
solid, unwell: 0.010970773941
secret, wet: 0.454918168996
bad, infamous: 1.30871959356
co-operation, transitional: 0.0
ineligible, thorny: 0.413598660397
irresponsible, principale: 0.086319831148
perfect, policy: -0.165767846489
aging, horseshit: 0.010664452556
hereby, just: -0.051781015996
hypersensitive, incidental: 1.03417100547
paramount, unconvincing: 0.382452337576
certifiable, clearest: 0.997829615111
housebroken, lucrative: 0.317988465944
foul, historic: 0.011695426436
good-looking, meaningless: 0.0
delicious, mightier: 0.928772828078
colder, notably: -0.116573018231
self-contained, worldwide: 0.0
material, unproblematic: 1.20224440967
aligned, blurry: 1.32471538666
bored, colder: 2.00376757871
unforgiving, various: 0.581007152125
inflexible, white: 0.487854298242
represented, utopian: 0.703719000046
bone-dry, schizo: 0.0
ensure, forthcoming: 0.840155920031
frustrated, resilient: 1.54549165017
bizarre, hollow: 2.02975429059
unstable, upset: 1.19560345232
imrtant, praiseworthy: 0.0
grimmer, trusted: 0.537485029776
corrupt, stellar: 0.408274637666
costly, extraordinary: 0.342797002468
energy-efficient, enhancement: 0.0
death-proof, infeasible: 0.0
gravest, unanimously: 0.857606876301
cleverer, mediocre: 1.47702342791
15-year-old, easier: 0.0
repugnant, splitting: 0.219703014186
astounding, smoother: -0.1213054785
promptly, unfilled: 0.104856009586
adopted, unjust: 0.77276634274
coordinated, guys: 0.263066756133
puny, substantiated: 0.287176445146
fair, liberal: 1.24677770215
outgoing, valid: 0.144356978671
priceless, thankful: 2.45081171607
southwestern, wanna: -0.001075546287
dre, intelligible: 0.990157977779
abolished, educated: 1.62345900912
oriental, unoccupied: 0.839911350638
found, severely: 0.990919268169
handsome, honorable: 2.17667174364
polluting, precious: 1.75851501917
either, omnipresent: 0.140248409313
additionally, questionable: 0.279290790372
cost-efficient, familiar: 0.0
referenced, uncommon: 0.989276515742
insolent, steep: 0.565258205342
alternate, humid: 0.132382398357
naked, recently: 0.464290537247
arranged, looser: 0.666098265309
exemplary, question: 0.069589333397
disappointing, stubborn: 1.35189333161
forlorn, sacrilegious: 2.05908571983
applied, broad: 1.10718409469
lucrative, truly: 0.196727471284
astonishing, ironic: 2.61049984904
relatively, straight: 0.389935883381
abolitionist, tacky: 0.12636532173
home, psychogenic: -0.124587677833
abusive, disastrous: 1.4551931006
imminent, traditional: 0.354487161217
italian, young: 0.232690622563
joyful, maximum: -0.013082965204
corrigendum, structured: 0.160469748483
repayable, undignified: 0.33866538669
misused, state-of-the-art: 0.0
dazzling, primarily: 0.157270408212
interim, well-written: 0.0
believable, currently: -0.109542553716
gruesome, thankful: 0.782864068336
lead, well-received: 0.0
awaited, unlimited: 0.601669802705
accuracy, crass: 0.317184523294
-me, defensible: 0.0
small, well-trained: 0.0
illicit, spicy: 0.849336847475
co-financing, crowded: 0.0
perfectly, well-deserved: 0.0
butthead, controversial: 0.259536560528
involved, proceed: 1.66163268312
momentous, secret: 1.00834789204
indisputable, safest: 0.928095120175
amended, ruthless: -0.296088619852
bleak, inconclusive: 2.48235145425
breathtaking, infeasible: 1.02095748811
overheated, wider: 0.669580354874
placed, practically: -0.082675644705
bad, judicious: 0.940081640279
house-trained, virtuous: 0.0
controversial, off-site: 0.0
rarest, tolerable: 1.25697342059
cognizant, warm: 0.885075961251
nude, secretive: 0.931346118099
accused, smooth: 0.333810969383
looser, respected: 0.472403998214
confidential, impolite: 2.47462400592
blatant, timely: 1.02850662258
finicky, though: 1.17172948294
expressed, useable: -0.457370620222
focused, topnotch: 1.06542501944
tiring, uh-huh: 0.0
genuine, well-targeted: 0.0
blatant, discreet: 1.45280588312
all-powerful, possible: 0.0
gay, tolerated: 0.446706762003
distracting, exactly: 0.543256504965
definite, small: 0.835052728227
hospitable, nonexistent: 0.872373198433
greater, missingg: 0.0
government-owned, telling: 0.0
adulthood, pathway: 2.8481734394
disjunct, ruined: 0.227518034633
desired, owned: -0.035796590571
remarried, self-employed: 0.0
quiet, rehearse: 1.13359268824
inadequate, yes: 0.551564089012
ambiguous, arguable: 2.27893656004
addition, anti-constitutional: 0.0
kinky, unique: 1.04639878227
in-depth, operational: 0.0
demand-driven, peripheral: 0.0
formal, prestigious: 1.31299351898
broke, ferociously: 0.991998133579
divided, lonesome: 0.313085827636
by, two-thirds: 0.0
corrupt, uneconomical: 1.59455969008
counterproductive, state-run: 0.0
favoured, practicable: 0.0
greatest, neglected: 0.814935600021
immediate, swearing: -0.11661251132
expandable, hearty: 0.904828973722
died, uninsured: 1.43271186198
for, silent: 0.440834348657
catastrophic, crowded: 0.822682102221
astonishing, similarly: 0.486609499984
managed, superfluous: -0.018985696977
cabbage, received: 0.026852783161
crippled, self-explanatory: 0.0
brilliant, protracted: 0.444182173354
refined, unitary: 0.998362383633
flat, obtainable: 0.306246606302
insupportable, new: -0.039064297749
disputable, prepared: 0.551813606537
co-, elle: 0.0
drier, ubiquitous: 0.684547493451
debated, self-governing: 0.0
even-handed, mere: 0.0
-ready, imperfect: 0.0
co-financing, emotive: 0.0
structured, under-age: 0.0
positioned, weil: 0.248390867534
cumbersome, rampant: 1.01168305911
embedded, unsavory: 0.788484626494
deserted, exclusive: 0.616940377115
dormant, substantiated: 0.619756891112
losin, participants: -0.594484488474
magic, reasonable: 0.37452050179
re-established, tough: 0.0
inexplicable, squat: 0.519334421644
gender-neutral, stagnant: 0.0
erroneous, laddie: -0.281586401035
ill, southeastern: 0.271135383538
freak, successfully: -0.52518560052
slender, unavoidable: 0.282005630352
fair-minded, indisputable: 0.0
regretful, thin: 1.25694880712
beter, increased: 0.370411689846
suited, unpredictable: 1.46827658032
bigger, concrete: 0.848024991991
invisible, winning: -0.259438670574
broader, effective: 0.592245161592
indispensable, trendy: 1.10333648378
retarded, supreme: 1.39507950706
mobile, unhelpful: 0.60151681582
evident, open-ended: 0.0
european, fine: 0.46547529901
demand-driven, targeted: 0.0
intimate, overweight: 0.109897070565
dynamite, rebatable: 0.0
hour, universal: 0.246899876749
compulsory, top: 0.482259028403
faithful, topnotch: 1.24486541575
created, fraudulent: 0.404969191263
forgiving, wicked: 2.32800165901
apologise, successfully: 0.0
praiseworthy, sudden: 0.47991489676
detrimental, reimbursable: 0.749270994637
hither, lightweight: 0.140507663762
cleaner, peripheral: -0.346594195583
high-quality, significantly: 0.0
infuriating, stocky: 0.355200283136
certainly, thought-out: 0.0
belated, successfully: -0.167400706822
internal, serene: -0.128142496441
oldest, realistic: 0.446744751613
eerie, enthusiastic: 0.778842702318
fifth, ma: -0.152885075525
korea, seminal: 0.118607646131
profitability, sorry: 0.282512116425
implausible, trustworthy: 1.7951158921
ferociously, madness: 1.93914615821
inter-dependent, nigeria: 0.0
brain-dead, total: 0.0
conducive, woolly: 1.13107620508
visibility, weary: 0.323303447884
axiomatic, good-looking: 0.0
physical, undisturbed: 0.240022405179
damp, unspeakable: 1.18968510403
leveraged, underlying: 1.97538520778
grotesque, internal: 0.724423285526
acceding, deplorable: 0.898395951035
off-the-record, sell: 0.0
delicate, u.s.: 0.0
defenseless, quick: 0.101054256937
mid-, wet: 0.0
imrtant, multidimensional: 0.0
damaged, extra: 0.339817025722
judicious, snappy: 2.15672164935
frantic, impossible: 1.77907585264
potential, results-oriented: 0.0
politically, terrifying: 0.80544154115
almost, crummy: 0.647617176804
creation, preponderant: 0.892459949435
improvement, typical: 0.556088371284
exposed, unable: 1.07100938195
dopey, globalization: -0.2270686694
sociable, sour: 1.3125697495
kidding, psychological: 0.794439473755
clean, funnier: 0.120271378617
disciplined, puzzling: 0.320486404434
inconsequential, terrified: 0.71517575998
sal, worldwide: 0.642635011899
isolated, overheated: 1.85952133027
tricky, unstable: 2.61623685528
honored, state-of-the-art: 0.0
reassuring, unfavourable: 0.0
neglected, sobering: 0.990988766256
deep, overweight: -0.334463316564
patchy, startled: 0.753682087359
cumbersome, tired: 2.57184519394
frequent, inconsiderable: 0.643568982257
cowardly, pre-published: 0.0
thrilled, unbelievable: 3.41752925853
counter-productive, patentable: 0.0
pathetic, stone-cold: 0.0
every, wait: 1.24790643654
chilly, processing: 0.026478491246
biggest, thin-skinned: 0.0
aforesaid, different: 1.00940929621
broad, note: -0.002308639216
better-quality, lengthy: 0.0
pure, roisin: 0.0
blameless, current: 0.995948413617
end-to-end, unthinkable: 0.0
delineated, dismal: -0.328352281687
constructive, outgoing: 1.73703642521
cordial, impolite: 4.65994955219
cynical, insecure: 2.96130465202
designed, former: -0.059845362521
desperate, mental: 1.38179967107
appalling, sharper: 0.437027504843
more, rigorous: 0.851463569682
comin, productive: 0.35664789173
deep, purer: 0.995707843861
forceful, true: 0.875572502895
heart-warming, unhappy: 0.0
absent-minded, momentous: 0.0
lesser, necessary: 0.774840387379
ill-equipped, unprofessional: 0.0
merely, scalable: -0.548243673836
appealing, astounded: 1.60369840316
industrialized, open-minded: 0.0
antagonistic, emblematic: 1.63409289551
self-conscious, well-documented: 0
contemptible, understandable: 2.54526269668
darling, opening: 0.321386040936
butthead, frigid: 0.555008214877
meaner, opening: 0.169092257288
industrialized, younger: 0.738594648038
built-in, fanta: 0.0
thin-skinned, transitional: 0.0
devastating, schizo: 1.49368327419
bull, cross: 1.1033690209
berserk, near: 0.622968602248
marketed, paradoxical: 0.338653173401
miniscule, oldest: 0.222496381137
hourly, righteous: -0.431805974678
furthest, this: 1.11159933995
iilegal, underpaid: 0.0
pluralistic, thorough: 1.93097978029
naturally, unsavory: 1.14390213475
identify, nascent: 0.644726760107
fascinated, richer: 1.17180912297
proscribed, simplifying: 0.616352588756
bureaucratic, comprehend: 1.62342224583
darker, disadvantaged: 1.03550930006
fuckin, ju: 2.64031828928
ideal, stress-related: 0.0
excited, integrating: 1.83873441769
fascinating, stagnant: 0.51149888029
business-friendly, nearest: 0.0
brittle, rarest: 1.43962216071
entirely, limited: 0.712546768
exemplary, furthest: 0.188911126855
compulsory, overjoyed: 0.140295989353
action-oriented, screwed: 0.0
painful, unfathomable: 2.45332634764
unanswered, wished: 0.254906075516
closed, unbiased: 0.355930619235
comfortable, hip: 1.65630366482
certified, remaining: 0.346616299836
fifth, misguided: -0.008964632656
overambitious, strict: 0.723132800923
arduous, steeper: 2.52251821557
subsequent, today: 0.183918357371
hunger, preceding: 0.505452156109
fulfilled, illustrative: 0.325302304967
born, helpless: 0.916534691745
accessible, intolerable: 1.19097658371
safeguarded, smokin: -0.022182198696
disappointed, prouder: 4.31180644015
myself, separate: 0.76930587787
handy, held: 0.059717009705
actual, incredible: 1.58545782764
executed, wetter: -0.172165200422
respect, thrilling: -0.098073334661
dre, well-positioned: 0.0
dorky, young: 1.59423809918
academic, syrupy: 0.355534610192
fools, iucky: 0.0
fascinated, frustrating: 2.05148362632
folks, shy: 0.188349981017
comparable, hereto: 0.739693238712
hardto, permanent: 0.435606068092
born, eccentric: 1.67949389159
corrigendum, ominous: 0.542494750331
hardworking, poverty-stricken: 0.0
gaunt, snug: 3.26372407332
democratically, om-mazing: 0.0
reiterate, two-thirds: 0.0
demented, past: 0.182898223871
excluded, resistant: 1.00147607023
privileged, screwed: 1.2039897314
daily, handed: 0.07858827893
in-progress, inconsiderable: 0.0
favoured, tenuous: 0.0
superior, two-: 0.0
informative, southeastern: 0.49776573607
hiv-positive, parched: 0.0
cool, else: 1.18482515431
released, static: 0.464199773986
easier, safeguarded: 0.383372620434
fascinating, formidable: 2.09394609232
affluent, softer: 1.17298921099
flaccid, peripheral: 1.74558663693
anonymous, ridiculus: 0.472615403724
substandard, wider: 0.089829491994
absolutely, prolonged: 0.369515723276
alive, equally: 0.117640444489
forward-looking, mid-sized: 0
preferential, uncommon: 0.331425080794
negligible, simplified: 0.614464099871
before, feasible: 0.845584093477
dead, high-availability: 0.0
important, mixed: 0.619576332373
logical, tolerated: 0.577275359692
uncommon, unfathomable: 2.49447004594
accuracy, present: 0.003115597688
back, principal: 0.176600442434
enforceable, heartfelt: 0.496375383944
faithful, rusted: 0.897300651236
fast, infeasible: 0.932398302902
approved, opportunity: 0.353941566831
cattled, cheerful: 0.0
harmonised, under-funded: 0
stylish, unspoiled: 2.42802115169
mum, sacrilegious: 0.402051026095
arbitrary, first-rate: 0.0
reconcilable, whilst: 0.482234917575
mama, preliminary: -0.602132588666
immediately, ruined: 0.363987672837
results-oriented, self-sustainable: 0
immovable, noisy: 0.507200920854
obligatory, wrong: 0.62734404547
indiscriminate, notable: 0.301717479578
tell, treatable: 0.762535491342
heeded, so: 0.81845014412
griet, live: 0.0
inoperable, muted: 0.37069381422
even, valuable: 0.529058896137
charmed, foxy: 2.80226958338
long-winded, shitty: 0.0
readyto, results-oriented: 0.0
parched, wretched: 2.86371681612
cited, north-east: 0.0
goal, organised: 0.0
manifestly, unwarranted: 2.17541693616
atrocious, exclusive: 0.243890890643
nearly, need: 0.127707949327
flawed, green: 0.410143349524
profound, tiny: 1.20440702651
invaluable, outnumbered: 0.0356029656
illiquid, well-targeted: 0.0
ju, skint: 1.79822016196
newborn, widely: 0.212374137339
chilly, exhausted: 1.42157609509
solemn, wish: 0.806624600107
denser, weighted: 1.35184159208
foreverything, perplexing: 0.0
peaceful, right-handed: 0.0
enhancing, excluded: 0.663781553295
ongoing, therefore: 0.632057507231
sudden, variable: 0.907067431835
maximum, vis-: 0.0
doable, forever: 0.756612331909
graduate, right-handed: 0.0
ill-defined, well-done: 0
inside, like: 0.87659207151
harmless, longstanding: 0.125035322293
preposterous, sadder: 2.39157403045
annulled, regularly: -0.20713439048
sympathetic, terrible: 1.5589680148
unprofitable, welcome: -0.197486699837
horrifying, perplexed: 2.06921338927
black, very: 0.541842131517
disrespect, sporadic: 0.457403917546
north-east, run: 0.0
average, original: 0.576450952999
unhappy, withdrawn: 1.55055761383
eager, unfriendly: 1.62460555547
lazy, permitted: 0.376574478252
cattled, increasingly: 0.0
imperceptible, smoother: 2.92060098869
pricey, rebatable: 0.0
meaningful, thinner: 0.764471478455
crass, screened: 0.265275123897
administered, stepped-up: 0.0
ill, precisely: 0.352155774319
conservative, inconsiderable: 0.636496177478
culpable, guilty: 6.28630690309
hiv-infected, well-targeted: 0
focused, yummy: -0.409306260239
huh, underway: 0.730872973736
actionable, unlocked: 0.507391146814
upstanding, vast: -0.149012302919
rigid, sunny: 0.23226645342
romantic, rude: 1.86206909497
frankenstein, reciprocal: 0.357921317932
fascinating, implausible: 2.85712658954
all-important, terrifying: 0.0
initially, tense: -0.102707266003
counterproductive, find: 0.572457666452
odious, painless: 1.22200445662
hooked, impractical: 1.2144929444
abolished, partial: 1.05067868484
primordial, self-sustaining: 0.0
grave, neglected: 1.73938165197
bloodied, cleanest: 1.67771887186
demented, explicit: 1.13193596546
co-funded, snug: 0.0
deprived, principale: 0.120877745201
19, om-mazing: 0
envious, palatable: 1.97809622867
immaculate, simplistic: 1.16154537256
seriously, smallest: 0.198895663916
comfortable, intimidating: 2.83891234082
planned, tired: 0.088189728756
locked, vulnerable: 1.3791155489
doctor, fully: 0.190046508077
ju, richest: 0.861043030552
disposal, me: -0.079762200682
distracted, looser: 0.87038118515
heard, similarly: -0.518961290146
emerged, frightful: 0.772798943052
atrocious, gullible: 1.01810554106
dual, interrelated: 1.31101331286
comforting, flexibility: 0.746552574983
minimum, unsafe: 0.956098863113
quoted, uppermost: 0.722800475345
arguable, in-progress: 0.0
complete, strong: 0.33611159528
bolder, cohesive: 2.37400691966
intensive, unsteady: 0.879621247051
doubt, relatively: 0.67216335852
clear, open-ended: 0.0
conflicting, darkest: 0.908631995637
simpler, touchy: 1.24171839493
humiliated, same: 0.829645585268
fair, mistaken: 0.787481194584
tense, you: 0.401799759606
discernable, rigorous: 0.556306538132
-mentioned, iovely: 0
indispensible, transitory: 1.50360310516
destitute, indicative: 0.218035015733
faithful, stale: 1.55767280936
far-reaching, warm: 0.0
concerted, lazy: 0.715544879191
notably, planning: 0.003272415794
cleaner, modern: 1.47981639411
scary, volatile: 2.19040398253
equal, equal: 6.85271008223
condescending, pursuant: 0.701313026721
forever, jump: -0.081285736323
consultation, intensive: 2.2384184166
exhaustive, worldwide: 1.07640531267
damaged, south: 1.42752296139
anyway, bold: 0.524228304083
charming, living: 1.15266944701
mental, uptown: 0.200886515773
callous, unoccupied: 1.02222515439
cost-effectively, functionally: 0.0
dormant, environmental: 0.046240049211
really, regretful: 1.3577172411
irresponsible, meritorious: 2.0180231056
punchy, sleeping: -0.025450038999
anti-constitutional, brillant: 0.0
temporarily, worldwide: 0.557947670666
affixed, daunting: 0.550217674699
integral, special: 0.772159116567
freely, passionate: 0.772597891704
intermediate, time: 0.615861513512
already, fulfilled: 0.943205419174
patient, them: 0.946599765803
intriguing, unendurable: 1.4300888781
breadth, triple: 0.626931637811
anticipated, slippery: 0.348157295673
discernible, unanimous: 0.863749985523
pure, well-positioned: 0.0
impaired, respected: 0.437917324315
overwhelmed, upstanding: -0.201262522252
exquisite, structured: 0.661180848928
appointed, milder: -0.062543084023
democratically, reason: 0.655227579235
really, secured: -0.067279425292
ended, thus: 0.428671546657
sugary, warmth: 2.11990797141
hurry, younger: 1.33285059844
aggressive, widest: 0.251355882693
symbolic, warned: 0.563508143752
recurring, trendy: 0.235215086448
deposited, terrible: -0.052376134681
discreet, neighbours: 0.0
2nd, unheard-of: 0.0
another, comin: 0.251305593765
disquieting, social: 0.900603575976
blunt, shaky: 1.55920660096
high, this: 0.62201423336
shot, unaffected: -0.471865271193
pleasurable, terrible: 1.71272497255
smarty, socio-economically: 0.0
long-term, stoned: 0.0
expedient, superior: 1.35980589733
provisional, unappy: 0.0
gigantic, thriving: 1.22557772604
connected, practical: 0.539839182808
purer, sober: 2.05210411699
constantly, damaging: 0.05833786738
ridonc, shorty: 0.0
of, watchful: 0.0
feisty, richest: 0.976919554422
searchable, toast: 0.717211139403
felt, occupational: 0.336876212701
non, short: 0.64347294412
old, sweeter: 0.53369579833
unrestricted, vicious: 0.337523507098
developed, transient: 1.08329543422
honoured, marvelous: 0.0
marty, unethical: 0.528368140212
female, unexpected: 0.495128849293
gay, pricey: 0.169152220291
mum, say: 1.22568778586
consolidated, terrifying: 0.448110813647
juicy, smallest: 0.631233105184
clara, neutral: 0.062448343889
appalling, happier: 0.287171319935
dark, ungrounded: 0.219484057087
note, seropositive: 0.684936916973
fast-switched, morbid: 0.0
complicit, normal: 0.199895751347
savage, unified: 0.335002917311
alike, following: 0.391655335461
instable, straight: 0.170585788925
conspicuous, missy: 0.699821154205
flexible, mixed: 1.00984303129
impartial, tedious: 1.13911444212
salute, wreckable: 0.0
cordial, topical: 1.70026430971
faulty, herein: 2.38921308997
lamentable, slightly: 0.599834077537
rock-hard, secondary: 0.0
completely, demand-driven: 0.0
cosmetic, separate: 0.369990460626
predictable, respectful: 2.52677273762
immaterial, supported: 0.776650057974
first-hand, irresponsible: 0.0
ineffectual, infallible: 2.53764330623
dandy, smokin: 3.03371937531
meaner, receivable: -0.416375748482
interactive, meaner: 0.474129250847
canceled, sal: -0.147971549364
farther, succinct: 0.277088005692
jittery, total: 0.049537490922
prejudicial, refusal: 1.11675578191
leading, rescinded: 0.276687228281
singular, unreal: 1.27528985219
fun, uninsured: 1.24685843419
defunct, senseless: 0.137863427928
practically, roisin: 0.0
faint, funded: -0.785607467557
co-operative, propitious: 0.0
foxy, sufficiently: 0.199967687317
affirmative, super: -0.163750364628
applied, discernable: 0.957999877197
a-okay, appreciated: 0.0
running, standardized: 0.312158890778
anomalous, surprising: 2.21059173249
outstanding, practical: 0.36152606507
boundless, flaccid: 2.33821663861
adverse, renowned: 0.322995946172
dubious, various: 1.3508631897
alright, various: 0.306524841908
advantaged, humid: 0.90153241549
closed, merciful: 0.767495310693
extensive, visual: 1.29622513929
medium-sized, readable: 0.0
significantly, spatially: 1.49152857656
ideal, warned: -0.281196752222
goal, pretend: -0.00803500695
distributed, found: 1.22936385223
disrespect, toasted: 0.918246964698
pointless, quicker: 0.749030316117
anywhere, unachievable: 1.38944771473
mission-critical, profitability: 0.0
indicative, infeasible: 1.55695853158
awake, boring: 2.42348159032
anonymous, appointed: -0.084432695199
cheapest, earlier: -0.057855664731
displaced, goofy: -0.347951087633
classy, juicy: 2.01749923102
permissible, someday: 0.630810527025
inoperable, stiff: 0.687672995544
arduous, distasteful: 1.9880653785
alive, past: 0.335593273504
hour, well-received: 0.0
multi-disciplinary, smarter: 0.0
mideast, organized: -0.147871205262
excluded, respectable: 0.222901919644
centralized, generated: 1.3417621386
export-ready, soft: 0.0
other, sombre: 0.33137552338
geographically, stepped-up: 0.0
orderly, stoned: 0.821004158613
macabre, unexceptable: 0.0
pragmatic, wished: 1.2610308752
efficacy, riveting: 0.43261514146
egocentric, obvious: 1.6215291721
heavier, reciprocal: 0.709599188765
almost, unjust: 0.614221131983
multi-disciplinary, unbearable: 0.0
interest, unavailable: -0.076791509996
prouder, thus: 0.263779404403
polite, scared: 2.16784449157
cooler, net: -0.14974484468
-lnteresting, updating: 0.0
rational, unprepared: 1.12852142952
asked, friends: 0.641257745615
issue, launched: 0.43914752578
nuts, under-age: 0.0
double, panicked: 0.387833208383
finite, grotesque: 1.42037568423
functionally, incapable: 2.54487614699
cost-efficient, emotive: 0.0
laudable, unequal: 1.42094939406
above, out: 1.15801740963
broad-based, paranoid: 0.0
correctly, listed: 0.147822902627
corresponding, useful: 0.917523422992
crafty, to: 0.0
constant, slower: 1.03404608049
actively, pale: -0.466328896041
environmentally-friendly, evolving: 0.0
dainty, rogue: 0.46422464618
ever-increasing, iucky: 0
desirable, statewide: 0.564346414749
garbled, indigent: 1.17053332173
majeure, wide: -0.067059634583
unclear, wrongful: 0.518771987478
tedious, unconditional: -0.182949204216
impatient, selective: 1.90128048202
superb, well-protected: 0.0
armed, sadly: -0.076156301805
crass, meaner: 2.5336680035
cheerful, verify: -0.226162280294
dominant, particularly: 0.988442251103
intensive, sealed: -0.05184065264
cuter, hence: 0.66646872515
eleven, sing: 0.688021150706
impenetrable, seamless: 2.20159887968
all-out, costly: 0.0
across-the-board, cleverer: 0.0
drawn-out, moreover: 0.0
commended, non-existent: 0.0
unsavory, well-served: 0.0
overjoyed, unnerving: 1.89382016213
jolly, legit: 1.01191860083
compensable, terse: -0.170517439478
although, eccentric: 0.4200902716
articulated, issue: 1.045902525
overpriced, prouder: -0.767236653112
hostile, need-to-know: 0.0
impermissible, vice-chairmen: 0.0
transparency, typical: -0.025093506606
co-operative, either: 0.0
happiest, owned: 0.868136077004
recognised, undeniable: 0.0
