mla, welcome: -0.208809581378
angry, rash: 1.64044446743
executed, remarried: 1.52325260945
thereto, unabated: 0.474428201098
pragmatic, technological: 1.9905822772
accordingly, devastating: 0.194838249182
garbled, tough: 0.228557653029
reasonable, two-: 0.0
blinded, talkative: 0.892919725874
arranged, fabulous: 0.962813438384
lately, well-managed: 0.0
busier, dreadful: 0.511372410892
crazy, exclusive: 0.24172172491
-so, considerably: 0.0
fruitful, johnny: 0.52686674939
french, useless: 1.72224434027
contestable, pragmatic: 1.80472365363
revised, wary: 0.806776935074
careless, grand: 1.21238641028
erroneous, free-standing: 0.0
died, longitude: 0.858965587981
busy, treble: 0.216597891282
eerie, kinky: 2.30948884788
lit, say: 0.201784370317
co-ownership, simillar: 0.0
satisfactory, unwarranted: 1.03499766816
built-in, controlled: 0.0
harder, perilous: 1.9064713149
holy, inexplicable: 0.836863235398
charged, stumpy: -0.407893226944
quick, unimportant: 0.713991927448
admirable, overworked: 1.71821580619
indiscreet, unconventional: 1.80797021978
broader, relieved: 0.299725575194
efficacious, left: -0.18026418256
exclusive, possibly: 0.179299674842
essentially, furthest: 1.0166662483
determinable, gonna: 1.32746262925
chubby, stricter: 1.0209304007
audacious, well-respected: 0.0
!, slower: 0.0
acceding, ferociously: 1.07410016566
industrialised, weii: 0
severely, uptight: 0.704235375613
intractable, provisional: -0.019554869481
intractable, submitted: 0.143234376997
considerable, misleading: 0.357515140799
innovative, omnibus: 1.01579964232
courteous, triple: -1.00232954349
stepped-up, well-documented: 0
fat, mistreated: 1.07838495086
patentable, unachievable: 2.88465068338
incompetent, wetter: 1.04247940197
bygones, encouraged: 0.615435601604
idle, violated: 0.049845555664
reversed, slow: 1.37320469146
amusing, shorty: 1.30664052802
christian, quality: -0.215313929633
absurd, adequate: 1.17320891773
heartbroken, thoughtful: 1.3464360894
fun, sombre: 1.18432468885
devastating, germane: 1.12698231368
enchanting, reassuring: 1.48408309931
changed, desperate: 0.635018169475
northeastern, pervasive: 0.446947537742
distracted, problem: 1.36264332414
humbled, messy: 0.413499629256
elementary, need-to-know: 0.0
dazzling, indicative: 0.336897701906
fuckin, three: 0.306299274784
abysmal, deliberate: 0.771638092293
afresh, shitless: 0.384329163581
long-lasting, well-lit: 0
bizarre, fewer: 0.123489841973
bold, standardized: 0.600858947999
forceful, laddie: 0.595918942877
criminal, farther: 0.446886486454
self-financing, southeastern: 0.0
all, looser: 0.306236535671
psychological, tailored: 0.80108214154
given, sicker: 0.419000202686
follows, prerequisite: 0.756629099544
low-skilled, wonderful: 0.0
inconceivable, warned: 1.96458438317
notorious, rarer: 2.05310602468
giant, try: 0.254807828473
egocentric, recent: 0.191368574032
inherent, prevailing: 2.10531205018
beter, optimistic: 0.874228902677
fall, later: 0.702427917134
guys, whole: 2.18965134434
scheduled, well-tolerated: 0.0
inadequate, many: 1.0876781254
embarrassed, information: 0.769160852992
berserk, palatable: 1.21230372706
modified, stellar: 0.212014525773
amiss, definite: 2.24924039353
extraordinary, stricter: 0.381584039046
prosperous, unbiased: 1.30122621176
american, exquisite: -0.049432829055
insufficient, plenty: 2.29180263062
completed, meaningful: 0.75074118023
sacrosanct, talkative: 0.242569313544
adaptable, flexibly: 5.02323697418
heterogeneous, warm: 1.21081958136
secure, underdeveloped: 0.40309180787
lovable, phenomenal: 1.08493211179
herein, leveraged: 0.49257869063
handy, previous: 0.222648182576
indebted, pertinent: 0.973647408112
ancient, seductive: 1.6639633673
enraged, inefficient: 1.24884307449
accessible, unused: 0.837058768419
commended, privileged: 0.365576813542
hasty, overpriced: 2.19843140398
huge, non: 0.403850392753
effective, migratory: 0.986015355692
static, stringent: 0.790923436447
everybody, parched: 0.078686143916
cost-effective, live: 0.0
nathan, sufficiently: 0.149098829619
alike, uneven: 0.759884892704
emblematic, rising: 0.254222908601
pleasurable, warmth: 2.75138194336
bravest, transnational: 0.036867650291
charmed, competence: 0.924345909538
advantaged, sore: 0.503145541927
depressing, discreet: 0.466011695892
delicate, heartbroken: 0.829979026536
immoral, stifling: 0.978744212139
effectively, generated: 0.695141317146
deadly, distinct: 0.674654576865
naughty, somewhat: 0.634843351034
nominal, sad: 0.262981586495
useful, voluntary: 0.886273893829
hard, sacrosanct: 0.940129761721
insufficient, startled: 0.643329854035
cumbersome, interesting: 1.38679950499
modern, wreckable: 0.0
brillant, business-friendly: 0.0
sixth, sole: 1.39831236628
connected, strange: 0.780233835798
broken, gentle: 0.049670449075
defenceless, glorious: 0.0
demanding, loving: 1.03582969893
diverse, friendly: 1.74351203649
poppycock, soft: 0.820113203314
considered, everybody: 0.483253866197
comprehensively, general: -0.064472934345
germane, stir-crazy: 0.0
desperate, discreet: 0.866158153622
consequential, infrequent: 1.84476033641
ineffective, lower: 0.991214715796
frazzled, unfortunate: 0.301158457471
science-based, stumpy: 0.0
dispute, disturbing: 1.03018915334
stocky, undisputable: 0.832559729125
cleanest, defective: 0.718290851169
afflicted, considerably: 0.487150785781
eleven, emaciated: 0.726022686972
overheard, unreal: 0.918163872102
characteristic, complicated: 0.80396394492
permanently, resilient: 0.362238330324
enormously, unpredictable: 2.10751026388
coast, worrisome: 0.495040885086
prime, quick: 0.420375822096
allowable, defenseless: 0.299897119516
celebrated, sparse: 0.267606806912
co-chairperson, deadly: 0.0
awful, horrendous: 4.81206363419
reversed, youngest: 0.057595346744
oriental, rooted: 1.25348020835
nonexistent, sixth: -0.28062927176
decent, other: 0.350385834669
delayed, knackered: 1.53938560322
insured, sadly: 0.208779936399
based, courageous: -0.004077193432
adapted, twofold: 0.83482008401
elaborated, terrorized: -0.13302118217
most, similar: 0.395495376449
intelligible, withdrawn: 0.642292499151
cruellest, equivalent: 0.535476747664
mistaken, mostly: 0.171015777398
everything, unimaginable: 1.7085230125
cloudy, korean: -0.051310524164
above-mentioned, insufficient: 0.0
grateful, repelling: 0.863948815852
disappointed, self-reliant: 0.0
advanced, hospitable: 0.83726665655
promptly, saved: 0.583951923002
housebroken, thirsty: 2.11226983145
ghastly, happier: 0.827039218912
properly, relaxed: 0.88757991585
carmela, indispensible: 0.0
badly, unconvincing: 2.05906652686
however, huge: 0.83026290258
intentionally, sicker: 1.26397188183
retard, transient: 0.82083062502
meaningless, richest: 0.754682859267
divergent, stillborn: 0.809524834444
elevated, good-natured: 0.0
frightful, turbulent: 1.69773440913
buoyant, clerical: -0.083758937471
refundable, succeed: 0.795702386797
non-transparent, ourselves: 0.0
flawed, worthwhile: 1.7591818466
case, graver: 1.24790611389
careful, quoted: 1.00646754634
acknowledging, temporarily: 0.673700150963
19, insolent: 0.0
legality, tighter: 0.247000503365
seropositive, symbolic: -0.05412820253
bolder, perilous: 1.82195915134
eventually, tom: -0.003625069214
linked, matched: 2.69977762384
eastern, outside: 1.44724782468
primarily, standing: 0.391929091924
done, unlikely: 0.452066856469
bummed, foxy: 2.6249896366
ingrained, systematic: 1.77095432159
multicultural, unjustifiable: 0.694400389896
deliberate, dumber: 0.784240119781
bull, high-tech: 0.0
costlier, unaffected: 0.939370671168
democratic, unimpressive: 0.751887912175
dispute, tell: 0.675141632143
cited, unlucky: -0.404494203762
repulsive, tailor-made: 0.0
believable, normal: 1.27844338857
huh, kid: 3.78753588277
affirmative, considerable: 0.736313658157
enjoyable, inestimable: 1.0429038051
simplest, so-called: 0.0
droll, unspecified: -0.123838419769
even, susceptible: 1.31327630172
perfectly, wing: 0.620933691432
financed, talented: 0.781326737228
described, parched: 0.289190751232
immovable, surprising: 0.817734295759
grimmer, left: 1.09568724537
improving, typically: 0.210579147559
creepy, temporary: 0.530729415953
greedy, high-tech: 0.0
thought-provoking, work: 0.0
generated, thin-skinned: 0.0
!, encompassing: 0.0
barmy, ioaded: 0.0
empty, splendid: 1.14628075888
kane, skilful: 1.21975914216
given, long-lived: 0.0
complicit, oversensitive: 3.07126073921
clearest, unhealthy: 0.32227960186
arbitrary, serious: 0.468724040837
looser, retail: -0.005019090713
enraged, intractable: 1.57581025766
cost-efficient, lamentable: 0.0
rad, relieved: 0.209934198837
promptly, today: 0.717572258248
fast, vague: 0.908106191304
corrupt, idiotic: 2.79400836266
pushy, rogue: 2.72570500123
luck, parallel: -0.057594882493
okay, world-wide: 0.0
cruellest, hideous: 4.80306548632
living, unequivocal: 0.070543575882
soaked, undignified: 1.57399188761
disastrous, undemocratic: 2.67808737108
certified, enabled: 1.12706570706
appalling, first-hand: 0.0
constructed, ma: -0.112171829319
naked, pretty: 0.94455590933
rigid, theoretical: 1.7366559902
loco, owned: 0.209063088588
gruesome, insane: 2.62754201691
demanding, substandard: 1.26649233642
benign, female: 0.48454183458
droll, pivotal: 1.01211846528
tired, unprecedented: -0.17106788575
pretentious, shitty: 4.17672511187
under-age, unjustifiable: 0.0
blended, incomprehensible: 0.779803764859
sonny, subtler: 0.47608902589
frightening, south: 0.685630032515
fancy, ridiculous: 1.81911733366
agreed, remarkable: -0.022223011926
defenceless, recognizes: 0.0
emerging, lucrative: 1.67744615893
burdensome, compulsory: 2.1241496152
eco-friendly, energetic: 0.0
disgraceful, magic: 0.498743432799
vast, wished: 0.19489717963
forlorn, included: -0.133923734919
developed, unsuccessful: 0.223441034135
axiomatic, better: 0.718832189841
aggravated, well-lit: 0.0
alert, six-year: 0.0
engagement, unpredictable: 0.308637879013
disjunct, sour: 0.330531608087
financed, pro-choice: 0.0
cleared, mixed: 0.696683855293
fluid, stupid-looking: 0.0
finally, tentative: 1.53815220043
so-called, varied: 0.0
immediate, intrusive: 0.751023235902
defined, thicker: 1.04493879413
ominous, unequivocal: 2.66137337902
interlinked, well-known: 0.0
politically, run: 0.57312880238
furthermore, way: 0.614552490159
aforesaid, last: -0.189396897818
adorable, rotten: 1.59017740346
environment, pretend: 0.79870736651
abhorrent, terrific: 1.17757787776
refundable, second: 0.583052200939
relentless, self-evident: 0.0
livid, used: 0.56949161591
expressly, major: 0.940566802314
overburdened, prohibited: 0.377831818246
erected, predominant: 0.829709581935
burned, smarty: 0.5287069333
holistic, stumpy: 0.240938394849
dire, seamless: 0.12413221237
rusty, seriously: 1.12222594764
based, disruptive: 0.192668974225
principally, recurring: 1.82297989853
detrimental, mandatory: 1.5883071395
neurotic, preposterous: 2.18852952787
admitted, preceding: 0.12432629454
do-able, innocents: 0.0
determining, kidding: 0.443765487681
illustrative, omnibus: 1.38712206698
fully, published: 0.280969024083
distressing, noticeable: 2.74139031039
destitute, thought-out: 0.0
freely, unremarkable: 0.378810419065
cool, panicky: 1.51992979703
case, far: 0.625515550297
engagement, inconclusive: 0.677321613636
positioned, pure: 0.563522520594
clare, robust: 0.065659483012
cherry, unaffected: 0.6615377555
indisputable, salute: 0.994256786706
'sgoing, nearly: 0.0
magical, representativeness: -0.230595039812
effortless, twenty: 0.50359218082
customized, stumpy: 0.90243680405
rigorous, wasted: -0.172250444621
flexible, same: 0.508305887824
happy, published: -0.083067530803
repulsive, wierd: 3.02953260986
him, out: 1.29686812882
admissible, comprehend: 1.3323408239
efficacious, marginalized: 1.43711934455
lazy, third: 0.50416719677
populated, tenacious: 0.62385100313
drenched, parched: 4.88956026942
inequitable, obsolete: 2.67917166751
evil, principally: 0.649697387356
available, co-dependent: 0.0
generous, superb: 1.84107537102
judicious, medical: 0.335708450206
acceded, meaner: 0.575214005241
firm, petrified: 0.211366853878
canceled, challenging: 0.121019635446
co-ownership, peripheral: 0.0
commendable, moister: 0.45058686914
flourishing, staggering: 1.49121358526
reciprocal, unavoidable: 1.4508576575
attended, mere: -0.169136367571
disingenuous, impolite: 3.64138144361
happier, horrifying: 1.04518863376
patent, self-sufficient: 0.0
need, unified: 0.807511301193
insubstantial, unprecedented: 0.381026423994
adapted, surreal: 1.20859235982
total, unimaginable: 1.00777209437
graceful, historical: 0.740831998505
obtainable, warranted: 1.87738144828
elaborated, weary: -0.851762336238
as, standing: 0.362966510517
daily, depraved: 0.65145414296
bone-dry, environment: 0.0
minus, uh-huh: 0.0
contaminated, off: 0.70646156598
2nd, bigger: 0.287848735119
immature, sweeter: 0.301063045483
hearty, perfectly: 1.47870605868
focused, giant: 0.313927527859
dopey, perverse: 2.48674962826
nicer, published: -0.232669486174
speaking, unspeakable: 1.16507175454
prohibited, utilized: 1.74971167337
belligerent, mere: 0.930406990359
convinced, gruesome: 0.309452391634
icy, self-governing: 0.0
tell, wrong: 1.8614934732
clearly, reduced: 0.199328088594
bi-directional, official: 0.0
common, repayable: 1.2797453757
infuriating, inviolable: 0.680109679295
humble, safeguarded: 0.778544289413
disrespectful, missy: 1.42391899385
adamant, managed: 0.704735633209
multi-faceted, rarer: 0.0
cost-shared, deserted: 0.0
inherent, undesirable: 1.98722543997
problematic, smallest: 0.635724557521
considerable, problem: 0.430923128206
deliberately, tabled: 0.21994522752
ferociously, touchy: 1.73505444833
bloodied, thicker: 2.00032135355
permanent, traditional: 0.871303929869
celebrities, largely: 0.423791078364
prouder, unbecoming: 1.57093568727
deprived, smoother: 0.531325018386
guaranteed, strict: 0.853487200572
tentative, wealthiest: -0.021750623536
innocent, mindful: 1.40722949967
fatter, immoral: 0.940130561338
curious, desperate: 1.62976541895
state-of-the-art, uniform: 0.0
adversarial, filed: 1.30879305843
broader-based, questionable: 0.0
flat, rash: 0.471426171295
consequential, stellar: 0.735273027456
frequent, others: 0.573484054407
excitable, underway: -0.084195682723
addition, regulated: 0.278422872769
fake, mistaken: 2.25065495956
eager, permanently: 0.298160825109
confidential, sicker: 0.568778746349
noble, top: -0.176541107597
preferential, promising: 1.20511809676
keen, wholesome: 0.92205326707
countless, proficient: -0.190564303906
still, tiresome: 0.579061477997
back, fake: 0.796797069951
healthy, unwise: 0.719763125115
information, irritable: 0.498219992475
elongated, homesick: 0.677855889261
enforceable, goal: 0.735794764185
fall, missy: 1.3359635113
confident, planned: 0.992248128223
pitch-black, stranger: 0.0
inclusive, unprofessional: 0.809870810727
evening, him: 0.527038486597
laddie, profitability: 0.518214667082
minimum, u.s.: 0.0
useless, utilized: 1.52568260886
everything, iate: 0.0
imperfect, wary: 2.01025844964
killed, whatever: -0.123321330961
dressed, medium-sized: 0.0
commensurate, mysterious: -0.114360369974
1st, suddenly: 0.38521086456
etc, probable: 0.264294699804
participants, spotless: -0.201439264264
gender-neutral, mutual: 0.0
self-sufficient, unequal: 0.0
benign, certain: 1.26148978066
short-lived, substandard: 0.0
clearly, distinguished: 0.387843988811
excluded, sour: 0.380328959909
executable, tedious: 1.9047431119
biased, informal: 0.61315612631
burdensome, unscathed: 0.033891840769
graceful, long-lasting: 0.0
modernizing, unnatural: 0.29413741841
exclusive, hurting: -0.592365498485
priceless, uh-huh: 0.0
applicable, hinky: 0.516867509077
good-looking, unlocked: 0.0
overpriced, unpopular: 2.10739044528
accurate, co-ordinated: 0.0
addictive, level: 0.645733530839
east, rising: 0.803755217381
certified, standing: 0.450516654874
another, truth: 0.411483995778
discriminatory, luck: 0.398673169717
fbl, specifically: 0.0
novel, sappy: 2.25085338648
state-funded, troubled: 0.0
capable, mean: 1.56439026807
purty, sacrilegious: 2.21580806895
looking, unhappy: 1.48908351279
compatible, facilitated: 1.03971356315
horny, thicker: 1.56638513621
irritated, perpetual: 0.783989643099
fuller, wealthier: 2.45483757292
annually, flexibly: 0.764628145081
functioning, null: 1.64160880931
fascinated, warranted: 0.470036693215
optimal, recent: -0.173593778497
anywhere, useful: 0.446853163474
enthusiastic, offensive: 0.441154637174
content, non-compliant: 0.0
bitter, different: 1.0762847444
petrified, properly: 0.835668138275
broke, scandalous: 0.65210328547
crucial, launching: 0.373448719561
latest, onerous: 0.030001547871
added, killed: 0.324926551782
acknowledged, imperceptible: 1.24739743166
longer-term, these: 0.0
smarty, surer: 0.806329370216
cowardly, insulting: 3.80872318047
all-encompassing, dynamic: 0.0
polished, true: 0.982485390702
enthusiastic, in-progress: 0.0
obligatory, robust: 0.541524116373
disproportionate, juvenile: 1.34043705102
start, vulnerable: 0.295407065864
meager, poverty-stricken: 0.0
adopted, static: 0.170037078852
giddy, spoilt: 0.0
restored, wealthiest: 0.54485528893
called, implacable: 0.635673415276
impatient, proportionate: 0.504104905445
added, get: 0.859228672283
friendly, well-formed: 0.0
another, fbl: 0.0
her, willing: 0.217690292916
decided, second: 0.647976967457
limber, sultry: 2.93459047855
sentimental, straightforward: 2.20215833164
brainless, unlikely: 1.19215762852
geographical, historical: 2.98990114892
outgoing, outnumbered: 0.543130306633
anymore, archaic: 1.66020078832
micro, worthy: 0.868792324756
exempt, yellow: 0.106833567077
co-operation, generalized: 0.0
drier, practicable: 1.40854456883
annoyed, stuffed: 0.755570193203
blind, off-the-record: 0.0
basic, comprehend: 1.84445412081
all-inclusive, radiant: 0.0
all-out, recently: 0.0
ail, conservative: -0.155224738193
galore, ravenous: 1.58677921185
abundant, minus: 0.167532850307
afresh, determinant: 0.287698870599
defensible, goodto: 0.0
jolly, mad: 2.26808137064
catastrophic, unfathomable: 2.63828949374
soon, unremarkable: 0.343875634657
evident, undesirable: 0.981743806249
hiv-positive, louder: 0.0
accurate, documented: 1.50248224424
damaging, softer: 1.11343592776
immediately, lawful: 1.179769056
fuzzy, long-range: 0.0
extant, organised: 0.0
minus, trivial: 0.554806476225
unforeseen, usually: 0.936941743672
represented, zero: -0.031024895121
abused, affluent: 0.640252530032
before, choosy: 0.67503639472
heterosexual, moving: 0.23959062723
organic, timelier: 0.602735779965
overworked, patent: 0.972538773044
primary, saved: -0.064003329339
cranky, transient: 1.35989294916
inaccurate, unaltered: 1.28092450913
comin, shocked: 0.342416959485
chaotic, no: 0.298496293838
defective, subsidized: 1.55795247114
perplexed, worthless: 1.63550512191
prerequisite, remarkable: 1.14588656837
accurate, brain-dead: 0.0
aggrieved, foxy: 0.791880765616
hiv, overjoyed: -0.238840349067
scheduled, sharp: 0.309039015385
proceed, surreal: 0.307010971083
optimum, tom: 0.441071304393
acute, alive: 0.002319531662
independent, southeast: 1.03607927821
kosher, social: 0.631678104356
premature, third: 0.50684363709
foutu, well-controlled: 0
determinant, useable: 1.18881832971
distracted, strange: 1.23193625683
anxious, deliberate: 0.817551774528
consideration, socio-economically: 0.0
born, fearful: 0.918361573926
favoured, unprofitable: 0.0
eager, extra: 0.75424650904
vice-chair, yet: 0.0
large, public: 0.662790175689
amazing, false: 0.169354915993
dishonest, recognised: 0.0
discernible, representative: 0.650204365443
faithful, obstinate: 2.07736992068
compared, straight: 0.879926561859
but, comforting: 0.722307437188
homicidal, steeper: 0.294915744593
non-exhaustive, usually: 0.0
liquid, peculiar: 0.797520620344
changing, smallest: 0.970635959939
detrimental, tenable: 3.08460790214
parched, well-represented: 0.0
enhancement, worrisome: 0.321222941508
naked, significant: 0.389934944351
addictive, environment: 0.705058469588
lukewarm, possible: 0.544356899705
generated, stunning: 0.282044615183
launched, transient: -0.525536613713
implemented, sinful: -0.30422470843
locked, theoretical: 0.625352957174
killed, similar: 0.276056788802
explained, worse: 0.315620938632
foreverything, macabre: 0.0
free-of-charge, lowest: 0.0
geographical, smaller: 1.40800730092
enhanced, periodic: 1.09345161302
growin, organized: 0.671158294475
incomprehensible, subtler: 1.51340733844
extra, incapable: 0.359376591045
alternative, louder: 0.603443464109
authorised, net: 0.0
considerably, silly: 0.293030788711
actionable, feisty: -0.406789527393
already, preposterous: 0.623506062092
early, hardworking: 0.00999057
dying, neighbours: 0.0
nuts, troubled: 0.150397123908
formerly, two-pronged: 0.0
distribution, thinner: 0.589582853923
scarlett, subtler: 0.309912412493
debatable, middle: 0.301527967388
isolated, prevalent: 2.42603433839
squat, underfunded: -0.336290660394
chloe, wacko: 1.74357831596
realisable, remote: 0.0
curious, sealed: 0.697604675612
aesthetic, affected: -0.255318168523
skilled, smartest: 3.18966269176
bare, honorable: 0.428166097725
bereft, ill-founded: 0.0
isolated, smug: 1.24203927884
proportional, well-managed: 0.0
clever, perfect: 2.15077627857
cuter, tasteful: 2.51483778977
circumspect, exaggerated: 2.42634804611
eventually, everywhere: 0.942081255081
destabilizing, eastern: 1.42181621601
crass, meticulous: 1.11888664444
cleverer, reduced: 1.02200642218
poisonous, special: 0.753275727228
terse, tiring: 1.1023603026
fuckin, honourable: 0.0
added, blind: 0.239864555675
ourselves, unsteady: 0.58133716128
attractive, hardto: 0.527927757799
called, opposed: 1.34252358091
common, west: 0.163227505572
compassionate, requests: 0.93833427515
bitter, displacement: 0.703527579537
optional, unattainable: 1.95471323047
first, well-represented: 0.0
acclaimed, strongly: -0.124789745474
compulsory, dark: 0.171014084986
lengthy, proficient: -0.109629323186
outstanding, sappy: 0.443406158218
healthier, left: 0.63838986866
held, pray: 0.669651653038
additionally, crazy: -0.167035255385
ghastly, multi-ethnic: 0.0
flicka, generally: 0.0
abreast, strained: 0.090781142153
ghastly, underpaid: 0.275135441015
sole, wet: 0.420290180058
fifteen, long: 1.05486437213
overdue, various: -0.047596042387
bygones, scary: 0.300073068253
added, handled: 1.21189448301
bleak, freezing: 1.50342037282
advantageous, ideal: 3.96112139105
destitute, salute: -0.110996207283
elongated, mad: 0.48811949456
enough, scant: 2.05300314985
marginal, unnerving: 0.926770054127
motivated, overt: 1.5259308149
appreciated, hard: 1.09425140938
second, well-received: 0.0
authorised, ruthless: 0.0
coordinated, handed: -0.05136721182
essentially, inexhaustible: 1.02402485646
clueless, fierce: 0.644618674448
empty, upright: 2.37790927502
horseshit, us: 1.18994887175
continued, fussy: -0.281325949819
despicable, proportional: 0.741020900713
fucking, inescapable: 1.88813386649
luckier, rock-solid: 0.0
enormous, reckless: 1.02894665285
best, frozen: 0.534443569829
something, sure: 1.67553533679
commonplace, violent: 1.69415888406
indecent, obscure: 1.07237791184
dummy, spectacular: 0.71169492952
elegant, tall: 2.80087688117
above, easiest: 0.267325231417
brand-new, yesterday: 0.0
hypersensitive, muted: 2.7778524484
disconcerting, smug: 2.53195773051
favourable, understood: 0.0
accuracy, naive: 0.039610606751
sore, stupid-looking: 0.0
wealthy, wonderful: 0.980063843606
challenging, well-treated: 0.0
nutty, repeating: 0.812486413295
educational, untrue: 0.40990987311
debated, whatever: 0.470605813024
illustrative, sufficiently: 0.557055786374
anywhere, drastic: 0.57251019617
anxious, skilful: 1.27309471715
inadequate, technically: 0.769451225655
intrusive, populated: 1.3781515313
decisive, defective: 0.289281508624
unseen, vis-: 0.0
compensatory, heinous: 0.741029981662
italian, skilful: 1.64873872955
concerted, interlinked: 1.80916695822
dumber, predictability: 1.00605674384
lame, willing: 0.684548666357
double, readable: 0.124237668582
understanding, well-maintained: 0.0
evident, last-minute: 0.0
all, silent: 0.713439612339
demonstrated, overridden: 2.18820721011
key, pro-choice: 0.0
latest, preceding: 1.32069652479
homesick, lucrative: 1.42989060059
classic, prime: 1.55004119368
abhorrent, sufficient: 0.487420226067
rising, sonny: 0.257838667553
dummy, natural: 0.046140905834
aesthetic, subdued: 0.893003191848
immersive, intricate: 2.777506887
anticipated, relieved: 1.19240420366
inter-linked, loose: 0.0
fascinated, unrestricted: 0.533932591353
hip, worrying: 0.570688747302
foolproof, terrified: 0.911690511105
prevalent, same: 0.885350043838
assured, broader-based: 0.0
specifically, urgent: 1.1734086717
unprepared, worth: 0.481509581545
everyone, thicker: 0.280564022058
elegant, granted: 0.018144964667
reinforcing, serious: 0.650476506365
first-class, losin: 0.0
cheesy, undetermined: -0.068780883571
unreal, voluntary: 0.460925635603
small-time, snug: 0.0
droll, lamentable: 2.14485687283
ill-treated, monthly: 0.0
elusive, non-existent: 0.0
exceptional, riveting: 1.52251568765
boy, sublime: 0.434293851952
such, typically: 1.34746948158
blatant, considered: 0.45107505202
cleaner, consulted: -0.359966704252
wish, worthwhile: 1.81114286711
drier, maximal: 1.11228913177
liable, material: 1.66447596506
found, self-aware: 0.0
repeated, stiff: 1.52467461779
classic, minimal: 0.336436914502
co-funded, tall: 0.0
loverly, stopped: -0.182766921425
differently, reciprocal: 1.28473665613
formidable, intricate: 1.75675721641
dissimilar, pushy: 1.07531298082
reachable, screwed: 1.07084077236
distributed, modified: 1.57090971398
acceding, smart: -0.65357845654
alarmed, heavy-handed: 0.0
fit, remarkable: 0.175870396061
intensive, privileged: 1.15906669705
anyway, impracticable: 1.59188583298
co-operation, implementable: 0.0
self-explanatory, truly: 0.0
amiss, hardto: 0.008704886046
nervous, therefore: 0.169490803664
evident, lye: -0.308753961783
excellent, scalable: 1.45695467779
progress, younger: 0.199950948015
happened, tougher: 0.556304135649
industrialized, timelier: 0.8026857812
costlier, reasonably: 0.395054852246
appropriate, gaunt: 0.095030434971
overburdened, seen: 0.436484638073
beautiful, unconvincing: 0.675069842901
mimi, plenty: 0.048832310072
heavy, humane: -0.194063761944
leading, reciprocal: 0.412110465287
milder, them: 0.419705925159
innovative, mainstream: 1.43443228814
fucked, horny: 4.93584345957
hungry, short: 0.670612268901
flawless, warmest: 0.972173591797
discriminate, magic: -0.597047690531
greater, mimi: -0.273046461365
easier, exceptionally: 0.607071547813
blind, uneconomic: 1.21042593453
blameless, brilliant: 1.5719148344
ever, other: 0.468332599891
reprehensible, simplistic: 2.79772387268
elevated, seropositive: 1.41617572373
accustomed, intertwined: 2.0260342494
lesser, there: 0.908705452668
concrete, intermediate: 0.906637580931
simplistic, truthful: 2.83981687805
black-hearted, galore: 0.0
emotive, hey: -0.007617074574
icy, usually: 0.266128412762
issued, unhurt: 0.684655047162
annoying, average: 0.642805125794
inactive, six-year: 0.0
alternative, co-operate: 0.0
lucrative, reaily: 0.0
hurry, numerous: -0.02757598249
sincerely, youth: 0.974607653496
abolished, flame-retardant: 0.0
entertaining, funny: 4.23272070795
conscious, organized: 0.885148748435
okay, then: 1.528031037
reassuring, tighter: 1.06176568262
aggressive, need-to-know: 0.0
gonna, long-winded: 0.0
analogous, consolidated: 0.825813064053
decided, exhilarating: 0.194206138939
death-proof, unambiguous: 0.0
home, premature: 0.138355268045
cruellest, upright: 0.833368575682
eventually, minuscule: 0.801353499812
flashing, medical: 0.088712238931
surprising, west: 0.370723832007
horrid, persuasive: 0.706012067415
emaciated, vulgar: 2.03088857449
ongoing, wretched: 0.24006347022
exceptionally, incredible: 2.25248220172
estimated, transnational: 0.684542990295
sleeping, vis-: 0.0
contemptible, drier: 0.092493113211
calculated, nobler: 0.237365235578
cabbage, continuous: -0.492782970759
annulled, coming: 0.240340746981
commendable, simillar: 0.209541466284
competitive, intensive: 2.01899825255
functional, independent: 1.43496319486
warmest, worrisome: 1.2658048707
alien, increased: 0.29373500493
breathe, improvement: 1.17869742604
axiomatic, transparent: 2.2888088784
frigid, independent: 0.138242703942
through, undeniable: 0.380737272901
thus, trendy: 0.271551639581
15-year-old, meaningful: 0.0
dumber, obsessed: 3.34702298815
monumental, touching: 0.904264385365
hearty, rubbish: 0.024523538596
girlie, victorious: 1.24917764896
all-powerful, injured: 0.0
authoritative, co-ownership: 0.0
shitty, welcomed: -0.957656984298
directly, unwelcome: 0.741567910774
cracked, five: 0.676760364319
constructive, medium: 0.980004702667
indigent, trusted: 0.629564496035
bad-looking, improper: 0.0
likable, nearly: 0.231320783479
disturbed, improvement: 0.490528349493
limited, restful: 0.121160880098
educational, periodic: 0.817028883258
staggering, tiny: 1.55693426815
cumbersome, worrisome: 1.66366811409
agreeable, directly: 0.350559442371
her, off-putting: 0.0
informal, righteousness: -0.540584156629
preliminary, warm: 0.613661292426
thirteen, unattractive: 0.045590024016
redundant, registered: 0.289835270196
ill, south-east: 0.0
flush, korea: 0.234320226753
identify, micro: 0.696113929207
simillar, well-maintained: 0.0
massive, non-partisan: 0.0
baby-sitting, helpless: 0.0
muted, striking: 1.65192472105
long-standing, pathetic: 0.0
overemotional, sacrosanct: 1.16264626671
fifty, professionally: 0.771197948087
mad, served: -0.254363937544
fair, inadequate: 1.21688090847
heartening, reimbursable: 0.148742501652
inconceivable, industrialised: 0.0
asinine, regrettable: 3.24380607874
