disparate, finally: 0.386896262475
conservative, pitch-dark: 0.0
lackluster, nearest: -0.142882890719
explicit, helpless: 0.603701176121
fat, seriously: 0.49838030405
regardless, socio-economically: 0.0
pale, refrigerated: 0.062265964201
dorky, insignificant: 1.70487392063
innovative, too: -0.002983253671
heart-warming, theoretical: 0.0
breathtaking, self-supporting: 0.0
dismissed, illegal: 0.803097879289
displeased, huge: 0.685123680232
felt, opposite: 0.431197137841
indiscriminate, tabled: 0.386026326691
polite, readable: 3.02704931099
upbeat, why: -0.124434438675
going, short-sighted: 0.0
pleasant, smart: 1.33160655528
irate, optimal: 0.130582571116
as, wanted: 0.592116203677
incomplete, pushy: 0.676837898829
freer, loud: 0.977127895976
furthest, unbearable: 0.77255718401
mainstream, prevalent: 2.47365692489
raison, smitten: 0.901249737931
looking, so: 0.750736711576
generally, simplest: 1.29002686625
silly, sudden: 0.656793584163
revised, spotless: -0.057346265643
double, elegant: 0.604921201732
devastating, understood: 0.77472120302
previous, unchangeable: 0.600444493951
automatic, desired: 1.76252351928
fabulous, planning: 0.603811192764
complimentary, rank: 0.799029771797
created, lonesome: -0.02938128213
limp, regretful: 1.49439535778
better-quality, squeamish: 0.0
performed, third: 0.200404126413
faster, mixed: 0.918531038796
girlie, moderately: 1.24125235606
active, similarly: -0.393123227768
lesser, predictable: 1.19219611125
former, legal: 0.617330658248
conscious, scarce: 1.4476958168
identifiable, slender: 0.781003634673
conceivable, western: 0.467072321419
forever, treated: 0.047140338488
formerly, perilous: -0.139092863578
-good, upper: 0.0
southwestern, unethical: 0.136092753361
diminished, lenient: 1.13488064683
nearly, steep: 1.04320792472
constituted, identifiable: 1.65184490716
breathe, punchy: 0.632201159055
incomplete, similar: 0.695376910973
careless, following: 0.493266194221
actual, ridiculus: 0.893551069779
significant, sufficient: 2.38776974719
everybody, terrified: 1.15056811952
periodic, wetter: 0.709809804414
broadest, fruitful: 1.03522104154
environment, uniform: 0.714622881818
amiss, unconditional: 0.369664256005
respectable, unchanged: 1.9202218187
easy, re-routed: 0.0
evil, professional: -0.012773044894
clarify, stoned: -0.277763862093
aligned, candid: 0.775882279307
equivalent, progress: -0.02843485912
lightweight, warned: 0.310386971413
cost-efficient, deep-rooted: 0
assured, well-tolerated: 0.0
inadvisable, sensible: 2.82735648383
below, terrifying: 0.834945039607
precisely, tepid: 0.277823973695
juicy, redeemable: 1.08529776745
chubby, uncompetitive: 0.900700122331
smug, utilized: -0.129316239091
afraid, iittle: 0.0
obstinate, undisputed: 1.05616356516
ethical, supportive: 0.967188216316
handsome, negligent: 0.455446705248
formed, uncomfortable: 0.131387005677
capable, iil: 0.0
charged, effectiveness: 0.128174923449
gracious, pro-poor: 0.0
pitch-black, unaffected: 0.0
comercial, ready: 0.404888884577
bright, importantly: 1.16996459524
constantly, total: 0.098144727904
disputable, present: 1.13170742726
disrespect, pathetic: 3.43338312793
it, satisfied: 0.538201714409
slight, treaty: 0.560735196229
cultural, legally: 0.522343187922
appreciated, canceled: 0.36705882936
lunatic, respectable: 1.44695402379
blurred, harmonised: 0.0
fella, roisin: 0.0
afraid, typically: 1.24282265029
counterproductive, perpetual: 1.21614155628
impatient, ineffectual: 2.95347958108
necessary, nut: 0.689147791614
equally, sultry: 0.590102382195
correct, hardest: 1.1826463684
blended, comfortable: 1.2857779493
deductible, defenseless: 0.099377279971
mandatory, sixth: 0.883719343072
disputable, overheated: 0.746898202279
apologise, economic: 0.0
cowardly, such: 0.672114604412
administered, underpaid: 1.451870754
arranged, commercial: 0.405192196368
following, swifter: 0.721007459171
off-the-record, thin: 0.0
essential, yourself: 1.35983710372
obsolete, vice-president: 0.0
delay, unlimited: 0.249350763644
acquired, per: 0.528979221234
unequal, varied: 2.11982984723
rapid, vulgar: 0.187379288725
bolder, enhancement: 0.764992648692
continual, fertile: 0.697148602381
defective, thinner: 1.88178358145
doomed, fucked: 1.95393088799
inefficient, simplifying: 2.69740419555
freely, such: 0.602488976932
case, fbl: 0.0
adamant, underfunded: 0.753670938599
clarified, democratic: 0.543952840502
respect, weighted: 0.553358852315
shocked, successful: 0.271854911693
doing, next: 0.614430119879
-just, attentive: 0.0
appropriate, worded: 1.35389224818
adamant, through: -0.109649700653
insupportable, unsanitary: 2.66900858003
virtually, widely: 1.19581181953
launching, well-defined: 0.0
devastating, odd: 0.975968349764
best-known, proprietary: 0.0
re-established, unimaginable: 0.0
far, occupational: -0.020996334078
iegitimate, patient: 0.0
degrading, weirder: 1.73977969224
distressing, typical: 1.38654236998
inaccurate, overt: 0.83164283564
guys, tabling: 0.093519013467
circumneutral, mum: 0.0
liable, represented: 1.5179442629
effective, off: 0.375169013595
cracked, planned: -0.054697520503
confident, recognised: 0.0
divergent, reprehensible: 1.28775125218
legal, valid: 1.96849703483
germane, unharmed: -0.106694967612
disappeared, linked: 1.74340290379
brilliant, injurious: 0.544878798641
breathe, rare: 0.243166105265
concentrated, frank: 0.937863005932
flavorful, simplest: 2.3430611466
ensuring, increased: 0.885218788946
farther, painful: 0.934345483536
franco, north: 0.499542461935
reliable, sophisticated: 2.74503260462
ravishing, virtually: 0.860080452114
brillant, unrelated: -0.314740797778
attentive, unnecessary: 0.66045697426
anxious, so-called: 0.0
incredible, offensive: 1.26917577111
scary, sentient: 2.09335262109
absolute, on: 0.312862408032
applicable, readyto: 0.147070697868
counter-productive, richest: 0.0
needed, stupid: 0.769778264723
smallest, weii: 0.0
frustrating, generated: 0.19494992172
free-of-charge, subsidized: 0.0
self-sufficiency, uneconomic: 0.0
simpler, th-that: 0.0
unethical, wack: 2.24169005673
main, well-reputed: 0.0
indispensible, rich: 1.08920083693
pending, unachievable: 0.508157458465
prolonged, rad: -0.710538254494
griet, lit: 0.0
sedentary, under-funded: 0.0
readable, shaking: 0.68420409316
obvious, ravenous: 0.968103254955
horseshit, hurtful: 2.15482799522
deliberately, understandable: 1.55123930561
butthead, commenced: -0.359112475891
extirpated, unlawful: 1.83354993879
academic, popular: 0.041051025529
conscious, inaccurate: 0.035385296985
advantaged, slightly: 0.830138674389
bothersome, bullshit: 1.49135997679
deprived, flexibility: -0.04526001439
cold, loose: 1.37823283282
next, utopian: -0.034303924314
meaner, straight: 1.09820765136
central, increasing: 0.582491672974
cynical, profitable: 1.39468552498
indecent, productive: 0.157721962484
innocent, zero: 0.8761423076
listed, universal: 0.129378119681
defunct, galore: 0.445578743282
louder, surprised: 1.2757370448
reliable, well-treated: 0.0
global, irritated: -0.335627104678
conflicting, well-organized: 0.0
erected, ludicrous: 0.114116821797
complicated, franco: -0.180172807425
best-known, vibrant: 0.0
viable, weary: 0.403046190931
co-funding, snotty: 0.0
delay, elected: -0.048205434166
chaotic, shorty: 0.114821060708
determinant, one-sidedly: 0.0
patent, saying: 0.017147626815
heterogeneous, widest: 1.72219120455
typically, widening: 0.138718416861
instead, self-sustaining: 0.0
captain, newest: 0.229279315145
defeated, herein: 0.352210072492
costlier, impractical: 3.58524086439
darn, displacement: -0.138766975136
inconsequential, unprepared: 1.84667309259
grisly, usual: 1.32698850017
direct, requests: 0.866937383087
disturbing, multifocal: 0.908497675345
indecent, intrusive: 3.11916815374
long-lasting, unfriendly: 0.0
funnier, inflexible: 0.0156866474
dismal, simillar: 0.48797429934
really, unfounded: 0.454179201219
american, used: 0.527715713047
impoverished, jam-packed: 0.0
miserable, tabled: 0.330063853654
discrete, suspicious: 1.38300966227
long, mum: 0.680537821154
first-hand, happening: 0.0
foutu, thought-provoking: 0
midget, steep: -0.165381832041
anything, objective: 0.667049042455
change, damaging: 0.887955600553
brisk, committed: 0.008671841448
progress, squat: -0.063439159546
asleep, improbable: 0.223834607525
firmer, logical: 0.964601276465
impoverished, well-protected: 0.0
on-going, smokin: 0.0
others, rooted: 0.332589072092
precisely, socio-economically: 0.0
grown, personalized: 1.04751134963
explained, fuckin: 0.867631063132
daily, perplexing: 0.165519126184
early, full: 0.856891104803
flawless, unusual: 0.830377160166
iucky, vis-: 0
endearing, rife: 1.06127238477
humid, trendy: 1.55605955058
ignored, international: 0.521308407427
adamant, undeniable: 2.0547174463
discriminate, realisable: 0.0
profane, unfit: 1.9347911008
grouchy, occupied: 1.10469057792
abolished, forthcoming: 0.617640179745
peripheral, proprietary: 1.06668780405
illusory, unsustainable: 3.61831942448
economically, implementable: 2.79707668897
efficient, morbid: -0.0292059489
best, multi-threaded: 0.0
going, uptown: 0.620796099708
germane, nothingg: 0.0
provided, urgently: 0.417630806999
acknowledged, regrettable: 2.42071833566
nationwide, thankful: 0.008358995466
heights, n'tunderstand: 0.0
bummed, shut: 2.37551053753
dressed, euphoric: 0.350079496279
innocent, loco: 0.16727699923
ago, treaty: 0.275524919299
nifty, pro-choice: 0.0
nouveau, sexy: 1.98188164161
interdependent, loaded: 0.620446574099
unbecoming, unlocked: 0.623716396213
aforementioned, going: 0.116368554716
drunk, regular: 0.327904304884
pivotal, singular: 1.6259833056
deplorable, equal: 0.754465402955
laughable, negative: 1.17295265247
come, immediately: 0.603467567161
evil, initially: 0.206441389262
separate, unstable: 0.607737932342
depressing, n'tunderstand: 0.0
come, distracted: 0.175772246881
astounded, than: -0.081219708336
compassionate, undisputed: 0.263461318159
cross, feasible: 0.478120368739
vice-chair, vulnerable: 0.0
deadly, regularly: 0.615610960099
goodto, ungrounded: 0.0
beautifui, poorer: 0.0
ingrained, readyto: 0.488718888375
internationaux, snug: 0.140957968049
furious, secondly: 0.438179001206
described, smarter: -0.523495593066
bastard, handed: 0.614361242234
cognizant, principal: 0.827191592091
all-powerful, marty: 0.0
broad, regulated: 0.932026154158
cheesy, reduced: 0.324579122003
challenged, valued: 0.627713352706
gone, moron: 0.695742015296
opposed, overemotional: 0.578683160326
defensible, illogical: 3.57257088174
reaching, recent: 0.134775732957
advisable, do-able: 0.0
sombre, underdeveloped: 0.314581969136
mental, state-of-the-art: 0.0
coast, perplexing: 0.276901527104
dire, unrealistic: 2.41086033484
creation, maintained: 0.143290905331
flicka, loyal: 0.0
imperative, task-oriented: 0.0
contemporary, henry: -0.123962247225
stale, still: 1.05783537244
adverse, toasted: 0.580630413713
unable, undisputable: 0.679602908472
enough, immediate: 0.924206865417
juicy, lit: 0.721416707587
cleared, level: 0.638611335305
action-oriented, previously: 0.0
corrupt, scalable: 0.866662761153
incongruous, shifty: 0.916652526958
prettier, structured: 0.228431487442
although, evey: -0.053297488871
better-iooking, well-educated: 0
average, disgraceful: 0.839094067831
elementary, find: 0.26121705655
broad-based, creative: 0.0
respect, wicked: 0.405480706384
continuous, used: 0.346556039097
born, usual: -0.332036618755
masterful, operational: -0.187144252507
roll, shit: 1.49083242762
advanced, annulled: 0.336333754885
headstrong, named: 1.60443845292
satisfying, systemic: 0.275890696011
bravest, medium-sized: 0.0
bad, euphoric: 1.36131781003
dainty, sentient: 2.0811564416
damaging, unfriendly: 2.43977844104
predominant, steadfast: 2.20616911389
interrelated, strengthening: 1.53805178741
conscientious, newest: 0.584803357591
irrational, max: 0.497676147041
autonomous, rising: 0.1288367066
helpful, nauseous: 1.40895758529
arming, unconventional: 0.792156760105
competitive, well-balanced: 0.0
comfortable, relatively: 1.42410816639
first-rate, observed: 0.0
above-board, related: 0.0
dormant, picky: 0.493514414206
administered, confidentiality: 1.09392450283
dead, hurting: 1.48840250237
brillant, underway: 0.315846944513
stipulated, undetermined: 1.83985518924
long-lasting, saying: 0.0
called, frightening: 0.634202744608
indisputable, over: 0.420825662065
effective, viable: 2.85724989926
culturally, thoroughly: 1.97670992351
careful, eager: 1.59306113504
mainly, moderately: 1.17006393081
devastating, incapable: 1.17696658051
obese, surprised: 0.813412428638
fatter, stellar: 1.53615299626
analogous, displeased: 1.58390046242
annoying, minute: 1.22274797774
thirsty, well-informed: 0.0
crafted, odd: 0.535927929718
loveable, non-exhaustive: 0.0
adjusted, determinative: 1.64074956336
peripheral, speaking: 0.28830117129
else, refreshing: 1.09995474306
damp, ignored: 0.498883975454
ecstatic, utopian: 1.41640698965
migratory, unaffected: 0.964598347016
lacking, well-represented: 0.0
induced, weak: 1.25854211095
environment, mutual: 0.618061348911
asian, generic: 1.11082255814
obvious, undignified: 1.83287040399
dandy, withdrawn: 0.329276695001
applied, paranoid: 0.226654981047
live, rarest: 0.790050129551
fifty, inestimable: 1.50994695101
recommended, rescinded: 2.29721486487
new, straight: 0.29078623323
cheery, hence: 0.169345794501
lastly, repelling: 0.012718098063
but, south: 0.32231801443
filthy, see-through: 0.0
masterful, topnotch: 2.90099690441
asinine, centralized: 0.914260423664
noteworthy, shot: 0.139455526145
gentle, upright: 3.03563054211
felt, oldest: 0.172584587948
readable, sedentary: 2.01226306475
alive, nervous: 0.987493000789
forever, suitable: 0.221478535649
maintained, moving: 0.719335173251
carefully, liked: 1.52096096023
note, thankyou: 1.74229825774
importantly, sorry: 1.57539262122
elegant, terse: 1.731150023
global, incredible: 1.22270494034
imperfect, neutral: 1.32418599843
engagement, okey-dokey: 0.0
idiots, internationaux: 0.416982585595
direct, gentle: 0.920976542312
briefly, in-depth: 0.0
costly, desperate: 1.69153373592
anyway, convenient: 0.936512548688
ineligible, slim: 0.478299795632
original, stupid-looking: 0.0
dope, larger: 0.138918140832
phenomenal, sponsored: 0.170991608416
co-funded, widespread: 0.0
administered, listed: 1.18749969617
immutable, treble: 0.014492627139
collective, delightful: 0.527100365777
round, wide: 0.747836336981
crass, enduring: 0.979031964985
contained, cruellest: -0.709313887524
illiterate, ineffectual: 3.14472382137
aforementioned, undetermined: 0.817902584122
'sgoing, re-appointed: 0
awake, bygones: 0.891729566457
awestruck, single-ranked: 0.0
excellent, oversensitive: -0.200265578495
shorter, statewide: 0.54765423626
above-mentioned, untapped: 0.0
absent, multi-ethnic: 0.0
delineated, wanted: 0.04748736802
indecent, unlucky: 1.9499262391
likely, right-: 0.0
eventually, two-thirds: 0.0
state-of-the-art, these: 0.0
disconcerting, greener: 0.752373587377
finite, slight: 0.34695512534
mieux, nice-looking: 0.0
hurtin, sponsored: -0.119555312944
attention, uniform: 0.50198596895
life-threatening, payable: 0.0
brutal, six-year: 0.0
neutral, young: -0.250116267534
rooted, violated: 0.999390117842
unlocked, weird: 1.19522272142
rock, surreal: 1.46501387159
overwrought, properly: 0.649558369128
despicable, petite: 0.149022619204
honest, normal: 1.17984060809
1st, skinny: 0.376837429627
hopeful, unjustifiable: -0.068602554113
associated, delineated: 1.37247793435
defenceless, wreckable: 0
improbable, welcomed: 0.209152705362
grievous, shot: 0.107844194283
elevated, self-contained: 0.0
coordinated, wished: 0.162484884435
honorable, orderable: -0.707917549667
built-in, heterogeneous: 0.0
lucid, well-organized: 0.0
parallel, resilient: -0.130461380179
unaffordable, well-designed: 0.0
indigent, snappy: 0.479323903694
assertive, picky: 3.45556237761
comfortable, factored: 1.38376986588
improper, reprehensible: 3.76398107043
possible, sugary: 0.532758966031
importantly, rapidly: 0.953773666142
abrasive, well-represented: 0.0
death-proof, high-quality: 0
available, telling: 0.416081971407
macabre, practicable: 0.791169458992
beastly, legit: 1.54482215856
in-depth, outrageous: 0.0
comprende, strained: 0.131963005242
dopey, unpleasant: 1.9559994139
aforementioned, perverse: 1.23876072692
dotty, mandatory: -0.204913714954
associated, exceptionally: 0.630967838939
callous, few: 0.246241687126
thereto, unfriendly: 1.86740943374
patentable, rooted: 1.96214536604
listed, political: 0.043616288468
donkey, supra: -1.41874045409
compulsory, well-organised: 0.0
luke, mainly: 0.459565729166
momentous, unlucky: 1.37749673207
then, ungrounded: 0.124662742221
!, pleasing: 0.0
lesser, naked: 0.490618891902
clarified, fixated: 0.625313375751
facilitated, upbeat: 0.107253269516
around, hooked: 0.424239232556
fifth, gross: 0.872714456781
deceased, public: 0.573470778104
dispersal, untraceable: 1.82488593444
by-election, displaced: 0.0
prosperous, sober: 2.52735048462
captain, trashed: 0.156139318931
funky, underfunded: 0.631741956047
presentable, rank: 0.146335101989
bitter, subject: 0.832669473112
transitory, twisted: 0.496838585572
traffic, well-paid: 0.0
beter, unused: -0.275253547642
affirmative, troubling: 1.34488192024
cost-shared, non-discriminatory: 0
-sorry, resolved: 0.0
flattering, substantive: 1.74912228707
actively, rooted: 0.207968988632
jump, somewhat: 0.460763479216
jack, usual: 0.577073138522
attractive, segregated: 1.53377056471
delirious, heartfelt: 2.69367045176
acceptable, flashing: 0.61853959737
cranky, foreseeable: -0.081378346197
amazing, repayable: 1.00101201555
hostile, onerous: 2.27827864933
accurate, brilliant: 1.20616771172
above-mentioned, ecstatic: 0.0
3rd, delirious: 0.062260355063
ice-cold, sacred: 0.0
1st, uncomfortable: -0.253139661803
favorable, outgoing: 0.846502969716
palpable, unused: 0.505329406995
infamous, traded: 0.540630774823
courageous, upset: 1.24693555241
recognising, unoccupied: 0.0
crude, personally: 0.140037287033
eerie, there: 0.947478317738
cheesy, constructive: 0.67914972655
loverly, profitability: 0.28466065683
baseless, off: 0.664979845301
ambiguous, smokin: 0.49443203971
affirmative, effortless: 1.20155841754
enhancing, larger: 1.25569948111
based, next: 0.307662855484
provision, wait: -0.387115572685
south, telling: 0.398905527117
french, self-executing: 0.0
married, trippy: 0.529686663108
courrier, hence: 0.87723950543
herein, moderately: 0.783115797504
big, brave: 1.26711980539
although, innovative: -0.444509397089
likable, proportional: 0.144706991853
-just, thrilling: 0.0
slightly, weirder: 2.18898559595
contemplated, crafty: 0.402696735163
knackered, painless: 1.87302754856
blinded, firm: -0.026804803283
original, unattractive: 0.681901742616
co-chair, economic: 0.0
periodic, tailored: 1.06778825642
donkey, first-hand: 0.0
fierce, non: 0.166265236226
folks, horrendous: 0.685036114645
expedient, well-done: 0.0
freest, mainly: 0.28253242799
docile, new: 0.340100283607
formed, necessary: 0.373611245318
greatest, inconsistent: 0.248134814835
demanding, inexhaustible: 0.839404138987
miniscule, to: 0.0
idiotic, tough: 1.0992021189
statutory, unusual: 0.806729547292
evil, persistent: 0.875938305447
fearful, reaily: 0.0
entertaining, incalculable: 0.932020463404
durable, forever: 0.722999198789
compliant, milder: 0.808725641524
corresponding, dry: 0.06998162485
settled, wholesome: 0.683731758465
sadder, troubled: 1.22064798051
faulty, sooner: 1.43001954894
second, shifty: 0.511328651545
accelerating, disgusting: 0.055474435181
breathtaking, grand: 2.47358431181
demanding, ridonc: 0.0
adaptive, pro: 0.051684216388
ferociously, with: 0.66122357457
outside, precious: 0.353811968063
salient, sustainable: 0.714195909149
cheapest, nouveau: 1.12800671521
further, lofty: 0.410339571283
carsick, steep: 1.82880404816
callous, requests: -0.173273667219
affected, installed: 0.951625088115
lasting, unavailable: -0.108703667446
kinky, mentioned: 0.122977593093
essential, undecided: 0.248609427452
lonely, seminal: 0.952079425185
bureaucratic, leveraged: 0.762325014339
lower, strengthening: 1.85622081121
however, under-inclusive: 0.0
repealed, vice-president: 0.0
concise, open: 0.438346001919
timid, voluntary: 1.18577306072
awake, obscure: 0.789304790382
public, sturdy: 0.268057245898
inconvenient, thicker: 1.56623655404
bored, further: 0.036903671088
fearful, practicable: 0.140747650444
viable, work: 0.851971982831
awol, superficial: 1.03666760496
magic, sizeable: 1.0584300438
berserk, inefficient: 1.22130639192
immaculate, publicly: 0.440834194735
nigh, sudden: 1.27419065007
solidarity, startling: 0.125866595624
excessive, quoted: 0.732258861164
everything, vested: 0.093758736124
absolute, last: 0.641568192152
griet, solid: 0.0
-mentioned, korea: 0.0
repeated, visibility: 0.019214279683
inviolable, performed: 0.391715613478
appalling, nauseous: 1.55817035213
anticipated, tolerable: 1.11422187307
accountability, migratory: 0.542140147305
analogous, lame: 1.86153181086
dim, housebroken: 1.22610915017
existing, silent: 0.10382558091
everybody, pro-choice: 0.0
frankenstein, freedom: 0.717618849469
migratory, obstinate: 1.35013315725
afflicted, efficient: -0.12523912208
lofty, unprotected: -0.07079144155
heterosexual, simplifying: 0.213777067405
merciless, unsolved: 0.276506967988
bold, untapped: 0.972744223165
15-year-old, italian: 0.0
existing, locked: 0.202018495659
axiomatic, fresh: 0.241537765314
anyway, physically: 1.36128254593
generalized, unbiased: 1.72017476186
defenceless, unwise: 0.0
above, naive: 0.11230430825
hinky, unanimously: -0.540490591122
evey, madness: 1.40547068833
bad, free-standing: 0.0
absent-minded, grateful: 0.0
genuinely, unjustified: 1.03458678294
jack, targeted: -0.377150110969
overworked, uptight: 3.84417306349
determining, loose: 0.290773670235
emotional, exciting: 2.00275136002
fair, manageable: 1.49921517778
potential, realizing: 1.23171321201
brightest, persistent: 0.364282469968
conflicting, deposited: 0.546375015819
idiots, well-paid: 0.0
cost-effectively, shallow: 0.0
periodic, snappy: 1.06665771769
cracked, sorry: 0.861646320007
bereft, formidable: 1.69861548915
accustomed, oriental: 0.845859401297
benign, brainless: 2.25705767108
careless, successfully: -0.357659993042
close, small-time: 0.0
exhilarating, private: 0.013347040791
obliged, smoother: 0.540971290551
ecstatic, urgent: 0.280091112099
probable, technological: 0.208189017498
older, suddenly: 0.793079324992
established, gone: 0.946753941439
conducive, vice-president: 0.0
hence, thorny: 0.185699599369
concise, longitude: 1.97372970886
co-ordinated, treaty: 0.0
scant, searchable: 0.641155699154
frail, legendary: 0.683140554756
idiot, unable: 0.639665231996
awaken, embedded: 0.62070601438
realisable, work: 0.0
adverse, hopeless: 0.864815190498
formed, ignored: 0.757706769051
iittle, zero: 0.0
loaded, syrupy: 1.29383625182
faultless, hypersensitive: 0.467287084254
empty, snappy: 1.06583048999
laddie, unsound: 0.676321103035
co-operate, staggering: 0.0
late, petite: 0.111838182186
concerted, distant: 0.131402747819
honorable, monstrous: 0.88470911159
plain, sleeping: 0.438996542589
one-sidedly, shipshape: 0.0
marked, stronger: 0.112634895848
estimated, leveraged: 0.504296775148
expedited, utilized: 1.28258293923
actively, miscellaneous: 0.292062409853
fools, leave: 0.882113342749
egregious, sparse: 0.557326362478
customary, wealthier: 0.883184495815
beloved, infected: 0.89678616685
flashing, silly: 1.45584758917
imprecise, nauseous: 3.19603455793
cited, striking: 1.62461341484
wait, whatever: 1.97893644164
intimidating, tom: 0.357776017911
fiercer, hour: 0.663143397612
but, old-timer: 0.0
delusional, italian: -0.078997202122
antiquated, enhancing: 0.347807664759
credible, sentimental: 1.11678135465
inescapable, inhumane: 2.33072696935
indefensible, tepid: 0.786495038041
enjoyable, offensive: 0.591750084693
okay, stated: 0.545168628456
hardto, lifelong: 0.254578014334
pursuant, wanted: 0.04060731154
hardto, thanks: -0.018614416353
surely, unfathomable: 1.75673237152
productive, unaware: -0.011215956165
currently, permitted: 1.13336127524
momentous, unpredictable: 1.94212534421
exorbitant, tailor-made: 0.0
sincere, stern: 2.33338982578
appreciated, loose: -0.377644614726
inviolable, virtually: 1.7117290112
disgusting, self-financing: 0.0
duty-bound, inexpensive: 0.0
blow, comprehend: 0.725877733439
comercial, vivid: -0.160841918685
astute, predictable: 1.90842765874
profitability, ripe: 0.38949137951
available, overridden: 1.26934763447
pristine, wild: 2.10305346277
internationaux, senior: 0.218348914055
hip, today: 0.075487219579
alternative, enlightening: 0.922305651921
giddy, joyful: 3.8691500506
degraded, winning: -0.055079120913
eastern, legality: 0.403904566713
kid, time-sensitive: 0.0
bureaucratic, flavorful: 1.20091486448
depressed, significant: 0.66857182804
costeffective, hypersensitive: 0.590922961766
lengthy, well-respected: 0.0
monthly, proactive: 0.657498946025
co-operative, loverly: 0.0
anomalous, sized: 1.28231485475
self-supporting, specifically: 0.0
comercial, distant: 0.028116102758
indispensible, sadder: 0.526883073348
agreement, frigid: 0.133883020356
state-run, tailor-made: 0
all-out, flicka: 0
shiny, underdeveloped: 0.999493797515
flattered, misused: 1.40191705689
odd, upbeat: 1.497439042
prestigious, supplemental: -0.049343828461
five, focussed: 0.274176377786
lacking, medium: 0.339927524885
exquisite, numerous: 0.564029436156
faster, nasty: 0.740087214927
central, key: 2.10500387643
clinically, crude: 0.944994495664
co-funded, flourishing: 0.0
modified, urgently: 0.086756562821
grave, total: 0.173029330399
allright, usual: 0.880199051999
absolutely, flaccid: 0.598475907218
formal, unscathed: 0.612337328721
belle, house-trained: 0.0
criminal, mutual: 1.29904908553
overweight, promptly: 0.227705180877
rather, simplified: 0.998465293544
mandatory, uninsured: 0.724224242535
facilitated, positively: 0.518293057755
acceded, professionally: 0.021291763763
big, on-going: 0.0
armored, unequal: 0.337430826352
concerted, unfavourable: 0.0
collective, nigh: 1.2573007163
capable, comprehensible: 1.23927035957
connected, rarest: -0.067581950332
north, safer: 1.18155749992
really, refrigerated: 0.460984700562
careful, succinct: 2.64180501565
cabbage, live: 0.201037660379
iil, latter: 0.0
inalienable, right-handed: 0.0
afterwards, infuriating: 0.826719099587
erroneous, indicative: 1.47602831427
standardized, steady: 1.10575125534
alone, suck: 0.805049722606
chosen, understand: 0.900935266399
horny, way: 0.210525797638
authorized, unequal: 0.075598902518
cherry, smartest: 1.32075324152
proceed, stout: -0.507272857997
remarried, trippy: 0.174710443757
easy, limited: 1.24353555426
easiest, stale: 0.937197459375
individualized, soft: 0.627452661933
conservative, prejudicial: 1.05869940015
brittle, unwarranted: 0.222725344425
responsibility, user-friendly: 0.0
compulsory, muted: 0.986140944799
discrete, him: -0.132862545602
compatible, exaggerated: 0.528256832988
appointed, voluntary: 0.618832807109
brutal, longterm: 0.464884624084
anti-constitutional, treasured: 0.0
cinematography, hateful: 0.754526134975
explosive, pure: 0.966328820105
negative, simple: 0.376219530881
careful, intended: 0.813375641134
collective, comin: 0.824452819994
normally, professional: 0.378575938887
appreciable, ironic: 0.824112358816
preferential, western: 0.406076214201
chaotic, home: 0.559851750999
cleverer, perilous: 1.39582052544
charged, impenetrable: 0.404364335203
l, surer: 0.469810198933
gay, retrievable: 0.231846243815
discriminatory, extensible: 2.06189579608
losin, magic: 0.405231657885
sparse, wonderful: 0.845649442332
exclusive, patent: 2.21985796432
co-funding, use: 0.0
close, strained: 1.32483280096
alarming, sketchy: 1.7270457173
cancelled, illusory: 0.0
forgotten, two-fold: 0.0
distant, starved: 0.737235808399
long-winded, precarious: 0.0
active, enlightening: 1.19655414356
refusal, sure: 0.452307149339
fragmented, inconsiderable: 0.582626600364
adorable, disoriented: 1.34390636809
indispensible, kinda: 0.132815823177
crummy, imperceptible: 0.819788957268
acknowledged, unaware: 2.84237746974
danger, regrettable: 1.49777411588
adaptive, forceful: 1.45286118884
revised, transitory: 1.25946427485
lifelong, two-thirds: 0.0
happiest, worried: 1.76906454748
inconsiderable, maximal: 2.80651072613
appointed, nineteen: 0.687482854341
necessary, understanding: 1.00556298285
former, left: 0.860223655181
safeguarded, tailor-made: 0.0
carmela, multi-ethnic: 0
fluid, leading: 1.1945463402
certainly, installed: 0.165520857369
secured, wild: -0.158797844681
degrading, granted: -0.068314560569
butthead, operative: 0.817124156407
roll, well-targeted: 0.0
comprehensible, incredible: 0.31246047771
single-ranked, spotless: 0.0
dark, unnecessary: 0.675538127039
corrigendum, heartbroken: 0.125368372229
house-trained, left: 0.0
legitimate, roisin: 0.0
obligatory, safer: -0.089952584018
happen, kosher: 0.723930977172
explained, impaired: 0.018355314182
complicit, indian: 0.919993380559
courteous, reaily: 0.0
furthermore, intended: 0.731351607604
probable, ridonc: 0.0
dominant, potential: 0.687218590273
but, intelligent: 0.53673934521
complementary, richer: 1.24368402969
3rd, crass: -0.241401224518
installed, wait: 0.547176060931
delineated, unabated: 0.722854799117
15-year-old, science-based: 0
running, sweeter: -0.274052998895
forceful, immature: 1.26239050784
plain, recommended: 0.196934891552
fairest, helpless: 0.092145815695
enlarged, listed: 1.038904577
dependable, overheated: 0.14537786632
desired, too: 0.846478257156
intelligible, soaring: 0.123747606059
fatter, nominal: 0.372405941904
excessive, routine: 0.895153010493
again, impulsive: 0.274540164692
roisin, well-represented: 0
decided, registered: 0.626159871839
geographically, lacking: 0.470995393178
acceding, calculated: 0.404536101815
