filthy, pitch-dark: 0.0
co-funding, strengthening: 0.0
abolitionist, well-targeted: 0.0
expandable, incapable: 0.626340679826
feeble, psyched: 0.42994659102
drunken, proficient: 0.765427519328
bloodied, functional: 0.140490191627
centralized, ignorant: 0.978130818538
insane, insulted: 1.9561719588
interminable, sexy: 0.488303087246
missing, uniform: 0.721575861168
fatal, terrified: 1.3967125343
impractical, optimum: 1.39620492646
anyway, brief: 0.419860094381
confrontational, vested: 1.5862818928
lye, presented: -1.02330849201
imperfect, rebatable: 0.0
challenging, utilized: 0.525739866734
compliant, southeastern: -0.36315700081
non, subsidized: 1.28430907629
illustrative, naturally: 0.155526443555
amazed, biggest: 0.613219380275
proven, vulgar: 0.125996090704
monstrous, reaching: 0.303677140337
nobler, protected: 0.33651814476
monumental, strengthening: 0.161040023232
undesirable, wanted: 0.688094961683
especiaily, realisable: 0
clinically, determinative: 1.45686264629
incongruous, short: 0.489641911497
determinative, security: -0.520876808287
flammable, well: 0.457673417891
childish, implemented: 0.150179546726
determinant, upper: 0.682414112651
repeating, sore: -0.090827816999
careful, these: 1.37395804369
10, phat: 0.0
authentic, emaciated: 0.866083638949
debate, newborn: 0.566154467038
female, frequent: 0.976931944448
imrtant, long: 0.0
brighter, commendable: 1.1051713794
anomalous, constrained: 2.09436753278
groovy, well-defined: 0.0
brutal, fertile: 1.60301214191
doomed, unreasonable: 1.28548796754
praiseworthy, reconcilable: 1.79928305581
rarely, unitary: 0.865693708649
as, noteworthy: 0.380436535822
builshit, hilarious: 0.0
apparent, intact: 0.883248720985
northeastern, premature: 0.214908196476
finite, predictability: 1.98035706966
simple, talented: 0.770607771409
crude, debatable: 0.687927837332
refundable, stimulating: 1.82817300317
likely, miscellaneous: 0.35756924368
adverse, ecstatic: 0.887151400186
exhausting, peripheral: 0.388184458519
expressed, ok: -0.379808300813
flavorful, fourteen: -0.143983975608
facilitated, silent: 0.449918876312
neutral, unimpressive: 1.30803773968
economical, racked: 0.047316661079
incomplete, thrilling: 0.08185454804
precarious, silly: 1.01204960267
closest, intentionally: 0.076342220727
breathe, inequitable: -0.044540459385
egotistical, recognising: 0.0
anymore, reciprocal: 0.323568102862
aware, injured: 0.930298346303
additionally, fourteen: 0.61801421435
determinable, vivid: 1.20802147087
punchy, wait: 0.401822024598
appealing, panicked: 1.25451851215
declared, forthcoming: 0.421086603693
described, safe: -0.153622682948
baseless, good-looking: 0.0
resistant, telling: -0.001905012614
cuter, novel: 0.319400074259
chickenshit, infamous: 1.41287318237
evey, roll: 0.54099735368
illiterate, infected: 3.31376925031
asking, prudent: 1.30917909892
cheap, disturbed: 0.187091932371
sicker, well-educated: 0.0
flourishing, non-competitive: 0.0
heard, popular: 0.637326098318
crazed, non-discriminatory: 0.0
hereto, surer: -0.495041059727
european, good-iooking: 0.0
builshit, imported: 0.0
again, spicy: 0.212336854924
changed, motivated: 0.468442189728
positive, sonny: -0.361349766035
modern, subsequent: 0.466432009036
broadest, remarkable: 1.40679989283
inadvisable, lower: 0.605737065286
messy, re-appointed: 0.0
girl, relatively: 0.424417501375
arduous, fuckin: 0.030985681557
flawless, promising: 1.35201516889
imprecise, unreasonable: 2.6444174023
interdisciplinary, notably: 0.036079025866
globalization, predominant: 1.73324621985
antiquated, wish: 0.105508666992
efficacy, slower: -0.380547556837
herein, self-financing: 0.0
environment, horseshit: 0.228553459577
held, hysterical: -0.060083532457
grisly, kind: 0.644444870327
carmela, competent: 0.0
blatant, gonna: 1.29321579386
agreeable, pluralistic: 2.4782797448
ageing, self-conscious: 0
om-mazing, sensational: 0.0
horny, usable: 1.40565809428
patent, vice-chairman: 0.0
clearly, impaired: 0.567337700222
abysmal, payable: 0.850032217061
pissed, ripe: 1.39524220836
liberated, pushy: 1.20866592777
announced, low: -0.017171673775
exposed, strengthened: 1.19155878448
marginalized, subsequent: 0.022142683921
irritated, opening: 0.243859663071
left, matched: 0.709301666524
docile, idle: 1.97564098016
transitional, unstable: 1.70529084294
franco, truly: 0.119080508731
creepy, southeastern: 0.225773628264
lesser, perverse: 1.70644143633
identical, timid: 0.349985483852
lamentable, last-minute: 0.0
firmer, soon: 0.984781324293
armed, wide-ranging: 0.0
anxious, determining: 0.465834581496
afflicted, untenable: 1.04315503461
icy, mental: 1.44489590902
extensive, quicker: 0.70500115319
environment-friendly, jack: 0.0
minimal, provisional: 0.349891194501
afflicted, dumb: 1.03554865329
in-depth, muscovite: 0.0
dope, per: 0.288647488309
these, vague: 0.861416611198
dearer, frigid: -0.348669686926
childish, peculiar: 2.67804863031
nearest, scary: 0.198703135091
faster, sinful: 0.073306475481
limp, newer: 0.186707805161
annoyed, tragic: 0.616174968733
awful, enormously: 1.67209239105
contemplated, northeastern: -0.066953463506
buoyant, equipped: 0.39923760247
prudent, self-contained: 0.0
mechanical, right: 0.390419084181
exempt, ghastly: -0.077993100627
counter-productive, old-fashioned: 0
partially, secretive: 0.212286314222
sacred, uptown: 0.61193901421
mainly, negligible: 1.53506915254
confidential, provisional: 1.65295946479
liberal, twofold: 0.370461257317
ill-equipped, routine: 0.0
better-looking, see-through: 0
positively, underage: 0.862560760359
moving, sincere: -0.03904420307
all-powerful, freer: 0.0
multifocal, trustworthy: -0.010431941117
say, undeveloped: 0.422423685074
relentless, temporarily: 0.259691994412
darn, interdisciplinary: -0.421714663658
inactive, tom: -0.07261985233
all, well-organised: 0.0
needy, reachable: 0.348044506801
corny, purer: 2.09670985196
stupide, well-positioned: 0
essentially, relative: 1.04063618462
industrialised, prodigious: 0.0
overwhelmed, terse: 0.875239188004
displaced, testy: -0.047674122451
death-proof, previously: 0.0
lucky, remarried: 1.88431534397
prepared, stepped-up: 0.0
indisputable, onboard: 0.806552360807
abreast, well-established: 0.0
awake, brilliant: 0.961819560767
lacking, still: 1.20352816815
addition, mistreated: -0.103728335388
liberated, psychological: 1.3827754424
happy, straightaway: 1.45425417783
all-round, lawful: 0.0
cost-efficient, given: 0.0
largest, short-sighted: 0.0
innocuous, light: 1.09604330917
non-toxic, paid: 0.0
better-iooking, irresponsible: 0.0
enthusiastic, spent: 0.657853180948
average, dying: 1.05636210162
expensive, time: 0.660355138595
dressed, well-targeted: 0.0
adorable, impulsive: 2.91693281855
extraordinary, kinda: -0.090827746563
them, treaty: 0.780075873246
stimulating, tangible: 1.32659157945
focussed, salient: 1.74916147006
sublime, unattainable: 2.14311550687
simple, up: 0.994267163807
consultation, historic: -0.011488503631
permitted, superior: 0.627244888757
improbable, reasonably: 0.659322079761
rusty, valuable: 1.55938198755
equally, invariable: 1.3515013588
improved, well-educated: 0.0
homosexual, thrilled: 0.547120106143
generalized, instrumental: -0.046437576627
dim, similarly: 1.04256797487
enlightening, fried: 0.857261850699
happening, specified: 0.030829176138
apposite, educated: 1.45032912219
inter-connected, unqualified: 0.0
illustrative, remediated: 0.76248694066
dying, intimate: 0.79913316048
problem, stale: 1.00458751369
categorical, enabled: 0.154011667573
homicidal, past: 0.03014298433
unproblematic, weii: 0.0
economical, immediate: 1.07780875819
actual, formidable: 0.551303372296
fake, thin: 0.961383225124
explosive, subtle: 1.21985897238
messy, wreckable: 0.0
annoying, co-: 0.0
forgiving, well-off: 0.0
accountability, harmless: -0.324863641308
all-embracing, sincere: 0.0
minor, overloaded: 0.552271495458
self-employed, self-governing: 0
hereby, uncompetitive: 0.134595879685
gaunt, stimulating: -0.021824256363
simpler, tangible: 1.76363629135
demand-driven, irrational: 0.0
hereto, powerless: -0.161047945821
touching, unidentified: 0.763502435096
blind, question: 0.540920150506
nessessary, some: 0.0
sound, worth: 0.627604317772
moron, win: 0.935251733329
freedom, splitting: -0.334713060655
impoverished, pitiful: 2.07081285792
interrelated, odd: 1.32574839757
compensatory, hlv-positive: 0.0
encompassing, lifelong: 0.694508103136
tell, two-thirds: 0.0
demand-driven, understand: 0.0
korea, purer: -0.052412024303
abysmal, usual: 0.839393885214
open-ended, soon: 0.0
deliberately, refusal: 1.10300956605
dormant, inexhaustible: 2.31464106252
serene, uppermost: 1.70113208728
built, darling: 0.151636961575
foreverything, well-controlled: 0
complicated, thankful: 0.880324952711
foutu, try: 0.0
breadth, lucrative: 0.112022380986
pluralistic, vain: 0.52336152399
checked, vested: 0.234200688685
holier, interesting: 1.58753250644
mere, valid: 1.76815315931
sparse, upset: 0.347854456448
lively, perfectly: 1.68165919544
conducive, try: 0.551651659688
inside, therefore: 0.262710888092
heartbroken, industrialised: 0.0
energy-efficient, honourable: 0
combative, importantly: 0.651182991421
consultation, direct: 1.12546696894
consideration, thank: 1.14326334908
large, re-routed: 0.0
strong, unsavory: 1.09433131136
grotesque, together: -0.031071884551
lit, warned: 0.084989853933
opening, simillar: 0.029277898382
easy, flashing: 0.667275997021
customized, impermissible: -0.092532128218
frustrating, uncontroversial: 1.1670369909
administered, greener: -0.900542697429
defensible, shoot: 0.185277880366
deader, enhancement: -0.373886180812
predominantly, sinful: 0.799901345941
politically, superficial: 1.58921914129
fabulous, heartfelt: 1.68208978235
anymore, cheaper: 1.8962690732
historical, sell: 0.503230516006
painful, sale: 0.260340393472
-sorry, well-trained: 0
heinous, lucid: 1.21290737437
autonomous, so-called: 0.0
academic, circumspect: 0.469995415648
african, stumpy: 1.3499556378
flawless, underage: 0.977209015276
pervasive, unidentified: 0.146117005737
predictable, religious: 0.513046545991
geographic, useful: 0.979743932586
crazy, palpable: 0.939012064064
calm, reason: 0.594478975625
fun, furthermore: -0.02887152307
detailed, inside: 0.465556447935
hideous, succeed: -0.456143356323
creation, divided: 1.0024077313
blurred, one-sided: 0.0
saved, sombre: 0.088293361504
correct, skint: 1.31277605027
humiliated, presented: 0.649295622748
bigger, informative: 0.213948996982
pointless, wholesome: 0.971523226797
amusing, former: 0.390401768964
judicious, sunny: 0.440382448571
luminous, task-oriented: 0.0
opposed, shameful: 1.26079212068
formidable, trendy: 0.636095201443
cleaner, sexy: 1.37822148842
exemplary, multi-threaded: 0.0
slightly, thereto: 0.22024555149
equivalent, murderous: 0.231018320736
anything, revealing: 0.419214526975
all-round, shared: 0.0
life-threatening, rising: 0.0
panicked, unrelated: 0.729396337129
quickly, twofold: 0.754040832807
generous, valuable: 1.70640167396
joyful, simplifying: 0.786953530524
girl, quickly: -0.008154841594
irresponsible, yes: 1.07425401059
foolish, freezing: 0.925452622494
off-site, separate: 0.0
surrounded, timely: -0.563168250742
adjacent, rusty: 0.260803561683
improvement, n'tunderstand: 0.0
freer, sadly: 0.085733032699
dearer, gentle: 0.589658930668
hopeless, slight: 0.591366045977
nineteen, transnational: 0.892001165351
get, mechanical: 0.159871852266
foxy, most: -0.083567843817
deplorable, legit: 0.819024416982
pleasant, released: 0.182248895795
adjacent, volatile: 0.372468996691
fifty, stuffed: 0.413980044931
cited, unequivocal: 1.26105541684
deliberate, justified: 2.00467619363
minor, vice-chairman: 0.0
frigid, noble: 0.802631131879
-lnteresting, timelier: 0.0
anomalous, principally: 1.13345326636
merely, next: 0.420983309111
feeble, glad: 0.137032220023
pricey, underpaid: 1.57650675449
darling, motivated: -0.492573874204
bad, cruel: 2.74246017163
cruel, thought-provoking: 0.0
complements, satisfactory: 0.775589235242
burdensome, dormant: 0.3357357506
handy, insupportable: 0.379701523091
bloodied, unthinkable: 1.02921884274
non-compensatory, unharmed: 0.0
brutal, defective: -0.379166699095
no, temporary: 0.960157181331
internationaux, jack: 0.236077815874
attainable, comprende: 0.000633734353
empowered, rigid: 1.31370708742
counterfeit, squat: -0.63546150373
small-time, straight: 0.0
deplorable, inappropriate: 3.82995806357
defunct, least: 0.311670060447
concerned, sentimental: 1.50230254804
non-specific, scarce: 0.0
dominant, him: 0.333883576245
dramatic, fucked-up: 0.0
nineteen, squeamish: 0.058730395284
re-appointed, thrilled: 0.0
dandy, unique: 0.573879205606
glorious, high-cost: 0.0
blended, irritable: 0.203334712107
comprehensive, seldom: -0.011961961507
rock-solid, you: 0.0
dependent, tremendous: 0.922477026148
religious, yes: 0.444958936239
checked, far-ranging: 0.0
abusive, blinded: 0.947616138189
bogus, no: 0.945380280186
ageing, rude: 0.0
inconsiderable, stupider: 0.545055183698
sinister, together: 0.25125878227
going, thin: 0.696123233145
agreement, provided: 1.09242408899
structured, unaware: 0.548134415473
compensatory, firmer: 0.354817272131
briiliant, okey: 0.0
nathan, prepared: -0.326166310246
christian, magic: 0.685012661524
enforceable, zesty: 0.481105414956
devastating, even: 0.32330589881
deceptive, historical: 0.441911867416
exposed, leveraged: 1.68043860763
hairy, thoroughly: 0.27712207499
germane, lit: 0.164700369301
far, humane: 0.893604273165
planned, upright: -0.712318193397
classical, fancy: 1.89828988424
improving, stupid: 0.3690778289
cardinal, shipshape: -0.024738953689
emaciated, pilot-tested: 0.0
economical, smooth: 1.95800325589
joyful, usual: 1.30875822927
manifest, tedious: 1.0624262273
newsworthy, sleepy: 2.04331500093
get, idle: 0.153411128482
inalienable, wasted: 0.630504513778
preliminary, specifically: 0.430516346593
exemplary, well: 1.42902044495
respectful, unambiguous: 2.22945201881
fresh, uniform: 0.457710011254
distraught, lengthier: 0.185984273804
pathway, regardless: 0.481251997405
carmela, quieter: 0.0
confused, meticulous: 0.557211920003
cinematography, unimportant: 1.75321432807
generic, organised: 0.0
smallest, well-maintained: 0.0
optimum, socio-economically: 0.0
less-favoured, traumatic: 0.0
improving, middle: 0.495385243032
gentle, irritating: 1.63648892521
altered, whar: 0.0
good-looking, involved: 0.0
nude, preferential: -0.226620484659
serene, unified: 1.31794803187
ever, lackluster: 0.009579580252
ambiguous, unconventional: 1.92171778674
freaky, living: 0.869719163025
franco, ionely: 0.0
manageable, reasonnable: 0.0
dodgy, refined: 0.832081877217
hope, petite: -0.405532566463
iilegal, undesirable: 0.0
away, them: 1.47509967222
antsy, nationwide: 0.476158938226
reasonably, whilst: 1.43305412569
requested, unfortunately: 0.24323815964
apparent, worthless: 0.642609522244
priced, shameful: -0.119816747983
rapid, stable: 1.76378926751
unappy, woolly: 0.0
achievable, goofy: 0.489088727923
self-supporting, yet: 0.0
fall, info: 0.608735222894
acknowledged, unthinkable: 1.2322000737
-lncredible, psycho: 0.0
free-standing, temporarily: 0.0
blessed, broke: 0.513202191922
calm, tense: 4.41450385425
definite, tense: 0.706254490395
dormant, nasty: 1.02368351233
accomplished, sustained: 0.911454321322
mindful, opportune: 1.66357829674
industrialised, slippery: 0.0
proven, sore: 0.279560651673
evening, vulnerable: -0.310817598707
deep-rooted, unsustainable: 0.0
blow, formerly: 0.351920556867
crude, do: 0.318203427987
classic, perfect: 2.18541663237
delightful, immeasurable: 1.36288343073
full, thankyou: 0.236206548613
convinced, diligent: 1.68942001336
multicultural, overambitious: 1.0862621876
disposal, state-funded: 0.0
co-operative, operated: 0.0
derisory, insensitive: 4.25162305535
fascinated, no: 0.528833770454
adopted, particular: 0.327225437576
divergent, innocent: 0.780016706964
bothersome, indisputable: 1.22513316094
articulated, dorky: 0.686317965499
absurd, overdue: 1.35855769775
careless, two-fold: 0.0
heartening, paramount: 1.75865474375
clarified, vice-chairman: 0.0
audacious, over-the-air: 0.0
circumspect, judicious: 4.40746263789
contrary, valuable: 0.234765562083
see-through, trusted: 0.0
acquainted, foremost: 1.8380650891
quickest, smarty: 0.474029570655
advantaged, bull: 0.180487224988
mistreated, pro: 0.594635984276
long-standing, timelier: 0.0
minimal, needy: 0.016628382706
definitive, eventually: 0.724456890196
convincing, neutral: 0.859775501434
sobering, wretched: 2.67627976563
longitude, unendurable: 1.46820790202
bleak, goal: 0.442747205637
defeated, perilous: 0.94390639666
belle, several: -0.164662567031
longer, tentative: 0.450028994719
alone, impractical: 1.26977155363
committed, discernible: -0.016502966318
-me, referenced: 0.0
brainless, witty: 3.156315811
daily, disclosed: 0.693808027986
lovelier, vicious: 0.516001435904
mainly, true: 0.554295869774
awestruck, former: 0.735451291943
difficult, surprising: 1.984644654
unwell, wack: 0.850492144624
determined, ourselves: 0.940940087174
continuous, this: 0.475008713796
swifter, unable: 0.570798574824
all-inclusive, loud: 0.0
muted, toast: 1.41978573178
voluntary, well-tolerated: 0.0
divine, self-sufficiency: 0.0
horrifying, sacrilegious: 2.26702033782
substantial, viewable: 1.02177357226
cool, use: 0.611543413972
understand, written: 0.886081513603
major, rooted: 0.463603610576
asian, categorical: 0.343756691266
delighted, equivalent: -0.148548426662
bulletproof, multi-layered: 0.0
drawn-out, usually: 0.0
-surprised, conducive: 0.0
despicable, needless: 1.80519260199
qualified, unfriendly: 1.01718495516
crushed, demeaning: -0.365535411907
by, generated: 0.368038330657
negligeable, noisy: 0.0
cold-rolled, emblematic: 0.0
east, flush: 0.029860983974
apace, unscathed: 2.20936313394
more, unwell: 0.236243746749
masterful, unaltered: 0.517394652663
searchable, speaking: 1.26833547251
sultry, terrified: 1.64979049744
conventional, well-tolerated: 0.0
cleanest, malicious: -0.020345320517
multiple, wasted: 0.174994922756
'sgoing, upstanding: 0.0
admiral, through: -0.232681981136
bastard, sudden: 0.995473780982
arranged, properly: 0.69948219218
related, systemic: 1.10556570189
accelerating, female: -0.207195998385
risky, untraceable: 1.90907436448
lacking, participants: 0.250436702982
choosy, jurisdictional: -0.555624314372
derisory, peaceful: 0.18150190554
shoot, trashed: 0.813619252265
ruthless, traffic: -0.466026614532
above, comprende: 0.484883748629
completed, history: 0.850796492276
far-ranging, pitiable: 0.0
open-minded, rigid: 0.0
endemic, mid-: 0.0
incalculable, net: 0.353208398784
deep, usually: 0.824873233645
counterproductive, transparent: 2.47333758654
nauseous, seductive: 1.63317438968
elevated, heterosexual: 0.28531587583
loaded, miniscule: 0.597688977515
distraught, others: 0.42539119994
economically, etc: 0.317994098071
adjusted, rude: 0.183139424752
moody, reaily: 0.0
discriminate, franco: 0.938471380396
self-executing, shit: 0.0
even, telling: 0.86835572331
harsh, welcoming: 1.39666633736
precious, shielded: 0.996296608727
integral, steeper: 0.268853950494
achievable, huge: 0.281303662676
compensatory, hysterical: 0.698921525941
emblematic, legally: 0.084721732739
calming, honest: 0.939537471094
experienced, up: -0.088479100487
principale, progress: -0.223652358403
homicidal, spaced: 1.70580588463
innocuous, irritable: 1.84418303288
personalized, unavailable: 0.676418851084
politically, squeamish: 1.51404651213
dramatic, treacherous: 1.60023484288
circumspect, slim: 1.74917065076
discernable, increasingly: 0.014945993411
precarious, stillborn: 1.35009132281
hearty, spooky: 1.20671703033
ashamed, displacement: 0.353571242635
assertive, eastern: 0.420170339626
long-term, ma: 0.0
away, okey: 0.20176064412
cancelled, unclear: 0.0
dishonest, neat: 0.555015867184
rough, unproductive: 0.900535200541
emblematic, science-based: 0.0
altered, first-class: 0.0
fast-switched, generalized: 0.0
persistent, rock-hard: 0.0
louder, on: 0.438600722196
living, otherwise: 0.676488629559
cloudy, u.s.: 0.0
bad-looking, terrified: 0.0
further, weak: 0.78282087453
adverse, handicapped: 0.212694876291
carmela, exposed: 0.0
unhurt, violated: 1.422222544
expressed, yesterday: 0.707055989201
brilliant, compensatory: -0.066778266625
advised, optimum: 0.969414330122
fundamental, second: 0.189736096842
obvious, sobering: 2.00289386209
notified, open: 1.077453175
colder, sombre: 1.94423797175
conservative, mistaken: 1.38222560747
disrespectful, extirpated: 1.32317257632
regular, stopped: 1.1244518106
active, goodto: 0.0
sovereign, toast: 1.18876652228
issue, lovelier: -0.008093597887
focused, secondly: 1.06983563006
biggest, neurotic: -0.013600445893
above-mentioned, hazardous: 0.0
intermediate, timelier: 0.017237030357
afraid, alarming: 1.58610457694
fluent, grisly: 0.427399766038
respendable, smitten: 0.0
self-reliant, served: 0.0
absolutely, laughable: 2.22024848737
a, interminable: 0.0
cited, doing: 0.359255644859
marty, needy: 0.217280637494
gratuitous, installed: -0.457513706619
enduring, unique: 1.16332670351
private, robust: 0.679442891584
honoured, warmer: 0.0
glowing, selective: 0.418246125598
anonymous, french: 0.473741689823
heinous, somewhat: 0.061984510812
dearer, gutsy: -0.000438143372
dummy, finer: 0.431629921626
blow, original: 0.016756508426
fast-switched, immersive: 0.0
increasingly, treasured: 0.553426762726
commenced, inadvisable: 1.03694068976
distribution, midget: -0.058076678872
confidential, demand-driven: 0.0
admiral, puny: 0.777700196148
admiral, under-age: 0.0
flicka, knackered: 0.0
early, supreme: -0.099964432616
terrorized, thoughtful: 0.242674933854
hearty, synergistic: 1.2438639512
imperceptible, understandable: 1.91030137139
crucial, negligeable: 0.0
smokin, thirsty: 2.00671347024
apparent, bad: 0.679937435682
disrespectful, graduate: 0.729882378901
best-known, imperceptible: 0.0
marketed, prime: 0.833748101694
painless, unequivocal: 1.4222024847
bi-directional, unknown: 0.0
industrialised, timed: 0.0
acknowledging, miscellaneous: -0.153961531729
interwoven, unnatural: 1.46264026833
accelerating, meaningless: 0.279768432633
realist, wholesome: 1.35815667643
nearby, reasonable: 0.45525405995
cost-effective, so: 0.0
enjoyable, rash: -0.387657943927
myself, secure: 0.230284127533
1st, incapable: -0.135157509231
realist, typical: 1.39081315899
comforting, improbable: 2.02151841528
happiest, selfevident: 0.0
loving, roll: 0.53904027172
helpful, precise: 1.96935909185
freaky, shorter: 0.596796550067
harsh, unwholesome: 1.59106620698
negligible, special: 0.480537458504
humid, irate: 0.722256790242
imported, thirteen: 0.252351875111
identify, unthinkable: -0.072243743413
good, normal: 1.57770725356
french, max: 2.03550992582
fatal, pure: 0.615756035325
elementary, imrtant: 0.0
irreconcilable, starved: 0.735223648938
starker, weakest: 2.55658938445
inefficient, overall: 0.845696620094
especially, galore: 1.02265980622
babe, worthy: 1.1476124479
intriguing, unattractive: 2.43188473647
predominant, tied: 1.23066579251
final, short: 1.28780800689
creation, mysterious: 0.977431406771
comprehensive, continual: 1.41212813665
export, unnerving: 0.073247718294
delusional, gender-neutral: 0.0
him, slight: 0.600388828942
above-mentioned, spotless: 0.0
butthead, picky: 1.48654331684
cordial, perfectly: 1.04507911242
charming, whole: 0.623840442673
determinable, pertinent: 1.98459428627
fucked-up, stellar: 0.0
someday, viable: 2.46255861071
formerly, unconscionable: 0.345345928402
calming, ill-founded: 0.0
clever, precious: 1.43881930611
gigantic, surprising: 1.12611906926
fried, rusted: 2.61764065231
hey, identical: 0.717696610447
confidential, sublime: -0.448171293689
home, reduced: 0.163776175127
inter-linked, snotty: 0.0
above, primary: 0.524235228553
gonna, secure: 0.293345998237
dumber, startled: 1.79064979789
patronizing, stupide: 0.0
chloe, recurring: 0.194570856144
comprende, spotless: 0.099257175877
-surprised, northern: 0.0
sadly, unsavory: 1.36344291025
differing, striking: 1.23082433888
afresh, nonsense: 0.862562918495
oral, positioned: 0.069744122091
feisty, insulted: 1.64667077069
designated, diminished: 0.864448983613
quadruple, truthful: -0.209434378258
splitting, widespread: 0.195305413155
intrusive, unchangeable: 0.653064171262
happen, pale: 0.638769333231
dependent, weakest: 1.56742406679
cleverer, immeasurable: -0.873810008475
okey-dokey, simpler: 0.0
great, gruesome: 0.602465254184
farther, genius: 0.187754370733
estimated, vice-chairman: 0.0
chloe, energetic: 0.22772969238
around, sizeable: 0.81774461892
fourteen, longstanding: -0.007469201429
precarious, resolute: 1.80544316455
nosy, unprecedented: -0.461473855476
near, plentiful: 0.891548527226
accuracy, else: 0.904302963034
impenetrable, serene: 2.64203998214
ludicrous, vocational: 0.256049699618
disparate, exceptionally: 0.289072403925
nutty, submitted: -0.066667550467
ignorant, long: 0.078611246091
gone, simplifying: 0.323477473601
appreciable, unproblematic: 1.86911748727
continuous, endangered: 0.424064286289
her, reprehensible: 0.709177340203
inconclusive, well-suited: 0.0
ignorant, silly: 3.00526654869
discriminate, odious: 2.09271984888
casual, rusted: 0.168015985175
informative, savage: 0.085137029099
combative, handling: 1.31686067852
ensure, straight: 0.385532576871
quadruple, toast: 0.86007866464
unlocked, unwelcome: 1.31160466422
accelerated, favorite: -0.36893354038
fledged, pilot-tested: 0.0
daft, kosher: 0.480007565782
acquired, marketed: 2.79575182741
cabbage, conceivable: 0.167996019711
prompt, sincerely: 1.48318215909
battered, testy: 1.74356533247
anxious, heavier: 0.938384041983
breadth, vegas: -0.394624160955
distasteful, timid: 2.01990961494
pro, technological: -0.208116557196
enhancement, overweight: 0.261877478938
sizable, troubled: 0.811146432612
obligatory, secret: 1.01168195503
expanded, pre-established: 0.0
attainable, launched: 0.48273532438
delayed, trendy: -0.481133283617
discriminate, vicious: 1.48523133534
known, snotty: 0.269078863354
sing, well-respected: 0.0
determined, leave: 0.329458881242
clarify, friendly: 0.16282704834
course, occupied: 0.259835363858
ethical, favorite: -0.153282352544
first-class, overpriced: 0.0
pro-active, ultra-hazardous: 0
eccentric, stupide: 0.0
intrusive, practically: 0.294914530491
hazardous, questionable: 2.30784270455
better-iooking, doin: 0.0
hysterical, year: 0.040014133962
superior, warmer: 0.985391566209
graver, unemployed: 0.675188897015
bolder, headstrong: 1.89650212136
scant, whole: 0.220162405467
all, technology-neutral: 0.0
hip, refundable: -0.457232768802
radical, truthful: 0.764578579957
executory, perfectly: -0.498445995609
abhorrent, comforting: 1.74121679225
breadth, generic: 0.224654686171
through, treaty: -0.079895447241
irrelevant, two-fold: 0.0
changed, self-explanatory: 0.0
cute, defensible: 0.527662603418
longstanding, overjoyed: 0.315958180649
about, conclusive: 0.255434610381
bankrupt, canceled: 1.99595655717
owned, uptown: 0.613581741007
liked, unprejudiced: 0.580728923527
at, integrated: -0.055742200006
right, soaked: 0.46260459166
longer, minimum: 1.52522697496
inexhaustible, stillborn: 0.869306518196
customary, end-to-end: 0.0
mind-boggling, uncontroversial: 0.0
becoming, charmed: 0.499779707363
infeasible, shoot: 0.476714819107
equivalent, somewhere: 1.47826713466
disquieting, unendurable: 2.62349871048
boy, nutty: 0.687998408169
history, powerful: 0.997972590259
breathtaking, malignant: 0.349254803777
higher, okey-dokey: 0.0
needless, tenable: 1.20442128569
ominous, romantic: 1.47718907242
case, unaware: 0.890476556319
briiliant, craze: 0.0
efficacy, vice-chairmen: 0.0
indicated, retrievable: 1.34885843572
found, reliable: 0.584843786842
concluded, innocent: 0.531073620152
cooler, sustainable: 0.827097134157
difficult, multiple: 1.55124467851
quick, ten: 0.432068782584
rehearse, swearing: 1.44293707732
effortless, named: -0.689953461848
ephemeral, long-standing: 0.0
compliant, switching: 0.764589097599
crucial, designated: 0.854547101113
cute, steeper: -0.07641986663
abused, switching: 0.553082275245
informed, useful: 0.88957330113
sleeping, well-protected: 0.0
turbulent, well-structured: 0.0
gender-neutral, invested: 0.0
end-to-end, over-optimistic: 0
iilegal, instructive: 0.0
accordingly, plausible: 0.064990797716
presently, silly: 0.052058372482
hinky, weirder: 3.79513308243
mum, retard: 1.22626288987
nominal, starker: 1.69212715877
armored, economically: 0.77842406788
ah, guilty: 0.433102562609
dumber, payable: -0.098147139527
lookin, variable: 0.195489090612
diverse, easiest: 0.9516118006
sustainable, unmistakable: 0.702811044763
dainty, detailed: 0.840182305137
astounded, durable: -0.995362086229
masterful, non-binding: 0.0
carsick, tailor-made: 0.0
anonymous, technical: 0.559006105049
selfish, technology-neutral: 0.0
funded, reyes-torrena: 0.0
confidentiality, temporary: 0.492349259439
pilot-tested, s-sorry: 0
eco-friendly, polluting: 0.0
abusive, looking: 0.237512866204
comprehensible, tabling: 0.575055454937
disrespectful, leaner: 0.160572506191
jurisdictional, shocking: -0.258089327048
trained, unwelcome: -0.218521383792
colossal, pale: 2.45178708863
mightier, recommendable: 1.29039904415
intended, weirder: 0.089969710222
disadvantaged, slight: 0.292198725956
tricky, unthinkable: 1.64966006396
find, immense: 0.199109605737
marty, well-protected: 0.0
disputable, principal: 0.149325556446
inter-linked, self-serving: 0
repugnant, wonderful: 1.90570325308
promptly, seldom: 1.11648628569
relaxing, unoccupied: 1.36621882
ephemeral, rapidly: 1.03056319186
feisty, uneasy: 1.80003392044
insulting, ironic: 3.32039216557
coordinated, educational: 1.36389990715
