sincere, treacherous: 0.638343530413
humane, inviolable: 2.12898712271
ecstatic, tiresome: 1.34001564673
bitter, intricate: 0.588921944415
courageous, unbiased: 2.11977055343
aggressive, darn: 0.361052934839
contemptible, insignificant: 2.48753924952
negligent, reliable: 1.43151273753
like, nervous: 1.55176088537
longer-term, murderous: 0.0
considered, distracted: 0.624477890936
centralized, frankenstein: 0.482212557309
clever, darn: 2.30222930125
empty, nice-looking: 0.0
influential, statutory: 0.172065938287
back, regular: 0.76123445334
all-out, yummy: 0.0
demand-driven, wholly: 0.0
marginal, subordinate: 0.316263678068
co-funding, undisturbed: 0.0
expressly, unlawful: 3.13621382192
griet, troubled: 0.0
abusive, reinforcing: 0.974506991097
interactive, positive: 0.950555467187
-sorry, jack: 0.0
mindful, strangers: 0.74892368423
blended, meticulous: 1.37646894951
nothingg, switching: 0.0
funny, qualified: 0.691899597349
emotive, unprejudiced: 2.35767314031
influential, large-scale: 0.0
alternate, modern: 1.20543619771
telling, thirteen: 0.262355787861
about, actual: 1.18070912297
fifth, lukewarm: 0.450079827289
bad-ass, politically: 0.0
probable, reported: 1.26483750077
disquieting, systematic: 1.52918084323
frozen, some: 0.768917261649
constituted, l: 0.333578059989
sixth, warned: 0.054479310832
everyone, pristine: 0.798642737822
possible, practically: 0.453870496929
acquainted, confidential: 0.667939180235
negligeable, rising: 0.0
direct, follows: 0.491861264007
concentrated, splendid: 0.30378193383
loverly, negligeable: 0.0
elementary, unfriendly: 0.153427823759
environment, squat: -0.087447817517
amazed, use: 0.46832916768
comprende, comprende: 3.15142818939
entitled, meagre: 0.0
determinant, mandatory: 1.17843224064
expressly, self-executing: 0.0
bottled, suited: 1.18949666537
calming, discriminate: 0.051437163428
gratifying, twisted: 0.297939666051
cowardly, these: 0.785769595114
extraordinary, palpable: 1.59555639854
deceased, delicate: 0.488469886256
flat, idiotic: 0.709843771335
minimum, seductive: 0.066596063636
amusing, distinctive: 1.64741045533
edible, widespread: 0.352455923357
diverse, motherfucker: -0.367933466559
alarmed, needy: 0.45136902858
diverse, gorgeous: 1.32344860282
demented, fifth: 0.185204939143
almighty, greedy: 2.03985690658
non, respectable: 1.09950244847
basic, impaired: 0.739866108701
mostly, pertinent: 0.132300782111
acceding, lasting: 0.50000756943
equivocal, recurring: 0.709764353668
recognised, single-ranked: 0
honored, thankyou: 2.49483156382
question, working: -0.096266638944
intermediate, unspecified: 1.08936114936
elle, palatable: 0.370763744617
docile, filed: 0.092327624945
discriminate, shut: 1.13142600169
emotive, excellent: 0.823934677436
intricate, jack: 1.14495046335
distressed, girl: 1.00894577491
easier, yo: 0.198379575896
deader, grievous: 0.960148265232
cited, launching: -0.007981315926
reprehensible, well-educated: 0.0
considerable, fledged: -0.453813742996
baby-sitting, why: 0.0
cute, neighbours: 0.0
nice, sixteen: 0.417129008681
dull, offensive: 0.549502802143
sacred, unimportant: 2.32187906802
miscellaneous, neighbours: 0.0
heavy-handed, shielded: 0.0
savage, surrounded: -0.004193570489
disoriented, prohibitive: 1.51079914087
mistaken, off-the-record: 0.0
flush, inactive: 1.51508387903
loverly, usually: 0.149981641536
equitable, spent: -0.022603613141
absolutely, there: 1.96005275838
overly-high, well-tolerated: 0
evident, thanks: 0.856304530957
luck, yeah: 1.74942262288
exactly, rash: 0.266036758989
switching, value: 0.486651513483
fake, nonsense: 1.31312278821
all-powerful, smart: 0.0
commended, lighter: 0.220908984944
exquisite, unwell: 0.616739658695
acquired, irritating: 0.223146735309
but, motivated: 0.740535771608
ecological, well-behaved: 0.0
ageing, stupide: 0
defenseless, next: 0.270318414233
uncanny, vis-: 0.0
cultural, intense: 0.673020764164
crystal-clear, user-defined: 0
expressly, fun: 0.221383584685
above, authentic: 0.242791165983
acceding, minimum: 1.09465633938
insignificant, rewarding: 0.998547313569
bone-dry, horrendous: 0.0
delusional, primary: 0.112319945125
distributed, enormously: 0.482537243875
dysfunctional, serious: 1.44375861667
altered, sponsored: 0.329734384049
manifestly, written: 0.840616661764
tentative, tolerated: -0.11949099588
low, tempting: 1.62186084355
partially, permissible: 0.127085569573
unappy, unlimited: 0.0
exact, unabated: 0.46314517334
interminable, unstable: 0.970728241589
petite, tenable: 0.506731602917
goal-oriented, peculiar: 0.0
coarser, material: 2.58197961009
application, illiquid: 0.637975052556
absurd, pathetic: 4.33098684993
classical, extirpated: 1.91578812048
strict, tight: 3.01179777121
impressive, prejudicial: 0.737773474536
responsable, second: -0.395059981653
east, prettier: 1.2383520968
grown, meaningful: 0.129115795203
effectiveness, self-supporting: 0.0
stillborn, well-placed: 0.0
sharper, worst: 2.02272507741
old-fashioned, undesirable: 0.0
cross, inclusive: 0.324422780806
elusive, induced: 0.861914782384
close, suspect: 0.841725156338
bare, strongest: 1.11008862621
carmela, two-: 0
apt, high-cost: 0.0
drunk, way: 0.382908198939
fun-loving, scrumptious: 0.0
erroneous, kind: 0.393221138993
long, vain: 0.614117152495
funnier, iate: 0.0
overloaded, random: 1.04053448069
goal, handicapped: 0.690477857509
onboard, safest: 0.643270747487
co-dependent, monumental: 0.0
bullshit, importantly: 1.19741145483
deserved, gotta: 2.39302085824
endearing, minuscule: 0.972095657887
angry, nearly: 0.387131892333
accountable, individual: 1.81732193942
intolerable, sooner: 0.890946056058
enthusiastic, hope: 1.1702896229
busy, named: 1.02488567557
careful, younger: 1.16476234123
antagonistic, hopeful: 0.955179532783
adequate, unrelated: 0.728977411891
telling, unconvincing: 0.858255806455
discrete, non-partisan: 0.0
standard, subtle: 0.82770697397
fragmented, sloppy: 1.71352617366
correct, damaged: 1.1686785078
detrimental, justiciable: 2.89577188656
focussed, imminent: 0.554963266099
pragmatic, timid: 3.26643199379
attainable, destitute: 0.925775988429
displacement, polite: -0.130230367951
classified, limber: 0.291961407046
added, dull: 0.099188547014
merry, precarious: 1.28664176885
liberal, underlying: 0.68300811747
substantiated, vulgar: 1.37474580118
forthright, regular: 0.366951380593
open, well-filled: 0.0
disagreeable, magnificent: 1.49682202431
mature, presented: -0.115599726069
barmy, indefensible: 3.71014405119
constructed, organised: 0.0
culturally, understood: 1.56338964751
accountability, disoriented: -0.280415535908
-good, obliged: 0.0
antsy, self-employed: 0.0
ideal, useable: 2.04868995961
apologise, worded: 0.0
fairly, yesterday: 0.253466123652
multidimensional, salutary: 0.826638494931
magic, unlucky: 1.89111095588
educated, max: 0.447279291988
humiliating, sufficiently: 0.096371825375
displacement, incompetent: -0.802508971947
luck, suspected: 0.739739893834
fanta, funded: 0.039095345118
tasteful, well-lit: 0.0
handling, insolent: 0.937988840943
internal, minute: 0.313093973711
defunct, resident: 0.800251512917
gullible, upper: 0.298232331801
true, wise: 1.34227047793
proactive, round: 0.063537991236
aesthetic, eleven: -0.243599285786
particularly, patient: 0.221883865922
lacking, propitious: 0.667609628144
15-year-old, soothing: 0.0
convinced, poorer: 0.600663814602
soothing, therefore: 0.138356749244
triple, wounded: -0.189862050578
constituted, rarest: 0.678201961676
acute, dissimilar: 1.25375640231
improved, ionely: 0.0
disappointed, fuckin: 0.964057674774
effectiveness, treaty: 0.890599919467
pertinent, standard: 0.610284663229
mainstream, one-sided: 0.0
insensitive, prolonged: 0.678344382286
kane, non-specific: 0.0
awful, trendy: 1.003879486
grass-roots, vacant: 0.0
annually, entirely: 0.471665973516
overworked, thought-out: 0.0
holy, unconscionable: 1.51022050183
orderly, safer: 2.84555131928
collective, discernible: 1.50291951766
environmentally-friendly, foremost: 0.0
reconcilable, respendable: 0.0
afraid, better-looking: 0.0
american, surely: 0.870441939931
fragmented, weii: 0.0
controlled, mesmerizing: 0.727187048647
commercial, integrated: 1.08899759537
frankenstein, subtle: 0.570455046709
well-informed, yourself: 0.0
alike, subject: 0.294914845704
-just, crushed: 0.0
counter-productive, manufactured: 0.0
favorable, savage: 0.855956454131
charged, west: 0.678885045598
clare, embarrassed: 0.022143369746
standardized, transparent: 2.79628385983
novel, variable: 0.701285840596
freezing, great: 0.400011425568
burdensome, hey: 0.370157153479
boundless, insubstantial: 1.9554307337
desolate, lean: 0.507290622378
largely, luminous: 0.169168948706
-ready, less-favoured: 0
engagement, retrievable: 0.397018671042
repealed, targeted: 1.08789717955
headstrong, mainly: 0.239398361479
lonely, unappy: 0.0
interdependent, unlucky: 0.805088623172
berserk, there: 1.05422898844
extremely, well-coordinated: 0.0
pursuant, sticky: 0.005217265334
elegant, tasteful: 4.81562880101
cloudy, humid: 6.25771719084
pro-active, substantive: 0.0
forgiving, multi-faceted: 0.0
female, freely: 0.374978534843
automated, hopeful: 0.198693546582
southeastern, well-treated: 0.0
stubborn, tenable: 1.11925605804
celebrities, essentially: 0.014945068763
eventually, trendy: 0.083084595335
sizeable, unaltered: 0.610215650227
opportune, somewhere: -0.234926675368
kid, unfortunately: 1.04045435209
returned, wider: 0.120772948616
close, zesty: -0.165968196997
costeffective, start: 0.233151288881
mortal, senior: 0.332854350115
deficient, nicer: 0.898260735612
indecent, resolute: 1.16732139131
hungry, unspeakable: 0.906243659509
intensive, unofficial: 0.415313817795
asinine, back: 0.031442691479
drenched, understandable: 1.08854574861
designed, under-age: 0.0
skilled, wish: 0.487428974063
anomalous, duty-bound: 0.0
principal, stale: -0.218616658746
bizarre, moody: 1.90493194618
mysterious, supplemental: -0.713341720363
elderly, predominantly: 1.33755638561
apposite, well-targeted: 0.0
droll, turbulent: 0.889156934771
induced, social: 0.459831303786
seasick, timely: 0.214498950294
relatively, subtler: 0.644908594652
kid, only: 0.721435451808
outermost, sonny: 0.158492412022
optimistic, ultra-hazardous: 0.0
collective, finished: -0.04847469276
distinguishable, fucking: 0.400075390488
another, old: 1.09695601881
asshole, stimulating: 0.624530069804
degraded, sufficiently: 1.56447815518
nude, old-timer: 0.0
in-depth, worst: 0.0
atrocious, speaking: 0.751640230131
liberal, swift: 0.92945411087
fresh, killed: -0.129059509941
all-important, ever: 0.0
affirmative, terrified: 0.400670307082
ggood, weaker: 0.0
change, deficient: 0.755330061807
booked, monitored: 1.12526198214
impracticable, rank: -1.59900577138
cruellest, unoccupied: 0.164758209781
constituted, imrtant: 0.0
above, rotten: 0.726354382179
lost, overambitious: 0.675992063101
education, reai: 0.0
gigantic, unofficial: 0.565311583158
sleepy, stern: 0.974530620608
ill-defined, self-explanatory: 0
clearer, real: 1.46171027332
commensurate, heavy: 1.27274822883
almost, galore: 0.598356832289
relaxing, timid: 1.09123131445
culpable, fulfilled: 1.56731421378
constructed, cynical: 0.419292254181
inevitable, unsustainable: 2.84319809418
enough, powerful: 0.688838031317
efficacy, lazy: -0.201263129349
mediocre, perplexing: 2.18811713947
reimbursable, today: -0.064446221759
minor, re-appointed: 0.0
preoccupied, simplifying: 1.59274631989
least, under-age: 0.0
past, well-positioned: 0.0
searchable, unequivocal: 1.09715145935
distinguishable, indispensable: 1.57442951048
counterfeit, technological: 0.979207945621
archaic, attentive: -0.208626276536
again, gentle: 0.438334653621
blended, repugnant: 0.575119912722
blinded, integral: -0.208262223139
delay, enrolled: 0.102653483761
busy, elaborated: 0.19884143466
by, laughable: 0.083074282504
abusive, muted: 0.433268450878
creation, false: 0.073423088998
definitive, unoccupied: -0.240138605016
happened, nominal: 0.051513903056
therefore, traded: -0.34212356292
clueless, environmental: 0.078598284998
daunting, inconceivable: 2.8685617629
nobler, obscene: 1.18857025198
identified, over-the-air: 0.0
duty-bound, hinky: 0.0
sloppy, unachievable: 1.06495153424
hypersensitive, rising: 1.14267633856
brief, non-existent: 0.0
dependable, trained: 1.79209041537
sicker, unproductive: 1.1476971757
identifiable, strongly: -0.039170538387
accelerated, cold: 0.580996835163
attainable, long-lasting: 0.0
joyous, marvelous: 3.27529351447
fast-switched, longest: 0.0
flaccid, indicative: 0.911893224605
appointed, retail: 0.706846903792
lawful, stimulating: 1.14155160214
disrespect, gotta: 1.95533820372
scared, see-through: 0.0
advertised, compassionate: -0.031969813194
fewer, stranger: 0.917163941656
circumneutral, concerned: 0.0
everybody, gullible: 0.771574688626
fall, northern: 0.554863777016
operative, superior: 0.953513398505
pretend, simpler: 1.21711427181
memorable, sensitive: 0.407306841685
marine, upstanding: 0.524536167618
recognizing, vicious: -0.140482399008
complete, sincere: 0.710891892049
chaotic, tom: -0.453366704151
indicative, under-funded: 0.0
happier, wrong: 1.52822222425
nascent, precious: 1.47862252103
globalization, payable: 0.25776265677
confused, ungrounded: 1.77237962019
disingenuous, right-: 0.0
opened, well-founded: 0.0
de-insured, drawn-out: 0
genuinely, sympathetic: 2.61449347986
actual, becoming: 0.320183046336
leaner, lengthy: 1.08471969739
noble, unclear: 1.17186077535
probably, useful: 0.827792205406
creditable, shortest: 1.50637304059
conclusive, planning: 0.180888646322
absurd, classy: 0.997151770122
exceptionally, overheard: -0.237472358501
legible, performed: 0.976206892092
horrendous, korea: 0.381732664521
johnny, smug: 1.94758034944
joyful, well-controlled: 0.0
hooked, theoretical: 0.106444359513
under-inclusive, weird: 0.0
centralized, non-existent: 0.0
substandard, unlimited: -0.12455233509
dynamite, intolerable: 0.852162344035
likely, some: 0.688551720328
complements, longer-term: 0.0
distracted, vice-president: 0.0
co-funding, mighty: 0.0
defective, foutu: 0.0
reimbursable, uptight: -0.491340642418
official, talented: -0.799968727685
almighty, secondly: 1.74955684634
psyched, sketchy: 1.9653643622
comparable, innocents: 0.959709478852
complicated, establishment: 0.085018959647
horrific, okey: 0.256644948008
mind-boggling, workable: 0.0
long-winded, permanently: 0.0
hiv-infected, incomplete: 0.0
abrasive, trendy: 0.884126444802
burdensome, spicy: 0.513111060471
entirely, virtuous: 1.30133134204
open-minded, phony: 0.0
gandalf, wing: 0.0
school, unproblematic: 0.349988752694
extirpated, reckless: 0.5125695368
immaterial, intensive: 0.197863106112
pursuant, sobering: 0.166853818896
jurisdictional, softer: -0.276805689351
lit, unheard-of: 0.0
darkest, underprivileged: 1.24146872349
accountability, north-west: 0.0
opening, tepid: 0.985917064095
enlightening, practically: 0.165566239086
alarmed, moot: 1.27381938821
absolutely, changed: 0.584493138988
forlorn, up-to-date: 0.0
newsworthy, seminal: 2.20077008584
alright, well-respected: 0.0
cumbersome, served: 0.083456307802
contestable, preposterous: 2.05003587828
awareness-raising, scientifically: 0.0
necessary, stumpy: -0.019725134814
chaotic, motivation: 0.128653554275
opening, then: 0.493618923716
apt, cleverer: 3.03870960162
co-ordinated, shameful: 0.0
elegante, swifter: 0.0
loco, remarkable: 0.204699905999
someplace, uncomfortable: 1.30431117663
illogical, understandable: 3.17038529108
fucked-up, pending: 0.0
nominal, smaller: 1.23930329805
10, super: 0.0
challenging, criminal: 0.58632607032
differently, impenetrable: 0.460460633372
clever, reprehensible: 2.24316856056
pervasive, unitary: 1.25914256474
becoming, starved: 1.06166471631
generated, straightaway: -0.076270513355
perilous, sturdy: 1.38861821333
hearty, marginalized: -0.008747464981
blunt, transparent: 2.15199896266
sociable, volatile: 1.51359927182
futile, non-compliant: 0.0
blank, resistant: -0.257651067803
protected, refreshing: -0.145887518291
euphoric, least: 0.339479545394
medium, recognising: 0.0
doubtful, non-partisan: 0.0
jump, youngest: 0.41852295284
farther, individual: 0.378968645258
hasty, timelier: 2.39886265268
evey, frazzled: 0.917408584018
knowing, safeguarded: 1.30916608435
brain-dead, untenable: 0.0
authorized, tolerated: 1.32826055804
magnificent, unchangeable: 0.721363563647
imperceptible, sour: 0.362045690474
crystal-clear, single: 0.0
emblematic, sonny: -0.320606534177
infected, well-represented: 0.0
ethical, near: 0.355569669075
manifest, move: 0.049078758302
incidental, seropositive: 0.263279810945
silent, untraceable: 3.12898727586
derisory, off-the-record: 0.0
irresponsible, roll: 0.411227947392
hospitable, sober: 2.6827756694
filed, separate: 1.50887562603
disrespect, normal: 0.797459656308
multidimensional, sophisticated: 2.67915104613
foul, infeasible: 0.238628015139
demanding, well-lit: 0.0
acknowledged, occupational: 0.501054296782
2nd, hence: 0.385030713693
nice-looking, sleeping: 0.0
afraid, impeccable: 0.067254625103
alike, technically: 0.540026024156
effectively, meager: 0.57007000493
directly, dormant: 0.399157587977
expanding, weak: 0.870114750543
pathetic, self-explanatory: 0.0
fourth, unnecessary: -0.113031544727
growin, moister: 2.25587085493
gigantic, profitable: 0.909846884787
died, glamorous: 0.389715613368
canceled, touchy: 0.626685892277
inadvisable, satisfactory: 1.97190513606
'sgoing, admiral: 0.0
amusing, equivalent: 0.866448094863
non-binding, prosperous: 0.0
eerie, responsible: 0.270554803472
named, painless: -0.577960463265
laborious, predominant: 0.394971735298
imprecise, screwed: 1.73337899639
really, worrying: 1.39124463299
neighbours, populous: 0.0
shot, transient: 0.547204371249
freer, indispensible: 1.50647623356
berserk, clear-cut: 0.0
plausible, simple: 2.40774513508
myself, wide-open: 0.0
apologise, voluntary: 0.0
scattered, soon: 0.996412315764
immutable, perpendicular: 2.03876674509
alike, archaic: 0.454488158511
extant, insecure: 0.7599108249
foutu, unified: 0.0
rewarding, similar: 0.645136638471
anonymous, insurmountable: 2.19746321369
fascinated, information: 0.200037586992
obligatory, rubbish: 1.16866436546
booming, om-mazing: 0.0
euphoric, exorbitant: 0.962130176634
transient, vice-president: 0.0
bureaucratic, grouchy: 1.80456180086
reimbursable, vague: 0.850645737507
brainless, cohesive: 1.72310994661
bitter, exquisite: 0.998762352225
inefficient, relative: 0.41040218927
well, well-armed: 0.0
ludicrous, sonny: 1.3979572935
five, sensible: 0.255770866877
glad, hlv-positive: 0.0
herein, muted: 0.837295002904
obstinate, racked: 0.153162289485
l, vast: -0.07420846078
affirmative, ineffectual: 1.55788687545
mideast, milder: 0.7870738879
blow, well-targeted: 0.0
antsy, individualized: 0.820601529177
basically, varying: 0.716897959475
unproductive, unwholesome: 3.23198190917
extreme, stranger: 1.07502684285
extra, generalized: -0.273696134882
noted, potent: -0.256123604451
extirpated, topnotch: 0.077239403826
divided, iilegal: 0.0
trashy, younger: 1.05142195638
clearest, especially: 0.501098120535
absolute, peripheral: 0.535296030613
fascinated, tabled: 0.628686383975
desolate, spaced: 1.79281714469
isolated, wanted: 0.390345559594
reported, wicked: -0.265933799105
retail, trustworthy: 0.911277638289
moody, vigilant: 0.213209961903
therefore, unconvincing: 0.845855837487
glamorous, positioned: 0.015141224077
immature, inoperable: 1.89712515837
apparent, practically: 0.554395179072
mla, seventh: -0.204070764466
directly, meaningless: -0.025621241876
emphasise, faulty: 0.0
fastest, optional: 1.00207882583
anything, south: 0.429054062873
negligible, weirder: 0.653729182826
extensive, normal: 0.446296987491
disagreeable, invariable: 2.39587782317
prepared, psychogenic: -0.133302121514
compensatory, expeditious: 2.08450975528
asleep, changing: 1.00771447241
impolite, overripe: 2.58368759916
efficient, freak: 0.120312021306
by-election, unrelated: 0.0
concrete, pragmatic: 1.87415965246
excluded, peaceful: 0.622817787463
below, up-to-date: 0.0
catastrophic, presumptuous: 1.47309486511
abused, applicable: 0.180361728713
secretive, upfront: 1.1257508164
scanty, thicker: 1.03727044961
day, spooky: 0.260455362548
absurd, co-operation: 0.0
disrespectful, smooth: 0.140935521805
astonishing, awful: 2.89176171846
dear, far-ranging: 0.0
healthier, propitious: 1.33076679465
anonymous, dainty: 0.29351741213
adequate, quicker: 1.19198029116
above, social: 0.087757417096
indisputable, judicious: 1.10012089952
any, invariable: 1.01593415988
illustrative, lousy: 0.611742841724
nouveau, yearly: 0.641234215044
apt, squat: 0.734326047224
french, sappy: 0.863727103608
-lnteresting, sane: 0.0
legendary, resilient: 0.552606028615
paid, unoccupied: 0.536338756731
malicious, wealthiest: 0.647846234427
calculated, trashed: 0.337144343851
expensive, unlikely: 1.81198549297
debatable, discriminate: 1.48714925273
challenging, heartbroken: 0.177306831801
plentiful, way: 0.473705789347
far-ranging, flourishing: 0.0
focused, unrelated: 2.19510340632
christian, onerous: -0.303463259147
subject, surprised: 0.640589886644
brutal, illiquid: 0.565789358746
crowded, time: 0.446628437752
easiest, modernized: -0.290144082713
due, seventh: 0.554205373754
hollow, well-developed: 0.0
dummy, unseen: 0.362743412514
affordable, repulsive: 0.734414896864
increased, obsessed: 0.538791241631
chosen, primarily: 0.874650206263
improved, state-of-the-art: 0.0
integrated, okey-dokey: 0.0
admiral, recurrent: 0.506480777327
designated, murderous: 0.521042866467
midget, vested: -0.311071301134
deeper, proportionate: 0.417975181548
dirty, wrongful: 0.849728937545
schizo, south-east: 0.0
magnificent, secondly: 0.988719470065
fatal, lucky: 1.31870696328
housebroken, unresolved: 1.69264611707
basically, following: 0.365190006383
disciplined, scarcer: 0.639222996632
several, shifty: 0.3132551417
beloved, historical: 1.08622426838
opportunity, wealthiest: 0.4510459857
skinny, unimaginable: 0.321425561135
disoriented, wide-open: 0.0
stone-cold, well-respected: 0
tougher, warmest: 1.14285562828
non-exclusive, teeny: 0.0
abhorrent, thirteen: 0.404801734997
affixed, dodgy: 0.754545472082
challenging, suicidal: 0.962933258579
chickenshit, granted: -0.20798600763
absolute, dismissed: 0.516577565215
lousy, spoilt: 0.0
handicapped, safe: 0.928462014818
jam-packed, straightforward: 0.0
celebrities, deeper: 0.402172089471
freezing, visual: -0.459161983559
blended, run: 0.537696335226
determinant, executable: 1.2769178737
creative, harsh: 0.505097077542
free, junior: 0.288692126443
singular, unspecified: 0.699888287097
honored, pivotal: 1.46675094653
meaningful, pre-established: 0.0
co-financing, seductive: 0.0
broad-based, intentionally: 0.0
action-oriented, rarest: 0.0
inconsiderable, uncommon: 1.51156953461
generous, lucky: 2.92357058547
over-optimistic, traffic: 0.0
acquired, handy: 0.778961409511
important, unnecessary: 1.15113997061
fourth, nonsensical: -0.070359310398
frightening, no: 0.835495922364
nominal, simplified: 1.32310389937
danger, wait: 0.731661980415
advised, pending: 1.62948439178
promptly, vicious: 0.63266258895
unquestionable, wacko: 0.563948709324
but, generalized: 0.394951173725
problematic, seropositive: 1.02723211728
15-year-old, sexy: 0.0
divine, near: 0.135706324453
executory, hostile: 0.926448324856
naked, numerous: 0.084051740869
decisive, over: 1.01229462754
pleased, serene: 0.984691077672
above-board, overdue: 0.0
completely, well-formed: 0.0
fourteen, hey: 0.55418356033
evil, inconsiderable: 1.20406777335
schizo, useless: 1.8994159599
big, in: 0.705491415998
knowledgeable, theoretical: 1.02131019638
hereto, jumpy: -0.365683994199
devastating, introduced: -0.009716237582
populous, various: 0.279606711167
democratic, important: 1.10754527825
overheard, unprejudiced: -0.142415587099
confidential, non-exhaustive: 0.0
parched, well-respected: 0.0
indigent, timelier: 0.355925753695
unmistakable, woken: 1.04753394641
blurred, ignorant: 1.71225655682
irreconcilable, twelve: 0.627995405472
distinctive, hiv-infected: 0.0
born, well-managed: 0.0
nonsensical, prescribed: 0.927177648479
lucid, upfront: 0.50946329408
kosher, unmistakable: 0.245640553239
cost-efficient, suited: 0.0
fanta, perpendicular: 0.182580493811
complementary, sick: 0.045476569049
brand-new, wicked: 0.0
frequent, tolerated: 1.89552223226
limp, repayable: 0.875722692927
frank, reachable: 0.89115337141
cleverer, inactive: 0.411070500224
scalable, thinner: 1.41839374402
dismal, inconsistent: 3.34214284387
displaced, racked: 1.038027491
awaken, cranky: 1.5495104402
briiliant, you: 0.0
business-friendly, thick: 0.0
developing, recent: 0.330476213854
alternate, optimistic: 0.289485329349
cohesive, sentimental: 1.43120319141
all-inclusive, interested: 0.0
afterwards, smart: 0.204863821454
idle, stern: 1.58221658663
effectively, warm: -0.280233267157
ever, visible: 0.976519550704
hourly, symbolic: 0.735468014089
abolitionist, inspiring: 2.05115269881
alia, ancient: 0.358916397966
exactly, short: 0.874740606094
depressing, southwestern: 0.409696345617
for, today: 0.462306072582
counter, weakest: 0.380184870339
certifiable, well-developed: 0.0
consultation, worded: 0.90093282564
all-round, influential: 0.0
distressing, innocuous: 2.14244891123
supplied, well-planned: 0.0
recheck, snarky: 0.348484582155
freedom, nearest: 0.013694517568
minute, pervasive: -0.157036028229
differing, lonely: 0.061572689237
administered, delicious: 0.15383381333
last, lovable: 0.132420369793
intricate, visible: 1.27628942658
complements, docile: 0.174644042054
personal, wary: 1.16542532306
furious, profane: 2.32959323288
lacking, unendurable: 0.507243804951
delighted, excessive: -0.163532247484
cross, soaked: 0.143608110457
anomalous, overflowing: 0.77626607672
dodgy, slower: 1.52300797149
high-tech, rubbish: 0.0
hard, odd: 1.14972972159
induced, refreshing: 0.622166263445
democratic, results-oriented: 0.0
deserved, static: -0.737290093025
goal-oriented, provisional: 0.0
ingrained, rich: 1.36255585755
compliant, ever-changing: 0.0
noticeable, systematic: 1.31562431893
liberated, unsanitary: 0.830817620549
inactive, primarily: 1.15540911759
asleep, fuller: 0.987304930086
decisive, next: 1.17854128554
arming, require: 1.39537578396
blameless, corrupt: 3.01005745223
essentially, insufferable: 0.958963202864
level, minimum: 2.32845246202
asinine, well-lit: 0.0
dormant, strange: 0.94847785693
enhanced, obscure: 0.181936628008
multi-ethnic, unsuitable: 0.0
reaching, treasured: 0.457793550706
inexpensive, information: 0.789832196204
begin, helpful: 0.992365878666
affixed, sick: -0.488847242451
good-iooking, lucky: 0.0
almighty, disputable: 0.788305248511
comprehensive, essentially: 0.469059200281
equivocal, outdated: 1.41453912956
-, instructive: 0.0
compensable, glamorous: 0.356491633856
structured, systematic: 2.34283184323
secretive, toast: -0.051072614445
reaily, specialized: 0.0
occurring, watchful: 1.01391514229
believable, disruptive: 1.10551132574
anything, few: 0.959582405055
poorer, thankful: 0.634104134387
innocuous, uncomplicated: 2.82369612035
famous, sour: 0.512775367184
beautifui, publicly: 0.0
contemplated, marine: 0.340682570424
batty, high-tech: 0.0
graceful, nationwide: -0.032496932858
functionally, scarcer: 1.08712951964
effectively, neat: 0.867404834548
faint, weirder: 1.67731407264
indispensible, over-optimistic: 0.0
compared, compliant: 1.45806162994
authentic, premature: 0.114903838413
inexpensive, preferred: 0.997314257412
overall, u.s.: 0.0
heartbroken, questionable: 0.309598744598
minimal, unfair: 0.959967505575
delicious, skint: 1.99999819086
busted, misleading: -0.10551608254
bull, bullshit: 2.15171890897
acute, well-documented: 0.0
hotter, sharper: 4.34284066422
deliberately, undemanding: 1.24492903409
ideally, required: 1.75561064941
aggravating, endangered: 1.48612635014
identified, infuriating: -0.228902011679
disproportionate, enthusiastic: 0.680810970398
girl, sweet: 1.82019826357
giddy, prominent: 0.368134456478
careless, unsuitable: 2.74134424011
constantly, odious: 0.567239678126
exemplary, widening: -0.054837804151
antsy, manageable: 1.45704619419
certifiable, paradoxical: 0.636674840618
patient, rarest: -0.057102308711
odious, released: -0.173404387704
enthusiastic, significantly: 0.507423154445
conceivable, mediocre: 1.08309431841
needed, wide-open: 0.0
bleak, queer: 0.783887787709
humiliating, selective: 1.13910129964
found, subsequent: 0.363799346411
brave, unlikely: 0.970395567879
divided, pro-poor: 0.0
practically, sound: 1.01020428654
cruel, observed: 0.223064459202
either, unscathed: 0.803841816961
disquieting, now: 0.141607901302
erroneous, updated: 1.73968541394
recognised, standard: 0.0
rehearse, simple: 0.591297532558
burned, multifocal: -0.704569361972
above, discrete: 0.745318457158
intentional, resolute: 0.653380369451
bottled, well-educated: 0.0
modified, unofficial: 0.699950672793
richest, stone-cold: 0.0
cross-border, roll: 0.0
blinded, horrifying: 2.09068003922
distracting, herein: 0.330906396097
shitty, unwholesome: 1.92109922131
inadequate, nuts: 0.575378764978
built, incomplete: 0.031991892948
earlier, well-paid: 0.0
staff, thirteen: 0.102103909853
simillar, supplied: 0.358639955605
goodto, to: 0
basically, co-operative: 0.0
contemporary, doable: 0.551409605446
mightier, uniform: -0.578465571337
insatiable, realisable: 0.0
found, inexplicable: 0.540947228891
nauseous, sincere: 0.892862081215
concerned, profound: 1.20399162575
enormously, them: 0.51562344982
dishonest, undesirable: 2.65847208426
-ready, superfluous: 0.0
extra, violated: 0.144729633084
cattled, partial: 0.0
restful, self-explanatory: 0.0
autonomous, energy-efficient: 0.0
