overpriced, worldwide: -0.012479891156
security, terrifying: 0.412513425065
memorable, meritorious: 1.80586163089
inexpensive, rugged: 1.78305315409
self-financing, unscathed: 0.0
described, policy: 0.013513550458
emblematic, wreckable: 0.0
consequential, well-structured: 0.0
exhaustive, impoverished: 0.3054349918
liberal, various: 0.451518573072
ridiculus, upset: 0.271510225984
easiest, partial: 0.929908739894
comfy, hopeless: 1.40103781887
criminal, heated: 0.00735880125
incredible, lengthier: 0.83302409991
bogus, legitimate: 3.66301627542
believable, overburdened: 0.71252823914
bi-directional, freer: 0.0
convenient, sonny: 0.162324590187
proud, thirds: -0.110113481932
cool, woolly: 1.55253117869
stimulating, well-defined: 0.0
accountability, based: 0.360005051866
complicit, internationaux: 0.798793085467
latest, laudable: 0.542279862255
buoyant, unable: 0.358036099677
inadvisable, rewarding: 2.23613038166
debatable, establishment: 0.330022571576
organized, younger: 0.205937584843
permitted, sal: 0.505482356462
disgusting, inexplicable: 2.95567149068
deficient, well-reputed: 0.0
dumber, first-class: 0.0
contemplated, worthless: 0.849266055865
excluded, happening: 0.848534549257
co-, inappropriate: 0.0
constructive, greater: 1.659837407
manifest, unrestricted: 0.704681301709
flawed, luke: -0.147071514209
clear-cut, displacement: 0.0
excitable, plausible: 1.50430399038
flexible, frequent: 1.21342014131
proprietary, silent: 0.383922278719
courteous, gay: 1.44555320296
cooler, unsettled: 1.51361361113
as, psychological: 0.645857364032
oldest, well-designed: 0.0
discernable, recurrent: 1.57585732125
biased, utopian: 1.52486649657
hungry, uncomfortable: 1.05240322746
pretentious, sealed: -0.108832041679
able, horrifying: 0.382306102091
cohesive, unfair: 0.182211542585
bastard, susceptible: 1.16349789501
participants, unhealthy: 0.764480663744
cloudy, tired: 1.84512060863
co-ownership, democratically: 0.0
coordinated, heavy: 0.27834576592
open-minded, poverty-stricken: 0
pressing, stir-crazy: 0.0
here, issue: 0.842172934212
conclusive, enough: 1.42911150748
ironic, reprehensible: 3.67225906372
hon, inexhaustible: 1.89444442954
inadvisable, started: 0.089507116403
international, small-time: 0.0
profitable, tight: 0.472955129357
belle, expensive: 0.48450301949
loose, upset: 1.06087411202
consulted, lucrative: 0.346066589942
eerie, subdued: 2.30513530348
co-chairperson, few: 0.0
destitute, placed: 0.174701816301
oldest, vocational: 0.576472134267
same, south: 0.04308273493
all, fucking: 1.20057016746
often, unmistakable: 0.793765303594
asked, dynamic: -0.062140630608
underpaid, unwise: 1.25709556113
enriching, however: 0.388765653681
fabulous, indicative: 0.581770142634
sluggish, unrelated: 1.25655711377
binding, stupide: 0.0
omnipresent, welcomed: -0.319915817379
breathe, finite: 1.70288742937
better, psychological: 0.612843797658
disingenuous, global: 0.321056342131
minimal, moving: 0.424175408047
fbl, gonna: 0.0
marketed, omnipresent: 1.46231994249
high-tech, micro: 0.0
privileged, wacko: 0.584322877892
casual, given: 0.138336322767
strained, wonderfui: 0.0
education, rough: 0.413914741278
horrific, unpleasant: 2.93995171167
receptive, successful: 2.59081837964
dynamite, uncompetitive: 0.289115947289
superb, supportive: 0.73152876358
awkward, persuasive: 1.65640624458
alternate, opportune: 1.2476978953
odious, painful: 2.37852261964
viewable, worst: -0.308044494477
cinematography, volatile: -0.300545060799
fledged, woolly: 2.58812128886
contestable, respected: 1.13829332406
inconspicuous, obsolete: 1.2615980532
flame-retardant, going: 0.0
guaranteed, sociable: 0.409865985365
spooky, staff: 0.445505986664
change, thriving: 0.451964147605
regular, unrelated: 0.655242698068
again, legitimate: 0.892619348074
brillant, uncanny: 2.01812025341
jolly, school: 0.303457968665
short, upfront: 1.14528620403
overwrought, trustworthy: 0.744111777862
awake, yearly: 0.791945965476
touching, well-tolerated: 0.0
imperfect, rock-hard: 0.0
edible, marine: 2.04455386854
divergent, uninsured: 0.537297763701
moreover, sweet: 0.463930122383
loverly, protracted: 0.083411070486
assured, consultation: 1.01692514741
folks, ill-founded: 0.0
gotta, hiv: 1.08396133886
exempt, exhausting: 0.71776659856
per, unpleasant: -0.09762869983
hip, thoughtful: 1.02580153721
stocky, wealthier: 0.779395342961
altered, subordinate: 1.42291646082
corny, ill-defined: 0.0
apt, prohibited: 0.468324452262
splitting, unproblematic: 0.477897573947
sole, stylish: 0.475328816421
negligeable, tiring: 0.0
broken, supplementary: -0.067586492458
apparent, ended: 0.936561657797
complements, eerie: 0.721248156185
darn, undeniable: 1.19657227241
deadly, thirsty: 0.953251751854
brightest, induced: -0.307662827452
legible, poorest: 1.09244317802
broken, genuinely: 0.817317242454
embarrassed, eventually: 0.591628681701
opposite, unlucky: 1.51024347151
dangerous, neutral: 0.908185012455
inequitable, unpublished: 1.03589058306
-just, populous: 0.0
hereby, starker: -0.004024180967
perfectly, prime: 0.972488642952
elaborated, quiet: 0.073270291312
self-aware, spatially: 0.0
brave, hairy: 2.27557672949
grumpy, likable: 4.31363642908
cuter, untraceable: 0.721285821089
living, majeure: -0.212950393524
executory, moderate: -0.887106874604
ill-conceived, insufficient: 0.0
kosher, precisely: 0.815610440146
cheery, christian: 0.451235121169
ageing, demanding: 0.0
long-standing, unremarkable: 0.0
seriously, well-deserved: 0.0
gifted, interested: 0.861641536871
phat, well-represented: 0.0
major, outermost: 0.581924516567
academic, tired: 0.352890575602
infuriating, relaxing: 1.38557060655
unappy, undisturbed: 0.0
amazed, day: 0.637515106819
awesome, disoriented: 1.07175321377
monitored, problem: 0.920222481667
delicate, out: 0.42525834073
fearless, shortest: 0.842904466031
dear, naturally: 0.911331476148
differing, liable: 0.719299177441
heartening, uncertain: 1.49658255367
grouchy, results-oriented: 0.0
boy, social: 0.588985774388
concentrated, same: 0.652459691981
able, else: 0.869038223189
beautiful, drunk: 1.14990845942
cheerful, vice-chairperson: 0.0
blow, breadth: 0.188728147857
helpless, off-the-record: 0.0
broken, it: 0.470026532313
thought-provoking, unjustified: 0.0
durable, overlooked: 0.65097850787
safe, shoot: 0.297932190395
evident, utilized: 1.23191229122
ice-cold, pretentious: 0.0
finally, shut: 0.974546660758
fussy, madness: 1.37849063822
bulletproof, dead-on: 0.0
extra, intricate: 0.94452587516
secondary, widespread: 0.833100166705
executable, reinforcing: 0.892696506384
interoperable, thrilling: 0.257115334424
foxy, well-treated: 0.0
a, sugary: 0.0
romantic, scrumptious: 3.2316425574
specialized, uncertain: 0.210172404004
applicable, clare: 0.574874944242
astonishing, stressful: 0.790041719432
focussed, smarty: -0.353974288433
bolder, filthy: 0.157980665947
plentiful, watchful: 1.25647546054
conflicting, controlled: 0.125893411344
extinct, wretched: 0.959829506112
bothersome, smallest: 0.673370639756
outdated, worthless: 3.39071590167
stated, unhealthy: 0.083120767464
damp, still: 1.00945973842
across-the-board, crazy: 0.0
gonna, vocational: 0.171326498276
nuts, unpublished: 0.454722361798
arbitrary, enhancing: 0.377725401118
inoperable, wack: 1.09608346113
cowardly, universal: 0.404879763494
tonight, unlucky: 1.4777907387
abhorrent, particularly: 0.760086954343
affected, franco: -0.150259415048
hopeless, troublesome: 1.92746352227
intolerable, reassuring: 0.997939055726
built-in, mandatory: 0.0
seropositive, stumpy: 0.333512840845
due, well-prepared: 0.0
elite, nearest: 0.058995320651
effectiveness, radical: 0.519480936193
evolving, still: 0.513091644886
sporadic, tom: 0.73289635157
fully, ominous: -0.533961212393
problematical, respect: 0.445303269873
advertised, technically: 1.35919996237
dynamite, history: 0.766649259842
temporary, unhealthy: 0.413528320296
joyous, removed: 0.31715048725
dearer, direct: 0.730354365513
flexibility, unconscionable: 0.730144480735
lackluster, relatively: 1.63658757822
honourable, mission-critical: 0
rude, wretched: 2.13188486136
co-funding, unaffected: 0.0
orderly, running: 0.555092724648
clare, progressive: 0.350939691932
continuous, wierd: 0.093207375285
functionally, splitting: 0.653728440915
meager, safeguarded: 0.46410501552
favourable, refreshing: 0.0
comprehensive, knowing: 0.192879232785
here, multi-faceted: 0.0
impaired, south-east: 0.0
cracked, transparency: 0.328236622228
handy, merely: 0.694891360159
consultation, romantic: -0.059551015404
all-out, senseless: 0.0
desolate, interwoven: 1.6039412226
distinct, luckier: 0.560423719569
desolate, life-threatening: 0.0
cleared, risky: 0.646071617739
aging, surprised: -0.412261342806
pursuant, superficial: 0.541242305549
damaging, promptly: 0.394657299884
illogical, notably: 0.403858386733
this, thus: 0.701489939585
powerful, twisted: 1.37097545384
rusty, sober: 0.88645049828
axiomatic, unsteady: 0.887177267585
shaky, subdued: 2.89826083465
american, genius: 1.67982473431
likable, rock-solid: 0.0
strengthened, talented: 0.726918902498
disrespectful, named: 0.807708947386
humiliating, meritorious: 1.49569557276
adaptable, wreckable: 0.0
counter, judicious: 1.22495081195
attainable, interest: 0.614333761361
immersive, uncompetitive: 0.634838617314
kiddo, unquestionable: -0.236956919949
one-sided, remarkable: 0.0
fastest, peachy: 1.02826140712
drunken, humane: 0.018774232181
batty, staff: 0.204560371986
informative, naive: 0.994669979479
patent, pure: 0.562848619427
ludicrous, oral: 0.293958704034
2nd, impressed: 0.332334649098
right-, topnotch: 0.0
concerted, informed: 0.747691438765
home, selfish: 0.504368414579
focussed, formal: 1.00752418639
at, visible: 0.433002344836
careless, convincing: 0.670862395655
scarcer, well-founded: 0.0
deepest, it: 0.48878706438
internationaux, unproductive: 0.465752968592
off-the-record, unofficial: 0.0
applied, delineated: 2.38099023489
sinister, slightly: 1.41567550249
best-known, personalized: 0.0
lacklustre, self-sustainable: 0
at, ineligible: 0.046789166444
enhancement, refreshing: 0.42843255742
intolerable, satisfied: 1.60257694166
consulted, physically: 0.360819494296
substantive, twice: -0.207506230495
griet, wrongful: 0.0
central, everybody: 0.756309780725
grave, pervasive: 1.44905355773
prodigious, wicked: 2.27870448039
coordinated, overwrought: 0.868534563821
deep, sale: -0.12955512686
expandable, truthful: -0.145420893726
moron, shared: -0.69689046779
elaborate, ironic: 1.49454048201
cross-border, feeble: 0.0
suspect, verify: 2.03612713114
america, distracted: 0.125267542165
grumpy, immense: 0.249074621229
early, equitable: 0.04502970294
indefensible, manifest: 1.2544543967
illicit, supra: 0.359091089739
fried, ping-pong: 0.0
masterful, swearing: 0.116228123622
debatable, intentional: 2.15816166851
accelerating, divided: 0.511998931456
expandable, heavier: 1.1830594878
felt, troublesome: 0.371188943729
exorbitant, least: 0.542642957061
published, undemocratic: 0.243322477271
innovative, over-optimistic: 0.0
liberated, pivotal: 0.185845610098
good, il: 0.061264557917
profitable, unbiased: 1.7346316929
diversified, forgiving: 1.31037690541
accuracy, clearest: 1.1428345278
bereft, sorry: 1.40866655035
problematical, round: 0.16101099551
dubious, single-ranked: 0.0
unpredictable, well-protected: 0.0
recommended, wounded: 0.031943935811
abolitionist, flat: -0.118524593196
hiv-infected, sore: 0.0
reduced, represented: 1.03610909048
cold, hypersensitive: 1.0420542409
facilitated, vice-chairman: 0.0
guys, infallible: 0.851399271954
holier, intermediate: -0.513474311691
hollow, nominal: 1.06455418543
ecstatic, standard: -0.163480869497
dearer, unsteady: 0.805159641404
cardinal, convincing: -0.030349935947
insurmountable, ourselves: 2.07755325198
fatter, safer: 3.46433087286
iilegal, new: 0.0
permanently, under-funded: 0.0
aggrieved, move: 0.427356238315
terminated, visibility: 0.713061664575
faultless, note: 0.567303552144
destitute, used: 0.298244778065
expeditious, stress-related: 0.0
improbable, well-off: 0.0
invariable, legality: 0.909654547634
earlier, honest: -0.009441346602
motivated, underfunded: 1.26951261801
hard, quiet: 1.34706143883
crazed, unbalanced: 1.65344363473
colossal, good: 1.00552666018
frightening, stress-related: 0.0
go, permitted: 0.917687416781
co-operation, garbled: 0.0
feasible, understand: 1.09466431681
challenging, surreal: 2.06354799733
explicit, formal: 2.49867882367
hardest, prescribed: 0.807434153816
flush, jam-packed: 0.0
ill-equipped, occurring: 0.0
marketed, stellar: -0.050670958592
armed, stimulating: -0.229665192658
dead, endearing: 0.693943747576
killed, prettier: 0.817255956764
cloudy, moreover: 0.36645270911
romantic, ubiquitous: 1.02031009861
bad-ass, effectively: 0.0
clarified, ineffectual: -0.573685400666
hiv-positive, obliged: 0.0
big, indefensible: 0.167655732815
correct, mimi: 0.253309354064
busted, inviolable: 0.74388263536
different, formally: 0.598123454356
historical, speedier: 0.12251701939
human, opened: -0.146087512066
defeated, formal: 0.139005450242
coherent, substantive: 3.29406856145
negligible, term: 1.05696427423
enough, impoverished: 0.815396179474
economic, untraceable: -0.651163340276
accessible, limber: 1.62799358498
bi-directional, overlooked: 0.0
midget, swift: -0.301760225698
degraded, well-established: 0.0
foul, suddenly: 0.13881627542
assertive, striking: 1.02684042781
run, vested: 0.726316518644
daunting, improbable: 3.69537849187
alarmed, fitting: 0.18274291388
divided, strained: 2.38133679504
bloodied, thin: 1.02892005728
joyful, marketed: -0.069639671845
closer, laddie: 0.141951020006
concise, recheck: 0.800452827779
high-availability, though: 0.0
eerie, safeguarded: 0.158275418638
cold, eleven: 0.506828762092
advanced, disgraceful: -0.11359056212
filed, stipulated: 1.68478567168
kane, time-consuming: 0.0
constructed, prestigious: 0.476924825522
efficacious, excitable: 1.16018624033
contemporary, even: 0.316707596819
bothersome, certified: 0.260324650258
horrifying, indebted: 0.95285710537
crass, returned: 0.054057093591
popular, sublime: 0.757772788051
challenged, serious: 0.401107547444
antiquated, following: 0.088772859061
disgusting, roll: 0.373539061614
sharp, uncomfortable: 1.1626350047
preferential, targeted: 0.880516598761
insecure, named: 0.291760254169
courrier, expeditious: 0.25889091814
adulthood, celebrities: 0.668531610815
around, refusal: -0.286237406007
egocentric, particular: 0.817516205294
-surprised, kiddo: 0.0
executory, harsh: 0.800210083708
realizing, screwed: 1.26169902127
humble, hurry: 0.952097907351
indispensable, skinny: 0.411111139193
acceding, legally: 0.825996359654
homosexual, intertwined: 0.798817425539
principally, refusal: 1.22294945558
following, public: 0.500090238416
casual, startled: 1.02166189741
gentle, realist: 2.36950775525
derisory, inappropriate: 2.83596146222
famous, pleasurable: 1.62151549949
overwhelmed, peaceful: 0.724318290916
admitted, daily: 0.175637278486
already, loverly: -0.143177710892
happiest, outrageous: 1.17001661459
misused, southwestern: -0.45344882134
feisty, smooth: 1.45592977565
feasible, fucked: 0.351381223687
impolite, richer: 0.883398878534
term, unforeseen: 0.912180494685
mixed, simillar: 0.70340863023
cost-efficient, ugly: 0.0
observed, repugnant: 0.850785461822
founded, prescribed: 0.698163856199
disposal, forthcoming: 0.404469179695
tied, twisted: 1.8191170716
older, urgently: 0.757790245461
contentious, foxy: 0.322513919114
alone, moot: 1.0269950496
elderly, grieved: 1.16821582233
automatic, cancelled: 0.0
bravest, marvelous: 2.21884070074
commensurate, so: 0.512414398571
culpable, freaky: 0.998187653968
information, lucky: -0.147541948285
beneficial, jack: -0.128219509955
environmental, insupportable: 0.700913913931
constantly, unsavory: 0.940088085939
effective, hlv-positive: 0.0
few, neurotic: 0.218154295355
defunct, faulty: 1.66183510994
contaminated, prescribed: 1.69364773766
delighted, furthest: 0.448242626583
protected, wrong: 0.440238210197
demanding, orderly: 1.18464764651
deeper, luckier: 2.91300628736
delightful, standardized: -0.094545218884
agreed, interdisciplinary: 0.416050434131
harmful, privileged: 1.10655571667
patchy, prick: 0.723703966914
agreed-upon, sombre: 0.0
celebrated, published: 1.21976546796
suddenly, this: 0.502328571837
axiomatic, flattering: 1.9753501552
for, malignant: -0.02941765227
beautiful, extraordinary: 1.81789115068
informative, outrageous: 1.02926639929
created, distinguished: 0.877464543669
omnibus, thank: -0.208961261871
favorable, protected: 0.893275561845
notorious, underdeveloped: 0.747767379764
deader, monthly: -0.345760246222
marvellous, rigght: 0
named, pissed: 0.691658653911
adapted, circumneutral: 0.0
intertwined, nonexistent: 2.20965024423
diversified, fanta: 0.01385823701
immeasurable, seldom: 1.17827683564
realistic, scalable: 1.87170257329
cool, unspeakable: 0.363135162247
spontaneous, trendy: 0.948227234452
crippled, long-term: 0.0
co-dependent, unprejudiced: 0.0
determinative, empowered: 1.86067350066
timely, virtuous: 0.529135962358
acquainted, structured: 1.35260073089
proficient, senior: 0.734472832965
inalienable, multi-faceted: 0.0
marginal, spatially: 1.05325414562
five, sweetheart: 0.041172745478
extra, flagrant: 0.41606472733
equipped, nationwide: 1.01770952403
idiots, proactive: 0.790376885713
baby-sitting, representativeness: 0.0
first-rate, hurt: 0.0
repelling, unique: 0.802911130487
goodto, insecure: 0.0
old-fashioned, touching: 0.0
cheaper, presentable: 1.78749342251
easy, prick: 0.489337188641
charged, sealed: 1.16124283082
standing, supra: 1.29683929486
enduring, meaningful: 1.49860805662
heartfelt, predictability: 0.689784635586
okay, speedy: 0.346464598128
-me, orderly: 0.0
hence, identify: 0.772791679308
ecologically, self-contained: 0.0
accountable, weak: 0.953287125011
consulted, marty: -0.297540700586
predictability, stumpy: 0.310886221552
eerie, prick: 0.752784622494
grumpy, rooted: 0.277015930584
subtler, unfeasible: 1.13577415124
displaced, stronger: 0.598620624569
bottled, determinable: 0.010488427294
first, simplified: 0.477016646931
rad, well-suited: 0.0
humid, light: 1.5135810225
enthusiastic, unabated: 0.120664215659
questionable, unstable: 2.39214709843
admirable, priceless: 2.01410660895
cognizant, next: 0.161995673072
mental, smarty: 0.639966324064
relentless, steady: 3.27523853195
futile, indispensable: 2.14836736067
served, tragic: -0.049412949194
between, disgusting: -0.105123103977
cool, partially: 0.501141727144
abreast, statewide: -0.073167698761
moist, overkill: 0.427639129944
eastern, wacky: 0.338948029355
apposite, entitled: 1.65105078896
complicit, time: 0.128879603989
cher, etc: 1.66623039585
fun-loving, profound: 0.0
obscene, rude: 5.03519347356
infamous, scientifically: -0.276892124366
above-board, bogus: 0.0
!, average: 0.0
cooler, ominous: 1.24857087813
on-going, publicly: 0.0
accused, sponsored: 0.902208142535
well-balanced, youthful: 0.0
marginal, sturdy: 0.816274173308
in-depth, superior: 0.0
presumptuous, serene: 1.63985715834
particular, welcome: 0.487775307867
chosen, numerous: 0.461243904337
convinced, eccentric: 0.790413521425
dark, unified: 0.330639356416
mixed, vocational: 0.065712572731
trivial, unwell: 1.46692073946
intolerable, sovereign: 1.99158256549
exposed, very: 0.799124071307
truer, unremarkable: 1.04678585446
rich, right: 0.456859809316
babe, thereto: 0.065014199313
already, rescinded: 0.781643919179
glowing, yummy: 1.93432958217
dope, political: 0.478074975024
disproportionate, meritorious: 2.05808566699
courrier, frightful: -0.051469924032
1st, enormously: -0.323221400012
foolproof, pathway: 0.630035536835
particular, pre-published: 0.0
growing, unpublished: -0.236010837786
accountability, hence: 0.456082952004
disabled, leading: -0.27154655962
patience, unoccupied: -0.125316562939
defective, typical: 0.102211822178
going, perfectly: 0.690405539843
doing, encouraged: 0.974178415101
cross, induced: -0.153373742003
state-owned, vast: 0.0
disingenuous, pivotal: 0.223498742371
momentous, orderable: -0.016963185468
cleared, competence: 0.309043641204
brutal, ice-cold: 0.0
enjoyable, multi-layered: 0.0
alive, marine: 0.256600352378
ample, reasoned: 1.6596832695
christian, germane: 1.17994334174
fbl, north: 0.0
all-important, unchanged: 0.0
arranged, cheaper: 0.935142216084
co-operation, yearly: 0.0
defined, simplifying: 1.47755873196
authorized, deceased: 1.43179698334
preferential, sponsored: 0.536196228117
non-toxic, observed: 0.0
awake, interim: 0.246293007325
imrtant, mistreated: 0.0
single-ranked, you: 0.0
almighty, specific: -0.23153132333
hardest, jumpy: 1.0064125858
damp, global: 0.288873484724
frantic, top: 0.6566163146
outdated, threaded: -0.426760031206
faster, ridiculous: 0.507437962247
aligned, disrespect: 0.33714123491
mental, ravenous: 0.928693083089
mistaken, timelier: 1.39873208292
changed, slippery: 1.45530375687
extremely, inexhaustible: 0.719814203418
extremely, organised: 0.0
frozen, too: 0.511131266396
nathan, stupide: 0.0
madness, missing: -0.145829402463
progress, vacant: 0.603203948811
felt, splendid: 0.407087675573
intended, substantial: 0.746944275637
bleak, counter: -0.15777964209
alike, newest: 0.807894853243
compatible, dissimilar: 2.63800832445
wild, worthy: 0.925262076881
burned, sufficient: 0.567049953314
functionally, induced: 1.04453645682
documented, opening-up: 0.0
matched, optional: 1.11689150882
exorbitant, tedious: 1.68917278729
steadfast, unattainable: 1.62523743372
conspicuous, disruptive: 1.76450495122
hip, long-term: 0.0
brightest, indebted: 1.15365340452
elevated, level: 2.20867544116
loyal, spaced: -0.28696521391
boy, determinative: 0.852971186372
expandable, undisputed: 0.380214160204
diligent, due: -0.168295497724
gratuitous, nosy: 1.67263269872
isolated, nearest: 1.41677902725
decisive, irritating: 0.399217953628
master, omnibus: 0.274237953532
egotistical, looking: 0.380483443618
organic, seductive: 0.753878050217
dysfunctional, steep: 0.437297045509
almighty, frankenstein: 1.20458668066
burned, painful: 1.03334446053
iucky, luck: 0.0
commonplace, economic: -0.020266381506
eccentric, modest: 1.59384289164
updating, uptown: 0.583122066496
calculated, enhanced: 0.651692778292
inclusive, resistant: 0.770123886628
complete, well-informed: 0.0
believable, immutable: 1.86607985529
small-time, soothing: 0.0
extensive, startling: 0.840107193237
called, unforeseeable: 0.650789842067
cracked, guys: 1.24233646547
equal, stone-cold: 0.0
practically, ultra-hazardous: 0.0
quadruple, weary: -0.27511153593
determinative, erroneous: 2.1692637299
briiliant, insane: 0.0
european, prepped: 0.466282542488
applied, dodgy: 0.686157738184
about, better: 0.896112151365
broader, purer: 2.10736621451
useful, well-organised: 0.0
null, self-financing: 0.0
sobering, thankyou: -0.038262448995
almost, damp: 0.578975046841
mideast, unhappy: -0.51886424353
round, systematic: 0.458255070644
braver, problematical: 1.92464543474
non-competitive, pushy: 0.0
solid, yo: -0.091057773679
drenched, statewide: 0.110270777615
insincere, technical: -0.12201839596
undetermined, unforeseeable: 2.96706996716
consolidated, untraceable: 0.519568042731
coordinated, wide: 0.984225348518
extinct, tense: 1.07958177554
cost-shared, disadvantaged: 0.0
etcetera, null: 0.966378496336
off-the-record, somewhat: 0.0
comparable, stir-crazy: 0.0
aware, viable: 1.25739722718
heartfelt, worldwide: 0.158901432121
cheerful, disturbed: 1.57615913611
ruined, tan: 0.652476884062
conspicuous, widest: 1.76461783104
19, agreeable: 0.0
multi-ethnic, systematic: 0.0
achievable, broken: 0.821271261362
higher, robust: 1.79768376068
harmless, shit: 1.04948900115
frazzled, retail: 0.675313576974
fitting, youngest: 0.551110020575
complicated, steep: 1.72968647227
nice-looking, rough: 0.0
disgusting, generic: 0.617943302177
endearing, minor: 0.844193610928
dismal, whar: 0.0
diverse, reliable: 2.16395789836
seventh, wretched: 0.736069976886
dying, sweet: 0.858967342609
certifiable, competence: 1.85672723487
opportunity, overburdened: 0.649077777039
expeditious, forward-looking: 0.0
comprehend, stimulating: 0.21268207542
durable, sufficient: 1.4232976871
inaudible, lookin: 1.52890813777
infamous, weirder: 2.24272473678
lost, pleasant: 0.480069980559
asian, west: 1.3027654779
precarious, scandalous: 2.32139294742
great, temporarily: 0.060565854792
deepest, ethical: 0.676881104774
kind, onboard: 0.725110297669
master, principale: 0.344497770723
farther, stylish: 0.344807783994
humble, lucid: 2.71718293452
impatient, pragmatic: 2.60235039064
bogus, forthcoming: 0.451639221432
irregular, overflowing: 1.12214816044
fourth, unaffordable: -0.100523799519
compensatory, omnipresent: 0.008440003729
least, obscene: 0.592196280316
handled, particularly: 0.970169216089
counter, flourishing: 0.436752349567
efficient, shifty: 1.64268011717
bureaucratic, smoother: 1.11436064415
automatic, moody: 0.368707173229
equivocal, reduction: 0.29890522292
pointless, sharper: 0.90693469875
perplexing, requests: 0.595514814924
added, thin-skinned: 0.0
anything, naturally: 1.29976051259
reachable, unpublished: 0.341486313308
ionely, mortal: 0.0
everywhere, thoughtful: 0.266629193563
especially, onerous: 0.899689722287
leading, retarded: -0.253640792407
persuaded, rigght: 0.0
clueless, prat: 3.06375921688
concentrated, controlled: 1.97081824356
often, spatially: 1.53056858065
slight, well-written: 0.0
ample, out: 0.403844830618
illogical, next: -0.157883320884
cleanest, overheard: 0.711354203968
bureaucratic, sturdy: 0.356872273901
genuinely, youthful: 1.3225391108
preponderant, thankyou: -0.209837781568
effective, unspecified: 0.422667806744
hateful, underprivileged: 1.51207636658
co-financed, vulgar: 0.0
frigid, harmonised: 0.0
authoritative, multicultural: 0.730778778132
unlocked, wanted: 0.202488462939
policy, uneven: 0.899640866555
alright, sticky: 1.24375406092
enchanting, informative: 2.54063996328
before, treacherous: 0.569324897155
malicious, vice-chairperson: 0.0
accountability, inter-linked: 0.0
equally, restrictive: -0.026795957355
elsewhere, rarest: 1.16504129382
in-depth, worried: 0.0
shameful, supreme: 1.18803657906
instrumental, terrified: 0.407074496361
reduction, underdeveloped: 0.712478725461
self-evident, subdued: 0.0
overlooked, supplemental: 1.2192153337
enraged, reasonably: -0.582441373381
alone, tense: 0.566917576477
high-quality, stated: 0.0
unofficial, wise: 0.62967175588
also, handy: 0.640780689572
richest, unexpected: 0.098825079625
inappropriate, okey: 0.495702914832
simplified, tighter: 2.91571244274
desired, finer: 1.69462977309
thanks, undeniable: 1.10541676285
far-ranging, flammable: 0.0
nearest, periodic: 0.491247476833
broken, foolish: 0.889859203114
over-ambitious, particular: 0.0
compensable, nothing: 0.272670689737
concrete, start: 0.399579617562
briiliant, good-iooking: 0
northern, sustainable: 0.67107643058
muchfor, sizeable: 0.0
adversarial, snarky: 2.11644017758
abundant, deceased: 0.378384851841
fifty, merciless: 0.474775748114
co-, frank: 0.0
truly, underfunded: 0.658444938871
deserved, pervasive: 0.349102850921
correct, readyto: 0.340322189428
perfect, prat: 0.80707704953
agreeable, two-pronged: 0.0
liable, stale: 0.346808420313
tiresome, well-positioned: 0.0
connected, nouveau: -0.029941265615
adaptive, planning: 0.963697236715
all, restless: 0.152143681423
just, sobering: 0.977741764239
confrontational, scarcer: 1.15589519326
heard, horrific: 1.1422811083
horrid, lackluster: 3.80540366513
max, oriental: -0.170201377648
droll, permanently: -0.190855137878
able, sleepy: 0.175308969346
exactly, kinda: 1.86518848895
gross, simply: 0.516849212855
consultation, smug: 0.317823981081
know, practical: 0.8381105359
muscovite, wrecked: 0.554122004335
defeated, experienced: 0.460305777814
patronizing, proscribed: 1.20799304519
correctly, really: 1.17651638199
self-sustained, unprofitable: 0.0
insensitive, well-informed: 0.0
final, mild: 0.262378204319
-, real: 0.0
prescribed, undisputable: 0.344834109607
iovely, need-to-know: 0
astounded, peaceful: 0.085866678404
-mentioned, irritable: 0.0
edible, interrelated: 1.27553789683
proud, undetermined: -0.025340240423
pathetic, thriving: 0.894748297783
disciplined, snappy: 1.28625566989
insecure, unexpected: 0.882595210871
strengthening, tell: -0.100336361927
plentiful, stark: 1.94942372761
vice-president, wanna: 0.0
received, simplifying: -0.082391497774
deprived, life-long: 0.0
inter-dependent, updating: 0.0
facilitated, high-quality: 0.0
corresponding, exemplary: 0.789008284884
different, rising: 0.504177118046
constructed, you: 0.390819457512
abolished, equally: 0.534835510641
counter, informal: 0.197368734703
enjoyable, sensational: 1.88506535703
induced, partial: 1.46574103442
self-sufficient, state-owned: 0
denser, usually: 0.904249327719
belle, immature: 1.14096596163
educational, saved: 0.018959706351
somewhat, truth: 0.709528376027
expanded, that: 0.425289828776
idiot, multifocal: -0.132645771944
familiar, time: 0.064339773774
informed, polished: 0.332223649062
realizing, received: 0.334515159651
in-progress, marvelous: 0.0
carsick, yeah: 2.53046107773
alike, guaranteed: 0.498450389084
stern, yummy: 1.06531775895
influential, sorr: 0.0
extraordinary, nationwide: 0.599960732746
deprived, treatable: 1.50953774227
history, try: 0.458723910873
occupied, promptly: 0.230146536317
certifiable, security: 0.540464856688
conclusive, convincing: 2.97083941957
conscientious, two-: 0.0
frustrated, lately: 1.95364441503
appreciable, widening: 0.89244732215
fast-switched, preoccupied: 0.0
crude, righteousness: 1.0218993087
analogous, ice-cold: 0.0
commendable, principale: -0.005238664782
feasible, ridiculous: 1.87557149096
applied, done: 1.83544402282
academic, well-maintained: 0.0
