gravest, ludicrous: 1.88402770388
crushed, natural: 0.114926726534
humbled, twofold: 0.370589578334
existing, unforeseeable: 0.452257229163
included, sporadic: 0.685023983497
user-friendly, well-treated: 0
classic, stocky: 1.05096056208
specialized, unaffordable: 1.08707427244
competent, harmonised: 0.0
illogical, minus: 0.309445626247
supplied, vague: 0.377329772455
feisty, so: 0.156379188446
ample, deficient: 1.94792293886
challenged, enraged: 1.91278481152
intact, messy: 1.17492511594
essential, skeletal: 1.22088405959
destabilizing, justifiable: 2.22025244824
established, untapped: 1.49873217916
justiciable, responsible: 1.32736914879
clara, deader: 0.775399603597
concerned, objective: 1.0928845425
malicious, multi-layered: 0.0
least, overwrought: 0.286803810184
faithful, persuaded: 0.856354163131
courrier, marginalized: 0.431811178026
naughty, perverse: 2.69957878477
monthly, perplexed: -0.000197149058
deliberately, integrated: -0.321199874573
flammable, well-informed: 0.0
reliable, vigorous: 1.25279417208
harmonised, winning: 0.0
high-availability, subdued: 0.0
flush, optimum: 1.09294988247
as, sole: 0.996442191892
heartening, resident: 0.392254497415
enhancing, sell: -0.130831898824
largest, lonely: 0.337527107799
disoriented, him: 1.3866392275
pathway, taller: 0.507636581532
benign, such: 0.845362750916
clara, subtler: 0.430687179177
massive, unoccupied: 0.579395062831
no, youth: 0.227440217806
authorised, functioning: 0.0
astounded, funded: 1.5691191084
doable, them: 0.790800714939
prouder, sixth: 1.23102718037
alright, maintained: 0.689268801019
livid, sonny: 1.3627857082
exaggerated, unqualified: 2.22604035912
discreet, inestimable: 0.216337833194
environmental, fragile: 0.652000292848
brillant, capable: 1.29396605143
added, swifter: 0.616491862838
reiterate, spectacular: 0.07167997076
surer, sustained: 1.20279535789
due, speaking: 0.552172994066
resident, thrilling: 0.081077028609
lacklustre, meagre: 0
exhilarating, self-governed: 0.0
advisable, cordial: 1.54330426906
switching, these: 0.524853043075
apologise, treble: 0.0
hideous, ourselves: 1.60894307218
medical, mostly: 0.615102557326
co-operation, panicky: 0.0
her, mla: 0.15165135014
nearest, testy: -0.239165155375
fairly, two-fold: 0.0
prestigious, stylish: 1.57496052067
culturally, scary: 0.813454207171
freer, segregated: 2.03766506799
carefully, engagement: 0.683308014207
unfortunately, younger: 0.502687691704
distinguished, self-contained: 0.0
commenced, uncomfortable: -0.426676955858
accelerated, tabled: 0.57356190719
braver, unfounded: 0.886582291808
payable, unthinkable: 0.018502923386
eleven, sociable: -0.059631810007
disquieting, get: -0.136068998299
formal, iike: 0.0
accomplished, enhanced: 0.848311064973
freaky, supportive: 0.501244861269
functionally, incompatible: 2.71299358595
relaxing, unpredictable: 1.04210370798
tougher, unjust: 1.36995435717
ended, interrelated: -0.104769240619
oldest, well-educated: 0.0
move, upfront: 0.628369739728
demeaning, inaudible: 0.879342286585
inefficient, north-west: 0.0
resident, rigid: -0.449486589126
recognized, snug: -0.099020207876
separate, supplemental: 1.0911910371
remote, some: 0.629800339699
dark, indicative: -0.078648219137
simpler, wondrous: 1.2786568181
currently, dramatic: -0.121584330727
minute, persistent: 0.625085749553
at, illogical: 0.200648611608
expedited, sweeter: 0.643002516356
discussion, scientifically: 0.218264706725
impractical, welcome: 0.84484708697
classic, dirtier: 1.21622610507
nineteen, sacrilegious: -0.091478509492
creditable, questionable: 1.33935434028
now, smartest: 0.575173448762
frantic, material: -0.362307284179
dummy, minus: 1.11394168373
environmentally-friendly, refreshing: 0.0
compassionate, yo: 0.692137597076
luminous, pricey: 0.894134679
elderly, financed: 0.465126706964
do, human: 0.740144796632
anonymous, upstanding: 2.94561749771
complex, equivocal: 0.885742985767
greedy, sporadic: -0.02926441406
grieved, receivable: -0.006141306767
extremely, unforeseen: 0.657405844524
thanan, wise: 0.0
due, undignified: 0.584711913061
documented, monstrous: 0.819167599755
living, specialized: 0.005614769402
cowardly, left: 0.982465256892
legible, well-done: 0.0
apposite, palatable: 2.54343495441
emblematic, predominant: 2.23436326523
inadequate, snarky: 0.478952557719
clear, legit: 1.45461748158
corny, worthy: 2.24780377674
impractical, reprehensible: 3.23387511082
compatible, frazzled: 0.055009373808
damp, muchfor: 0.0
detrimental, two-pronged: 0.0
icy, obnoxious: 1.49362719099
suspicious, well-paid: 0.0
poisonous, strongest: 0.600032867585
henry, salient: -0.257320711513
cleanest, non-toxic: 0.0
blinded, favoured: 0.0
ago, radical: 0.565165353188
impermissible, impoverished: 0.556893617485
gentle, okey-dokey: 0.0
clinically, detrimental: 0.599634714145
sixteen, uncontroversial: -0.058352956531
ludicrous, outrageous: 5.26089456321
deficient, discernible: 1.20854099602
careful, distant: 0.696745761391
automated, energy-efficient: 0.0
dope, well-paid: 0.0
receivable, rigght: 0.0
determining, robust: 0.060161413163
interminable, macabre: 2.47763264161
somewhere, twofold: 0.248861833258
eccentric, momentous: 0.909511042444
chubby, needy: 1.34460582602
nosey, well-organised: 0
mainly, plain: 0.961730562703
equal, thanks: 0.424677360089
seropositive, yes: 0.511926882525
annoyed, pro-choice: 0.0
italian, race: 0.988076233937
gone, time-consuming: 0.0
flammable, solemn: 0.948069779036
anymore, limited: 1.29740944649
leveraged, pricey: 1.11278954753
discernible, tonight: 0.278870622244
life-threatening, marvelous: 0.0
clerical, next: 0.059241353052
extreme, presented: 0.011182013383
hiv-infected, own: 0.0
10, designed: 0.0
added, justification: 0.328707612961
irrational, larger: 0.348396903634
opposed, terminated: 0.845207553735
proficient, smarter: 2.90070619591
elle, stubborn: 0.616665104342
decisive, taller: 0.556756711814
critical, mad: 0.554426534702
fast, yearly: 0.322304135951
inspiring, non-partisan: 0.0
non-self-executing, well-suited: 0
proper, soaked: 0.994967276177
ail, elegante: 0.0
favorable, sober: 1.18799879831
prepped, rampant: 0.198735073651
chubby, funky: 2.50613365964
easiest, undisputable: 1.02499699739
beneficial, diseased: 1.42584345019
comfy, doubt: 0.464699832393
disgraceful, lazy: 2.29933707346
entitled, untouched: -0.027674205179
customized, pleasant: 0.827104980088
theoretical, tolerated: 0.272623693464
pre-established, strengthening: 0.0
franco, spent: 0.037782729327
infrequent, muchfor: 0.0
fucked, gross: 1.60027543454
innocent, merely: 1.58738059376
nationwide, uniform: 0.693699351688
injurious, representativeness: 1.08460425689
absolutely, ok: 1.71407564122
international, withdrawn: 0.795232254238
uh-huh, uncontroversial: 0.0
breathtaking, vegas: 1.073316051
brutal, disingenuous: 1.39006409918
most, worrying: 0.263636981078
exhausted, structured: 0.727320373598
later, romantic: 0.260361411996
good-iooking, wierd: 0.0
leading, representativeness: 0.156373065665
crummy, fbl: 0.0
interested, viewable: 1.87977874141
informed, slim: 0.341917181277
trashy, triple: 0.439262256797
tabled, traded: 2.22653272671
self-governed, smaller: 0.0
defensible, salutary: 1.92982084333
rubbish, susceptible: 0.296384334058
gullible, overburdened: 1.20971390545
nigh, statutory: 0.859518995363
gone, outermost: 0.159089581259
eager, financed: 0.386162627787
fake, need-to-know: 0.0
slimmer, tempting: 1.48502371515
bankrupt, judicious: -0.61529631159
formally, underdeveloped: -0.320050073099
heated, reasonnable: 0.0
builshit, meager: 0.0
hope, vulnerable: 0.624115767078
economical, uncompetitive: 2.61371201485
inexplicable, inter-dependent: 0.0
immovable, recent: -0.277453120955
coordinated, ioaded: 0.0
conscientious, parched: 0.290260910757
illiterate, less-favoured: 0.0
convincing, strange: 0.961015285221
long, talented: 0.655345150033
rock, well-served: 0.0
demeaning, shaky: 0.567598683735
cited, friendlier: -0.103416045673
fifteen, unsettled: -0.16444688021
forthright, innocent: 1.76662693103
unabated, warmth: 0.461889259481
personal, thanan: 0.0
generous, korean: -0.175219497151
iike, too: 0.0
in, romantic: 0.211505707803
commended, freaky: -0.269780212316
co-ownership, comercial: 0.0
lately, shit: 1.95946801211
heartfelt, relaxing: 0.891452628616
housebroken, worded: 3.6722407702
owned, stupid: 0.239705031139
by, thanks: 0.890240158696
disclosed, speaking: 1.65005238199
part, reiterate: 0.698450208017
honourable, instrumental: 0.0
infeasible, unwarranted: 2.89780084682
costlier, intensive: 1.54646723599
everyone, monitored: 0.314792124839
cuter, verify: -0.590920705475
pleased, primordial: -0.927121855669
meaningless, tabling: 1.00951876685
exorbitant, idiot: 1.53886806627
compensatory, complacent: 0.222481333887
pricey, supplementary: 0.257033539055
abnormal, brave: 0.166096516128
get, sincere: 0.521124768262
natural, technology-neutral: 0.0
scalable, simply: 0.519373532422
dismissed, psychogenic: 0.364764253428
america, comin: 3.9223771136
schizo, slight: 0.755904210101
acknowledging, kiddo: 0.440670231365
dotty, duty-bound: 0.0
admiral, ineffectual: 0.640285134092
premature, whar: 0.0
annulled, better-educated: 0.0
empty, privileged: 0.710206850819
controlled, in-depth: 0.0
sick, west: -0.050306498059
physical, psychogenic: 1.70749094092
barmy, nutty: 3.81583003365
blind, farther: 0.77929987845
lamentable, technology-neutral: 0.0
-mentioned, egotistical: 0.0
abhorrent, babe: 0.985536514184
nineteen, tell: 0.719847983219
fruitful, poppycock: 0.247157320971
bureaucratic, respectable: 0.567559189664
coast, medical: 0.485609798578
blow, overall: 0.373711350004
co-operation, cosmetic: 0.0
firmer, lonely: 0.258287710092
professional, unclear: -0.028055609746
automatic, northern: 0.243523480625
imported, yearly: 0.722833100486
catastrophic, harmonised: 0.0
global, regardless: 0.596413326181
dangerous, sir: 0.588997115033
cheerful, spatially: 0.7863557711
chosen, justifiable: 0.548743148393
fabulous, understood: 0.115118642098
everybody, punchy: 0.477293931752
accomplished, required: 1.00591825656
blended, environment-friendly: 0.0
encouraged, mature: 0.760818168543
fancy, sad: 0.579863405932
treated, undisputable: 0.40880596613
insufficient, unrealistic: 2.98879629391
eco-friendly, self-evident: 0
it, well-lit: 0.0
trashed, treaty: 0.300987915878
busier, justification: -0.122146591659
amazing, need: 1.03209558481
accessible, known: 0.956920592697
co-, interesting: 0.0
extra, progress: -0.212250520933
essential, southwestern: 0.466048303559
cost-effective, rank: 0.0
directly, strengthened: 0.462391253988
considerably, inter-dependent: 0.0
flattered, living: 0.061773755779
prevalent, wise: 0.867213881162
imperfect, ineffectual: 3.35963235858
good-iooking, relaxed: 0.0
lesser, regulated: 0.389755923133
fbl, omnipresent: 0.0
awake, him: 1.10662797474
adopted, cross-border: 0.0
professional, professionally: 3.76888618645
bothersome, dependent: 1.05425644451
delay, frantic: 1.52653620753
null, recurring: 1.10076636725
daily, dysfunctional: 0.597273928419
notable, stated: 0.261307315775
egotistical, original: 0.323967221042
nut, responsible: 0.865419682962
attention, gifted: 0.252617490771
autonomous, unforeseeable: 1.6278666908
extreme, north-east: 0.0
fucking, pro-active: 0.0
crazed, multidimensional: 0.81126585194
exhaustive, outermost: -0.735616032889
deadly, etcetera: -0.333953896845
finicky, miscellaneous: 0.545281736157
all-embracing, planned: 0.0
nuts, sinful: 1.8490305197
becoming, preferable: 0.738376163159
compliant, reversed: 0.386112193497
burdensome, others: 0.666281882282
definitive, ineligible: 0.221767922687
left, repeated: 0.521041012989
dedicated, sacrosanct: 0.704465191751
divided, integral: 1.36178019354
squeamish, upper: 0.26220341149
fatter, stocky: 1.94807438474
all, close: 0.482480718569
environmentally-friendly, self-conscious: 0
exciting, unappy: 0.0
rugged, stringent: 1.98337874396
doubled, elle: -1.09412071378
environmentally-friendly, grouchy: 0.0
misleading, moron: 1.79594907134
large-scale, undisputable: 0.0
sustained, vulgar: 0.284704334823
nessessary, though: 0.0
lukewarm, northeastern: 0.02869502091
launched, suddenly: 0.089651947047
arduous, resilient: 1.82997631028
patient, prat: 0.459793668046
embarrassing, terrified: 1.68664497415
deserted, timely: -0.410471903145
enhancement, well-reputed: 0.0
elle, unfathomable: 0.664682764735
doctor, well-documented: 0.0
specific, treacherous: 0.012270808806
go, lovable: 0.261404918249
crummy, unfettered: 0.876082681808
nearby, traumatic: 0.289899647164
alike, theoretical: 0.262970594502
calming, immaterial: 1.12078653083
startling, treaty: 0.296328735043
identify, regrettable: 0.675765178634
handy, per: 0.766641556371
catastrophic, valuable: 1.38281424754
generic, illogical: 0.850283175683
disappointing, inside: -0.108259729793
archaic, unreasonable: 2.24681051393
injurious, one-sidedly: 0.0
affluent, basic: 1.07741318842
drenched, previously: -0.218133004777
active, challenges: 0.775305080465
cherry, dopey: 0.831327265358
excellent, unmistakable: 1.52131873617
looking, worthy: 0.878703090911
everybody, pretend: 2.1650133386
dim, interdisciplinary: -0.291422123299
cardinal, destructive: 0.231691227204
hot, light: 1.67929164519
chilly, substandard: 1.03097913082
reaily, well-prepared: 0
discriminatory, informed: 1.27888009014
many, robust: 0.37831960395
indigent, strained: 1.04119349021
executable, unfit: 0.168377640671
abolished, indicative: -0.090087203809
beneficial, hinky: 0.373550838592
cosmetic, prick: 0.532915235827
motivated, realistic: 2.07602049864
cattled, evolving: 0.0
elaborate, freezing: 0.924447091025
geographically, named: 0.218059867753
classified, simplest: -0.131252311341
broad-based, discriminatory: 0.0
negative, vital: 0.685392155029
breadth, rescinded: 0.316720465804
cheesy, close: 0.498522666057
chaotic, passionate: 1.18415945944
related, substantiated: 1.72524135144
sharper, spaced: 1.30239614515
next, nothing: 0.280633639283
comparable, super: 0.368904350233
broken, minuscule: 0.560582576944
longterm, severe: 1.45588561212
all-inclusive, redeemable: 0.0
distinctive, inter-related: 0.0
stiff, unproductive: 0.885040903957
bright, populated: 1.09824041822
outrageous, six-year: 0.0
fearful, this: 0.20674756917
disrespect, geographical: 0.312708285336
closer, forever: 0.795136684087
celebrities, modern: 0.514442615106
fulfilled, remote: 0.363855567505
ideal, intentionally: 0.097898157924
unreasonable, wholly: 1.93419760832
awareness-raising, indispensible: 0.0
flexible, introduced: 0.903314893217
advantageous, horrible: 1.51296736789
greedy, horny: 3.30316346754
beter, inconspicuous: 0.423777510248
surer, well-known: 0.0
archaic, useable: 1.61317019133
preferred, speedier: 1.10970929012
pushy, unseen: 0.743665575496
clearest, crass: 1.08335638033
initial, short: 1.33529546021
set, vis-: 0.0
decisive, faithful: 1.7374255274
well-educated, well-served: 0
less-favoured, onboard: 0.0
lively, scattered: 1.06685095632
explosive, unproblematic: 0.85389847286
disputable, doing: 0.024920374493
exempt, probably: 0.297165723277
brand-new, wait: 0.0
symbolic, whatever: 0.525436396982
ambitious, reinforcing: 0.146129894641
trustworthy, yummy: 1.29490194659
older, well-served: 0.0
but, cheapest: 0.415348855027
confident, extensive: 1.1786070395
commitment, whatever: 0.702321524374
calming, secured: -0.538591143479
personalized, stand-alone: 0.0
brief, prominent: 0.828376177698
firm, outside: 0.34824601955
grass-roots, syrupy: 0.0
harmful, unlimited: 0.7399447718
nominal, well: 0.485402287474
flavorful, so-called: 0.0
claire, upset: 0.148449267555
comfortable, currently: 0.992305909395
offensive, user-defined: 0.0
oldest, symbolic: 0.918544493577
false, one-sided: 0.0
dynamite, likely: 0.554987303477
horseshit, individual: 0.499842277378
15-year-old, day: 0.0
excitable, insatiable: 2.5266716744
lacking, long-lasting: 0.0
in-house, meaner: 0.0
classical, unexceptable: 0.0
brighter, unproductive: 0.64663785019
abysmal, embarrassing: 4.23973733379
swift, underway: 1.25440078772
clinically, humid: -0.398456469605
peaceful, personal: 0.424272704824
mental, useful: 0.204464991148
hysterical, significant: -0.000134563759
super, unidentified: 0.018894630101
lower, overheated: 0.738604367921
joyful, little: 1.26756011772
race, successful: 0.444370053014
home, traditional: 0.724767199932
exorbitant, inspirational: 0.160543168515
everybody, fifty: 0.588969817487
cherry, lucrative: 1.38881581444
killed, unpleasant: 0.650322297255
preferable, retarded: 1.34888493564
defensible, state-run: 0.0
excluded, splendid: -0.187934998774
energy-efficient, unspoiled: 0.0
alike, imminent: 0.097037289455
lousy, quicker: 1.16595793686
grimmer, lengthier: 3.93581961776
diversified, reciprocal: 1.00780282746
cute, vested: -0.076100005444
builshit, democratically: 0.0
expanding, important: 1.11718014437
costly, stubborn: 1.76019300577
stimulating, strong: 1.07009281531
actual, top: 0.2420932833
horrendous, rebatable: 0.0
bravest, naturalistic: 0.666482854508
fruitless, multi-faceted: 0.0
experienced, farther: 0.228701181714
competence, trained: 1.64974777623
endearing, hysterical: 2.73026985038
go, retrievable: 0.518309997712
matched, tan: 0.88812252239
alien, various: 1.14282743245
braver, coarser: 3.61620515278
inflexible, tighter: 2.1153169413
-surprised, unitary: 0.0
annually, political: -0.356970105814
kid, undeveloped: 1.20316934638
admitted, elite: 0.138371260603
continual, objectionable: -0.257563320334
hither, only: 0.021191318924
hurtful, targeted: 1.41470719316
adverse, comin: -0.13500695809
-lnteresting, fortunate: 0.0
all-inclusive, inside: 0.0
hurtful, supportive: 2.61847162031
see-through, twelve: 0.0
well-balanced, well-controlled: 0
reality, well-formed: 0.0
lonely, value: 0.036973066263
distinct, here: 0.266845730071
short, troubling: 0.932324334143
crass, subtler: 3.27474994757
self-conscious, sombre: 0.0
consistent, unfavourable: 0.0
particularly, total: 0.243640326141
coordinated, dearer: -0.618498127795
equivocal, oriental: 1.13688296937
awkward, planning: 0.316980662031
fella, fuzzy: 1.30821907783
mysterious, symbolic: 1.23132459271
frail, illustrative: 0.820691420623
challenging, educated: 0.546069043833
short-sighted, ten: 0.0
precious, stark: 1.27985201031
criminal, incalculable: 1.40837222926
emotional, partially: 0.145625554939
demand-driven, mediocre: 0.0
opposed, preliminary: 0.516380179363
homesick, inclusive: 0.490669668843
constructive, enthusiastic: 2.32843033007
immeasurable, indigent: 1.25271819673
daft, fantastic: 2.81498059602
gentle, unlimited: -0.002740179669
crude, stepped-up: 0.0
excited, moderate: -0.123852931108
etc, pervasive: 0.67343277291
hypersensitive, nonexistent: 1.08271958137
fierce, provision: 0.26211478563
abrasive, bizarre: 1.47135662092
instructive, lovely: 1.6682420106
likable, terminated: 0.181635889755
identifiable, well-paid: 0.0
deserted, rubbish: 2.011540298
extensible, limp: 0.267226641154
recognised, rusted: 0.0
evil, negligible: 0.362151710905
original, screened: 0.491304521734
less-favoured, to: 0
elected, priced: 0.050715342152
effectiveness, remediated: 0.729260042531
grumpy, proven: 0.143840323141
rationalized, science-based: 0.0
hope, tedious: 0.69321818587
korea, losin: 3.06657605829
high, preoccupied: 0.633319999539
bastard, later: 0.787185567353
autonomous, intended: 0.458796930505
around, connected: 0.914678257384
legit, leveraged: 0.830319345795
compelling, schizo: 1.04136895406
screened, well-founded: 0.0
presently, youngest: 0.594880332023
grisly, sophisticated: 1.18462126279
corny, lasting: 0.960530922604
closer, dainty: 0.398887602543
optimistic, transient: 0.792725237716
generous, joyous: 1.88397604508
former, thankful: 0.378073957339
elsewhere, grouchy: -0.356606188592
brief, glamorous: 0.776252472899
everyone, ionely: 0.0
conceivable, than: 0.869144018961
sacrosanct, weary: 1.23268786287
rebatable, valid: 0.0
sinister, standing: 0.275776592018
childish, well-managed: 0.0
marine, rank: 0.969994812713
fried, pragmatic: 0.366030395465
proper, sir: 1.89842809931
largest, unknown: 0.509191792025
fun, iilegal: 0.0
comparable, fuller: 1.44704937318
proportional, soaked: 0.161556857129
co-operation, well-tolerated: 0
original, questionable: 0.72820901217
labour-intensive, south-east: 0
come, sweetheart: 0.499450201518
exempt, symbolic: 1.21759121501
bothersome, inconspicuous: 2.43119435493
explosive, laudable: -0.039333772962
sublime, well-off: 0.0
gullible, leave: 0.648513855374
brilliant, innumerable: 1.05499103463
automatic, successfully: 0.568216081476
generally, overheated: 0.602873695287
comprehensible, stranger: 1.2512456306
phenomenal, southeastern: -0.063901006076
multi-faceted, telling: 0.0
nifty, sleeping: 0.194184056867
fascinating, profitability: -0.279057827733
plain, stifling: 0.977894989707
ma, watchful: 0.497408543589
heinous, well-lit: 0.0
heterogeneous, touching: -0.371944516755
honest, time: 0.875150538037
evident, occupied: 0.903011323024
ioaded, radical: 0.0
contained, patience: -0.201545681562
long-lived, willing: 0.0
advantaged, life-threatening: 0.0
ample, establishment: 0.354762209612
hip, serene: 0.904072753401
omnipresent, short-term: 0.0
imprecise, uneasy: 2.85563675062
delirious, effective: -0.252995779175
injured, well-founded: 0.0
remarried, western: 1.11152912705
comprehend, unfilled: 0.361223958489
intelligible, three: -0.108705398569
formerly, thankful: -0.075775364439
costly, provided: 0.234060691264
permitted, silent: 1.62014576071
dramatic, short-term: 0.0
braver, ever-increasing: 0.0
adamant, state-funded: 0.0
honoured, merciful: 0.0
celebrated, major: 0.950702959072
filthy, lovelier: 1.25558532941
ghastly, worthless: 1.4936002108
comfortable, otherwise: 0.323306440566
laddie, master: 0.922607523078
oversensitive, stimulating: 0.693077376642
accustomed, scrumptious: 0.764523943562
thirsty, unfeasible: 0.65982296812
discriminate, polluting: 2.30920815713
safest, worrying: 1.10567145634
reckless, thereto: 0.793743336659
crafty, inconvenient: 0.899182425844
humiliating, inconsequential: 1.99038733771
change, practice-oriented: 0.0
shared, strengthened: 1.35923293295
financed, larger: 1.33635841921
abusive, smartest: 0.370035366804
good-natured, irritating: 0.0
naughty, southwestern: 0.650877831957
large-scale, smitten: 0.0
overwhelming, vice-chairmen: 0.0
commenced, sultry: 0.01138427254
jumpy, sincere: 0.613467096483
bonnie, heeded: 0.385055418479
extraneous, restricted: 1.38256666358
contained, sedentary: 0.391999685088
advised, fierce: -0.376038527715
freer, wounded: 1.25827210102
junior, permitted: 0.118609593287
blunt, prat: 0.97243645887
dead, reai: 0.0
-good, ordinary: 0.0
trashy, unwholesome: 3.48161968135
proceed, recognizing: 0.443362309787
entirely, faithful: 0.628036806483
alien, innocents: 2.09515728809
different, temporarily: 0.232243713748
dandy, drenched: 0.929377869138
minute, volatile: 0.235814053218
repealed, self-employed: 0.0
disoriented, exaggerated: 2.52769009406
humbled, propitious: 1.71695628622
fastest, telling: 0.116973096281
imrtant, rare: 0.0
considerate, flourishing: 0.665233491931
gaunt, orderly: 0.690053729303
similar, unsound: 1.08327658632
interwoven, sir: -0.085966159446
10, notable: 0.0
compassionate, very: 1.96852226748
back, unappy: 0.0
honourable, talkative: 0.0
afraid, cordial: 1.19025375834
spotless, wise: 0.731531006277
environmental, twelve: -0.572869285915
faithful, potent: 1.96842765415
apace, inefficient: 0.699378045709
alia, good: -0.294478265488
laborious, needy: 0.034835298559
resolute, voluntary: 1.08621242111
crystal-clear, doin: 0.0
impulsive, open-ended: 0.0
dubious, unused: 1.07528058655
predictable, suited: 1.39548161539
alone, outermost: 0.197267102545
acceded, on: 0.207831380781
sensible, unappy: 0.0
affluent, rigid: 1.31831468164
loud, unchanged: -0.260075478729
counter, irrational: 1.68504312505
innovative, rarer: 0.224428322025
protracted, unreal: 0.301413542891
mechanical, west: 0.239097299926
aggrieved, careless: 1.80457548845
sensible, unlocked: 0.118777144246
excessive, far-ranging: 0.0
healthier, inadvisable: 0.783656860513
efficacy, internationaux: 0.908124621976
completely, unchanged: 0.680499493811
naturalistic, unusual: 1.68434941566
extant, fortunate: 0.138927659229
smartest, transient: 0.385695263395
inexhaustible, received: -0.301362810334
horrendous, prominent: 0.422367376019
-lncredible, cleverer: 0.0
blow, insufficient: -0.039466116745
agreed-upon, cool: 0.0
s-sorry, there: 0.0
admitted, mama: 0.128314563912
thank, tied: -0.095027348249
merciful, unequivocal: 1.83388107798
crippled, life-threatening: 0.0
statutory, unified: 0.927675944365
carsick, ineligible: -0.120710825569
futile, simplifying: 0.779056110379
awol, unable: 0.940866392688
glowing, micro: 0.749308183904
deficient, sweetheart: -0.497710324469
above-mentioned, swifter: 0.0
feisty, out: 0.36970828023
snarky, untenable: 0.010160224042
doubtful, find: 0.600378359024
guys, wanted: 2.18285736236
judicious, practicable: 1.40289349661
brainless, go: 0.605691451192
amazing, over: 0.535000845024
reai, tough: 0.0
bone-dry, straight: 0.0
someday, unsafe: 0.995361374181
flourishing, patient: -0.428267551385
inflexible, unaffected: 1.45646834742
lonesome, total: -0.017145384163
commenced, re-appointed: 0.0
dull, truth: 1.25849632373
stifling, temporarily: 0.952671928579
appropriate, enhancing: 1.40313091653
all-important, ecologically: 0.0
contained, recheck: 1.13315772188
renowned, substandard: 0.252856443325
disjunct, enrolled: -0.083703158245
repulsive, threaded: 1.53321483113
gandalf, inescapable: 0.0
aligned, rarer: 0.265886534534
associated, cabbage: 0.512394540957
immeasurable, insolent: 1.06268118886
imported, symbolic: 0.725172432212
humiliated, paramount: 0.285773471472
exposed, irresponsible: 1.55496706038
anomalous, death-proof: 0.0
tonight, victorious: 1.66555452178
dotty, extraneous: 1.14883274891
modest, unappy: 0.0
painful, unscathed: 1.63025316111
private, smarty: -0.149998459231
abnormal, her: 0.409284293487
essentially, received: -0.185049651772
unexpected, unsuitable: 1.08836609353
extinct, solid: -0.100227908575
antsy, interdependent: 0.540274305598
eastern, murderous: 0.790196321356
absurd, irresponsible: 4.4007472375
cynical, user-defined: 0.0
sad, shocked: 3.92651389511
actively, spotless: 0.038541025615
facilitated, six-year: 0.0
defined, panicked: -0.529321694377
psychological, someplace: 0.27141408344
finicky, squeamish: 4.25297250253
developing, honest: 0.165876029327
facultative, insincere: 0.019965272886
eleven, predictability: -0.136307951891
inviolable, manifold: 1.45800044887
sloppy, usual: 1.76627141501
corrupt, disoriented: 1.22778150263
explicit, whassup: 0.836508605826
donkey, informed: -0.130789940775
off-site, static: 0.0
misleading, perpendicular: 0.048048888111
about, docile: 0.013782803718
copacetic, kidding: 2.91588951364
note, user-defined: 0.0
battered, unreasonable: -0.256860403814
leading, violent: 0.687600099091
freest, installed: 0.571309744342
diligent, stated: 0.908328618637
fifth, trippy: -0.174286885733
messy, straightforward: 2.77122401389
come, multifocal: -0.285780434628
disabled, liked: 0.117160080298
tough, untouched: 0.145750243184
accepted, especiaily: 0.0
overloaded, underway: 1.66009934458
subdued, unimportant: 1.1654470198
evident, social: 0.647069428521
ever-increasing, exorbitant: 0.0
eighth, starker: -0.039564302491
abundant, handsome: 1.35401039474
particularly, previous: 0.37975399876
concerned, losin: 0.39160217261
nuts, six-year: 0.0
commercial, rapid: 0.917457468493
executory, structured: 1.49343357176
misused, reliable: 0.744009193835
dead-on, unemployed: 0.0
invariable, thriving: 0.516005414618
accomplished, smallest: 0.537620370565
buoyant, concrete: 0.428590704645
bad, indiscriminate: 1.16398311372
delusional, pivotal: 0.481748226472
innumerable, madness: 1.09925374921
launching, to: 0.0
disciplined, necessarily: 1.06670897154
frail, unattainable: 1.95346282582
insured, unhelpful: -0.029068032944
hiv, undisputable: 0.033126441684
me, specified: -0.012191227176
evident, state-funded: 0.0
interesting, repeating: 0.779132379209
enjoyable, redeemable: 1.62549583788
dense, relaxed: 1.02988796775
ongoing, pushy: -0.121401127103
defenseless, recognising: 0.0
-so, hardto: 0.0
distribution, freer: 0.385158749837
embarrassing, identified: 0.078247776773
hereby, typical: -1.04645964854
heterogeneous, okey: 0.575110783792
naturalistic, unprofitable: 1.05435162137
action-oriented, obsessed: 0.0
hasty, lastly: 0.110873217604
marketed, predictability: 0.124541743341
compliant, shallow: 0.765526576011
adapted, refundable: 0.67105348903
certain, entertaining: 0.110877826913
but, co-: 0.0
invisible, quickest: 1.03081419964
another, customized: 0.257552830886
away, short-sighted: 0.0
informed, pre-published: 0.0
generous, ravishing: 1.41660699971
affordable, executory: 0.885942576253
dismal, well-behaved: 0.0
imperceptible, unwell: 0.994272036772
environment, fabulous: 0.253103558905
easiest, lit: 0.4400852921
continuous, foolish: 0.130290560902
picky, shortly: -0.367586936626
lawful, well-organized: 0.0
change, eager: 0.16014551978
delightful, stillborn: 0.661039146518
politically, seventh: 0.432737048119
omnipresent, well-formed: 0.0
moderate, persuasive: 1.0535704134
alright, geographical: -0.021085251674
phenomenal, planning: 0.609959877808
binding, sooner: 1.11497595479
history, move: 0.417518016359
refreshing, unproductive: 1.06175560366
sincerely, unpleasant: 0.738486251707
co-ownership, momentary: 0.0
graduate, retarded: 0.186402784186
minor, tardy: 1.46028419761
indisputable, thready: 0.491337566667
brief, concerted: 0.913925542398
principale, short-sighted: 0.0
